N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-5.21811624,4,-10.43623248,-10.43623248,0.009001449,5.986,2.544,2.544
2mer-0+2,-6.63459815,4,-13.2691963,-23.70542878,0.008127517,5.812,2.632,2.632
2mer-0+6,-10.21418632,4,-20.42837265,-44.13380143,0.007702494,5.025,2.68,2.68
2mer-0+16,-2.03934952,2,-2.03934952,-46.17315094,0.001412501,6.81,4.716,4.716
2mer-0+5,-0.2916851,2,-0.2916851,-46.46483605,0.001216975,9.42,4.956,4.956
2mer-0+21,-1.26822988,2,-1.26822988,-47.73306593,0.001144258,7.39,5.059,5.059
2mer-0+12,-0.3242091,4,-0.64841821,-48.38148413,0.001080953,9.402,5.156,5.156
2mer-0+14,-0.43170353,4,-0.86340706,-49.24489119,0.0009506992,9.067,5.382,5.382
2mer-0+37,-0.09600739,2,-0.09600739,-49.34089858,0.0008840221,10.049,5.514,5.514
2mer-0+15,-0.27548308,4,-0.55096617,-49.89186475,0.0006261051,9.067,6.186,6.186
2mer-0+8,-0.125493,4,-0.250986,-50.14285075,0.0006236921,10.676,6.194,6.194
2mer-0+10,-0.12411475,4,-0.24822951,-50.39108025,0.0004827827,10.676,6.746,6.746
2mer-0+27,-0.18674021,4,-0.37348042,-50.76456067,0.0003528237,9.402,7.489,7.489
2mer-0+18,-0.04863176,2,-0.04863176,-50.81319243,0.0003523333,11.624,7.492,7.492
2mer-0+22,-0.04623462,2,-0.04623462,-50.85942705,0.0003505125,11.973,7.505,7.505
2mer-0+45,-0.06192216,4,-0.12384431,-50.98327137,0.0002987386,10.863,7.916,7.916
2mer-0+40,-0.11840692,4,-0.23681383,-51.2200852,0.0002902837,11.249,7.992,7.992
2mer-0+60,-0.03980808,4,-0.07961616,-51.29970136,0.0002569059,11.596,8.324,8.324
2mer-0+26,-0.09901693,2,-0.09901693,-51.39871828,0.0002364929,11.624,8.557,8.557
2mer-0+43,-0.01303203,4,-0.02606405,-51.42478234,0.0002333832,12.044,8.595,8.595
2mer-0+59,-0.01327256,4,-0.02654512,-51.45132746,0.0002207595,13.459,8.756,8.756
2mer-0+32,-0.08775302,2,-0.08775302,-51.53908048,0.0002142829,11.973,8.843,8.843
2mer-0+44,-0.01267915,2,-0.01267915,-51.55175964,0.0002040349,13.774,8.989,8.989
2mer-0+39,-0.01066574,2,-0.01066574,-51.56242538,0.0001695377,13.774,9.561,9.561
2mer-0+55,0.03333933,2,0.03333933,-51.52908605,0.0001624869,10.049,9.698,9.698
2mer-0+33,-0.00683603,4,-0.01367207,-51.54275811,0.0001476099,14.534,10.013,10.013
2mer-0+47,-0.03836757,2,-0.03836757,-51.58112568,0.0001472482,13.774,10.021,10.021
2mer-0+34,-0.01713456,4,-0.03426912,-51.6153948,0.0001431179,14.605,10.117,10.117
2mer-0+64,-0.02303534,4,-0.04607067,-51.66146547,0.0001306538,13.836,10.429,10.429
2mer-0+54,-0.01096652,4,-0.02193305,-51.68339852,0.0001303341,14.378,10.437,10.437
2mer-0+58,-0.01520762,4,-0.03041523,-51.71381376,0.0001194838,14.94,10.744,10.744
2mer-0+52,-0.02471992,4,-0.04943985,-51.7632536,0.0001163359,14.378,10.84,10.84
2mer-0+98,-0.04043885,2,-0.04043885,-51.80369245,0.0001145894,13.62,10.895,10.895
2mer-0+77,-0.03472317,4,-0.06944633,-51.87313878,0.0001108473,13.836,11.016,11.016
2mer-0+95,-0.01232469,4,-0.02464939,-51.89778817,0.0001069138,14.878,11.15,11.15
2mer-0+132,-0.00885839,2,-0.00885839,-51.90664656,0.0001023768,15.496,11.312,11.312
2mer-0+80,-0.00378846,4,-0.00757692,-51.91422347,9.688024e-05,14.94,11.522,11.522
2mer-0+57,-0.00706091,4,-0.01412182,-51.9283453,9.587804e-05,16.115,11.562,11.562
2mer-0+129,-0.02525685,2,-0.02525685,-51.95360215,9.370198e-05,14.78,11.651,11.651
2mer-0+94,-0.00079369,4,-0.00158738,-51.95518953,9.361866e-05,14.878,11.654,11.654
2mer-0+63,-0.00292805,4,-0.00585611,-51.96104563,9.064675e-05,16.305,11.78,11.78
2mer-0+153,-0.00878973,2,-0.00878973,-51.96983537,8.893838e-05,16.273,11.855,11.855
2mer-0+88,0.00020842,4,0.00041684,-51.96941853,8.367519e-05,13.459,12.099,12.099
2mer-0+104,-0.01623917,4,-0.03247835,-52.00189688,8.351303e-05,15.882,12.106,12.106
2mer-0+82,-0.00841431,2,-0.00841431,-52.01031118,8.011105e-05,13.774,12.275,12.275
2mer-0+71,-0.00868628,4,-0.01737257,-52.02768375,7.985817e-05,16.115,12.288,12.288
2mer-0+102,-0.01103949,2,-0.01103949,-52.03872324,7.947901e-05,16.56,12.308,12.308
2mer-0+74,-0.0127551,4,-0.02551019,-52.06423343,7.688576e-05,16.305,12.445,12.445
2mer-0+119,-0.02458286,4,-0.04916572,-52.11339915,7.620951e-05,15.074,12.481,12.481
2mer-0+147,1.02e-05,2,1.02e-05,-52.11338895,6.338558e-05,18.134,13.272,13.272
2mer-0+127,-0.00995566,4,-0.01991132,-52.13330027,6.052864e-05,15.882,13.478,13.478
2mer-0+89,-0.0077653,4,-0.01553061,-52.14883088,6.007389e-05,17.436,13.512,13.512
2mer-0+116,-0.00627561,4,-0.01255123,-52.16138211,5.829474e-05,17.775,13.648,13.648
2mer-0+113,-0.01243816,2,-0.01243816,-52.17382026,5.7461e-05,16.56,13.713,13.713
2mer-0+137,-0.00523421,2,-0.00523421,-52.17905447,5.704305e-05,18.134,13.747,13.747
2mer-0+123,-0.00813162,2,-0.00813162,-52.18718609,5.625858e-05,17.527,13.81,13.81
2mer-0+106,-0.00465624,4,-0.00931248,-52.19649857,5.520033e-05,17.959,13.898,13.898
2mer-0+173,-0.00138233,4,-0.00276466,-52.19926323,5.328932e-05,18.574,14.062,14.062
2mer-0+145,-0.00097969,2,-0.00097969,-52.20024292,5.178484e-05,18.803,14.197,14.197
2mer-0+93,-0.00215152,2,-0.00215152,-52.20239444,5.16271e-05,18.84,14.212,14.212
2mer-0+195,0.00106624,4,0.00213248,-52.20026195,5.071315e-05,17.421,14.296,14.296
2mer-0+183,-0.00907601,4,-0.01815201,-52.21841396,4.986371e-05,17.665,14.377,14.377
2mer-0+170,0.00237173,2,0.00237173,-52.21604224,4.976511e-05,15.496,14.387,14.387
2mer-0+121,-0.00041215,4,-0.00082431,-52.21686654,4.854035e-05,18.937,14.507,14.507
2mer-0+155,-0.00997682,2,-0.00997682,-52.22684336,4.797668e-05,17.527,14.563,14.563
2mer-0+185,-0.0051646,2,-0.0051646,-52.23200796,4.710875e-05,18.803,14.652,14.652
2mer-0+109,-0.00233218,4,-0.00466436,-52.23667232,4.675616e-05,19.499,14.689,14.689
2mer-0+136,-0.0025281,4,-0.00505619,-52.24172851,4.651702e-05,19.207,14.714,14.714
2mer-0+215,-0.00346834,4,-0.00693668,-52.24866519,4.556939e-05,19.148,14.815,14.815
2mer-0+143,-0.00917032,4,-0.01834064,-52.26700583,4.444464e-05,17.775,14.939,14.939
2mer-0+196,0.00027804,2,0.00027804,-52.26672779,4.429399e-05,16.273,14.956,14.956
2mer-0+166,-0.00808731,4,-0.01617461,-52.2829024,4.362766e-05,18.181,15.032,15.032
2mer-0+161,-0.00850718,2,-0.00850718,-52.29140958,4.233111e-05,18.134,15.184,15.184
2mer-0+135,7.787e-05,2,7.787e-05,-52.29133171,4.146952e-05,20.238,15.288,15.288
2mer-0+233,0.000215,4,0.00043001,-52.2909017,4.138575e-05,18.786,15.299,15.299
2mer-0+125,-0.00274292,4,-0.00548583,-52.29638753,4.049275e-05,19.499,15.41,15.41
2mer-0+273,0.00041159,2,0.00041159,-52.29597595,4.033339e-05,20.099,15.43,15.43
2mer-0+180,-0.00664529,2,-0.00664529,-52.30262123,3.950664e-05,18.803,15.537,15.537
2mer-0+159,-0.00216475,4,-0.00432951,-52.30695074,3.93334e-05,19.97,15.56,15.56
2mer-0+214,0.00154746,4,0.00309493,-52.30385581,3.924758e-05,19.066,15.571,15.571
2mer-0+182,-0.00830547,4,-0.01661094,-52.32046676,3.871885e-05,18.181,15.642,15.642
2mer-0+141,0.00024598,2,0.00024598,-52.32022077,3.83914e-05,20.033,15.686,15.686
2mer-0+150,-0.00675378,4,-0.01350755,-52.33372833,3.8029e-05,18.937,15.736,15.736
2mer-0+144,-0.00406261,2,-0.00406261,-52.33779093,3.734765e-05,20.033,15.831,15.831
2mer-0+148,-0.00513446,4,-0.01026893,-52.34805986,3.716021e-05,19.207,15.858,15.858
2mer-0+211,-2.418e-05,4,-4.835e-05,-52.34810821,3.709499e-05,19.805,15.867,15.867
2mer-0+207,-0.0021884,4,-0.0043768,-52.35248501,3.461759e-05,19.805,16.237,16.237
2mer-0+156,-0.00408702,2,-0.00408702,-52.35657204,3.232156e-05,20.238,16.613,16.613
