N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-3.44096242,4,-6.88192485,-6.88192485,0.009001449,5.986,2.544,2.544
2mer-0+2,-4.4337281,4,-8.8674562,-15.74938104,0.008127517,5.812,2.632,2.632
2mer-0+6,-7.10094294,4,-14.20188589,-29.95126693,0.007702494,5.025,2.68,2.68
2mer-0+16,-1.75239519,2,-1.75239519,-31.70366212,0.001412501,6.81,4.716,4.716
2mer-0+5,-0.24591834,2,-0.24591834,-31.94958045,0.001216975,9.42,4.956,4.956
2mer-0+21,-1.10572474,2,-1.10572474,-33.0553052,0.001144258,7.39,5.059,5.059
2mer-0+12,-0.27795173,4,-0.55590347,-33.61120867,0.001080953,9.402,5.156,5.156
2mer-0+14,-0.37541505,4,-0.7508301,-34.36203876,0.0009506992,9.067,5.382,5.382
2mer-0+37,-0.07165291,2,-0.07165291,-34.43369167,0.0008840221,10.049,5.514,5.514
2mer-0+15,-0.23614534,4,-0.47229068,-34.90598235,0.0006261051,9.067,6.186,6.186
2mer-0+8,-0.10734057,4,-0.21468115,-35.1206635,0.0006236921,10.676,6.194,6.194
2mer-0+10,-0.10827368,4,-0.21654736,-35.33721086,0.0004827827,10.676,6.746,6.746
2mer-0+27,-0.16034496,4,-0.32068992,-35.65790078,0.0003528237,9.402,7.489,7.489
2mer-0+18,-0.03932501,2,-0.03932501,-35.69722579,0.0003523333,11.624,7.492,7.492
2mer-0+22,-0.03842146,2,-0.03842146,-35.73564725,0.0003505125,11.973,7.505,7.505
2mer-0+45,-0.05001733,4,-0.10003465,-35.8356819,0.0002987386,10.863,7.916,7.916
2mer-0+40,-0.10716231,4,-0.21432462,-36.05000653,0.0002902837,11.249,7.992,7.992
2mer-0+60,-0.03174805,4,-0.06349609,-36.11350262,0.0002569059,11.596,8.324,8.324
2mer-0+26,-0.08964469,2,-0.08964469,-36.20314731,0.0002364929,11.624,8.557,8.557
2mer-0+43,-0.00688527,4,-0.01377054,-36.21691784,0.0002333832,12.044,8.595,8.595
2mer-0+59,-0.00975483,4,-0.01950965,-36.2364275,0.0002207595,13.459,8.756,8.756
2mer-0+32,-0.08003888,2,-0.08003888,-36.31646638,0.0002142829,11.973,8.843,8.843
2mer-0+44,-0.0095476,2,-0.0095476,-36.32601398,0.0002040349,13.774,8.989,8.989
2mer-0+39,-0.00766234,2,-0.00766234,-36.33367631,0.0001695377,13.774,9.561,9.561
2mer-0+55,0.04681238,2,0.04681238,-36.28686394,0.0001624869,10.049,9.698,9.698
2mer-0+33,-0.00467556,4,-0.00935112,-36.29621505,0.0001476099,14.534,10.013,10.013
2mer-0+47,-0.03485788,2,-0.03485788,-36.33107293,0.0001472482,13.774,10.021,10.021
2mer-0+34,-0.01479421,4,-0.02958842,-36.36066135,0.0001431179,14.605,10.117,10.117
2mer-0+64,-0.02006681,4,-0.04013362,-36.40079498,0.0001306538,13.836,10.429,10.429
2mer-0+54,-0.00861072,4,-0.01722145,-36.41801643,0.0001303341,14.378,10.437,10.437
2mer-0+58,-0.01316918,4,-0.02633835,-36.44435478,0.0001194838,14.94,10.744,10.744
2mer-0+52,-0.02218626,4,-0.04437252,-36.4887273,0.0001163359,14.378,10.84,10.84
2mer-0+98,-0.03704306,2,-0.03704306,-36.52577036,0.0001145894,13.62,10.895,10.895
2mer-0+77,-0.03154873,4,-0.06309746,-36.58886782,0.0001108473,13.836,11.016,11.016
