N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-6.80933221,4,-13.61866442,-13.61866442,0.009001449,5.986,2.544,2.544
2mer-0+2,-8.9669507,4,-17.9339014,-31.55256582,0.008127517,5.812,2.632,2.632
2mer-0+6,-14.45503092,4,-28.91006184,-60.46262766,0.007702494,5.025,2.68,2.68
2mer-0+16,-2.51161232,2,-2.51161232,-62.97423998,0.001412501,6.81,4.716,4.716
2mer-0+5,-0.32039634,2,-0.32039634,-63.29463632,0.001216975,9.42,4.956,4.956
2mer-0+21,-1.56341554,2,-1.56341554,-64.85805186,0.001144258,7.39,5.059,5.059
2mer-0+12,-0.36830396,4,-0.73660792,-65.59465978,0.001080953,9.402,5.156,5.156
2mer-0+14,-0.51005711,4,-1.02011422,-66.614774,0.0009506992,9.067,5.382,5.382
2mer-0+37,-0.08207786,2,-0.08207786,-66.69685186,0.0008840221,10.049,5.514,5.514
2mer-0+15,-0.32506788,4,-0.65013576,-67.34698762,0.0006261051,9.067,6.186,6.186
2mer-0+8,-0.13974316,4,-0.27948632,-67.62647394,0.0006236921,10.676,6.194,6.194
2mer-0+10,-0.14624723,4,-0.29249446,-67.9189684,0.0004827827,10.676,6.746,6.746
2mer-0+27,-0.22751336,4,-0.45502672,-68.37399512,0.0003528237,9.402,7.489,7.489
2mer-0+18,-0.04914816,2,-0.04914816,-68.42314328,0.0003523333,11.624,7.492,7.492
2mer-0+22,-0.04864201,2,-0.04864201,-68.47178529,0.0003505125,11.973,7.505,7.505
2mer-0+45,-0.067761,4,-0.135522,-68.60730729,0.0002987386,10.863,7.916,7.916
2mer-0+40,-0.14767329,4,-0.29534658,-68.90265387,0.0002902837,11.249,7.992,7.992
2mer-0+60,-0.04343835,4,-0.0868767,-68.98953057,0.0002569059,11.596,8.324,8.324
2mer-0+26,-0.12396289,2,-0.12396289,-69.11349346,0.0002364929,11.624,8.557,8.557
2mer-0+43,-0.00878213,4,-0.01756426,-69.13105772,0.0002333832,12.044,8.595,8.595
2mer-0+59,-0.01168612,4,-0.02337224,-69.15442996,0.0002207595,13.459,8.756,8.756
