N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-5.03270925,4,-10.0654185,-10.0654185,0.009001449,5.986,2.544,2.544
2mer-0+2,-6.75481791,4,-13.50963582,-23.57505432,0.008127517,5.812,2.632,2.632
2mer-0+6,-11.28475687,4,-22.56951374,-46.14456806,0.007702494,5.025,2.68,2.68
2mer-0+16,-2.21145124,2,-2.21145124,-48.3560193,0.001412501,6.81,4.716,4.716
2mer-0+5,-0.27556121,2,-0.27556121,-48.63158051,0.001216975,9.42,4.956,4.956
2mer-0+21,-1.39439178,2,-1.39439178,-50.02597229,0.001144258,7.39,5.059,5.059
2mer-0+12,-0.32264452,4,-0.64528904,-50.67126133,0.001080953,9.402,5.156,5.156
2mer-0+14,-0.45406025,4,-0.9081205,-51.57938183,0.0009506992,9.067,5.382,5.382
2mer-0+37,-0.0570734,2,-0.0570734,-51.63645523,0.0008840221,10.049,5.514,5.514
2mer-0+15,-0.2850859,4,-0.5701718,-52.20662703,0.0006261051,9.067,6.186,6.186
2mer-0+8,-0.12168405,4,-0.2433681,-52.44999513,0.0006236921,10.676,6.194,6.194
2mer-0+10,-0.13028245,4,-0.2605649,-52.71056003,0.0004827827,10.676,6.746,6.746
2mer-0+27,-0.19980705,4,-0.3996141,-53.11017413,0.0003528237,9.402,7.489,7.489
2mer-0+18,-0.03984333,2,-0.03984333,-53.15001746,0.0003523333,11.624,7.492,7.492
2mer-0+22,-0.0409208,2,-0.0409208,-53.19093826,0.0003505125,11.973,7.505,7.505
2mer-0+45,-0.05587062,4,-0.11174124,-53.3026795,0.0002987386,10.863,7.916,7.916
2mer-0+40,-0.13632192,4,-0.27264384,-53.57532334,0.0002902837,11.249,7.992,7.992
2mer-0+60,-0.03541693,4,-0.07083386,-53.6461572,0.0002569059,11.596,8.324,8.324
