N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-22.41424686,2,-22.41424686,-22.41424686,0.01548962,4.966,2.123,2.123
2mer-0+1,-28.52629188,2,-28.52629188,-50.94053874,0.01363123,3.887,2.215,2.215
2mer-0+3,-13.89967996,2,-13.89967996,-64.84021871,0.007481511,5.021,2.706,2.706
2mer-0+23,1.66890054,2,1.66890054,-63.17131817,0.006778146,5.651,2.796,2.796
2mer-0+7,8.33718056,2,8.33718056,-54.83413761,0.006107412,3.631,2.895,2.895
2mer-0+14,-5.34048026,1,-2.67024013,-57.50437774,0.004963174,4.606,3.102,3.102
2mer-0+5,-18.58939939,2,-18.58939939,-76.09377713,0.004000954,3.478,3.333,3.333
2mer-0+4,10.78379289,1,5.39189644,-70.70188069,0.003728561,5.653,3.413,3.413
2mer-0+47,4.18905774,1,2.09452887,-68.60735182,0.003232142,6.977,3.579,3.579
2mer-0+40,-2.0202776,1,-1.0101388,-69.61749062,0.00170911,6.447,4.426,4.426
2mer-0+8,-2.6117855,2,-2.6117855,-72.22927612,0.001679397,6.456,4.452,4.452
2mer-0+21,3.41530591,2,3.41530591,-68.81397021,0.0009520345,6.312,5.379,5.379
2mer-0+18,-4.2633436,2,-4.2633436,-73.07731381,0.0009394291,5.955,5.403,5.403
2mer-0+12,-1.08460652,2,-1.08460652,-74.16192033,0.0009205589,6.533,5.44,5.44
2mer-0+26,2.10125728,2,2.10125728,-72.06066305,0.0008837697,6.628,5.514,5.514
2mer-0+11,-1.1863119,2,-1.1863119,-73.24697495,0.0008487794,7.164,5.589,5.589
2mer-0+13,3.00765851,2,3.00765851,-70.23931644,0.0008268097,7.691,5.638,5.638
2mer-0+19,-0.1652201,2,-0.1652201,-70.40453654,0.000819337,7.22,5.655,5.655
2mer-0+20,1.62517286,1,0.81258643,-69.59195011,0.0008068659,7.233,5.684,5.684
2mer-0+24,-3.70242359,2,-3.70242359,-73.2943737,0.0007779855,7.485,5.754,5.754
2mer-0+33,-3.07380025,2,-3.07380025,-76.36817395,0.0007213813,6.957,5.9,5.9
2mer-0+31,2.94556111,2,2.94556111,-73.42261283,0.0006765307,6.856,6.028,6.028
2mer-0+86,2.41120023,2,2.41120023,-71.01141261,0.0006716518,9.221,6.043,6.043
2mer-0+15,-3.05189416,2,-3.05189416,-74.06330676,0.0006130595,9.147,6.229,6.229
2mer-0+89,2.21480901,2,2.21480901,-71.84849775,0.0006005315,9.382,6.272,6.272
