N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-23.23005063,2,-23.23005063,-23.23005063,0.01548962,4.966,2.123,2.123
2mer-0+1,-28.4775578,2,-28.4775578,-51.70760843,0.01363123,3.887,2.215,2.215
2mer-0+3,-12.73269703,2,-12.73269703,-64.44030546,0.007481511,5.021,2.706,2.706
2mer-0+23,2.78227834,2,2.78227834,-61.65802712,0.006778146,5.651,2.796,2.796
2mer-0+7,7.59105726,2,7.59105726,-54.06696985,0.006107412,3.631,2.895,2.895
2mer-0+14,-3.2495051,1,-1.62475255,-55.6917224,0.004963174,4.606,3.102,3.102
2mer-0+5,-18.16962833,2,-18.16962833,-73.86135074,0.004000954,3.478,3.333,3.333
2mer-0+4,9.36799588,1,4.68399794,-69.1773528,0.003728561,5.653,3.413,3.413
2mer-0+47,4.35702079,1,2.17851039,-66.9988424,0.003232142,6.977,3.579,3.579
2mer-0+40,-1.66982242,1,-0.83491121,-67.83375362,0.00170911,6.447,4.426,4.426
2mer-0+8,-2.43430842,2,-2.43430842,-70.26806203,0.001679397,6.456,4.452,4.452
2mer-0+21,3.32071528,2,3.32071528,-66.94734676,0.0009520345,6.312,5.379,5.379
2mer-0+18,-3.88063133,2,-3.88063133,-70.82797809,0.0009394291,5.955,5.403,5.403
2mer-0+12,-1.06599059,2,-1.06599059,-71.89396868,0.0009205589,6.533,5.44,5.44
2mer-0+26,2.09008283,2,2.09008283,-69.80388585,0.0008837697,6.628,5.514,5.514
2mer-0+11,-1.04564248,2,-1.04564248,-70.84952833,0.0008487794,7.164,5.589,5.589
2mer-0+13,2.85391913,2,2.85391913,-67.9956092,0.0008268097,7.691,5.638,5.638
2mer-0+19,-0.05311188,2,-0.05311188,-68.04872108,0.000819337,7.22,5.655,5.655
2mer-0+20,1.54735568,1,0.77367784,-67.27504324,0.0008068659,7.233,5.684,5.684
2mer-0+24,-3.52699586,2,-3.52699586,-70.8020391,0.0007779855,7.485,5.754,5.754
2mer-0+33,-2.79906047,2,-2.79906047,-73.60109957,0.0007213813,6.957,5.9,5.9
2mer-0+31,2.79924667,2,2.79924667,-70.8018529,0.0006765307,6.856,6.028,6.028
2mer-0+86,2.30321515,2,2.30321515,-68.49863774,0.0006716518,9.221,6.043,6.043
2mer-0+15,-2.93252455,2,-2.93252455,-71.4311623,0.0006130595,9.147,6.229,6.229
2mer-0+89,2.12321114,2,2.12321114,-69.30795116,0.0006005315,9.382,6.272,6.272
2mer-0+25,-2.27099084,2,-2.27099084,-71.57894199,0.0005700966,7.485,6.382,6.382
2mer-0+76,-0.64260515,1,-0.32130258,-71.90024457,0.0005074523,8.308,6.634,6.634
2mer-0+22,-2.7801442,2,-2.7801442,-74.68038877,0.0004665173,9.841,6.823,6.823
2mer-0+44,-0.52194897,2,-0.52194897,-75.20233774,0.0004642979,8.498,6.834,6.834
2mer-0+35,0.55723376,2,0.55723376,-74.64510399,0.000438829,8.876,6.964,6.964
2mer-0+32,0.78572024,2,0.78572024,-73.85938375,0.0004113858,8.498,7.115,7.115
2mer-0+29,-2.2323033,1,-1.11615165,-74.9755354,0.0003995222,7.708,7.185,7.185
2mer-0+132,0.7954175,2,0.7954175,-74.1801179,0.0003839857,10.411,7.281,7.281
2mer-0+36,-0.9317094,2,-0.9317094,-75.1118273,0.0003612383,9.841,7.43,7.43
2mer-0+112,0.29176919,2,0.29176919,-74.82005811,0.0003588837,10.165,7.446,7.446
2mer-0+42,1.26370836,1,0.63185418,-74.18820393,0.0003374442,9.61,7.601,7.601
2mer-0+52,0.56681847,2,0.56681847,-73.62138546,0.0003245923,9.223,7.7,7.7
2mer-0+45,0.32524051,2,0.32524051,-73.29614496,0.0003074243,9.417,7.841,7.841
2mer-0+60,0.68463982,2,0.68463982,-72.61150514,0.0003029356,9.829,7.879,7.879
2mer-0+39,1.85303994,2,1.85303994,-70.7584652,0.0002741718,10.321,8.146,8.146
2mer-0+77,1.02632248,2,1.02632248,-69.73214272,0.0002723382,9.536,8.164,8.164
2mer-0+64,0.3507468,2,0.3507468,-69.38139592,0.0002712522,9.593,8.175,8.175
2mer-0+87,1.38055835,2,1.38055835,-68.00083757,0.0002614774,8.975,8.275,8.275
2mer-0+151,0.62061935,2,0.62061935,-67.38021822,0.0002610363,11.356,8.28,8.28
2mer-0+43,1.55460459,2,1.55460459,-65.82561363,0.0002570093,10.465,8.323,8.323
2mer-0+58,-1.35521856,2,-1.35521856,-67.18083219,0.0002503479,10.147,8.396,8.396
2mer-0+56,-1.0408142,2,-1.0408142,-68.22164639,0.0002496364,9.422,8.404,8.404
2mer-0+49,-1.64184549,2,-1.64184549,-69.86349188,0.0002491625,11.296,8.41,8.41
2mer-0+122,0.08924641,1,0.0446232,-69.81886868,0.0002481694,11.06,8.421,8.421
2mer-0+63,0.36036813,2,0.36036813,-69.45850055,0.0002467958,9.417,8.436,8.436
2mer-0+46,-1.25998777,2,-1.25998777,-70.71848832,0.000244724,11.114,8.46,8.46
2mer-0+67,-1.64974937,1,-0.82487468,-71.543363,0.0002418919,9.034,8.493,8.493
2mer-0+85,-0.8513889,1,-0.42569445,-71.96905745,0.0002341083,9.74,8.586,8.586
2mer-0+65,-0.82980164,1,-0.41490082,-72.38395827,0.0002325735,8.931,8.605,8.605
2mer-0+80,0.76863181,2,0.76863181,-71.61532646,0.0002145658,10.052,8.839,8.839
2mer-0+66,0.48884504,1,0.24442252,-71.37090394,0.0002133107,10.617,8.857,8.857
2mer-0+142,0.3336491,2,0.3336491,-71.03725484,0.0002053821,11.356,8.969,8.969
2mer-0+55,-0.39385851,2,-0.39385851,-71.43111335,0.0002053211,11.431,8.97,8.97
2mer-0+70,1.11610908,2,1.11610908,-70.31500427,0.0001972274,9.536,9.091,9.091
2mer-0+101,-1.16969913,1,-0.58484957,-70.89985384,0.0001958735,10.098,9.112,9.112
2mer-0+61,-0.58575549,1,-0.29287775,-71.19273158,0.0001891119,10.277,9.219,9.219
2mer-0+59,-0.09210754,2,-0.09210754,-71.28483913,0.0001829251,11.114,9.322,9.322
2mer-0+73,-0.63329399,2,-0.63329399,-71.91813312,0.0001781556,11.431,9.404,9.404
2mer-0+130,-0.46209653,2,-0.46209653,-72.38022965,0.0001769152,11.222,9.426,9.426
2mer-0+69,1.02988176,2,1.02988176,-71.35034788,0.0001737361,11.396,9.484,9.484
2mer-0+68,0.50589536,2,0.50589536,-70.84445252,0.0001707569,10.57,9.538,9.538
2mer-0+72,0.12615113,2,0.12615113,-70.71830139,0.0001696131,11.296,9.56,9.56
2mer-0+96,0.49104877,2,0.49104877,-70.22725262,0.0001554732,11.301,9.841,9.841
2mer-0+83,-0.7954622,2,-0.7954622,-71.02271482,0.0001531328,10.301,9.891,9.891
2mer-0+205,0.13307675,1,0.06653838,-70.95617645,0.0001530682,12.806,9.893,9.893
2mer-0+106,-0.80554057,2,-0.80554057,-71.76171702,0.0001509255,11.105,9.939,9.939
2mer-0+119,0.31678931,2,0.31678931,-71.4449277,0.000150405,10.931,9.951,9.951
