N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-22.56888335,2,-22.56888335,-22.56888335,0.01548962,4.966,2.123,2.123
2mer-0+1,-27.72499353,2,-27.72499353,-50.29387688,0.01363123,3.887,2.215,2.215
2mer-0+3,-12.451115,2,-12.451115,-62.74499188,0.007481511,5.021,2.706,2.706
2mer-0+23,2.90444995,2,2.90444995,-59.84054193,0.006778146,5.651,2.796,2.796
2mer-0+7,8.78876438,2,8.78876438,-51.05177755,0.006107412,3.631,2.895,2.895
2mer-0+14,-2.93113475,1,-1.46556738,-52.51734493,0.004963174,4.606,3.102,3.102
2mer-0+5,-17.35689257,2,-17.35689257,-69.87423751,0.004000954,3.478,3.333,3.333
2mer-0+4,9.8092466,1,4.9046233,-64.96961421,0.003728561,5.653,3.413,3.413
2mer-0+47,4.41813766,1,2.20906883,-62.76054538,0.003232142,6.977,3.579,3.579
2mer-0+40,-1.67437979,1,-0.83718989,-63.59773527,0.00170911,6.447,4.426,4.426
2mer-0+8,-2.37664956,2,-2.37664956,-65.97438483,0.001679397,6.456,4.452,4.452
2mer-0+21,3.40370307,2,3.40370307,-62.57068176,0.0009520345,6.312,5.379,5.379
2mer-0+18,-3.86814573,2,-3.86814573,-66.43882749,0.0009394291,5.955,5.403,5.403
2mer-0+12,-0.99028128,2,-0.99028128,-67.42910877,0.0009205589,6.533,5.44,5.44
2mer-0+26,2.14431098,2,2.14431098,-65.28479778,0.0008837697,6.628,5.514,5.514
2mer-0+11,-1.03847605,2,-1.03847605,-66.32327383,0.0008487794,7.164,5.589,5.589
2mer-0+13,2.91010968,2,2.91010968,-63.41316415,0.0008268097,7.691,5.638,5.638
2mer-0+19,-0.04086894,2,-0.04086894,-63.45403308,0.000819337,7.22,5.655,5.655
2mer-0+20,1.61116542,1,0.80558271,-62.64845037,0.0008068659,7.233,5.684,5.684
2mer-0+24,-3.53581256,2,-3.53581256,-66.18426293,0.0007779855,7.485,5.754,5.754
2mer-0+33,-2.81928312,2,-2.81928312,-69.00354605,0.0007213813,6.957,5.9,5.9
2mer-0+31,2.86009883,2,2.86009883,-66.14344722,0.0006765307,6.856,6.028,6.028
2mer-0+86,2.33627125,2,2.33627125,-63.80717598,0.0006716518,9.221,6.043,6.043
2mer-0+15,-2.9444903,2,-2.9444903,-66.75166628,0.0006130595,9.147,6.229,6.229
2mer-0+89,2.15298389,2,2.15298389,-64.59868239,0.0006005315,9.382,6.272,6.272
2mer-0+25,-2.28468388,2,-2.28468388,-66.88336626,0.0005700966,7.485,6.382,6.382
2mer-0+76,-0.63373431,1,-0.31686716,-67.20023342,0.0005074523,8.308,6.634,6.634
2mer-0+22,-2.7933368,2,-2.7933368,-69.99357022,0.0004665173,9.841,6.823,6.823
2mer-0+44,-0.51873333,2,-0.51873333,-70.51230355,0.0004642979,8.498,6.834,6.834
2mer-0+35,0.56407651,2,0.56407651,-69.94822704,0.000438829,8.876,6.964,6.964
2mer-0+32,0.79106144,2,0.79106144,-69.1571656,0.0004113858,8.498,7.115,7.115
2mer-0+29,-2.22389692,1,-1.11194846,-70.26911406,0.0003995222,7.708,7.185,7.185
2mer-0+132,0.80606689,2,0.80606689,-69.46304717,0.0003839857,10.411,7.281,7.281
2mer-0+36,-0.93616318,2,-0.93616318,-70.39921036,0.0003612383,9.841,7.43,7.43
2mer-0+112,0.29630884,2,0.29630884,-70.10290151,0.0003588837,10.165,7.446,7.446
2mer-0+42,1.28088336,1,0.64044168,-69.46245983,0.0003374442,9.61,7.601,7.601
2mer-0+52,0.57799892,2,0.57799892,-68.88446091,0.0003245923,9.223,7.7,7.7
2mer-0+45,0.33384666,2,0.33384666,-68.55061425,0.0003074243,9.417,7.841,7.841
2mer-0+60,0.69225364,2,0.69225364,-67.85836061,0.0003029356,9.829,7.879,7.879
2mer-0+39,1.86757095,2,1.86757095,-65.99078966,0.0002741718,10.321,8.146,8.146
2mer-0+77,1.03792269,2,1.03792269,-64.95286697,0.0002723382,9.536,8.164,8.164
2mer-0+64,0.3554858,2,0.3554858,-64.59738117,0.0002712522,9.593,8.175,8.175
2mer-0+87,1.39974167,2,1.39974167,-63.1976395,0.0002614774,8.975,8.275,8.275
