N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-20.22740189,2,-20.22740189,-20.22740189,0.01548962,4.966,2.123,2.123
2mer-0+1,-24.87372291,2,-24.87372291,-45.10112481,0.01363123,3.887,2.215,2.215
2mer-0+3,-10.47047698,2,-10.47047698,-55.57160178,0.007481511,5.021,2.706,2.706
2mer-0+23,3.29630562,2,3.29630562,-52.27529616,0.006778146,5.651,2.796,2.796
2mer-0+7,10.96863784,2,10.96863784,-41.30665832,0.006107412,3.631,2.895,2.895
2mer-0+14,-1.22161978,1,-0.61080989,-41.91746821,0.004963174,4.606,3.102,3.102
2mer-0+5,-14.84985384,2,-14.84985384,-56.76732205,0.004000954,3.478,3.333,3.333
2mer-0+4,10.54146265,1,5.27073133,-51.49659073,0.003728561,5.653,3.413,3.413
2mer-0+47,4.37268465,1,2.18634232,-49.3102484,0.003232142,6.977,3.579,3.579
2mer-0+40,-1.55982479,1,-0.7799124,-50.0901608,0.00170911,6.447,4.426,4.426
2mer-0+8,-2.2506989,2,-2.2506989,-52.3408597,0.001679397,6.456,4.452,4.452
2mer-0+21,3.44489495,2,3.44489495,-48.89596475,0.0009520345,6.312,5.379,5.379
2mer-0+18,-3.68551889,2,-3.68551889,-52.58148364,0.0009394291,5.955,5.403,5.403
2mer-0+12,-0.90893913,2,-0.90893913,-53.49042276,0.0009205589,6.533,5.44,5.44
2mer-0+26,2.19219934,2,2.19219934,-51.29822343,0.0008837697,6.628,5.514,5.514
2mer-0+11,-0.98593137,2,-0.98593137,-52.2841548,0.0008487794,7.164,5.589,5.589
2mer-0+13,2.90224482,2,2.90224482,-49.38190998,0.0008268097,7.691,5.638,5.638
2mer-0+19,0.00970129,2,0.00970129,-49.37220869,0.000819337,7.22,5.655,5.655
2mer-0+20,1.65585648,1,0.82792824,-48.54428045,0.0008068659,7.233,5.684,5.684
2mer-0+24,-3.45177414,2,-3.45177414,-51.99605459,0.0007779855,7.485,5.754,5.754
2mer-0+33,-2.68503293,2,-2.68503293,-54.68108753,0.0007213813,6.957,5.9,5.9
2mer-0+31,2.83237106,2,2.83237106,-51.84871647,0.0006765307,6.856,6.028,6.028
2mer-0+86,2.29927577,2,2.29927577,-49.5494407,0.0006716518,9.221,6.043,6.043
2mer-0+15,-2.89536827,2,-2.89536827,-52.44480896,0.0006130595,9.147,6.229,6.229
2mer-0+89,2.13373984,2,2.13373984,-50.31106912,0.0006005315,9.382,6.272,6.272
2mer-0+25,-2.20048296,2,-2.20048296,-52.51155207,0.0005700966,7.485,6.382,6.382
2mer-0+76,-0.63231164,1,-0.31615582,-52.82770789,0.0005074523,8.308,6.634,6.634
2mer-0+22,-2.73874728,2,-2.73874728,-55.56645518,0.0004665173,9.841,6.823,6.823
2mer-0+44,-0.51231047,2,-0.51231047,-56.07876565,0.0004642979,8.498,6.834,6.834
2mer-0+35,0.57798551,2,0.57798551,-55.50078013,0.000438829,8.876,6.964,6.964
2mer-0+32,0.82065774,2,0.82065774,-54.68012239,0.0004113858,8.498,7.115,7.115
2mer-0+29,-2.17142182,1,-1.08571091,-55.76583331,0.0003995222,7.708,7.185,7.185
2mer-0+132,0.77560495,2,0.77560495,-54.99022836,0.0003839857,10.411,7.281,7.281
2mer-0+36,-0.92400558,2,-0.92400558,-55.91423394,0.0003612383,9.841,7.43,7.43
2mer-0+112,0.28629579,2,0.28629579,-55.62793815,0.0003588837,10.165,7.446,7.446
2mer-0+42,1.25130188,1,0.62565094,-55.0022872,0.0003374442,9.61,7.601,7.601
2mer-0+52,0.57772887,2,0.57772887,-54.42455834,0.0003245923,9.223,7.7,7.7
2mer-0+45,0.35591973,2,0.35591973,-54.06863861,0.0003074243,9.417,7.841,7.841
2mer-0+60,0.68525103,2,0.68525103,-53.38338758,0.0003029356,9.829,7.879,7.879
2mer-0+39,1.85240323,2,1.85240323,-51.53098435,0.0002741718,10.321,8.146,8.146
2mer-0+77,1.02214108,2,1.02214108,-50.50884327,0.0002723382,9.536,8.164,8.164
2mer-0+64,0.36231813,2,0.36231813,-50.14652514,0.0002712522,9.593,8.175,8.175
2mer-0+87,1.37787753,2,1.37787753,-48.76864761,0.0002614774,8.975,8.275,8.275
2mer-0+151,0.61639608,2,0.61639608,-48.15225153,0.0002610363,11.356,8.28,8.28
2mer-0+43,1.54993146,2,1.54993146,-46.60232006,0.0002570093,10.465,8.323,8.323
2mer-0+58,-1.33485842,2,-1.33485842,-47.93717849,0.0002503479,10.147,8.396,8.396
2mer-0+56,-1.03645146,2,-1.03645146,-48.97362995,0.0002496364,9.422,8.404,8.404
2mer-0+49,-1.61532695,2,-1.61532695,-50.5889569,0.0002491625,11.296,8.41,8.41
2mer-0+122,0.10428477,1,0.05214239,-50.53681451,0.0002481694,11.06,8.421,8.421
2mer-0+63,0.34899169,2,0.34899169,-50.18782282,0.0002467958,9.417,8.436,8.436
2mer-0+46,-1.24899523,2,-1.24899523,-51.43681805,0.000244724,11.114,8.46,8.46
2mer-0+67,-1.62321876,1,-0.81160938,-52.24842743,0.0002418919,9.034,8.493,8.493
2mer-0+85,-0.81455302,1,-0.40727651,-52.65570394,0.0002341083,9.74,8.586,8.586
2mer-0+65,-0.79706805,1,-0.39853402,-53.05423796,0.0002325735,8.931,8.605,8.605
2mer-0+80,0.77269629,2,0.77269629,-52.28154167,0.0002145658,10.052,8.839,8.839
2mer-0+66,0.4946731,1,0.24733655,-52.03420512,0.0002133107,10.617,8.857,8.857
2mer-0+142,0.34139943,2,0.34139943,-51.69280569,0.0002053821,11.356,8.969,8.969
2mer-0+55,-0.37590636,2,-0.37590636,-52.06871205,0.0002053211,11.431,8.97,8.97
2mer-0+70,1.12457192,2,1.12457192,-50.94414013,0.0001972274,9.536,9.091,9.091
2mer-0+101,-1.15242869,1,-0.57621435,-51.52035448,0.0001958735,10.098,9.112,9.112
2mer-0+61,-0.59049398,1,-0.29524699,-51.81560147,0.0001891119,10.277,9.219,9.219
2mer-0+59,-0.09933126,2,-0.09933126,-51.91493273,0.0001829251,11.114,9.322,9.322
2mer-0+73,-0.64265037,2,-0.64265037,-52.5575831,0.0001781556,11.431,9.404,9.404
2mer-0+130,-0.45436652,2,-0.45436652,-53.01194962,0.0001769152,11.222,9.426,9.426
2mer-0+69,1.03476893,2,1.03476893,-51.97718069,0.0001737361,11.396,9.484,9.484
2mer-0+68,0.50048332,2,0.50048332,-51.47669737,0.0001707569,10.57,9.538,9.538
2mer-0+72,0.12146862,2,0.12146862,-51.35522875,0.0001696131,11.296,9.56,9.56
2mer-0+96,0.49760804,2,0.49760804,-50.85762071,0.0001554732,11.301,9.841,9.841
2mer-0+83,-0.79142564,2,-0.79142564,-51.64904635,0.0001531328,10.301,9.891,9.891
2mer-0+205,0.12726417,1,0.06363208,-51.58541426,0.0001530682,12.806,9.893,9.893
2mer-0+106,-0.79334616,2,-0.79334616,-52.37876042,0.0001509255,11.105,9.939,9.939
2mer-0+119,0.31717229,2,0.31717229,-52.06158813,0.000150405,10.931,9.951,9.951
2mer-0+251,0.75220412,1,0.37610206,-51.68548607,0.0001467373,13.334,10.033,10.033
2mer-0+93,-0.84124403,2,-0.84124403,-52.52673009,0.0001466693,10.68,10.034,10.034
2mer-0+134,0.52688634,2,0.52688634,-51.99984375,0.0001354692,11.984,10.304,10.304
2mer-0+270,0.81096302,2,0.81096302,-51.18888073,0.00013513,13.73,10.312,10.312
2mer-0+196,0.34443472,2,0.34443472,-50.84444601,0.0001324957,12.716,10.38,10.38
2mer-0+133,0.20548471,2,0.20548471,-50.6389613,0.0001314476,11.984,10.408,10.408
2mer-0+110,-0.34872594,2,-0.34872594,-50.98768724,0.0001304406,12.815,10.434,10.434
2mer-0+105,-0.67565018,2,-0.67565018,-51.66333742,0.0001282648,13.214,10.493,10.493
2mer-0+84,0.56124819,2,0.56124819,-51.10208923,0.0001279489,12.266,10.502,10.502
