N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-23.4094998,2,-23.4094998,-23.4094998,0.01548962,4.966,2.123,2.123
2mer-0+1,-28.14428107,2,-28.14428107,-51.55378087,0.01363123,3.887,2.215,2.215
2mer-0+3,-12.66019906,2,-12.66019906,-64.21397992,0.007481511,5.021,2.706,2.706
2mer-0+23,2.84509803,2,2.84509803,-61.36888189,0.006778146,5.651,2.796,2.796
2mer-0+7,8.59138495,2,8.59138495,-52.77749694,0.006107412,3.631,2.895,2.895
2mer-0+14,-2.90253234,1,-1.45126617,-54.22876311,0.004963174,4.606,3.102,3.102
2mer-0+5,-17.12286182,2,-17.12286182,-71.35162493,0.004000954,3.478,3.333,3.333
2mer-0+4,9.33048785,1,4.66524393,-66.68638101,0.003728561,5.653,3.413,3.413
2mer-0+47,4.36300489,1,2.18150244,-64.50487856,0.003232142,6.977,3.579,3.579
2mer-0+40,-1.64297217,1,-0.82148609,-65.32636465,0.00170911,6.447,4.426,4.426
2mer-0+8,-2.41716486,2,-2.41716486,-67.74352951,0.001679397,6.456,4.452,4.452
2mer-0+21,3.34592933,2,3.34592933,-64.39760018,0.0009520345,6.312,5.379,5.379
2mer-0+18,-3.84168185,2,-3.84168185,-68.23928203,0.0009394291,5.955,5.403,5.403
2mer-0+12,-1.048515,2,-1.048515,-69.28779702,0.0009205589,6.533,5.44,5.44
2mer-0+26,2.11008624,2,2.11008624,-67.17771078,0.0008837697,6.628,5.514,5.514
2mer-0+11,-1.03448337,2,-1.03448337,-68.21219415,0.0008487794,7.164,5.589,5.589
2mer-0+13,2.85804967,2,2.85804967,-65.35414448,0.0008268097,7.691,5.638,5.638
2mer-0+19,-0.03906017,2,-0.03906017,-65.39320466,0.000819337,7.22,5.655,5.655
2mer-0+20,1.55577552,1,0.77788776,-64.6153169,0.0008068659,7.233,5.684,5.684
2mer-0+24,-3.51899569,2,-3.51899569,-68.13431258,0.0007779855,7.485,5.754,5.754
2mer-0+33,-2.78409967,2,-2.78409967,-70.91841226,0.0007213813,6.957,5.9,5.9
2mer-0+31,2.81493196,2,2.81493196,-68.1034803,0.0006765307,6.856,6.028,6.028
2mer-0+86,2.30567703,2,2.30567703,-65.79780327,0.0006716518,9.221,6.043,6.043
2mer-0+15,-2.93060487,2,-2.93060487,-68.72840815,0.0006130595,9.147,6.229,6.229
2mer-0+89,2.12550655,2,2.12550655,-66.6029016,0.0006005315,9.382,6.272,6.272
2mer-0+25,-2.26190592,2,-2.26190592,-68.86480751,0.0005700966,7.485,6.382,6.382
2mer-0+76,-0.63595876,1,-0.31797938,-69.18278689,0.0005074523,8.308,6.634,6.634
2mer-0+22,-2.77888162,2,-2.77888162,-71.96166851,0.0004665173,9.841,6.823,6.823
2mer-0+44,-0.51776808,2,-0.51776808,-72.47943659,0.0004642979,8.498,6.834,6.834
2mer-0+35,0.56036122,2,0.56036122,-71.91907537,0.000438829,8.876,6.964,6.964
2mer-0+32,0.79003009,2,0.79003009,-71.12904528,0.0004113858,8.498,7.115,7.115
2mer-0+29,-2.22554139,1,-1.11277069,-72.24181597,0.0003995222,7.708,7.185,7.185
2mer-0+132,0.7967371,2,0.7967371,-71.44507887,0.0003839857,10.411,7.281,7.281
2mer-0+36,-0.93016157,2,-0.93016157,-72.37524043,0.0003612383,9.841,7.43,7.43
2mer-0+112,0.29335957,2,0.29335957,-72.08188086,0.0003588837,10.165,7.446,7.446
2mer-0+42,1.26511743,1,0.63255872,-71.44932215,0.0003374442,9.61,7.601,7.601
2mer-0+52,0.56902673,2,0.56902673,-70.88029541,0.0003245923,9.223,7.7,7.7
2mer-0+45,0.32728225,2,0.32728225,-70.55301316,0.0003074243,9.417,7.841,7.841
2mer-0+60,0.68648916,2,0.68648916,-69.866524,0.0003029356,9.829,7.879,7.879
2mer-0+39,1.85393592,2,1.85393592,-68.01258808,0.0002741718,10.321,8.146,8.146
2mer-0+77,1.02827972,2,1.02827972,-66.98430836,0.0002723382,9.536,8.164,8.164
2mer-0+64,0.35270784,2,0.35270784,-66.63160053,0.0002712522,9.593,8.175,8.175
2mer-0+87,1.38360686,2,1.38360686,-65.24799367,0.0002614774,8.975,8.275,8.275
2mer-0+151,0.62136801,2,0.62136801,-64.62662565,0.0002610363,11.356,8.28,8.28
2mer-0+43,1.55544022,2,1.55544022,-63.07118543,0.0002570093,10.465,8.323,8.323
2mer-0+58,-1.35389792,2,-1.35389792,-64.42508335,0.0002503479,10.147,8.396,8.396
2mer-0+56,-1.0387461,2,-1.0387461,-65.46382945,0.0002496364,9.422,8.404,8.404
2mer-0+49,-1.64121878,2,-1.64121878,-67.10504823,0.0002491625,11.296,8.41,8.41
2mer-0+122,0.09009109,1,0.04504555,-67.06000268,0.0002481694,11.06,8.421,8.421
2mer-0+63,0.3624402,2,0.3624402,-66.69756248,0.0002467958,9.417,8.436,8.436
2mer-0+46,-1.25927834,2,-1.25927834,-67.95684082,0.000244724,11.114,8.46,8.46
2mer-0+67,-1.6469612,1,-0.8234806,-68.78032142,0.0002418919,9.034,8.493,8.493
2mer-0+85,-0.84953124,1,-0.42476562,-69.20508704,0.0002341083,9.74,8.586,8.586
2mer-0+65,-0.82688802,1,-0.41344401,-69.61853105,0.0002325735,8.931,8.605,8.605
2mer-0+80,0.77011058,2,0.77011058,-68.84842047,0.0002145658,10.052,8.839,8.839
2mer-0+66,0.48969943,1,0.24484971,-68.60357076,0.0002133107,10.617,8.857,8.857
2mer-0+142,0.33444147,2,0.33444147,-68.26912929,0.0002053821,11.356,8.969,8.969
2mer-0+55,-0.39321945,2,-0.39321945,-68.66234874,0.0002053211,11.431,8.97,8.97
2mer-0+70,1.11820189,2,1.11820189,-67.54414685,0.0001972274,9.536,9.091,9.091
2mer-0+101,-1.16830041,1,-0.58415021,-68.12829706,0.0001958735,10.098,9.112,9.112
2mer-0+61,-0.58464491,1,-0.29232245,-68.42061951,0.0001891119,10.277,9.219,9.219
2mer-0+59,-0.09134381,2,-0.09134381,-68.51196332,0.0001829251,11.114,9.322,9.322
2mer-0+73,-0.63264908,2,-0.63264908,-69.1446124,0.0001781556,11.431,9.404,9.404
2mer-0+130,-0.46129132,2,-0.46129132,-69.60590372,0.0001769152,11.222,9.426,9.426
2mer-0+69,1.0304366,2,1.0304366,-68.57546712,0.0001737361,11.396,9.484,9.484
2mer-0+68,0.50688633,2,0.50688633,-68.06858079,0.0001707569,10.57,9.538,9.538
2mer-0+72,0.12685098,2,0.12685098,-67.94172982,0.0001696131,11.296,9.56,9.56
2mer-0+96,0.49174648,2,0.49174648,-67.44998334,0.0001554732,11.301,9.841,9.841
2mer-0+83,-0.79421949,2,-0.79421949,-68.24420282,0.0001531328,10.301,9.891,9.891
2mer-0+205,0.13344521,1,0.0667226,-68.17748022,0.0001530682,12.806,9.893,9.893
2mer-0+106,-0.80474517,2,-0.80474517,-68.98222539,0.0001509255,11.105,9.939,9.939
2mer-0+119,0.31774945,2,0.31774945,-68.66447594,0.000150405,10.931,9.951,9.951
2mer-0+251,0.74958431,1,0.37479216,-68.28968378,0.0001467373,13.334,10.033,10.033
2mer-0+93,-0.85660164,2,-0.85660164,-69.14628542,0.0001466693,10.68,10.034,10.034
2mer-0+134,0.52813053,2,0.52813053,-68.61815489,0.0001354692,11.984,10.304,10.304
2mer-0+270,0.81621881,2,0.81621881,-67.80193608,0.00013513,13.73,10.312,10.312
2mer-0+196,0.3347792,2,0.3347792,-67.46715688,0.0001324957,12.716,10.38,10.38
2mer-0+133,0.20828737,2,0.20828737,-67.25886951,0.0001314476,11.984,10.408,10.408
2mer-0+110,-0.3560621,2,-0.3560621,-67.61493161,0.0001304406,12.815,10.434,10.434
2mer-0+105,-0.67785833,2,-0.67785833,-68.29278994,0.0001282648,13.214,10.493,10.493
2mer-0+84,0.56116409,2,0.56116409,-67.73162585,0.0001279489,12.266,10.502,10.502
2mer-0+88,0.41588702,2,0.41588702,-67.31573883,0.0001279489,12.266,10.502,10.502
2mer-0+301,0.48924754,1,0.24462377,-67.07111506,0.0001273627,14.077,10.518,10.518
2mer-0+203,0.0799821,2,0.0799821,-66.99113297,0.0001224105,13.262,10.658,10.658
2mer-0+91,-0.41227634,2,-0.41227634,-67.40340931,0.000119013,13.214,10.758,10.758
2mer-0+97,-0.80484699,1,-0.40242349,-67.8058328,0.0001165727,11.536,10.833,10.833
2mer-0+128,-0.04858051,2,-0.04858051,-67.85441331,0.0001163013,12.815,10.841,10.841
2mer-0+92,-0.89811734,2,-0.89811734,-68.75253065,0.0001161777,13.856,10.845,10.845
2mer-0+108,-0.6532746,2,-0.6532746,-69.40580525,0.0001149543,13.591,10.883,10.883
2mer-0+123,0.50336717,2,0.50336717,-68.90243808,0.0001148251,12.084,10.887,10.887
2mer-0+221,0.12076894,2,0.12076894,-68.78166914,0.0001137426,13.38,10.922,10.922
2mer-0+150,-0.62116671,2,-0.62116671,-69.40283585,0.000113447,12.249,10.931,10.931
2mer-0+146,0.37964212,2,0.37964212,-69.02319373,0.0001104967,12.346,11.028,11.028
2mer-0+121,0.22897492,2,0.22897492,-68.79421881,0.0001101729,12.786,11.038,11.038
2mer-0+143,-0.63798706,2,-0.63798706,-69.43220587,0.0001099922,11.934,11.045,11.045
2mer-0+98,-0.84420144,2,-0.84420144,-70.27640731,0.0001098664,13.876,11.049,11.049
2mer-0+167,0.35578231,2,0.35578231,-69.92062501,0.0001093609,12.94,11.066,11.066
2mer-0+337,0.84258672,1,0.42129336,-69.49933165,0.0001085824,14.327,11.092,11.092
2mer-0+210,-0.51624389,1,-0.25812194,-69.75745359,0.0001078822,12.487,11.116,11.116
