N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-26.33974375,2,-26.33974375,-26.33974375,0.01548962,4.966,2.123,2.123
2mer-0+1,-31.43423497,2,-31.43423497,-57.77397872,0.01363123,3.887,2.215,2.215
2mer-0+3,-14.8498547,2,-14.8498547,-72.62383342,0.007481511,5.021,2.706,2.706
2mer-0+23,1.6314261,2,1.6314261,-70.99240732,0.006778146,5.651,2.796,2.796
2mer-0+7,7.03784126,2,7.03784126,-63.95456606,0.006107412,3.631,2.895,2.895
2mer-0+14,-5.87858034,1,-2.93929017,-66.89385623,0.004963174,4.606,3.102,3.102
2mer-0+5,-19.92409728,2,-19.92409728,-86.81795351,0.004000954,3.478,3.333,3.333
2mer-0+4,9.38417544,1,4.69208772,-82.12586579,0.003728561,5.653,3.413,3.413
2mer-0+47,4.29015024,1,2.14507512,-79.98079067,0.003232142,6.977,3.579,3.579
2mer-0+40,-1.96461921,1,-0.98230961,-80.96310028,0.00170911,6.447,4.426,4.426
2mer-0+8,-2.54791326,2,-2.54791326,-83.51101354,0.001679397,6.456,4.452,4.452
2mer-0+21,3.43938056,2,3.43938056,-80.07163297,0.0009520345,6.312,5.379,5.379
2mer-0+18,-4.18137546,2,-4.18137546,-84.25300844,0.0009394291,5.955,5.403,5.403
2mer-0+12,-1.03757407,2,-1.03757407,-85.29058251,0.0009205589,6.533,5.44,5.44
2mer-0+26,2.13320136,2,2.13320136,-83.15738115,0.0008837697,6.628,5.514,5.514
2mer-0+11,-1.14625509,2,-1.14625509,-84.30363624,0.0008487794,7.164,5.589,5.589
2mer-0+13,3.00550795,2,3.00550795,-81.29812829,0.0008268097,7.691,5.638,5.638
2mer-0+19,-0.13198866,2,-0.13198866,-81.43011696,0.000819337,7.22,5.655,5.655
2mer-0+20,1.64187934,1,0.82093967,-80.60917728,0.0008068659,7.233,5.684,5.684
2mer-0+24,-3.66567788,2,-3.66567788,-84.27485516,0.0007779855,7.485,5.754,5.754
2mer-0+33,-3.04148217,2,-3.04148217,-87.31633733,0.0007213813,6.957,5.9,5.9
2mer-0+31,2.95944665,2,2.95944665,-84.35689068,0.0006765307,6.856,6.028,6.028
2mer-0+86,2.41894914,2,2.41894914,-81.93794155,0.0006716518,9.221,6.043,6.043
2mer-0+15,-3.03043059,2,-3.03043059,-84.96837214,0.0006130595,9.147,6.229,6.229
2mer-0+89,2.2200117,2,2.2200117,-82.74836044,0.0006005315,9.382,6.272,6.272
2mer-0+25,-2.44394767,2,-2.44394767,-85.19230811,0.0005700966,7.485,6.382,6.382
2mer-0+76,-0.62824046,1,-0.31412023,-85.50642834,0.0005074523,8.308,6.634,6.634
2mer-0+22,-2.88917279,2,-2.88917279,-88.39560113,0.0004665173,9.841,6.823,6.823
2mer-0+44,-0.52865412,2,-0.52865412,-88.92425524,0.0004642979,8.498,6.834,6.834
2mer-0+35,0.55548309,2,0.55548309,-88.36877215,0.000438829,8.876,6.964,6.964
2mer-0+32,0.75276826,2,0.75276826,-87.6160039,0.0004113858,8.498,7.115,7.115
2mer-0+29,-2.28364567,1,-1.14182284,-88.75782673,0.0003995222,7.708,7.185,7.185
2mer-0+132,0.84482995,2,0.84482995,-87.91299679,0.0003839857,10.411,7.281,7.281
2mer-0+36,-0.95110376,2,-0.95110376,-88.86410055,0.0003612383,9.841,7.43,7.43
2mer-0+112,0.31501274,2,0.31501274,-88.5490878,0.0003588837,10.165,7.446,7.446
2mer-0+42,1.34409448,1,0.67204724,-87.87704056,0.0003374442,9.61,7.601,7.601
2mer-0+52,0.60462677,2,0.60462677,-87.27241379,0.0003245923,9.223,7.7,7.7
2mer-0+45,0.33730902,2,0.33730902,-86.93510478,0.0003074243,9.417,7.841,7.841
2mer-0+60,0.70906022,2,0.70906022,-86.22604456,0.0003029356,9.829,7.879,7.879
2mer-0+39,1.92080312,2,1.92080312,-84.30524144,0.0002741718,10.321,8.146,8.146
2mer-0+77,1.06585566,2,1.06585566,-83.23938578,0.0002723382,9.536,8.164,8.164
2mer-0+64,0.35308798,2,0.35308798,-82.88629781,0.0002712522,9.593,8.175,8.175
2mer-0+87,1.44908931,2,1.44908931,-81.4372085,0.0002614774,8.975,8.275,8.275
2mer-0+151,0.63410246,2,0.63410246,-80.80310604,0.0002610363,11.356,8.28,8.28
2mer-0+43,1.61860744,2,1.61860744,-79.1844986,0.0002570093,10.465,8.323,8.323
2mer-0+58,-1.41754689,2,-1.41754689,-80.60204548,0.0002503479,10.147,8.396,8.396
2mer-0+56,-1.09343447,2,-1.09343447,-81.69547995,0.0002496364,9.422,8.404,8.404
2mer-0+49,-1.7180082,2,-1.7180082,-83.41348815,0.0002491625,11.296,8.41,8.41
2mer-0+122,0.06602694,1,0.03301347,-83.38047468,0.0002481694,11.06,8.421,8.421
2mer-0+63,0.3731025,2,0.3731025,-83.00737218,0.0002467958,9.417,8.436,8.436
2mer-0+46,-1.31155653,2,-1.31155653,-84.31892872,0.000244724,11.114,8.46,8.46
2mer-0+67,-1.73814495,1,-0.86907247,-85.18800119,0.0002418919,9.034,8.493,8.493
2mer-0+85,-0.91654913,1,-0.45827456,-85.64627576,0.0002341083,9.74,8.586,8.586
2mer-0+65,-0.89092844,1,-0.44546422,-86.09173998,0.0002325735,8.931,8.605,8.605
2mer-0+80,0.79173402,2,0.79173402,-85.30000596,0.0002145658,10.052,8.839,8.839
2mer-0+66,0.53204937,1,0.26602468,-85.03398128,0.0002133107,10.617,8.857,8.857
2mer-0+142,0.35624851,2,0.35624851,-84.67773277,0.0002053821,11.356,8.969,8.969
2mer-0+55,-0.41476785,2,-0.41476785,-85.09250062,0.0002053211,11.431,8.97,8.97
2mer-0+70,1.16437558,2,1.16437558,-83.92812504,0.0001972274,9.536,9.091,9.091
2mer-0+101,-1.23081825,1,-0.61540913,-84.54353417,0.0001958735,10.098,9.112,9.112
2mer-0+61,-0.57938925,1,-0.28969462,-84.8332288,0.0001891119,10.277,9.219,9.219
2mer-0+59,-0.09971377,2,-0.09971377,-84.93294257,0.0001829251,11.114,9.322,9.322
2mer-0+73,-0.65470361,2,-0.65470361,-85.58764618,0.0001781556,11.431,9.404,9.404
2mer-0+130,-0.49391311,2,-0.49391311,-86.0815593,0.0001769152,11.222,9.426,9.426
2mer-0+69,1.06824348,2,1.06824348,-85.01331582,0.0001737361,11.396,9.484,9.484
2mer-0+68,0.52843944,2,0.52843944,-84.48487637,0.0001707569,10.57,9.538,9.538
2mer-0+72,0.14017429,2,0.14017429,-84.34470209,0.0001696131,11.296,9.56,9.56
2mer-0+96,0.51328376,2,0.51328376,-83.83141833,0.0001554732,11.301,9.841,9.841
2mer-0+83,-0.82539648,2,-0.82539648,-84.65681481,0.0001531328,10.301,9.891,9.891
2mer-0+205,0.14236076,1,0.07118038,-84.58563443,0.0001530682,12.806,9.893,9.893
2mer-0+106,-0.85084506,2,-0.85084506,-85.43647949,0.0001509255,11.105,9.939,9.939
