N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-24.52748283,2,-24.52748283,-24.52748283,0.01548962,4.966,2.123,2.123
2mer-0+1,-29.81085252,2,-29.81085252,-54.33833535,0.01363123,3.887,2.215,2.215
2mer-0+3,-12.84861356,2,-12.84861356,-67.18694891,0.007481511,5.021,2.706,2.706
2mer-0+23,3.71068757,2,3.71068757,-63.47626134,0.006778146,5.651,2.796,2.796
2mer-0+7,11.41748982,2,11.41748982,-52.05877152,0.006107412,3.631,2.895,2.895
2mer-0+14,-1.50296945,1,-0.75148472,-52.81025624,0.004963174,4.606,3.102,3.102
2mer-0+5,-17.92617701,2,-17.92617701,-70.73643325,0.004000954,3.478,3.333,3.333
2mer-0+4,10.97529263,1,5.48764632,-65.24878694,0.003728561,5.653,3.413,3.413
2mer-0+47,4.86696333,1,2.43348166,-62.81530527,0.003232142,6.977,3.579,3.579
2mer-0+40,-1.8076711,1,-0.90383555,-63.71914082,0.00170911,6.447,4.426,4.426
2mer-0+8,-2.53294917,2,-2.53294917,-66.25208999,0.001679397,6.456,4.452,4.452
2mer-0+21,3.97486295,2,3.97486295,-62.27722704,0.0009520345,6.312,5.379,5.379
2mer-0+18,-4.2080255,2,-4.2080255,-66.48525254,0.0009394291,5.955,5.403,5.403
2mer-0+12,-0.88400399,2,-0.88400399,-67.36925653,0.0009205589,6.533,5.44,5.44
2mer-0+26,2.48828257,2,2.48828257,-64.88097396,0.0008837697,6.628,5.514,5.514
2mer-0+11,-1.14517118,2,-1.14517118,-66.02614514,0.0008487794,7.164,5.589,5.589
2mer-0+13,3.27299952,2,3.27299952,-62.75314562,0.0008268097,7.691,5.638,5.638
2mer-0+19,-0.00133171,2,-0.00133171,-62.75447733,0.000819337,7.22,5.655,5.655
2mer-0+20,1.9277698,1,0.9638849,-61.79059243,0.0008068659,7.233,5.684,5.684
2mer-0+24,-3.87427188,2,-3.87427188,-65.66486431,0.0007779855,7.485,5.754,5.754
2mer-0+33,-3.06707807,2,-3.06707807,-68.73194238,0.0007213813,6.957,5.9,5.9
2mer-0+31,3.27204167,2,3.27204167,-65.45990071,0.0006765307,6.856,6.028,6.028
2mer-0+86,2.60505966,2,2.60505966,-62.85484105,0.0006716518,9.221,6.043,6.043
2mer-0+15,-3.2358051,2,-3.2358051,-66.09064615,0.0006130595,9.147,6.229,6.229
2mer-0+89,2.41143611,2,2.41143611,-63.67921004,0.0006005315,9.382,6.272,6.272
2mer-0+25,-2.53819834,2,-2.53819834,-66.21740838,0.0005700966,7.485,6.382,6.382
2mer-0+76,-0.64536297,1,-0.32268148,-66.54008987,0.0005074523,8.308,6.634,6.634
2mer-0+22,-3.05726376,2,-3.05726376,-69.59735363,0.0004665173,9.841,6.823,6.823
2mer-0+44,-0.55983108,2,-0.55983108,-70.15718471,0.0004642979,8.498,6.834,6.834
2mer-0+35,0.62699371,2,0.62699371,-69.530191,0.000438829,8.876,6.964,6.964
2mer-0+32,0.8716804,2,0.8716804,-68.6585106,0.0004113858,8.498,7.115,7.115
2mer-0+29,-2.39723987,1,-1.19861993,-69.85713053,0.0003995222,7.708,7.185,7.185
2mer-0+132,0.88496773,2,0.88496773,-68.9721628,0.0003839857,10.411,7.281,7.281
2mer-0+36,-1.03820869,2,-1.03820869,-70.01037149,0.0003612383,9.841,7.43,7.43
2mer-0+112,0.32857152,2,0.32857152,-69.68179997,0.0003588837,10.165,7.446,7.446
2mer-0+42,1.41141987,1,0.70570994,-68.97609004,0.0003374442,9.61,7.601,7.601
2mer-0+52,0.65152175,2,0.65152175,-68.32456829,0.0003245923,9.223,7.7,7.7
2mer-0+45,0.40570743,2,0.40570743,-67.91886086,0.0003074243,9.417,7.841,7.841
2mer-0+60,0.76273963,2,0.76273963,-67.15612123,0.0003029356,9.829,7.879,7.879
2mer-0+39,2.05934116,2,2.05934116,-65.09678007,0.0002741718,10.321,8.146,8.146
2mer-0+77,1.14960827,2,1.14960827,-63.9471718,0.0002723382,9.536,8.164,8.164
2mer-0+64,0.39589153,2,0.39589153,-63.55128027,0.0002712522,9.593,8.175,8.175
2mer-0+87,1.56406947,2,1.56406947,-61.9872108,0.0002614774,8.975,8.275,8.275
2mer-0+151,0.68203021,2,0.68203021,-61.30518059,0.0002610363,11.356,8.28,8.28
2mer-0+43,1.73000148,2,1.73000148,-59.57517911,0.0002570093,10.465,8.323,8.323
2mer-0+58,-1.50370002,2,-1.50370002,-61.07887913,0.0002503479,10.147,8.396,8.396
2mer-0+56,-1.18411119,2,-1.18411119,-62.26299032,0.0002496364,9.422,8.404,8.404
2mer-0+49,-1.81054967,2,-1.81054967,-64.07353999,0.0002491625,11.296,8.41,8.41
2mer-0+122,0.09907552,1,0.04953776,-64.02400223,0.0002481694,11.06,8.421,8.421
2mer-0+63,0.37444528,2,0.37444528,-63.64955695,0.0002467958,9.417,8.436,8.436
2mer-0+46,-1.40284236,2,-1.40284236,-65.05239931,0.000244724,11.114,8.46,8.46
2mer-0+67,-1.84171917,1,-0.92085958,-65.97325889,0.0002418919,9.034,8.493,8.493
2mer-0+85,-0.92129387,1,-0.46064693,-66.43390583,0.0002341083,9.74,8.586,8.586
2mer-0+65,-0.92100814,1,-0.46050407,-66.8944099,0.0002325735,8.931,8.605,8.605
2mer-0+80,0.86316073,2,0.86316073,-66.03124917,0.0002145658,10.052,8.839,8.839
2mer-0+66,0.57811636,1,0.28905818,-65.74219099,0.0002133107,10.617,8.857,8.857
2mer-0+142,0.39772124,2,0.39772124,-65.34446975,0.0002053821,11.356,8.969,8.969
2mer-0+55,-0.42992391,2,-0.42992391,-65.77439366,0.0002053211,11.431,8.97,8.97
2mer-0+70,1.27058282,2,1.27058282,-64.50381084,0.0001972274,9.536,9.091,9.091
2mer-0+101,-1.30956346,1,-0.65478173,-65.15859257,0.0001958735,10.098,9.112,9.112
2mer-0+61,-0.64001545,1,-0.32000773,-65.47860029,0.0001891119,10.277,9.219,9.219
2mer-0+59,-0.12937922,2,-0.12937922,-65.60797951,0.0001829251,11.114,9.322,9.322
2mer-0+73,-0.72737566,2,-0.72737566,-66.33535517,0.0001781556,11.431,9.404,9.404
2mer-0+130,-0.51681322,2,-0.51681322,-66.85216839,0.0001769152,11.222,9.426,9.426
2mer-0+69,1.15771342,2,1.15771342,-65.69445497,0.0001737361,11.396,9.484,9.484
2mer-0+68,0.55662976,2,0.55662976,-65.13782521,0.0001707569,10.57,9.538,9.538
2mer-0+72,0.13486687,2,0.13486687,-65.00295834,0.0001696131,11.296,9.56,9.56
2mer-0+96,0.56724362,2,0.56724362,-64.43571472,0.0001554732,11.301,9.841,9.841
2mer-0+83,-0.89257701,2,-0.89257701,-65.32829173,0.0001531328,10.301,9.891,9.891
2mer-0+205,0.14199307,1,0.07099653,-65.2572952,0.0001530682,12.806,9.893,9.893
2mer-0+106,-0.90303693,2,-0.90303693,-66.16033213,0.0001509255,11.105,9.939,9.939
2mer-0+119,0.35627798,2,0.35627798,-65.80405415,0.000150405,10.931,9.951,9.951
2mer-0+251,0.84755766,1,0.42377883,-65.38027532,0.0001467373,13.334,10.033,10.033
2mer-0+93,-0.9534587,2,-0.9534587,-66.33373402,0.0001466693,10.68,10.034,10.034
2mer-0+134,0.58726128,2,0.58726128,-65.74647274,0.0001354692,11.984,10.304,10.304
2mer-0+270,0.91545264,2,0.91545264,-64.8310201,0.00013513,13.73,10.312,10.312
2mer-0+196,0.38666833,2,0.38666833,-64.44435177,0.0001324957,12.716,10.38,10.38
2mer-0+133,0.24428102,2,0.24428102,-64.20007075,0.0001314476,11.984,10.408,10.408
2mer-0+110,-0.39892341,2,-0.39892341,-64.59899416,0.0001304406,12.815,10.434,10.434
2mer-0+105,-0.75719764,2,-0.75719764,-65.3561918,0.0001282648,13.214,10.493,10.493
2mer-0+84,0.62887933,2,0.62887933,-64.72731247,0.0001279489,12.266,10.502,10.502
