N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-67.90894817,2,-67.90894817,-67.90894817,0.02169007,5.315,1.897,1.897
2mer-0+4,-32.53993054,2,-32.53993054,-100.44887871,0.01539951,6.666,2.127,2.127
2mer-0+6,4.57466887,2,4.57466887,-95.87420985,0.01172207,6.169,2.33,2.33
2mer-0+25,0.79609086,2,0.79609086,-95.07811899,0.009799152,7.983,2.473,2.473
2mer-0+1,-24.3474341,2,-24.3474341,-119.42555309,0.005889715,5.505,2.93,2.93
2mer-0+3,2.00753638,2,2.00753638,-117.41801671,0.004571022,3.814,3.189,3.189
2mer-0+12,-7.17717027,2,-7.17717027,-124.59518698,0.002852764,7.545,3.731,3.731
2mer-0+13,2.43796029,2,2.43796029,-122.15722669,0.001732545,9.496,4.406,4.406
2mer-0+9,-3.85278556,2,-3.85278556,-126.01001225,0.001250384,7.813,4.912,4.912
2mer-0+15,-7.5438052,2,-7.5438052,-133.55381746,0.001187899,7.435,4.997,4.997
2mer-0+11,-0.2376213,2,-0.2376213,-133.79143876,0.001008942,9.133,5.276,5.276
2mer-0+26,0.45945494,2,0.45945494,-133.33198382,0.0009217316,10.233,5.438,5.438
2mer-0+16,-0.55625931,2,-0.55625931,-133.88824312,0.0009028155,8.194,5.475,5.475
2mer-0+36,-2.57165944,2,-2.57165944,-136.45990256,0.0008193655,9.634,5.655,5.655
2mer-0+19,-0.4634782,2,-0.4634782,-136.92338076,0.0007642174,10.438,5.788,5.788
2mer-0+27,2.19531576,2,2.19531576,-134.728065,0.0007050102,10.233,5.946,5.946
2mer-0+14,-3.99424595,2,-3.99424595,-138.72231096,0.0006760709,7.84,6.029,6.029
2mer-0+21,3.08366839,2,3.08366839,-135.63864257,0.0005036467,7.628,6.651,6.651
2mer-0+28,0.58135234,2,0.58135234,-135.05729022,0.0004681132,11.205,6.815,6.815
2mer-0+33,-1.21059853,2,-1.21059853,-136.26788875,0.0004235878,11.02,7.046,7.046
2mer-0+58,1.71508807,2,1.71508807,-134.55280068,0.0004092237,12.454,7.128,7.128
2mer-0+24,-0.93819375,2,-0.93819375,-135.49099443,0.0004027611,10.607,7.166,7.166
2mer-0+42,0.6334422,2,0.6334422,-134.85755223,0.0003905103,9.925,7.24,7.24
2mer-0+46,4.68880096,2,4.68880096,-130.16875127,0.0003124828,10.444,7.798,7.798
2mer-0+64,0.71761452,2,0.71761452,-129.45113675,0.0002905249,12.371,7.99,7.99
2mer-0+31,-0.03843365,2,-0.03843365,-129.4895704,0.0002861295,10.332,8.031,8.031
2mer-0+79,1.50797231,2,1.50797231,-127.98159809,0.0002710287,13.647,8.177,8.177
