N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-73.0881885,2,-73.0881885,-73.0881885,0.02169007,5.315,1.897,1.897
2mer-0+4,-35.28096922,2,-35.28096922,-108.36915772,0.01539951,6.666,2.127,2.127
2mer-0+6,3.47734161,2,3.47734161,-104.89181611,0.01172207,6.169,2.33,2.33
2mer-0+25,0.07811969,2,0.07811969,-104.81369642,0.009799152,7.983,2.473,2.473
2mer-0+1,-26.56246822,2,-26.56246822,-131.37616464,0.005889715,5.505,2.93,2.93
2mer-0+3,0.9298396,2,0.9298396,-130.44632504,0.004571022,3.814,3.189,3.189
2mer-0+12,-7.43964749,2,-7.43964749,-137.88597254,0.002852764,7.545,3.731,3.731
2mer-0+13,2.66781321,2,2.66781321,-135.21815933,0.001732545,9.496,4.406,4.406
2mer-0+9,-3.92991571,2,-3.92991571,-139.14807504,0.001250384,7.813,4.912,4.912
2mer-0+15,-7.73862172,2,-7.73862172,-146.88669676,0.001187899,7.435,4.997,4.997
2mer-0+11,0.14198482,2,0.14198482,-146.74471194,0.001008942,9.133,5.276,5.276
2mer-0+26,0.62535614,2,0.62535614,-146.1193558,0.0009217316,10.233,5.438,5.438
2mer-0+16,-0.6262495,2,-0.6262495,-146.7456053,0.0009028155,8.194,5.475,5.475
2mer-0+36,-2.53768128,2,-2.53768128,-149.28328658,0.0008193655,9.634,5.655,5.655
2mer-0+19,-0.55518088,2,-0.55518088,-149.83846746,0.0007642174,10.438,5.788,5.788
2mer-0+27,2.27754467,2,2.27754467,-147.56092279,0.0007050102,10.233,5.946,5.946
2mer-0+14,-4.11894817,2,-4.11894817,-151.67987095,0.0006760709,7.84,6.029,6.029
2mer-0+21,3.11525478,2,3.11525478,-148.56461617,0.0005036467,7.628,6.651,6.651
2mer-0+28,0.53936759,2,0.53936759,-148.02524858,0.0004681132,11.205,6.815,6.815
2mer-0+33,-1.24869893,2,-1.24869893,-149.27394751,0.0004235878,11.02,7.046,7.046
