N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-68.16554653,2,-68.16554653,-68.16554653,0.02169007,5.315,1.897,1.897
2mer-0+4,-33.04778939,2,-33.04778939,-101.21333593,0.01539951,6.666,2.127,2.127
2mer-0+6,5.79156149,2,5.79156149,-95.42177443,0.01172207,6.169,2.33,2.33
2mer-0+25,0.97103552,2,0.97103552,-94.45073891,0.009799152,7.983,2.473,2.473
2mer-0+1,-24.01935649,2,-24.01935649,-118.4700954,0.005889715,5.505,2.93,2.93
2mer-0+3,7.34262121,2,7.34262121,-111.1274742,0.004571022,3.814,3.189,3.189
2mer-0+12,-7.34526984,2,-7.34526984,-118.47274404,0.002852764,7.545,3.731,3.731
2mer-0+13,2.61250975,2,2.61250975,-115.86023429,0.001732545,9.496,4.406,4.406
2mer-0+9,-3.85490478,2,-3.85490478,-119.71513907,0.001250384,7.813,4.912,4.912
2mer-0+15,-7.73982866,2,-7.73982866,-127.45496773,0.001187899,7.435,4.997,4.997
2mer-0+11,-0.04955063,2,-0.04955063,-127.50451836,0.001008942,9.133,5.276,5.276
2mer-0+26,0.53652538,2,0.53652538,-126.96799298,0.0009217316,10.233,5.438,5.438
2mer-0+16,-0.44206706,2,-0.44206706,-127.41006004,0.0009028155,8.194,5.475,5.475
2mer-0+36,-2.58725283,2,-2.58725283,-129.99731287,0.0008193655,9.634,5.655,5.655
2mer-0+19,-0.48235864,2,-0.48235864,-130.47967151,0.0007642174,10.438,5.788,5.788
2mer-0+27,2.34653628,2,2.34653628,-128.13313523,0.0007050102,10.233,5.946,5.946
2mer-0+14,-4.04625602,2,-4.04625602,-132.17939125,0.0006760709,7.84,6.029,6.029
2mer-0+21,3.29861301,2,3.29861301,-128.88077824,0.0005036467,7.628,6.651,6.651
2mer-0+28,0.61056806,2,0.61056806,-128.27021019,0.0004681132,11.205,6.815,6.815
2mer-0+33,-1.25312688,2,-1.25312688,-129.52333707,0.0004235878,11.02,7.046,7.046
2mer-0+58,1.79242484,2,1.79242484,-127.73091223,0.0004092237,12.454,7.128,7.128
2mer-0+24,-0.93566037,2,-0.93566037,-128.66657259,0.0004027611,10.607,7.166,7.166
2mer-0+42,0.65954969,2,0.65954969,-128.0070229,0.0003905103,9.925,7.24,7.24
2mer-0+46,4.88759332,2,4.88759332,-123.11942958,0.0003124828,10.444,7.798,7.798
2mer-0+64,0.76682168,2,0.76682168,-122.3526079,0.0002905249,12.371,7.99,7.99
2mer-0+31,-0.01495291,2,-0.01495291,-122.36756081,0.0002861295,10.332,8.031,8.031
2mer-0+79,1.57404132,2,1.57404132,-120.79351949,0.0002710287,13.647,8.177,8.177
