N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-71.12783516,2,-71.12783516,-71.12783516,0.02169007,5.315,1.897,1.897
2mer-0+4,-34.57922273,2,-34.57922273,-105.70705789,0.01539951,6.666,2.127,2.127
2mer-0+6,3.79692658,2,3.79692658,-101.91013131,0.01172207,6.169,2.33,2.33
2mer-0+25,0.05569382,2,0.05569382,-101.85443748,0.009799152,7.983,2.473,2.473
2mer-0+1,-25.47527015,2,-25.47527015,-127.32970763,0.005889715,5.505,2.93,2.93
2mer-0+3,1.15676878,2,1.15676878,-126.17293885,0.004571022,3.814,3.189,3.189
2mer-0+12,-7.19566858,2,-7.19566858,-133.36860743,0.002852764,7.545,3.731,3.731
2mer-0+13,2.5261496,2,2.5261496,-130.84245783,0.001732545,9.496,4.406,4.406
2mer-0+9,-3.82051184,2,-3.82051184,-134.66296967,0.001250384,7.813,4.912,4.912
2mer-0+15,-7.46488455,2,-7.46488455,-142.12785422,0.001187899,7.435,4.997,4.997
2mer-0+11,-0.01601493,2,-0.01601493,-142.14386915,0.001008942,9.133,5.276,5.276
2mer-0+26,0.5663562,2,0.5663562,-141.57751296,0.0009217316,10.233,5.438,5.438
2mer-0+16,-0.63768196,2,-0.63768196,-142.21519492,0.0009028155,8.194,5.475,5.475
2mer-0+36,-2.4925409,2,-2.4925409,-144.70773581,0.0008193655,9.634,5.655,5.655
2mer-0+19,-0.51929256,2,-0.51929256,-145.22702838,0.0007642174,10.438,5.788,5.788
2mer-0+27,2.15394615,2,2.15394615,-143.07308222,0.0007050102,10.233,5.946,5.946
2mer-0+14,-3.97876405,2,-3.97876405,-147.05184627,0.0006760709,7.84,6.029,6.029
2mer-0+21,2.98621319,2,2.98621319,-144.06563309,0.0005036467,7.628,6.651,6.651
2mer-0+28,0.52498401,2,0.52498401,-143.54064908,0.0004681132,11.205,6.815,6.815
2mer-0+33,-1.19812525,2,-1.19812525,-144.73877433,0.0004235878,11.02,7.046,7.046
2mer-0+58,1.67914171,2,1.67914171,-143.05963261,0.0004092237,12.454,7.128,7.128
2mer-0+24,-0.79149598,2,-0.79149598,-143.85112859,0.0004027611,10.607,7.166,7.166
2mer-0+42,0.63902692,2,0.63902692,-143.21210167,0.0003905103,9.925,7.24,7.24
2mer-0+46,4.39528221,2,4.39528221,-138.81681946,0.0003124828,10.444,7.798,7.798
2mer-0+64,0.6899112,2,0.6899112,-138.12690826,0.0002905249,12.371,7.99,7.99
2mer-0+31,-0.01930687,2,-0.01930687,-138.14621513,0.0002861295,10.332,8.031,8.031
2mer-0+79,1.47702232,2,1.47702232,-136.66919281,0.0002710287,13.647,8.177,8.177
2mer-0+68,-0.35524691,2,-0.35524691,-137.02443972,0.0002657258,12.66,8.231,8.231
2mer-0+51,0.09726762,2,0.09726762,-136.9271721,0.0002595832,12.181,8.295,8.295
2mer-0+45,-0.82863446,2,-0.82863446,-137.75580656,0.00025522,10.555,8.343,8.343
2mer-0+52,1.29481861,2,1.29481861,-136.46098795,0.0002336634,12.181,8.592,8.592
2mer-0+50,-0.98102702,2,-0.98102702,-137.44201497,0.0002255714,11.195,8.693,8.693
2mer-0+75,-0.01771414,2,-0.01771414,-137.45972912,0.0002206772,13.3,8.757,8.757
2mer-0+60,-2.18065542,2,-2.18065542,-139.64038453,0.0002194277,13.59,8.773,8.773
2mer-0+62,0.85475977,2,0.85475977,-138.78562476,0.0002178313,13.883,8.795,8.795
2mer-0+56,-1.54133933,2,-1.54133933,-140.32696409,0.0002069112,13.044,8.947,8.947
2mer-0+61,1.81550916,2,1.81550916,-138.51145492,0.0001935639,11.755,9.148,9.148
2mer-0+82,-1.36641324,2,-1.36641324,-139.87786816,0.0001827981,12.288,9.324,9.324
2mer-0+44,0.58966464,2,0.58966464,-139.28820352,0.0001823477,13.086,9.332,9.332
2mer-0+84,-0.12072916,2,-0.12072916,-139.40893267,0.0001822192,13.144,9.334,9.334
2mer-0+49,-1.1693673,2,-1.1693673,-140.57829997,0.0001787746,11.032,9.394,9.394
2mer-0+65,-1.14730617,2,-1.14730617,-141.72560614,0.0001669409,14.443,9.611,9.611
2mer-0+67,-0.55419765,2,-0.55419765,-142.27980379,0.0001646364,12.768,9.655,9.655
2mer-0+63,-0.94452208,2,-0.94452208,-143.22432588,0.0001596448,14.514,9.755,9.755
2mer-0+59,0.97299581,2,0.97299581,-142.25133007,0.0001450263,11.442,10.072,10.072
2mer-0+91,-1.6080805,2,-1.6080805,-143.85941057,0.00014294,15.111,10.121,10.121
2mer-0+54,-0.6682148,2,-0.6682148,-144.52762537,0.0001398213,13.065,10.196,10.196
2mer-0+94,-0.18110478,2,-0.18110478,-144.70873015,0.0001358457,13.419,10.294,10.294
2mer-0+86,0.39599658,2,0.39599658,-144.31273356,0.0001349344,14.894,10.317,10.317
2mer-0+71,-0.3492159,2,-0.3492159,-144.66194946,0.0001309555,13.59,10.421,10.421
2mer-0+124,0.84262625,2,0.84262625,-143.81932321,0.0001249874,15.7,10.584,10.584
2mer-0+74,-0.68458351,2,-0.68458351,-144.50390672,0.0001239329,15.43,10.614,10.614
2mer-0+178,-0.36480838,2,-0.36480838,-144.8687151,0.0001218638,16.424,10.674,10.674
2mer-0+112,0.18252421,2,0.18252421,-144.68619089,0.0001206159,14.919,10.71,10.71
2mer-0+96,0.8447682,2,0.8447682,-143.84142269,0.0001160702,13.007,10.848,10.848
2mer-0+90,-0.9961412,2,-0.9961412,-144.8375639,0.0001146374,15.35,10.893,10.893
2mer-0+87,-0.64143153,2,-0.64143153,-145.47899542,0.0001124418,15.55,10.964,10.964
2mer-0+122,0.35934377,2,0.35934377,-145.11965165,0.000109446,14.641,11.063,11.063
2mer-0+85,0.09045986,2,0.09045986,-145.02919179,0.000108729,16.135,11.087,11.087
2mer-0+92,-0.1478955,2,-0.1478955,-145.17708729,0.0001010644,16.579,11.361,11.361
2mer-0+76,0.31947341,2,0.31947341,-144.85761388,0.0001000001,13.474,11.401,11.401
2mer-0+104,0.3784461,2,0.3784461,-144.47916779,9.870698e-05,14.013,11.45,11.45
2mer-0+99,1.16712751,2,1.16712751,-143.31204028,9.780769e-05,15.613,11.485,11.485
2mer-0+109,0.09090074,2,0.09090074,-143.22113954,9.22504e-05,14.87,11.711,11.711
2mer-0+110,0.71969331,2,0.71969331,-142.50144623,8.815689e-05,14.87,11.89,11.89
2mer-0+100,-0.6007362,2,-0.6007362,-143.10218243,8.780661e-05,16.346,11.906,11.906
2mer-0+113,1.33700867,2,1.33700867,-141.76517376,8.769984e-05,16.456,11.911,11.911
2mer-0+207,-0.38472594,2,-0.38472594,-142.14989971,8.663818e-05,17.287,11.959,11.959
2mer-0+111,-0.15350205,2,-0.15350205,-142.30340176,8.636307e-05,14.023,11.972,11.972
2mer-0+103,0.4344523,2,0.4344523,-141.86894946,8.432629e-05,15.686,12.067,12.067
2mer-0+101,0.31428565,2,0.31428565,-141.55466381,8.410244e-05,16.579,12.078,12.078
2mer-0+115,-0.65720949,2,-0.65720949,-142.2118733,8.058693e-05,14.582,12.251,12.251
2mer-0+105,0.59773886,2,0.59773886,-141.61413445,7.98163e-05,15.678,12.291,12.291
2mer-0+123,-0.07572817,2,-0.07572817,-141.68986261,7.664485e-05,15.287,12.458,12.458
2mer-0+155,-0.99979426,2,-0.99979426,-142.68965687,7.592296e-05,16.579,12.497,12.497
2mer-0+145,-0.76155935,2,-0.76155935,-143.45121622,7.54796e-05,16.135,12.522,12.522
2mer-0+151,-0.89325781,2,-0.89325781,-144.34447404,7.53391e-05,17.352,12.529,12.529
2mer-0+131,0.02837177,2,0.02837177,-144.31610227,7.271635e-05,16.734,12.678,12.678
2mer-0+128,-0.21377154,2,-0.21377154,-144.52987381,7.252664e-05,17.847,12.689,12.689
2mer-0+114,-0.47607882,2,-0.47607882,-145.00595263,7.124745e-05,14.527,12.765,12.765
2mer-0+167,0.23177026,2,0.23177026,-144.77418237,7.052685e-05,18.315,12.808,12.808
2mer-0+117,0.23830107,2,0.23830107,-144.53588131,6.914422e-05,15.111,12.893,12.893
2mer-0+159,-0.74461408,2,-0.74461408,-145.28049539,6.66835e-05,15.437,13.05,13.05
2mer-0+137,-0.39741481,2,-0.39741481,-145.6779102,6.591358e-05,17.38,13.1,13.1
2mer-0+170,0.07207183,2,0.07207183,-145.60583837,6.453195e-05,18.259,13.193,13.193
2mer-0+148,-0.6303842,2,-0.6303842,-146.23622257,6.452897e-05,17.081,13.193,13.193
2mer-0+153,-0.4126755,2,-0.4126755,-146.64889807,6.282615e-05,15.369,13.311,13.311
2mer-0+118,-0.46320925,2,-0.46320925,-147.11210732,6.245537e-05,16.062,13.338,13.338
2mer-0+257,0.46046837,2,0.46046837,-146.65163896,6.109605e-05,18.938,13.436,13.436
2mer-0+163,1.05809766,2,1.05809766,-145.5935413,6.089977e-05,18.081,13.45,13.45
2mer-0+180,0.19838689,2,0.19838689,-145.39515441,6.043681e-05,17.245,13.484,13.484
2mer-0+186,0.27146565,2,0.27146565,-145.12368876,5.97938e-05,19.147,13.533,13.533
2mer-0+192,-0.89151846,2,-0.89151846,-146.01520722,5.905241e-05,17.847,13.589,13.589
2mer-0+142,0.39791367,2,0.39791367,-145.61729355,5.884574e-05,15.256,13.605,13.605
2mer-0+205,0.4382558,2,0.4382558,-145.17903776,5.828995e-05,18.326,13.648,13.648
2mer-0+166,-0.32611041,2,-0.32611041,-145.50514817,5.818396e-05,16.579,13.656,13.656
2mer-0+195,0.47562298,2,0.47562298,-145.02952519,5.806724e-05,16.883,13.665,13.665
2mer-0+225,0.63130468,2,0.63130468,-144.39822051,5.718491e-05,18.248,13.735,13.735
