N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-79.35376094,2,-79.35376094,-79.35376094,0.02169007,5.315,1.897,1.897
2mer-0+4,-35.76568779,2,-35.76568779,-115.11944873,0.01539951,6.666,2.127,2.127
2mer-0+6,-0.35043367,2,-0.35043367,-115.4698824,0.01172207,6.169,2.33,2.33
2mer-0+25,-1.69730824,2,-1.69730824,-117.16719065,0.009799152,7.983,2.473,2.473
2mer-0+1,-28.40824547,2,-28.40824547,-145.57543612,0.005889715,5.505,2.93,2.93
2mer-0+3,-0.92003623,2,-0.92003623,-146.49547235,0.004571022,3.814,3.189,3.189
2mer-0+12,-7.27469316,2,-7.27469316,-153.77016551,0.002852764,7.545,3.731,3.731
2mer-0+13,2.4457712,2,2.4457712,-151.32439431,0.001732545,9.496,4.406,4.406
2mer-0+9,-3.96668701,2,-3.96668701,-155.29108132,0.001250384,7.813,4.912,4.912
2mer-0+15,-7.44741123,2,-7.44741123,-162.73849255,0.001187899,7.435,4.997,4.997
2mer-0+11,0.11394242,2,0.11394242,-162.62455013,0.001008942,9.133,5.276,5.276
2mer-0+26,0.59846785,2,0.59846785,-162.02608228,0.0009217316,10.233,5.438,5.438
2mer-0+16,-0.76120032,2,-0.76120032,-162.78728261,0.0009028155,8.194,5.475,5.475
2mer-0+36,-2.47297196,2,-2.47297196,-165.26025457,0.0008193655,9.634,5.655,5.655
2mer-0+19,-0.52276786,2,-0.52276786,-165.78302243,0.0007642174,10.438,5.788,5.788
2mer-0+27,2.13801606,2,2.13801606,-163.64500637,0.0007050102,10.233,5.946,5.946
2mer-0+14,-4.0874017,2,-4.0874017,-167.73240808,0.0006760709,7.84,6.029,6.029
2mer-0+21,2.90239158,2,2.90239158,-164.8300165,0.0005036467,7.628,6.651,6.651
2mer-0+28,0.47438922,2,0.47438922,-164.35562728,0.0004681132,11.205,6.815,6.815
2mer-0+33,-1.14782645,2,-1.14782645,-165.50345373,0.0004235878,11.02,7.046,7.046
2mer-0+58,1.63670281,2,1.63670281,-163.86675091,0.0004092237,12.454,7.128,7.128
2mer-0+24,-0.70788084,2,-0.70788084,-164.57463175,0.0004027611,10.607,7.166,7.166
2mer-0+42,0.6695979,2,0.6695979,-163.90503385,0.0003905103,9.925,7.24,7.24
2mer-0+46,4.29840731,2,4.29840731,-159.60662654,0.0003124828,10.444,7.798,7.798
2mer-0+64,0.67572386,2,0.67572386,-158.93090267,0.0002905249,12.371,7.99,7.99
2mer-0+31,-0.02045153,2,-0.02045153,-158.95135421,0.0002861295,10.332,8.031,8.031
2mer-0+79,1.43910292,2,1.43910292,-157.51225128,0.0002710287,13.647,8.177,8.177
