N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-86.29374843,2,-86.29374843,-86.29374843,0.02169007,5.315,1.897,1.897
2mer-0+4,-36.85903731,2,-36.85903731,-123.15278574,0.01539951,6.666,2.127,2.127
2mer-0+6,2.04748157,2,2.04748157,-121.10530417,0.01172207,6.169,2.33,2.33
2mer-0+25,-1.80526243,2,-1.80526243,-122.91056659,0.009799152,7.983,2.473,2.473
2mer-0+1,-31.32069343,2,-31.32069343,-154.23126003,0.005889715,5.505,2.93,2.93
2mer-0+3,-1.07945962,2,-1.07945962,-155.31071965,0.004571022,3.814,3.189,3.189
2mer-0+12,-6.61774439,2,-6.61774439,-161.92846404,0.002852764,7.545,3.731,3.731
2mer-0+13,2.66107166,2,2.66107166,-159.26739238,0.001732545,9.496,4.406,4.406
2mer-0+9,-4.20042576,2,-4.20042576,-163.46781814,0.001250384,7.813,4.912,4.912
2mer-0+15,-7.50314648,2,-7.50314648,-170.97096463,0.001187899,7.435,4.997,4.997
2mer-0+11,-0.33402991,2,-0.33402991,-171.30499454,0.001008942,9.133,5.276,5.276
2mer-0+26,0.52112057,2,0.52112057,-170.78387396,0.0009217316,10.233,5.438,5.438
2mer-0+16,-0.79305645,2,-0.79305645,-171.57693041,0.0009028155,8.194,5.475,5.475
2mer-0+36,-2.78437769,2,-2.78437769,-174.3613081,0.0008193655,9.634,5.655,5.655
2mer-0+19,-0.46591597,2,-0.46591597,-174.82722406,0.0007642174,10.438,5.788,5.788
2mer-0+27,2.26573347,2,2.26573347,-172.5614906,0.0007050102,10.233,5.946,5.946
2mer-0+14,-4.40477723,2,-4.40477723,-176.96626783,0.0006760709,7.84,6.029,6.029
2mer-0+21,3.52516239,2,3.52516239,-173.44110544,0.0005036467,7.628,6.651,6.651
2mer-0+28,0.59951549,2,0.59951549,-172.84158995,0.0004681132,11.205,6.815,6.815
2mer-0+33,-1.28373713,2,-1.28373713,-174.12532708,0.0004235878,11.02,7.046,7.046
2mer-0+58,1.81273625,2,1.81273625,-172.31259082,0.0004092237,12.454,7.128,7.128
2mer-0+24,-0.89223513,2,-0.89223513,-173.20482595,0.0004027611,10.607,7.166,7.166
2mer-0+42,0.8474044,2,0.8474044,-172.35742156,0.0003905103,9.925,7.24,7.24
2mer-0+46,4.85610131,2,4.85610131,-167.50132024,0.0003124828,10.444,7.798,7.798
2mer-0+64,0.72951604,2,0.72951604,-166.77180421,0.0002905249,12.371,7.99,7.99
2mer-0+31,-0.08997497,2,-0.08997497,-166.86177918,0.0002861295,10.332,8.031,8.031
2mer-0+79,1.59687319,2,1.59687319,-165.26490598,0.0002710287,13.647,8.177,8.177
2mer-0+68,-0.36132769,2,-0.36132769,-165.62623367,0.0002657258,12.66,8.231,8.231
2mer-0+51,0.04582052,2,0.04582052,-165.58041315,0.0002595832,12.181,8.295,8.295
2mer-0+45,-0.76114093,2,-0.76114093,-166.34155408,0.00025522,10.555,8.343,8.343
2mer-0+52,1.37331008,2,1.37331008,-164.968244,0.0002336634,12.181,8.592,8.592
2mer-0+50,-1.09367792,2,-1.09367792,-166.06192192,0.0002255714,11.195,8.693,8.693
2mer-0+75,-0.02082215,2,-0.02082215,-166.08274407,0.0002206772,13.3,8.757,8.757
2mer-0+60,-2.26140522,2,-2.26140522,-168.34414929,0.0002194277,13.59,8.773,8.773
2mer-0+62,1.00864754,2,1.00864754,-167.33550175,0.0002178313,13.883,8.795,8.795
2mer-0+56,-1.60278302,2,-1.60278302,-168.93828477,0.0002069112,13.044,8.947,8.947
2mer-0+61,2.07896259,2,2.07896259,-166.85932218,0.0001935639,11.755,9.148,9.148
2mer-0+82,-1.50382238,2,-1.50382238,-168.36314456,0.0001827981,12.288,9.324,9.324
2mer-0+44,0.63077135,2,0.63077135,-167.73237321,0.0001823477,13.086,9.332,9.332
2mer-0+84,-0.09887653,2,-0.09887653,-167.83124974,0.0001822192,13.144,9.334,9.334
2mer-0+49,-1.27970708,2,-1.27970708,-169.11095682,0.0001787746,11.032,9.394,9.394
2mer-0+65,-1.23459261,2,-1.23459261,-170.34554943,0.0001669409,14.443,9.611,9.611
2mer-0+67,-0.63722918,2,-0.63722918,-170.98277861,0.0001646364,12.768,9.655,9.655
2mer-0+63,-1.02045825,2,-1.02045825,-172.00323686,0.0001596448,14.514,9.755,9.755
2mer-0+59,1.09744795,2,1.09744795,-170.90578891,0.0001450263,11.442,10.072,10.072
2mer-0+91,-1.66680358,2,-1.66680358,-172.57259249,0.00014294,15.111,10.121,10.121
2mer-0+54,-0.71139208,2,-0.71139208,-173.28398457,0.0001398213,13.065,10.196,10.196
2mer-0+94,-0.20888158,2,-0.20888158,-173.49286616,0.0001358457,13.419,10.294,10.294
2mer-0+86,0.47018356,2,0.47018356,-173.0226826,0.0001349344,14.894,10.317,10.317
2mer-0+71,-0.35324497,2,-0.35324497,-173.37592757,0.0001309555,13.59,10.421,10.421
2mer-0+124,0.90515526,2,0.90515526,-172.47077231,0.0001249874,15.7,10.584,10.584
2mer-0+74,-0.73944207,2,-0.73944207,-173.21021438,0.0001239329,15.43,10.614,10.614
2mer-0+178,-0.39855722,2,-0.39855722,-173.6087716,0.0001218638,16.424,10.674,10.674
2mer-0+112,0.18784327,2,0.18784327,-173.42092834,0.0001206159,14.919,10.71,10.71
2mer-0+96,0.91882075,2,0.91882075,-172.50210759,0.0001160702,13.007,10.848,10.848
2mer-0+90,-1.07018994,2,-1.07018994,-173.57229753,0.0001146374,15.35,10.893,10.893
2mer-0+87,-0.69498106,2,-0.69498106,-174.26727858,0.0001124418,15.55,10.964,10.964
2mer-0+122,0.40777426,2,0.40777426,-173.85950432,0.000109446,14.641,11.063,11.063
2mer-0+85,0.13710877,2,0.13710877,-173.72239555,0.000108729,16.135,11.087,11.087
2mer-0+92,-0.10540708,2,-0.10540708,-173.82780263,0.0001010644,16.579,11.361,11.361
2mer-0+76,0.31884601,2,0.31884601,-173.50895662,0.0001000001,13.474,11.401,11.401
2mer-0+104,0.48373673,2,0.48373673,-173.02521989,9.870698e-05,14.013,11.45,11.45
2mer-0+99,1.24901574,2,1.24901574,-171.77620415,9.780769e-05,15.613,11.485,11.485
2mer-0+109,0.07406795,2,0.07406795,-171.7021362,9.22504e-05,14.87,11.711,11.711
2mer-0+110,0.77470494,2,0.77470494,-170.92743126,8.815689e-05,14.87,11.89,11.89
2mer-0+100,-0.65386298,2,-0.65386298,-171.58129424,8.780661e-05,16.346,11.906,11.906
2mer-0+113,1.40943341,2,1.40943341,-170.17186082,8.769984e-05,16.456,11.911,11.911
2mer-0+207,-0.41768785,2,-0.41768785,-170.58954867,8.663818e-05,17.287,11.959,11.959
2mer-0+111,-0.11467269,2,-0.11467269,-170.70422137,8.636307e-05,14.023,11.972,11.972
2mer-0+103,0.45841756,2,0.45841756,-170.24580381,8.432629e-05,15.686,12.067,12.067
2mer-0+101,0.35675469,2,0.35675469,-169.88904912,8.410244e-05,16.579,12.078,12.078
2mer-0+115,-0.71907017,2,-0.71907017,-170.60811929,8.058693e-05,14.582,12.251,12.251
2mer-0+105,0.66832974,2,0.66832974,-169.93978954,7.98163e-05,15.678,12.291,12.291
2mer-0+123,-0.11645225,2,-0.11645225,-170.05624179,7.664485e-05,15.287,12.458,12.458
2mer-0+155,-1.09201905,2,-1.09201905,-171.14826085,7.592296e-05,16.579,12.497,12.497
2mer-0+145,-0.84018233,2,-0.84018233,-171.98844318,7.54796e-05,16.135,12.522,12.522
2mer-0+151,-0.92667529,2,-0.92667529,-172.91511847,7.53391e-05,17.352,12.529,12.529
2mer-0+131,0.05127779,2,0.05127779,-172.86384067,7.271635e-05,16.734,12.678,12.678
2mer-0+128,-0.18746736,2,-0.18746736,-173.05130804,7.252664e-05,17.847,12.689,12.689
2mer-0+114,-0.51417224,2,-0.51417224,-173.56548028,7.124745e-05,14.527,12.765,12.765
2mer-0+167,0.25750033,2,0.25750033,-173.30797995,7.052685e-05,18.315,12.808,12.808
2mer-0+117,0.25855602,2,0.25855602,-173.04942393,6.914422e-05,15.111,12.893,12.893
2mer-0+159,-0.80597,2,-0.80597,-173.85539393,6.66835e-05,15.437,13.05,13.05
2mer-0+137,-0.42933917,2,-0.42933917,-174.28473311,6.591358e-05,17.38,13.1,13.1
2mer-0+170,0.08413784,2,0.08413784,-174.20059526,6.453195e-05,18.259,13.193,13.193
2mer-0+148,-0.6764098,2,-0.6764098,-174.87700507,6.452897e-05,17.081,13.193,13.193
2mer-0+153,-0.44536822,2,-0.44536822,-175.32237329,6.282615e-05,15.369,13.311,13.311
2mer-0+118,-0.49264789,2,-0.49264789,-175.81502118,6.245537e-05,16.062,13.338,13.338
2mer-0+257,0.48366943,2,0.48366943,-175.33135175,6.109605e-05,18.938,13.436,13.436
2mer-0+163,1.11532269,2,1.11532269,-174.21602906,6.089977e-05,18.081,13.45,13.45
2mer-0+180,0.20893925,2,0.20893925,-174.00708981,6.043681e-05,17.245,13.484,13.484
2mer-0+186,0.29805413,2,0.29805413,-173.70903568,5.97938e-05,19.147,13.533,13.533
2mer-0+192,-0.96602497,2,-0.96602497,-174.67506065,5.905241e-05,17.847,13.589,13.589
2mer-0+142,0.4446549,2,0.4446549,-174.23040576,5.884574e-05,15.256,13.605,13.605
2mer-0+205,0.46632848,2,0.46632848,-173.76407728,5.828995e-05,18.326,13.648,13.648
2mer-0+166,-0.36862874,2,-0.36862874,-174.13270602,5.818396e-05,16.579,13.656,13.656
2mer-0+195,0.51719064,2,0.51719064,-173.61551538,5.806724e-05,16.883,13.665,13.665
2mer-0+225,0.67575174,2,0.67575174,-172.93976364,5.718491e-05,18.248,13.735,13.735
2mer-0+156,0.26259635,2,0.26259635,-172.67716729,5.6803e-05,18.81,13.766,13.766
2mer-0+169,0.33205565,2,0.33205565,-172.34511164,5.5539e-05,18.992,13.87,13.87
2mer-0+138,0.16266139,2,0.16266139,-172.18245025,5.342747e-05,16.642,14.05,14.05
2mer-0+143,0.40483153,2,0.40483153,-171.77761872,5.321494e-05,17.847,14.069,14.069
2mer-0+147,-0.50233376,2,-0.50233376,-172.27995248,5.241573e-05,18.038,14.14,14.14
2mer-0+274,-0.37500401,2,-0.37500401,-172.65495649,5.191964e-05,18.895,14.185,14.185
2mer-0+165,0.33081693,2,0.33081693,-172.32413956,5.144211e-05,19.246,14.229,14.229
2mer-0+183,0.22900974,2,0.22900974,-172.09512982,5.141491e-05,19.371,14.231,14.231
2mer-0+177,0.14185936,2,0.14185936,-171.95327046,5.024596e-05,19.139,14.341,14.341
2mer-0+185,0.58434538,2,0.58434538,-171.36892508,4.98729e-05,16.4,14.376,14.376
2mer-0+175,-0.02273952,2,-0.02273952,-171.39166461,4.953018e-05,16.842,14.409,14.409
2mer-0+287,0.33431191,2,0.33431191,-171.05735269,4.882798e-05,19.692,14.478,14.478
2mer-0+184,0.36888999,2,0.36888999,-170.6884627,4.824162e-05,19.371,14.537,14.537
2mer-0+202,-0.10469523,2,-0.10469523,-170.79315792,4.761579e-05,18.985,14.6,14.6
2mer-0+164,0.26512803,2,0.26512803,-170.52802989,4.639972e-05,16.895,14.726,14.726
2mer-0+255,0.50530208,2,0.50530208,-170.02272781,4.611584e-05,19.029,14.757,14.757
2mer-0+229,0.16456909,2,0.16456909,-169.85815872,4.580539e-05,17.751,14.79,14.79
2mer-0+196,-0.14970868,2,-0.14970868,-170.00786741,4.548665e-05,19.78,14.824,14.824
2mer-0+209,-0.70719862,2,-0.70719862,-170.71506603,4.348e-05,19.615,15.049,15.049
2mer-0+245,0.24100232,2,0.24100232,-170.47406372,4.212143e-05,20.66,15.209,15.209
2mer-0+188,0.31731136,2,0.31731136,-170.15675236,4.159644e-05,18.707,15.273,15.273
2mer-0+204,0.07498459,2,0.07498459,-170.08176777,4.124012e-05,17.97,15.317,15.317
2mer-0+234,-0.64241199,2,-0.64241199,-170.72417976,4.090751e-05,19.931,15.358,15.358
2mer-0+211,0.43385918,2,0.43385918,-170.29032058,4.035239e-05,17.97,15.428,15.428
2mer-0+214,-0.11375522,2,-0.11375522,-170.4040758,4.024499e-05,19.165,15.442,15.442
2mer-0+253,-0.48316181,2,-0.48316181,-170.88723761,3.969861e-05,20.073,15.512,15.512
2mer-0+260,-0.67448356,2,-0.67448356,-171.56172117,3.948979e-05,19.78,15.54,15.54
2mer-0+227,0.13007963,2,0.13007963,-171.43164155,3.941783e-05,20.467,15.549,15.549
2mer-0+264,0.09636182,2,0.09636182,-171.33527972,3.937578e-05,18.552,15.555,15.555
2mer-0+199,0.31819793,2,0.31819793,-171.0170818,3.901942e-05,20.399,15.602,15.602
2mer-0+216,0.07321154,2,0.07321154,-170.94387025,3.900651e-05,18.261,15.604,15.604
2mer-0+218,-0.02852618,2,-0.02852618,-170.97239643,3.886597e-05,17.634,15.622,15.622
2mer-0+210,-0.01027084,2,-0.01027084,-170.98266728,3.857178e-05,17.847,15.662,15.662
2mer-0+217,-0.60710629,2,-0.60710629,-171.58977357,3.836722e-05,20.034,15.69,15.69
2mer-0+224,-0.44011825,2,-0.44011825,-172.02989181,3.787667e-05,18.138,15.757,15.757
2mer-0+248,0.72847892,2,0.72847892,-171.30141289,3.770322e-05,20.302,15.781,15.781
2mer-0+228,0.33647399,2,0.33647399,-170.9649389,3.736264e-05,20.467,15.829,15.829
2mer-0+226,0.04584698,2,0.04584698,-170.91909192,3.728764e-05,20.196,15.84,15.84
2mer-0+220,-0.2582181,2,-0.2582181,-171.17731002,3.701649e-05,19.784,15.878,15.878
2mer-0+190,0.37015518,2,0.37015518,-170.80715484,3.683266e-05,17.352,15.905,15.905
2mer-0+240,-0.36179724,2,-0.36179724,-171.16895208,3.564378e-05,19.416,16.08,16.08
2mer-0+221,-0.25084776,2,-0.25084776,-171.41979984,3.432754e-05,18.152,16.282,16.282
2mer-0+351,0.14951206,2,0.14951206,-171.27028778,3.414857e-05,21.365,16.311,16.311
2mer-0+358,0.16603605,2,0.16603605,-171.10425173,3.381239e-05,21.118,16.365,16.365
2mer-0+203,-0.07795482,2,-0.07795482,-171.18220654,3.355865e-05,18.363,16.406,16.406
2mer-0+285,-0.45429318,2,-0.45429318,-171.63649973,3.2608e-05,20.948,16.564,16.564
2mer-0+252,-0.37810528,2,-0.37810528,-172.01460501,3.253351e-05,17.929,16.576,16.576
2mer-0+280,-0.46254962,2,-0.46254962,-172.47715462,3.243713e-05,18.833,16.593,16.593
2mer-0+313,0.29259546,2,0.29259546,-172.18455917,3.232735e-05,20.501,16.612,16.612
