N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-94.52665058,2,-94.52665058,-94.52665058,0.02169007,5.315,1.897,1.897
2mer-0+4,-43.55510105,2,-43.55510105,-138.08175163,0.01539951,6.666,2.127,2.127
2mer-0+6,4.20922799,2,4.20922799,-133.87252364,0.01172207,6.169,2.33,2.33
2mer-0+25,-0.45323658,2,-0.45323658,-134.32576022,0.009799152,7.983,2.473,2.473
2mer-0+1,-33.99703112,2,-33.99703112,-168.32279134,0.005889715,5.505,2.93,2.93
2mer-0+3,-1.69343476,2,-1.69343476,-170.0162261,0.004571022,3.814,3.189,3.189
2mer-0+12,-9.08716479,2,-9.08716479,-179.10339089,0.002852764,7.545,3.731,3.731
2mer-0+13,3.34709606,2,3.34709606,-175.75629483,0.001732545,9.496,4.406,4.406
2mer-0+9,-4.79693576,2,-4.79693576,-180.55323059,0.001250384,7.813,4.912,4.912
2mer-0+15,-9.48273324,2,-9.48273324,-190.03596383,0.001187899,7.435,4.997,4.997
2mer-0+11,0.39036014,2,0.39036014,-189.64560369,0.001008942,9.133,5.276,5.276
2mer-0+26,0.75253289,2,0.75253289,-188.8930708,0.0009217316,10.233,5.438,5.438
2mer-0+16,-0.66391737,2,-0.66391737,-189.55698817,0.0009028155,8.194,5.475,5.475
2mer-0+36,-2.97260618,2,-2.97260618,-192.52959435,0.0008193655,9.634,5.655,5.655
2mer-0+19,-0.78529218,2,-0.78529218,-193.31488653,0.0007642174,10.438,5.788,5.788
2mer-0+27,2.88876621,2,2.88876621,-190.42612032,0.0007050102,10.233,5.946,5.946
2mer-0+14,-5.01432212,2,-5.01432212,-195.44044244,0.0006760709,7.84,6.029,6.029
2mer-0+21,3.85954757,2,3.85954757,-191.58089487,0.0005036467,7.628,6.651,6.651
2mer-0+28,0.66871714,2,0.66871714,-190.91217773,0.0004681132,11.205,6.815,6.815
2mer-0+33,-1.65677689,2,-1.65677689,-192.56895462,0.0004235878,11.02,7.046,7.046
2mer-0+58,2.11135133,2,2.11135133,-190.45760329,0.0004092237,12.454,7.128,7.128
2mer-0+24,-1.03485338,2,-1.03485338,-191.49245667,0.0004027611,10.607,7.166,7.166
2mer-0+42,0.76777473,2,0.76777473,-190.72468194,0.0003905103,9.925,7.24,7.24
2mer-0+46,5.65407629,2,5.65407629,-185.07060565,0.0003124828,10.444,7.798,7.798
2mer-0+64,0.90640683,2,0.90640683,-184.16419882,0.0002905249,12.371,7.99,7.99
2mer-0+31,-0.05738423,2,-0.05738423,-184.22158305,0.0002861295,10.332,8.031,8.031
2mer-0+79,1.87475307,2,1.87475307,-182.34682998,0.0002710287,13.647,8.177,8.177
2mer-0+68,-0.38103096,2,-0.38103096,-182.72786094,0.0002657258,12.66,8.231,8.231
2mer-0+51,0.07314883,2,0.07314883,-182.65471211,0.0002595832,12.181,8.295,8.295
2mer-0+45,-1.08470706,2,-1.08470706,-183.73941917,0.00025522,10.555,8.343,8.343
2mer-0+52,1.74149259,2,1.74149259,-181.99792658,0.0002336634,12.181,8.592,8.592
2mer-0+50,-1.24841042,2,-1.24841042,-183.246337,0.0002255714,11.195,8.693,8.693
2mer-0+75,-0.02295773,2,-0.02295773,-183.26929473,0.0002206772,13.3,8.757,8.757
2mer-0+60,-2.71947208,2,-2.71947208,-185.98876681,0.0002194277,13.59,8.773,8.773
2mer-0+62,1.2434361,2,1.2434361,-184.74533071,0.0002178313,13.883,8.795,8.795
2mer-0+56,-1.91045706,2,-1.91045706,-186.65578777,0.0002069112,13.044,8.947,8.947
2mer-0+61,2.34171759,2,2.34171759,-184.31407018,0.0001935639,11.755,9.148,9.148
2mer-0+82,-1.68942798,2,-1.68942798,-186.00349816,0.0001827981,12.288,9.324,9.324
2mer-0+44,0.80048737,2,0.80048737,-185.20301079,0.0001823477,13.086,9.332,9.332
2mer-0+84,-0.06490357,2,-0.06490357,-185.26791436,0.0001822192,13.144,9.334,9.334
2mer-0+49,-1.43409685,2,-1.43409685,-186.70201121,0.0001787746,11.032,9.394,9.394
2mer-0+65,-1.52022538,2,-1.52022538,-188.22223659,0.0001669409,14.443,9.611,9.611
2mer-0+67,-0.76603119,2,-0.76603119,-188.98826778,0.0001646364,12.768,9.655,9.655
2mer-0+63,-1.26329549,2,-1.26329549,-190.25156327,0.0001596448,14.514,9.755,9.755
2mer-0+59,1.24101341,2,1.24101341,-189.01054986,0.0001450263,11.442,10.072,10.072
2mer-0+91,-2.02693711,2,-2.02693711,-191.03748697,0.00014294,15.111,10.121,10.121
2mer-0+54,-0.93737063,2,-0.93737063,-191.9748576,0.0001398213,13.065,10.196,10.196
2mer-0+94,-0.19145717,2,-0.19145717,-192.16631477,0.0001358457,13.419,10.294,10.294
2mer-0+86,0.59009308,2,0.59009308,-191.57622169,0.0001349344,14.894,10.317,10.317
2mer-0+71,-0.41021317,2,-0.41021317,-191.98643486,0.0001309555,13.59,10.421,10.421
2mer-0+124,1.09618081,2,1.09618081,-190.89025405,0.0001249874,15.7,10.584,10.584
2mer-0+74,-0.91658119,2,-0.91658119,-191.80683524,0.0001239329,15.43,10.614,10.614
2mer-0+178,-0.46863247,2,-0.46863247,-192.27546771,0.0001218638,16.424,10.674,10.674
2mer-0+112,0.20864467,2,0.20864467,-192.06682304,0.0001206159,14.919,10.71,10.71
2mer-0+96,1.07776002,2,1.07776002,-190.98906302,0.0001160702,13.007,10.848,10.848
2mer-0+90,-1.30257428,2,-1.30257428,-192.2916373,0.0001146374,15.35,10.893,10.893
2mer-0+87,-0.85062883,2,-0.85062883,-193.14226613,0.0001124418,15.55,10.964,10.964
2mer-0+122,0.50567221,2,0.50567221,-192.63659392,0.000109446,14.641,11.063,11.063
2mer-0+85,0.16564238,2,0.16564238,-192.47095154,0.000108729,16.135,11.087,11.087
2mer-0+92,-0.13817079,2,-0.13817079,-192.60912233,0.0001010644,16.579,11.361,11.361
2mer-0+76,0.38960466,2,0.38960466,-192.21951767,0.0001000001,13.474,11.401,11.401
2mer-0+104,0.48010749,2,0.48010749,-191.73941018,9.870698e-05,14.013,11.45,11.45
2mer-0+99,1.52184008,2,1.52184008,-190.2175701,9.780769e-05,15.613,11.485,11.485
2mer-0+109,0.07607545,2,0.07607545,-190.14149465,9.22504e-05,14.87,11.711,11.711
2mer-0+110,0.96258139,2,0.96258139,-189.17891326,8.815689e-05,14.87,11.89,11.89
2mer-0+100,-0.80559724,2,-0.80559724,-189.9845105,8.780661e-05,16.346,11.906,11.906
2mer-0+113,1.74943291,2,1.74943291,-188.23507759,8.769984e-05,16.456,11.911,11.911
2mer-0+207,-0.48396191,2,-0.48396191,-188.7190395,8.663818e-05,17.287,11.959,11.959
2mer-0+111,-0.2007588,2,-0.2007588,-188.9197983,8.636307e-05,14.023,11.972,11.972
2mer-0+103,0.58889441,2,0.58889441,-188.33090389,8.432629e-05,15.686,12.067,12.067
2mer-0+101,0.44329277,2,0.44329277,-187.88761112,8.410244e-05,16.579,12.078,12.078
2mer-0+115,-0.85154442,2,-0.85154442,-188.73915554,8.058693e-05,14.582,12.251,12.251
2mer-0+105,0.76633253,2,0.76633253,-187.97282301,7.98163e-05,15.678,12.291,12.291
2mer-0+123,-0.11626044,2,-0.11626044,-188.08908345,7.664485e-05,15.287,12.458,12.458
2mer-0+155,-1.34242915,2,-1.34242915,-189.4315126,7.592296e-05,16.579,12.497,12.497
2mer-0+145,-1.03100507,2,-1.03100507,-190.46251767,7.54796e-05,16.135,12.522,12.522
2mer-0+151,-1.13892123,2,-1.13892123,-191.6014389,7.53391e-05,17.352,12.529,12.529
2mer-0+131,0.06729978,2,0.06729978,-191.53413912,7.271635e-05,16.734,12.678,12.678
2mer-0+128,-0.23374807,2,-0.23374807,-191.76788719,7.252664e-05,17.847,12.689,12.689
2mer-0+114,-0.57348475,2,-0.57348475,-192.34137194,7.124745e-05,14.527,12.765,12.765
2mer-0+167,0.28781492,2,0.28781492,-192.05355702,7.052685e-05,18.315,12.808,12.808
2mer-0+117,0.33295486,2,0.33295486,-191.72060216,6.914422e-05,15.111,12.893,12.893
2mer-0+159,-0.94014381,2,-0.94014381,-192.66074597,6.66835e-05,15.437,13.05,13.05
2mer-0+137,-0.51814618,2,-0.51814618,-193.17889215,6.591358e-05,17.38,13.1,13.1
2mer-0+170,0.08396677,2,0.08396677,-193.09492538,6.453195e-05,18.259,13.193,13.193
2mer-0+148,-0.81894665,2,-0.81894665,-193.91387203,6.452897e-05,17.081,13.193,13.193
2mer-0+153,-0.50473564,2,-0.50473564,-194.41860767,6.282615e-05,15.369,13.311,13.311
2mer-0+118,-0.64394803,2,-0.64394803,-195.0625557,6.245537e-05,16.062,13.338,13.338
2mer-0+257,0.54311306,2,0.54311306,-194.51944264,6.109605e-05,18.938,13.436,13.436
2mer-0+163,1.38493566,2,1.38493566,-193.13450698,6.089977e-05,18.081,13.45,13.45
2mer-0+180,0.23145862,2,0.23145862,-192.90304836,6.043681e-05,17.245,13.484,13.484
2mer-0+186,0.34300829,2,0.34300829,-192.56004007,5.97938e-05,19.147,13.533,13.533
2mer-0+192,-1.19330665,2,-1.19330665,-193.75334672,5.905241e-05,17.847,13.589,13.589
2mer-0+142,0.50736989,2,0.50736989,-193.24597683,5.884574e-05,15.256,13.605,13.605
2mer-0+205,0.58297237,2,0.58297237,-192.66300446,5.828995e-05,18.326,13.648,13.648
2mer-0+166,-0.45037945,2,-0.45037945,-193.11338391,5.818396e-05,16.579,13.656,13.656
2mer-0+195,0.62989235,2,0.62989235,-192.48349156,5.806724e-05,16.883,13.665,13.665
2mer-0+225,0.80885758,2,0.80885758,-191.67463398,5.718491e-05,18.248,13.735,13.735
2mer-0+156,0.30780341,2,0.30780341,-191.36683057,5.6803e-05,18.81,13.766,13.766
2mer-0+169,0.40372819,2,0.40372819,-190.96310238,5.5539e-05,18.992,13.87,13.87
2mer-0+138,0.13219732,2,0.13219732,-190.83090506,5.342747e-05,16.642,14.05,14.05
2mer-0+143,0.5063438,2,0.5063438,-190.32456126,5.321494e-05,17.847,14.069,14.069
