N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-90.39989056,2,-90.39989056,-90.39989056,0.02169007,5.315,1.897,1.897
2mer-0+4,-41.94548465,2,-41.94548465,-132.34537521,0.01539951,6.666,2.127,2.127
2mer-0+6,6.9356002,2,6.9356002,-125.40977501,0.01172207,6.169,2.33,2.33
2mer-0+25,0.33227808,2,0.33227808,-125.07749693,0.009799152,7.983,2.473,2.473
2mer-0+1,-31.7028905,2,-31.7028905,-156.78038743,0.005889715,5.505,2.93,2.93
2mer-0+3,6.7583749,2,6.7583749,-150.02201253,0.004571022,3.814,3.189,3.189
2mer-0+12,-9.11556226,2,-9.11556226,-159.13757479,0.002852764,7.545,3.731,3.731
2mer-0+13,3.36005702,2,3.36005702,-155.77751777,0.001732545,9.496,4.406,4.406
2mer-0+9,-4.80508006,2,-4.80508006,-160.58259783,0.001250384,7.813,4.912,4.912
2mer-0+15,-9.62922333,2,-9.62922333,-170.21182116,0.001187899,7.435,4.997,4.997
2mer-0+11,0.2537104,2,0.2537104,-169.95811076,0.001008942,9.133,5.276,5.276
2mer-0+26,0.66419175,2,0.66419175,-169.29391901,0.0009217316,10.233,5.438,5.438
2mer-0+16,-0.43214392,2,-0.43214392,-169.72606293,0.0009028155,8.194,5.475,5.475
2mer-0+36,-3.07828116,2,-3.07828116,-172.80434409,0.0008193655,9.634,5.655,5.655
2mer-0+19,-0.72345957,2,-0.72345957,-173.52780366,0.0007642174,10.438,5.788,5.788
2mer-0+27,3.05261215,2,3.05261215,-170.47519151,0.0007050102,10.233,5.946,5.946
2mer-0+14,-5.00942523,2,-5.00942523,-175.48461674,0.0006760709,7.84,6.029,6.029
2mer-0+21,4.19025652,2,4.19025652,-171.29436022,0.0005036467,7.628,6.651,6.651
2mer-0+28,0.77436167,2,0.77436167,-170.51999855,0.0004681132,11.205,6.815,6.815
2mer-0+33,-1.70616377,2,-1.70616377,-172.22616232,0.0004235878,11.02,7.046,7.046
2mer-0+58,2.21819737,2,2.21819737,-170.00796495,0.0004092237,12.454,7.128,7.128
2mer-0+24,-1.2240731,2,-1.2240731,-171.23203805,0.0004027611,10.607,7.166,7.166
2mer-0+42,0.78341305,2,0.78341305,-170.448625,0.0003905103,9.925,7.24,7.24
2mer-0+46,6.1825601,2,6.1825601,-164.2660649,0.0003124828,10.444,7.798,7.798
2mer-0+64,0.97729335,2,0.97729335,-163.28877155,0.0002905249,12.371,7.99,7.99
2mer-0+31,-0.06622501,2,-0.06622501,-163.35499656,0.0002861295,10.332,8.031,8.031
2mer-0+79,1.96888843,2,1.96888843,-161.38610813,0.0002710287,13.647,8.177,8.177
2mer-0+68,-0.36825973,2,-0.36825973,-161.75436786,0.0002657258,12.66,8.231,8.231
2mer-0+51,0.0161411,2,0.0161411,-161.73822676,0.0002595832,12.181,8.295,8.295
2mer-0+45,-1.11159131,2,-1.11159131,-162.84981807,0.00025522,10.555,8.343,8.343
2mer-0+52,1.87510045,2,1.87510045,-160.97471762,0.0002336634,12.181,8.592,8.592
2mer-0+50,-1.26725297,2,-1.26725297,-162.24197059,0.0002255714,11.195,8.693,8.693
2mer-0+75,-0.03243126,2,-0.03243126,-162.27440185,0.0002206772,13.3,8.757,8.757
2mer-0+60,-2.81954294,2,-2.81954294,-165.09394479,0.0002194277,13.59,8.773,8.773
2mer-0+62,1.36594682,2,1.36594682,-163.72799797,0.0002178313,13.883,8.795,8.795
2mer-0+56,-1.966519,2,-1.966519,-165.69451697,0.0002069112,13.044,8.947,8.947
2mer-0+61,2.55209824,2,2.55209824,-163.14241873,0.0001935639,11.755,9.148,9.148
2mer-0+82,-1.77277827,2,-1.77277827,-164.915197,0.0001827981,12.288,9.324,9.324
2mer-0+44,0.87656934,2,0.87656934,-164.03862766,0.0001823477,13.086,9.332,9.332
2mer-0+84,-0.00415097,2,-0.00415097,-164.04277863,0.0001822192,13.144,9.334,9.334
2mer-0+49,-1.44306921,2,-1.44306921,-165.48584784,0.0001787746,11.032,9.394,9.394
2mer-0+65,-1.62231704,2,-1.62231704,-167.10816488,0.0001669409,14.443,9.611,9.611
2mer-0+67,-0.8248184,2,-0.8248184,-167.93298328,0.0001646364,12.768,9.655,9.655
2mer-0+63,-1.35358823,2,-1.35358823,-169.28657151,0.0001596448,14.514,9.755,9.755
2mer-0+59,1.31966856,2,1.31966856,-167.96690295,0.0001450263,11.442,10.072,10.072
2mer-0+91,-2.10796727,2,-2.10796727,-170.07487022,0.00014294,15.111,10.121,10.121
2mer-0+54,-1.05374227,2,-1.05374227,-171.12861249,0.0001398213,13.065,10.196,10.196
2mer-0+94,-0.17420494,2,-0.17420494,-171.30281743,0.0001358457,13.419,10.294,10.294
2mer-0+86,0.66560496,2,0.66560496,-170.63721247,0.0001349344,14.894,10.317,10.317
2mer-0+71,-0.40120653,2,-0.40120653,-171.038419,0.0001309555,13.59,10.421,10.421
2mer-0+124,1.15970306,2,1.15970306,-169.87871594,0.0001249874,15.7,10.584,10.584
2mer-0+74,-0.96772246,2,-0.96772246,-170.8464384,0.0001239329,15.43,10.614,10.614
2mer-0+178,-0.50971637,2,-0.50971637,-171.35615477,0.0001218638,16.424,10.674,10.674
2mer-0+112,0.20007569,2,0.20007569,-171.15607908,0.0001206159,14.919,10.71,10.71
2mer-0+96,1.11234673,2,1.11234673,-170.04373235,0.0001160702,13.007,10.848,10.848
2mer-0+90,-1.38082992,2,-1.38082992,-171.42456227,0.0001146374,15.35,10.893,10.893
2mer-0+87,-0.9072155,2,-0.9072155,-172.33177777,0.0001124418,15.55,10.964,10.964
2mer-0+122,0.58214727,2,0.58214727,-171.7496305,0.000109446,14.641,11.063,11.063
2mer-0+85,0.22891587,2,0.22891587,-171.52071463,0.000108729,16.135,11.087,11.087
2mer-0+92,-0.08855067,2,-0.08855067,-171.6092653,0.0001010644,16.579,11.361,11.361
