N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+16,-44.1032118,1,-22.0516059,-22.0516059,0.01765128,6.075,2.032,2.032
2mer-0+3,-21.12062374,2,-21.12062374,-43.17222964,0.01751051,5.051,2.038,2.038
2mer-0+9,-14.72327359,1,-7.3616368,-50.53386643,0.009059375,4.933,2.538,2.538
2mer-0+2,-13.1467342,1,-6.5733671,-57.10723353,0.009032629,4.232,2.541,2.541
2mer-0+14,-6.33200409,1,-3.16600205,-60.27323558,0.007523316,3.726,2.701,2.701
2mer-0+7,-1.25476862,1,-0.62738431,-60.90061989,0.007495062,8.506,2.704,2.704
2mer-0+40,2.50956883,1,1.25478441,-59.64583547,0.007124339,7.819,2.75,2.75
2mer-0+10,-6.31380378,2,-6.31380378,-65.95963925,0.006366319,7.011,2.855,2.855
2mer-0+8,0.02289029,2,0.02289029,-65.93674896,0.005831658,7.637,2.94,2.94
2mer-0+4,-0.81484183,1,-0.40742092,-66.34416988,0.004943218,9.254,3.106,3.106
2mer-0+12,-0.18689254,1,-0.09344627,-66.43761615,0.004506339,6.269,3.204,3.204
2mer-0+1,-2.62768134,1,-1.31384067,-67.75145682,0.003350171,6.895,3.537,3.537
2mer-0+11,-0.47081874,2,-0.47081874,-68.22227555,0.00188203,9.23,4.286,4.286
2mer-0+26,5.64766494,1,2.82383247,-65.39844308,0.001565296,7.981,4.558,4.558
2mer-0+29,-0.42834533,1,-0.21417267,-65.61261575,0.001070671,9.126,5.173,5.173
2mer-0+17,0.10478045,2,0.10478045,-65.5078353,0.001039938,7.951,5.223,5.223
2mer-0+41,-0.61841494,1,-0.30920747,-65.81704277,0.001011665,7.38,5.271,5.271
2mer-0+44,-0.25881745,1,-0.12940872,-65.94645149,0.001008651,9.444,5.277,5.277
2mer-0+5,0.39557089,2,0.39557089,-65.55088061,0.0007051203,7.543,5.945,5.945
2mer-0+6,0.18944421,2,0.18944421,-65.36143639,0.0007028231,10.656,5.952,5.952
2mer-0+27,-1.04237005,1,-0.52118502,-65.88262142,0.0006764842,8.175,6.028,6.028
2mer-0+37,-0.41174564,2,-0.41174564,-66.29436705,0.000673045,10.386,6.038,6.038
2mer-0+20,-0.19521045,2,-0.19521045,-66.4895775,0.0006587009,9.541,6.082,6.082
2mer-0+45,0.00432345,1,0.00216172,-66.48741577,0.0006440306,10.492,6.128,6.128
2mer-0+19,0.17026545,2,0.17026545,-66.31715033,0.0006090375,10.886,6.243,6.243
2mer-0+13,-0.53291566,1,-0.26645783,-66.58360816,0.0005614532,7.861,6.415,6.415
2mer-0+25,-0.72432409,1,-0.36216205,-66.9457702,0.0005159326,9.263,6.598,6.598
2mer-0+109,0.52759906,1,0.26379953,-66.68197067,0.0004905925,11.678,6.71,6.71
2mer-0+23,-0.95728476,2,-0.95728476,-67.63925543,0.0004240145,10.102,7.044,7.044
2mer-0+62,0.11575093,1,0.05787546,-67.58137997,0.0004167979,11.086,7.084,7.084
2mer-0+105,-0.37442861,1,-0.1872143,-67.76859427,0.0003856479,12.889,7.27,7.27
2mer-0+18,-0.18011108,1,-0.09005554,-67.85864981,0.0003585094,12.245,7.449,7.449
2mer-0+38,-0.35460245,1,-0.17730123,-68.03595104,0.0003483259,11.332,7.521,7.521
2mer-0+15,0.06263657,2,0.06263657,-67.97331447,0.0003471183,10.08,7.53,7.53
2mer-0+59,0.10718776,1,0.05359388,-67.9197206,0.000343198,10.57,7.558,7.558
2mer-0+30,-0.01688839,1,-0.00844419,-67.92816479,0.0003269279,13.012,7.682,7.682
2mer-0+24,-0.3873767,1,-0.19368835,-68.12185314,0.000278277,11.323,8.105,8.105
2mer-0+82,-0.61478669,1,-0.30739334,-68.42924649,0.0002659482,12.579,8.229,8.229
2mer-0+103,-0.5250539,1,-0.26252695,-68.69177344,0.0002650657,11.217,8.238,8.238
2mer-0+49,-0.33402231,2,-0.33402231,-69.02579574,0.0002643043,10.981,8.246,8.246
2mer-0+54,0.02755537,1,0.01377769,-69.01201806,0.0002604365,13.706,8.286,8.286
2mer-0+65,0.07744911,2,0.07744911,-68.93456895,0.0002603881,13.764,8.287,8.287
2mer-0+31,0.19582808,1,0.09791404,-68.83665491,0.0002461629,10.382,8.444,8.444
2mer-0+55,0.03179721,1,0.0158986,-68.8207563,0.0002285254,14.901,8.655,8.655
2mer-0+42,0.16370142,2,0.16370142,-68.65705489,0.0002222488,10.812,8.736,8.736
2mer-0+43,-0.04528176,1,-0.02264088,-68.67969576,0.0002155564,11.745,8.826,8.826
2mer-0+73,0.03501574,1,0.01750787,-68.6621879,0.0002152287,15.003,8.83,8.83
2mer-0+34,0.17240931,2,0.17240931,-68.48977859,0.0002138866,11.266,8.849,8.849
2mer-0+53,0.99842672,1,0.49921336,-67.99056523,0.0002124136,11.897,8.869,8.869
2mer-0+111,0.02544409,1,0.01272204,-67.97784319,0.0002124135,12.088,8.869,8.869
2mer-0+50,0.0848951,2,0.0848951,-67.89294809,0.0002072287,14.961,8.942,8.942
2mer-0+121,0.04183709,1,0.02091854,-67.87202954,0.0002047009,12.086,8.979,8.979
2mer-0+32,-0.14840483,1,-0.07420241,-67.94623196,0.0002028541,11.651,9.006,9.006
2mer-0+95,0.1813854,1,0.0906927,-67.85553926,0.0002016545,11.551,9.024,9.024
2mer-0+90,-0.08096554,2,-0.08096554,-67.9365048,0.0001918892,14.023,9.175,9.175
2mer-0+68,-0.06189415,2,-0.06189415,-67.99839896,0.0001882448,14.554,9.233,9.233
2mer-0+100,-0.12431076,1,-0.06215538,-68.06055434,0.0001841105,10.72,9.302,9.302
2mer-0+80,0.02559736,2,0.02559736,-68.03495697,0.0001815906,12.566,9.345,9.345
2mer-0+153,-0.25634146,1,-0.12817073,-68.1631277,0.0001778514,13.009,9.41,9.41
2mer-0+33,0.08672807,2,0.08672807,-68.07639963,0.0001774831,13.89,9.416,9.416
2mer-0+169,0.07019729,1,0.03509864,-68.04130099,0.0001764188,15.001,9.435,9.435
2mer-0+36,-0.05732138,1,-0.02866069,-68.06996168,0.0001611309,14.205,9.725,9.725
2mer-0+74,-0.18765431,2,-0.18765431,-68.25761599,0.0001581614,13.475,9.785,9.785
2mer-0+70,0.14268179,2,0.14268179,-68.11493421,0.0001525204,15.274,9.904,9.904
2mer-0+107,-0.01123282,1,-0.00561641,-68.12055062,0.0001502539,15.51,9.954,9.954
2mer-0+120,-0.15946561,1,-0.0797328,-68.20028342,0.0001418066,11.12,10.148,10.148
2mer-0+63,-0.01166405,1,-0.00583202,-68.20611545,0.0001389087,16.432,10.218,10.218
2mer-0+106,0.00033371,1,0.00016685,-68.20594859,0.0001388662,12.538,10.219,10.219
2mer-0+101,-0.27825023,1,-0.13912512,-68.34507371,0.0001336025,13.881,10.351,10.351
2mer-0+172,-0.27724126,1,-0.13862063,-68.48369434,0.0001319747,15.043,10.394,10.394
2mer-0+39,-0.14051089,1,-0.07025544,-68.55394979,0.0001261118,13.586,10.552,10.552
2mer-0+218,-0.18361078,1,-0.09180539,-68.64575518,0.0001244188,15.917,10.6,10.6
2mer-0+164,0.13898755,1,0.06949377,-68.5762614,0.0001200595,15.166,10.727,10.727
2mer-0+144,0.00198519,1,0.0009926,-68.57526881,0.0001198178,16.211,10.734,10.734
2mer-0+58,-0.15335826,2,-0.15335826,-68.72862707,0.0001173082,13.562,10.81,10.81
2mer-0+46,-0.04186353,2,-0.04186353,-68.7704906,0.0001162251,14.048,10.843,10.843
2mer-0+137,0.07099845,1,0.03549923,-68.73499137,0.0001144179,14.102,10.9,10.9
2mer-0+110,0.16361764,1,0.08180882,-68.65318255,0.0001137434,14.191,10.922,10.922
2mer-0+57,-0.0432232,2,-0.0432232,-68.69640576,0.0001129449,15.157,10.947,10.947
2mer-0+128,0.41591223,1,0.20795611,-68.48844964,0.0001125453,13.859,10.96,10.96
2mer-0+98,0.03243868,1,0.01621934,-68.4722303,0.0001102138,13.826,11.037,11.037
2mer-0+66,0.10191876,2,0.10191876,-68.37031155,0.0001094437,16.937,11.063,11.063
2mer-0+52,0.04343093,2,0.04343093,-68.32688062,0.0001092189,13.711,11.071,11.071
2mer-0+149,-0.09106147,1,-0.04553074,-68.37241136,0.0001071485,15.245,11.141,11.141
2mer-0+142,0.03441619,1,0.01720809,-68.35520327,0.0001048357,16.709,11.223,11.223
2mer-0+232,0.13085215,1,0.06542607,-68.28977719,0.0001010388,16.207,11.362,11.362
