N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+16,-38.99480397,1,-19.49740199,-19.49740199,0.01765128,6.075,2.032,2.032
2mer-0+3,-18.50307153,2,-18.50307153,-38.00047351,0.01751051,5.051,2.038,2.038
2mer-0+9,-12.66477959,1,-6.33238979,-44.33286331,0.009059375,4.933,2.538,2.538
2mer-0+2,-8.27215644,1,-4.13607822,-48.46894152,0.009032629,4.232,2.541,2.541
2mer-0+14,-1.96457244,1,-0.98228622,-49.45122774,0.007523316,3.726,2.701,2.701
2mer-0+7,0.02028658,1,0.01014329,-49.44108445,0.007495062,8.506,2.704,2.704
2mer-0+40,3.44070283,1,1.72035142,-47.72073304,0.007124339,7.819,2.75,2.75
2mer-0+10,-5.32540599,2,-5.32540599,-53.04613902,0.006366319,7.011,2.855,2.855
2mer-0+8,0.97629497,2,0.97629497,-52.06984406,0.005831658,7.637,2.94,2.94
2mer-0+4,-0.54519791,1,-0.27259895,-52.34244301,0.004943218,9.254,3.106,3.106
2mer-0+12,0.23846266,1,0.11923133,-52.22321168,0.004506339,6.269,3.204,3.204
2mer-0+1,-2.46543274,1,-1.23271637,-53.45592805,0.003350171,6.895,3.537,3.537
2mer-0+11,-0.4078081,2,-0.4078081,-53.86373616,0.00188203,9.23,4.286,4.286
2mer-0+26,5.96757578,1,2.98378789,-50.87994826,0.001565296,7.981,4.558,4.558
2mer-0+29,-0.34291491,1,-0.17145745,-51.05140572,0.001070671,9.126,5.173,5.173
2mer-0+17,0.15162885,2,0.15162885,-50.89977687,0.001039938,7.951,5.223,5.223
2mer-0+41,-0.52440144,1,-0.26220072,-51.16197759,0.001011665,7.38,5.271,5.271
2mer-0+44,-0.23127003,1,-0.11563502,-51.27761261,0.001008651,9.444,5.277,5.277
2mer-0+5,0.45446097,2,0.45446097,-50.82315164,0.0007051203,7.543,5.945,5.945
2mer-0+6,0.22063005,2,0.22063005,-50.60252159,0.0007028231,10.656,5.952,5.952
2mer-0+27,-0.94792735,1,-0.47396367,-51.07648526,0.0006764842,8.175,6.028,6.028
2mer-0+37,-0.3987061,2,-0.3987061,-51.47519136,0.000673045,10.386,6.038,6.038
2mer-0+20,-0.14338393,2,-0.14338393,-51.61857529,0.0006587009,9.541,6.082,6.082
2mer-0+45,0.01924446,1,0.00962223,-51.60895307,0.0006440306,10.492,6.128,6.128
2mer-0+19,0.19518923,2,0.19518923,-51.41376384,0.0006090375,10.886,6.243,6.243
2mer-0+13,-0.49567333,1,-0.24783666,-51.6616005,0.0005614532,7.861,6.415,6.415
2mer-0+25,-0.75678086,1,-0.37839043,-52.03999093,0.0005159326,9.263,6.598,6.598
2mer-0+109,0.52378635,1,0.26189318,-51.77809775,0.0004905925,11.678,6.71,6.71
2mer-0+23,-0.94375787,2,-0.94375787,-52.72185562,0.0004240145,10.102,7.044,7.044
2mer-0+62,0.12373154,1,0.06186577,-52.65998985,0.0004167979,11.086,7.084,7.084
2mer-0+105,-0.36573207,1,-0.18286603,-52.84285588,0.0003856479,12.889,7.27,7.27
2mer-0+18,-0.16860816,1,-0.08430408,-52.92715996,0.0003585094,12.245,7.449,7.449
2mer-0+38,-0.34049286,1,-0.17024643,-53.09740639,0.0003483259,11.332,7.521,7.521
2mer-0+15,0.07368878,2,0.07368878,-53.02371761,0.0003471183,10.08,7.53,7.53
2mer-0+59,0.10156917,1,0.05078458,-52.97293303,0.000343198,10.57,7.558,7.558
2mer-0+30,-0.00711479,1,-0.0035574,-52.97649042,0.0003269279,13.012,7.682,7.682
2mer-0+24,-0.3966685,1,-0.19833425,-53.17482467,0.000278277,11.323,8.105,8.105
2mer-0+82,-0.61449448,1,-0.30724724,-53.48207192,0.0002659482,12.579,8.229,8.229
2mer-0+103,-0.51230774,1,-0.25615387,-53.73822579,0.0002650657,11.217,8.238,8.238
2mer-0+49,-0.32103526,2,-0.32103526,-54.05926104,0.0002643043,10.981,8.246,8.246
2mer-0+54,0.03151241,1,0.0157562,-54.04350484,0.0002604365,13.706,8.286,8.286
2mer-0+65,0.07702272,2,0.07702272,-53.96648212,0.0002603881,13.764,8.287,8.287
2mer-0+31,0.19516599,1,0.09758299,-53.86889913,0.0002461629,10.382,8.444,8.444
2mer-0+55,0.03837103,1,0.01918552,-53.84971361,0.0002285254,14.901,8.655,8.655
2mer-0+42,0.16891456,2,0.16891456,-53.68079905,0.0002222488,10.812,8.736,8.736
2mer-0+43,-0.03477562,1,-0.01738781,-53.69818686,0.0002155564,11.745,8.826,8.826
2mer-0+73,0.03776322,1,0.01888161,-53.67930525,0.0002152287,15.003,8.83,8.83
2mer-0+34,0.17385117,2,0.17385117,-53.50545408,0.0002138866,11.266,8.849,8.849
2mer-0+53,1.02219586,1,0.51109793,-52.99435615,0.0002124136,11.897,8.869,8.869
2mer-0+111,0.03019559,1,0.0150978,-52.97925836,0.0002124135,12.088,8.869,8.869
2mer-0+50,0.08521937,2,0.08521937,-52.89403899,0.0002072287,14.961,8.942,8.942
2mer-0+121,0.03775561,1,0.0188778,-52.87516119,0.0002047009,12.086,8.979,8.979
2mer-0+32,-0.13913789,1,-0.06956895,-52.94473013,0.0002028541,11.651,9.006,9.006
2mer-0+95,0.18565026,1,0.09282513,-52.851905,0.0002016545,11.551,9.024,9.024
2mer-0+90,-0.08417196,2,-0.08417196,-52.93607696,0.0001918892,14.023,9.175,9.175
2mer-0+68,-0.06511337,2,-0.06511337,-53.00119034,0.0001882448,14.554,9.233,9.233
2mer-0+100,-0.12109993,1,-0.06054996,-53.0617403,0.0001841105,10.72,9.302,9.302
2mer-0+80,0.03015823,2,0.03015823,-53.03158207,0.0001815906,12.566,9.345,9.345
2mer-0+153,-0.24631892,1,-0.12315946,-53.15474153,0.0001778514,13.009,9.41,9.41
2mer-0+33,0.09133323,2,0.09133323,-53.06340829,0.0001774831,13.89,9.416,9.416
2mer-0+169,0.07340279,1,0.03670139,-53.0267069,0.0001764188,15.001,9.435,9.435
2mer-0+36,-0.05093543,1,-0.02546771,-53.05217462,0.0001611309,14.205,9.725,9.725
2mer-0+74,-0.1786754,2,-0.1786754,-53.23085002,0.0001581614,13.475,9.785,9.785
2mer-0+70,0.14531991,2,0.14531991,-53.08553011,0.0001525204,15.274,9.904,9.904
2mer-0+107,-0.00718338,1,-0.00359169,-53.0891218,0.0001502539,15.51,9.954,9.954
2mer-0+120,-0.14556282,1,-0.07278141,-53.16190321,0.0001418066,11.12,10.148,10.148
2mer-0+63,-0.00705419,1,-0.0035271,-53.16543031,0.0001389087,16.432,10.218,10.218
2mer-0+106,-0.00624479,1,-0.0031224,-53.1685527,0.0001388662,12.538,10.219,10.219
2mer-0+101,-0.27321115,1,-0.13660557,-53.30515828,0.0001336025,13.881,10.351,10.351
2mer-0+172,-0.27582811,1,-0.13791406,-53.44307234,0.0001319747,15.043,10.394,10.394
