N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+16,-43.40004256,1,-21.70002128,-21.70002128,0.01765128,6.075,2.032,2.032
2mer-0+3,-21.02345685,2,-21.02345685,-42.72347813,0.01751051,5.051,2.038,2.038
2mer-0+9,-14.89354636,1,-7.44677318,-50.17025131,0.009059375,4.933,2.538,2.538
2mer-0+2,-13.43975659,1,-6.7198783,-56.89012961,0.009032629,4.232,2.541,2.541
2mer-0+14,-6.20877763,1,-3.10438881,-59.99451842,0.007523316,3.726,2.701,2.701
2mer-0+7,-1.16785732,1,-0.58392866,-60.57844708,0.007495062,8.506,2.704,2.704
2mer-0+40,2.32978957,1,1.16489479,-59.41355229,0.007124339,7.819,2.75,2.75
2mer-0+10,-6.35462254,2,-6.35462254,-65.76817483,0.006366319,7.011,2.855,2.855
2mer-0+8,-0.06688048,2,-0.06688048,-65.8350553,0.005831658,7.637,2.94,2.94
2mer-0+4,-0.81872351,1,-0.40936176,-66.24441706,0.004943218,9.254,3.106,3.106
2mer-0+12,-0.22035519,1,-0.11017759,-66.35459465,0.004506339,6.269,3.204,3.204
2mer-0+1,-2.63455259,1,-1.31727629,-67.67187095,0.003350171,6.895,3.537,3.537
2mer-0+11,-0.47876717,2,-0.47876717,-68.15063811,0.00188203,9.23,4.286,4.286
2mer-0+26,5.40160001,1,2.7008,-65.44983811,0.001565296,7.981,4.558,4.558
2mer-0+29,-0.42939172,1,-0.21469586,-65.66453397,0.001070671,9.126,5.173,5.173
2mer-0+17,0.09367048,2,0.09367048,-65.57086348,0.001039938,7.951,5.223,5.223
2mer-0+41,-0.63069793,1,-0.31534896,-65.88621245,0.001011665,7.38,5.271,5.271
2mer-0+44,-0.26935898,1,-0.13467949,-66.02089194,0.001008651,9.444,5.277,5.277
2mer-0+5,0.35188996,2,0.35188996,-65.66900198,0.0007051203,7.543,5.945,5.945
2mer-0+6,0.1765291,2,0.1765291,-65.49247288,0.0007028231,10.656,5.952,5.952
2mer-0+27,-1.02594301,1,-0.51297151,-66.00544439,0.0006764842,8.175,6.028,6.028
2mer-0+37,-0.41642701,2,-0.41642701,-66.4218714,0.000673045,10.386,6.038,6.038
2mer-0+20,-0.19323757,2,-0.19323757,-66.61510896,0.0006587009,9.541,6.082,6.082
2mer-0+45,-0.00211026,1,-0.00105513,-66.61616409,0.0006440306,10.492,6.128,6.128
2mer-0+19,0.16816364,2,0.16816364,-66.44800046,0.0006090375,10.886,6.243,6.243
2mer-0+13,-0.4952146,1,-0.2476073,-66.69560776,0.0005614532,7.861,6.415,6.415
2mer-0+25,-0.73768465,1,-0.36884232,-67.06445008,0.0005159326,9.263,6.598,6.598
2mer-0+109,0.50084778,1,0.25042389,-66.81402619,0.0004905925,11.678,6.71,6.71
2mer-0+23,-0.92415765,2,-0.92415765,-67.73818384,0.0004240145,10.102,7.044,7.044
2mer-0+62,0.09969234,1,0.04984617,-67.68833767,0.0004167979,11.086,7.084,7.084
