N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+16,-47.77458027,1,-23.88729013,-23.88729013,0.01765128,6.075,2.032,2.032
2mer-0+3,-21.92343631,2,-21.92343631,-45.81072644,0.01751051,5.051,2.038,2.038
2mer-0+9,-18.15223271,1,-9.07611635,-54.88684279,0.009059375,4.933,2.538,2.538
2mer-0+2,-15.86910727,1,-7.93455363,-62.82139643,0.009032629,4.232,2.541,2.541
2mer-0+14,-12.40509455,1,-6.20254727,-69.0239437,0.007523316,3.726,2.701,2.701
2mer-0+7,-2.3521428,1,-1.1760714,-70.2000151,0.007495062,8.506,2.704,2.704
2mer-0+40,1.82870426,1,0.91435213,-69.28566297,0.007124339,7.819,2.75,2.75
2mer-0+10,-8.12840499,2,-8.12840499,-77.41406796,0.006366319,7.011,2.855,2.855
2mer-0+8,-1.52934233,2,-1.52934233,-78.9434103,0.005831658,7.637,2.94,2.94
2mer-0+4,-1.35727842,1,-0.67863921,-79.62204951,0.004943218,9.254,3.106,3.106
2mer-0+12,-0.81949268,1,-0.40974634,-80.03179585,0.004506339,6.269,3.204,3.204
2mer-0+1,-2.78278693,1,-1.39139347,-81.42318931,0.003350171,6.895,3.537,3.537
2mer-0+11,-0.40991055,2,-0.40991055,-81.83309986,0.00188203,9.23,4.286,4.286
2mer-0+26,5.74594804,1,2.87297402,-78.96012585,0.001565296,7.981,4.558,4.558
2mer-0+29,-0.50637194,1,-0.25318597,-79.21331182,0.001070671,9.126,5.173,5.173
2mer-0+17,0.12270703,2,0.12270703,-79.09060479,0.001039938,7.951,5.223,5.223
2mer-0+41,-0.78312828,1,-0.39156414,-79.48216893,0.001011665,7.38,5.271,5.271
2mer-0+44,-0.29607598,1,-0.14803799,-79.63020692,0.001008651,9.444,5.277,5.277
2mer-0+5,0.39273823,2,0.39273823,-79.23746868,0.0007051203,7.543,5.945,5.945
2mer-0+6,0.16421097,2,0.16421097,-79.07325772,0.0007028231,10.656,5.952,5.952
2mer-0+27,-1.19962867,1,-0.59981434,-79.67307205,0.0006764842,8.175,6.028,6.028
2mer-0+37,-0.34629876,2,-0.34629876,-80.01937081,0.000673045,10.386,6.038,6.038
2mer-0+20,-0.14081468,2,-0.14081468,-80.16018549,0.0006587009,9.541,6.082,6.082
2mer-0+45,-0.01256937,1,-0.00628468,-80.16647018,0.0006440306,10.492,6.128,6.128
2mer-0+19,0.13069291,2,0.13069291,-80.03577727,0.0006090375,10.886,6.243,6.243
2mer-0+13,-0.56870917,1,-0.28435459,-80.32013186,0.0005614532,7.861,6.415,6.415
2mer-0+25,-0.65290616,1,-0.32645308,-80.64658493,0.0005159326,9.263,6.598,6.598
2mer-0+109,0.61551079,1,0.30775539,-80.33882954,0.0004905925,11.678,6.71,6.71
2mer-0+23,-1.04456935,2,-1.04456935,-81.38339889,0.0004240145,10.102,7.044,7.044
2mer-0+62,0.15522317,1,0.07761159,-81.3057873,0.0004167979,11.086,7.084,7.084
2mer-0+105,-0.36525826,1,-0.18262913,-81.48841643,0.0003856479,12.889,7.27,7.27
2mer-0+18,-0.19235737,1,-0.09617868,-81.58459511,0.0003585094,12.245,7.449,7.449
2mer-0+38,-0.35876714,1,-0.17938357,-81.76397869,0.0003483259,11.332,7.521,7.521
2mer-0+15,0.02717435,2,0.02717435,-81.73680434,0.0003471183,10.08,7.53,7.53
2mer-0+59,0.09408064,1,0.04704032,-81.68976401,0.000343198,10.57,7.558,7.558
2mer-0+30,-0.03341221,1,-0.0167061,-81.70647012,0.0003269279,13.012,7.682,7.682
2mer-0+24,-0.3563626,1,-0.1781813,-81.88465142,0.000278277,11.323,8.105,8.105
2mer-0+82,-0.68230965,1,-0.34115483,-82.22580625,0.0002659482,12.579,8.229,8.229
2mer-0+103,-0.59302097,1,-0.29651048,-82.52231673,0.0002650657,11.217,8.238,8.238
2mer-0+49,-0.36699692,2,-0.36699692,-82.88931365,0.0002643043,10.981,8.246,8.246
2mer-0+54,0.0155693,1,0.00778465,-82.881529,0.0002604365,13.706,8.286,8.286
2mer-0+65,0.08635833,2,0.08635833,-82.79517067,0.0002603881,13.764,8.287,8.287
2mer-0+31,0.24770142,1,0.12385071,-82.67131996,0.0002461629,10.382,8.444,8.444
2mer-0+55,0.01583872,1,0.00791936,-82.6634006,0.0002285254,14.901,8.655,8.655
2mer-0+42,0.14890085,2,0.14890085,-82.51449975,0.0002222488,10.812,8.736,8.736
2mer-0+43,-0.05751487,1,-0.02875743,-82.54325718,0.0002155564,11.745,8.826,8.826
2mer-0+73,0.02068898,1,0.01034449,-82.53291269,0.0002152287,15.003,8.83,8.83
2mer-0+34,0.18041241,2,0.18041241,-82.35250029,0.0002138866,11.266,8.849,8.849
2mer-0+53,1.03006874,1,0.51503437,-81.83746592,0.0002124136,11.897,8.869,8.869
2mer-0+111,0.01740808,1,0.00870404,-81.82876188,0.0002124135,12.088,8.869,8.869
2mer-0+50,0.09186084,2,0.09186084,-81.73690103,0.0002072287,14.961,8.942,8.942
2mer-0+121,0.03634608,1,0.01817304,-81.71872799,0.0002047009,12.086,8.979,8.979
2mer-0+32,-0.15711209,1,-0.07855604,-81.79728404,0.0002028541,11.651,9.006,9.006
2mer-0+95,0.14824043,1,0.07412022,-81.72316382,0.0002016545,11.551,9.024,9.024
2mer-0+90,-0.06597869,2,-0.06597869,-81.78914251,0.0001918892,14.023,9.175,9.175
2mer-0+68,-0.04455614,2,-0.04455614,-81.83369864,0.0001882448,14.554,9.233,9.233
2mer-0+100,-0.09933289,1,-0.04966644,-81.88336509,0.0001841105,10.72,9.302,9.302
2mer-0+80,-0.00060788,2,-0.00060788,-81.88397296,0.0001815906,12.566,9.345,9.345
2mer-0+153,-0.27320263,1,-0.13660131,-82.02057428,0.0001778514,13.009,9.41,9.41
2mer-0+33,0.0690393,2,0.0690393,-81.95153497,0.0001774831,13.89,9.416,9.416
2mer-0+169,0.10630954,1,0.05315477,-81.8983802,0.0001764188,15.001,9.435,9.435
2mer-0+36,-0.06726509,1,-0.03363255,-81.93201275,0.0001611309,14.205,9.725,9.725
2mer-0+74,-0.17788507,2,-0.17788507,-82.10989782,0.0001581614,13.475,9.785,9.785
2mer-0+70,0.14215445,2,0.14215445,-81.96774337,0.0001525204,15.274,9.904,9.904
2mer-0+107,-0.01925787,1,-0.00962894,-81.9773723,0.0001502539,15.51,9.954,9.954
2mer-0+120,-0.17285683,1,-0.08642842,-82.06380072,0.0001418066,11.12,10.148,10.148
