N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+16,-54.42800813,1,-27.21400407,-27.21400407,0.01765128,6.075,2.032,2.032
2mer-0+3,-26.91476426,2,-26.91476426,-54.12876832,0.01751051,5.051,2.038,2.038
2mer-0+9,-18.45837319,1,-9.22918659,-63.35795492,0.009059375,4.933,2.538,2.538
2mer-0+2,-16.31672612,1,-8.15836306,-71.51631798,0.009032629,4.232,2.541,2.541
2mer-0+14,-9.09416339,1,-4.5470817,-76.06339967,0.007523316,3.726,2.701,2.701
2mer-0+7,-1.77899219,1,-0.8894961,-76.95289577,0.007495062,8.506,2.704,2.704
2mer-0+40,2.5953982,1,1.2976991,-75.65519667,0.007124339,7.819,2.75,2.75
2mer-0+10,-7.35205792,2,-7.35205792,-83.00725459,0.006366319,7.011,2.855,2.855
2mer-0+8,0.11215468,2,0.11215468,-82.89509991,0.005831658,7.637,2.94,2.94
2mer-0+4,-0.75235107,1,-0.37617554,-83.27127545,0.004943218,9.254,3.106,3.106
2mer-0+12,-0.28693741,1,-0.14346871,-83.41474415,0.004506339,6.269,3.204,3.204
2mer-0+1,-2.97759911,1,-1.48879955,-84.90354371,0.003350171,6.895,3.537,3.537
2mer-0+11,-0.56279987,2,-0.56279987,-85.46634358,0.00188203,9.23,4.286,4.286
2mer-0+26,6.85876583,1,3.42938292,-82.03696066,0.001565296,7.981,4.558,4.558
2mer-0+29,-0.43817536,1,-0.21908768,-82.25604834,0.001070671,9.126,5.173,5.173
2mer-0+17,0.1036067,2,0.1036067,-82.15244164,0.001039938,7.951,5.223,5.223
2mer-0+41,-0.62051744,1,-0.31025872,-82.46270036,0.001011665,7.38,5.271,5.271
2mer-0+44,-0.25441957,1,-0.12720978,-82.58991015,0.001008651,9.444,5.277,5.277
2mer-0+5,0.49991459,2,0.49991459,-82.08999556,0.0007051203,7.543,5.945,5.945
