N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+16,-49.64004513,1,-24.82002256,-24.82002256,0.01765128,6.075,2.032,2.032
2mer-0+3,-24.45603475,2,-24.45603475,-49.27605732,0.01751051,5.051,2.038,2.038
2mer-0+9,-16.53347388,1,-8.26673694,-57.54279426,0.009059375,4.933,2.538,2.538
2mer-0+2,-11.06283818,1,-5.53141909,-63.07421335,0.009032629,4.232,2.541,2.541
2mer-0+14,-4.17167192,1,-2.08583596,-65.16004931,0.007523316,3.726,2.701,2.701
2mer-0+7,-0.48487354,1,-0.24243677,-65.40248607,0.007495062,8.506,2.704,2.704
2mer-0+40,3.48418467,1,1.74209233,-63.66039374,0.007124339,7.819,2.75,2.75
2mer-0+10,-6.37643776,2,-6.37643776,-70.0368315,0.006366319,7.011,2.855,2.855
2mer-0+8,1.08696783,2,1.08696783,-68.94986367,0.005831658,7.637,2.94,2.94
2mer-0+4,-0.46909627,1,-0.23454813,-69.1844118,0.004943218,9.254,3.106,3.106
2mer-0+12,0.20664343,1,0.10332171,-69.08109009,0.004506339,6.269,3.204,3.204
2mer-0+1,-2.85073674,1,-1.42536837,-70.50645846,0.003350171,6.895,3.537,3.537
2mer-0+11,-0.50912122,2,-0.50912122,-71.01557968,0.00188203,9.23,4.286,4.286
2mer-0+26,7.38089943,1,3.69044972,-67.32512996,0.001565296,7.981,4.558,4.558
2mer-0+29,-0.35136374,1,-0.17568187,-67.50081183,0.001070671,9.126,5.173,5.173
2mer-0+17,0.17015028,2,0.17015028,-67.33066155,0.001039938,7.951,5.223,5.223
2mer-0+41,-0.51380708,1,-0.25690354,-67.58756509,0.001011665,7.38,5.271,5.271
2mer-0+44,-0.22614098,1,-0.11307049,-67.70063558,0.001008651,9.444,5.277,5.277
2mer-0+5,0.58895515,2,0.58895515,-67.11168043,0.0007051203,7.543,5.945,5.945
2mer-0+6,0.27661959,2,0.27661959,-66.83506084,0.0007028231,10.656,5.952,5.952
2mer-0+27,-1.03859466,1,-0.51929733,-67.35435817,0.0006764842,8.175,6.028,6.028
2mer-0+37,-0.46369869,2,-0.46369869,-67.81805686,0.000673045,10.386,6.038,6.038
2mer-0+20,-0.20603975,2,-0.20603975,-68.02409661,0.0006587009,9.541,6.082,6.082
2mer-0+45,0.04614281,1,0.0230714,-68.00102521,0.0006440306,10.492,6.128,6.128
2mer-0+19,0.27294749,2,0.27294749,-67.72807772,0.0006090375,10.886,6.243,6.243
2mer-0+13,-0.63608392,1,-0.31804196,-68.04611968,0.0005614532,7.861,6.415,6.415
2mer-0+25,-0.97514294,1,-0.48757147,-68.53369115,0.0005159326,9.263,6.598,6.598
2mer-0+109,0.57289005,1,0.28644503,-68.24724612,0.0004905925,11.678,6.71,6.71
2mer-0+23,-1.06898496,2,-1.06898496,-69.31623108,0.0004240145,10.102,7.044,7.044
2mer-0+62,0.14610538,1,0.07305269,-69.24317839,0.0004167979,11.086,7.084,7.084
2mer-0+105,-0.4437484,1,-0.2218742,-69.46505259,0.0003856479,12.889,7.27,7.27
2mer-0+18,-0.18705265,1,-0.09352632,-69.55857892,0.0003585094,12.245,7.449,7.449
2mer-0+38,-0.39867568,1,-0.19933784,-69.75791676,0.0003483259,11.332,7.521,7.521
2mer-0+15,0.10709123,2,0.10709123,-69.65082553,0.0003471183,10.08,7.53,7.53
2mer-0+59,0.12210512,1,0.06105256,-69.58977297,0.000343198,10.57,7.558,7.558
2mer-0+30,-3.273e-05,1,-1.637e-05,-69.58978933,0.0003269279,13.012,7.682,7.682
2mer-0+24,-0.49878335,1,-0.24939168,-69.83918101,0.000278277,11.323,8.105,8.105
2mer-0+82,-0.6795096,1,-0.3397548,-70.17893581,0.0002659482,12.579,8.229,8.229
2mer-0+103,-0.59078826,1,-0.29539413,-70.47432994,0.0002650657,11.217,8.238,8.238
2mer-0+49,-0.37001944,2,-0.37001944,-70.84434938,0.0002643043,10.981,8.246,8.246
2mer-0+54,0.04242126,1,0.02121063,-70.82313875,0.0002604365,13.706,8.286,8.286
2mer-0+65,0.08447038,2,0.08447038,-70.73866837,0.0002603881,13.764,8.287,8.287
2mer-0+31,0.21306594,1,0.10653297,-70.6321354,0.0002461629,10.382,8.444,8.444
2mer-0+55,0.05800643,1,0.02900321,-70.60313218,0.0002285254,14.901,8.655,8.655
2mer-0+42,0.21667044,2,0.21667044,-70.38646174,0.0002222488,10.812,8.736,8.736
2mer-0+43,-0.03461522,1,-0.01730761,-70.40376935,0.0002155564,11.745,8.826,8.826
2mer-0+73,0.05460265,1,0.02730133,-70.37646803,0.0002152287,15.003,8.83,8.83
2mer-0+34,0.20345564,2,0.20345564,-70.17301239,0.0002138866,11.266,8.849,8.849
2mer-0+53,1.22331904,1,0.61165952,-69.56135287,0.0002124136,11.897,8.869,8.869
2mer-0+111,0.04454605,1,0.02227302,-69.53907984,0.0002124135,12.088,8.869,8.869
2mer-0+50,0.0930955,2,0.0930955,-69.44598434,0.0002072287,14.961,8.942,8.942
2mer-0+121,0.05739725,1,0.02869862,-69.41728572,0.0002047009,12.086,8.979,8.979
2mer-0+32,-0.15777895,1,-0.07888948,-69.49617519,0.0002028541,11.651,9.006,9.006
2mer-0+95,0.23445045,1,0.11722523,-69.37894997,0.0002016545,11.551,9.024,9.024
2mer-0+90,-0.10970594,2,-0.10970594,-69.48865591,0.0001918892,14.023,9.175,9.175
2mer-0+68,-0.09066275,2,-0.09066275,-69.57931866,0.0001882448,14.554,9.233,9.233
2mer-0+100,-0.17199591,1,-0.08599796,-69.66531661,0.0001841105,10.72,9.302,9.302
2mer-0+80,0.05163079,2,0.05163079,-69.61368582,0.0001815906,12.566,9.345,9.345
2mer-0+153,-0.27977708,1,-0.13988854,-69.75357436,0.0001778514,13.009,9.41,9.41
2mer-0+33,0.12167191,2,0.12167191,-69.63190245,0.0001774831,13.89,9.416,9.416
2mer-0+169,0.05963164,1,0.02981582,-69.60208663,0.0001764188,15.001,9.435,9.435
2mer-0+36,-0.0541406,1,-0.0270703,-69.62915693,0.0001611309,14.205,9.725,9.725
2mer-0+74,-0.21501404,2,-0.21501404,-69.84417097,0.0001581614,13.475,9.785,9.785
2mer-0+70,0.17316939,2,0.17316939,-69.67100158,0.0001525204,15.274,9.904,9.904
2mer-0+107,-0.00127422,1,-0.00063711,-69.67163869,0.0001502539,15.51,9.954,9.954
2mer-0+120,-0.18116217,1,-0.09058109,-69.76221978,0.0001418066,11.12,10.148,10.148
2mer-0+63,-0.00108764,1,-0.00054382,-69.7627636,0.0001389087,16.432,10.218,10.218
2mer-0+106,-0.02831118,1,-0.01415559,-69.77691919,0.0001388662,12.538,10.219,10.219
2mer-0+101,-0.31450223,1,-0.15725111,-69.9341703,0.0001336025,13.881,10.351,10.351
2mer-0+172,-0.30829762,1,-0.15414881,-70.08831911,0.0001319747,15.043,10.394,10.394
2mer-0+39,-0.16720786,1,-0.08360393,-70.17192304,0.0001261118,13.586,10.552,10.552
2mer-0+218,-0.21319913,1,-0.10659956,-70.27852261,0.0001244188,15.917,10.6,10.6
2mer-0+164,0.14906929,1,0.07453464,-70.20398796,0.0001200595,15.166,10.727,10.727
2mer-0+144,0.01040988,1,0.00520494,-70.19878302,0.0001198178,16.211,10.734,10.734
2mer-0+58,-0.176529,2,-0.176529,-70.37531202,0.0001173082,13.562,10.81,10.81
2mer-0+46,-0.03830801,2,-0.03830801,-70.41362003,0.0001162251,14.048,10.843,10.843
2mer-0+137,0.08679898,1,0.04339949,-70.37022054,0.0001144179,14.102,10.9,10.9
2mer-0+110,0.23132275,1,0.11566137,-70.25455917,0.0001137434,14.191,10.922,10.922
2mer-0+57,-0.03167983,2,-0.03167983,-70.286239,0.0001129449,15.157,10.947,10.947
2mer-0+128,0.50674778,1,0.25337389,-70.03286511,0.0001125453,13.859,10.96,10.96
2mer-0+98,0.04262337,1,0.02131169,-70.01155342,0.0001102138,13.826,11.037,11.037
2mer-0+66,0.12256215,2,0.12256215,-69.88899127,0.0001094437,16.937,11.063,11.063
2mer-0+52,0.04839551,2,0.04839551,-69.84059576,0.0001092189,13.711,11.071,11.071
2mer-0+149,-0.10469988,1,-0.05234994,-69.8929457,0.0001071485,15.245,11.141,11.141
2mer-0+142,0.04598576,1,0.02299288,-69.86995282,0.0001048357,16.709,11.223,11.223
2mer-0+232,0.13931372,1,0.06965686,-69.80029596,0.0001010388,16.207,11.362,11.362
2mer-0+131,0.05479804,1,0.02739902,-69.77289694,0.0001007262,16.045,11.373,11.373
2mer-0+127,-0.12566904,2,-0.12566904,-69.89856598,0.0001002168,15.838,11.393,11.393
2mer-0+69,0.04358639,2,0.04358639,-69.85497959,9.967858e-05,15.331,11.413,11.413
2mer-0+75,-0.19602202,1,-0.09801101,-69.9529906,9.853447e-05,14.985,11.457,11.457
2mer-0+71,-0.05161071,1,-0.02580535,-69.97879596,9.810161e-05,14.083,11.474,11.474
2mer-0+97,0.03172621,1,0.0158631,-69.96293285,9.799222e-05,17.355,11.478,11.478
2mer-0+113,-0.03504355,1,-0.01752177,-69.98045463,9.75233e-05,16.411,11.496,11.496
2mer-0+150,-0.12466155,1,-0.06233077,-70.0427854,9.690794e-05,13.954,11.521,11.521
2mer-0+114,-0.08652592,2,-0.08652592,-70.12931132,9.129945e-05,15.964,11.752,11.752
2mer-0+94,-0.02167535,2,-0.02167535,-70.15098667,9.091905e-05,15.444,11.768,11.768
2mer-0+88,0.01084018,1,0.00542009,-70.14556658,9.001537e-05,17.814,11.808,11.808
2mer-0+96,-0.14218074,1,-0.07109037,-70.21665695,8.957491e-05,14.283,11.827,11.827
2mer-0+141,-0.14510156,1,-0.07255078,-70.28920773,8.826856e-05,14.855,11.885,11.885
2mer-0+188,-0.08776923,1,-0.04388462,-70.33309235,8.799976e-05,13.544,11.897,11.897
2mer-0+72,-0.20785946,2,-0.20785946,-70.54095181,8.625746e-05,15.154,11.977,11.977
2mer-0+64,0.14465298,1,0.07232649,-70.46862532,8.521863e-05,14.311,12.025,12.025
2mer-0+119,-0.03513897,2,-0.03513897,-70.50376429,8.395412e-05,15.809,12.085,12.085
2mer-0+178,0.10319485,1,0.05159743,-70.45216686,8.386402e-05,15.335,12.09,12.09
2mer-0+89,0.08378431,2,0.08378431,-70.36838255,8.11022e-05,14.654,12.225,12.225
2mer-0+112,-0.19742156,2,-0.19742156,-70.56580411,8.047097e-05,15.132,12.257,12.257
2mer-0+184,0.03435037,1,0.01717518,-70.54862893,8.00705e-05,15.819,12.278,12.278
2mer-0+67,-0.13081485,1,-0.06540743,-70.61403635,7.879785e-05,16.288,12.343,12.343
2mer-0+259,-0.03479971,1,-0.01739985,-70.63143621,7.780228e-05,16.238,12.396,12.396
2mer-0+84,-0.12188876,1,-0.06094438,-70.69238059,7.584557e-05,13.65,12.501,12.501
2mer-0+147,0.03731692,1,0.01865846,-70.67372213,7.478621e-05,18.333,12.56,12.56
2mer-0+201,-0.05754313,1,-0.02877156,-70.70249369,7.459264e-05,14.826,12.571,12.571
2mer-0+61,-0.07551254,1,-0.03775627,-70.74024996,7.318895e-05,16.891,12.651,12.651
2mer-0+139,0.05392422,2,0.05392422,-70.68632574,7.20329e-05,16.398,12.718,12.718
2mer-0+87,-0.1217776,1,-0.0608888,-70.74721454,7.009216e-05,14.159,12.834,12.834
2mer-0+323,-0.04925393,1,-0.02462697,-70.77184151,6.822242e-05,18.206,12.951,12.951
2mer-0+123,-0.04264585,1,-0.02132292,-70.79316443,6.73547e-05,14.94,13.006,13.006
2mer-0+122,0.08089393,2,0.08089393,-70.7122705,6.700721e-05,18.115,13.028,13.028
