N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+5,-26.79537545,2,-26.79537545,-26.79537545,0.01787525,4.663,2.024,2.024,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f18b32a')"
2mer-0+3,-57.42128878,1,-28.71064439,-55.50601984,0.01694217,3.315,2.06,2.06,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='1b3f3ec')"
2mer-0+16,-23.52658069,1,-11.76329034,-67.26931018,0.008112176,4.15,2.634,2.634,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='020384e')"
2mer-0+4,-1.36213917,2,-1.36213917,-68.63144934,0.007412925,5.126,2.714,2.714,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='bb9ff23')"
2mer-0+7,2.40975721,2,2.40975721,-66.22169213,0.005227882,5.557,3.049,3.049,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='978ddf2')"
2mer-0+14,-7.65630677,1,-3.82815338,-70.04984551,0.004957854,5.366,3.103,3.103,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='6bc3fcf')"
2mer-0+2,3.78244282,2,3.78244282,-66.26740269,0.004949507,3.604,3.105,3.105,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='fbc3fd3')"
2mer-0+1,-16.68080574,1,-8.34040287,-74.60780556,0.004229618,3.657,3.272,3.272,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='401a440')"
2mer-0+19,-6.39825611,2,-6.39825611,-81.00606167,0.003894318,5.268,3.363,3.363,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='b29429f')"
2mer-0+10,2.94130668,2,2.94130668,-78.06475499,0.001796747,6.994,4.353,4.353,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='2b746e9')"
2mer-0+11,-1.08478093,2,-1.08478093,-79.14953592,0.001498362,6.458,4.624,4.624,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='e3e0974')"
2mer-0+37,-3.34082744,1,-1.67041372,-80.81994964,0.001298722,5.624,4.85,4.85,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='424d84e')"
2mer-0+27,-5.88681397,1,-2.94340699,-83.76335663,0.001279179,5.881,4.875,4.875,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f57e96b')"
2mer-0+13,3.57590473,2,3.57590473,-80.1874519,0.001266109,6.525,4.892,4.892,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='38d782a')"
2mer-0+30,3.04299823,1,1.52149911,-78.66595279,0.001086788,8.878,5.147,5.147,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='ca08b5f')"
2mer-0+26,2.12672846,2,2.12672846,-76.53922433,0.0009727688,6.868,5.341,5.341,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='5600f7d')"
2mer-0+9,1.81138817,2,1.81138817,-74.72783616,0.0009289848,7.261,5.423,5.423,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='61b9055')"
2mer-0+17,-1.94614262,2,-1.94614262,-76.67397878,0.0008959972,6.904,5.489,5.489,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='7d8456c')"
2mer-0+40,1.9363654,1,0.9681827,-75.70579608,0.0008547448,8.743,5.576,5.576,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='62feed7')"
2mer-0+21,-0.22486835,2,-0.22486835,-75.93066443,0.0007987712,7.735,5.703,5.703,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='549a83f')"
2mer-0+29,-0.45508087,2,-0.45508087,-76.3857453,0.000774423,7.839,5.762,5.762,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='2efd6dc')"
2mer-0+35,1.79032456,2,1.79032456,-74.59542074,0.0007324589,8.432,5.87,5.87,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='2da14ca')"
2mer-0+32,-1.7548849,1,-0.87744245,-75.47286319,0.0006468769,8.145,6.119,6.119,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='778ed13')"
2mer-0+12,-3.04253454,1,-1.52126727,-76.99413046,0.0006022554,6.46,6.266,6.266,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='9ee2dde')"
2mer-0+46,-2.50818079,2,-2.50818079,-79.50231125,0.0005898385,9.041,6.31,6.31,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='9b002ad')"
2mer-0+24,1.68422344,2,1.68422344,-77.81808781,0.0005552284,7.208,6.438,6.438,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='b6d8f5c')"
2mer-0+22,0.42475324,2,0.42475324,-77.39333458,0.0005521579,8.403,6.45,6.45,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f1acc86')"
2mer-0+58,0.39339712,2,0.39339712,-76.99993746,0.0005401042,7.73,6.498,6.498,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='4c0e0b5')"
2mer-0+39,-0.16069796,2,-0.16069796,-77.16063542,0.000499402,8.663,6.67,6.67,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='ae2d84e')"
2mer-0+23,0.5064123,2,0.5064123,-76.65422312,0.0004858378,7.997,6.731,6.731,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='14211d3')"
2mer-0+63,-2.41992383,2,-2.41992383,-79.07414695,0.0004594849,9.733,6.858,6.858,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='47e8662')"
2mer-0+71,0.65228427,1,0.32614213,-78.74800482,0.0004554816,9.092,6.878,6.878,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='c87f2ba')"
2mer-0+67,0.07172864,2,0.07172864,-78.67627617,0.0004539613,9.027,6.885,6.885,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='105850e')"
2mer-0+47,1.46627603,1,0.73313802,-77.94313815,0.0004473889,10.353,6.919,6.919,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='ebf0534')"
2mer-0+80,0.15631422,2,0.15631422,-77.78682393,0.0004372059,8.849,6.972,6.972,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='6da6a7d')"
2mer-0+68,1.08661241,1,0.54330621,-77.24351773,0.0003963854,9.708,7.204,7.204,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f401d23')"
2mer-0+57,-0.06764767,2,-0.06764767,-77.3111654,0.0003720499,8.817,7.358,7.358,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='6243510')"
2mer-0+38,-1.03709049,1,-0.51854524,-77.82971064,0.0003514422,9.787,7.499,7.499,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='fd4057c')"
2mer-0+52,-0.69968494,2,-0.69968494,-78.52939558,0.0003304829,9.733,7.654,7.654,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='8183654')"
2mer-0+45,0.44900947,2,0.44900947,-78.08038611,0.0003272329,9.363,7.679,7.679,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='0e91607')"
2mer-0+93,-0.65472427,1,-0.32736213,-78.40774824,0.0003241849,8.486,7.703,7.703,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='b85eb20')"
2mer-0+55,-1.06380502,1,-0.53190251,-78.93965075,0.0003232554,10.129,7.711,7.711,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='4cffa79')"
2mer-0+77,0.17147895,1,0.08573947,-78.85391128,0.0003130122,10.002,7.794,7.794,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='827b35e')"
2mer-0+33,0.86946071,2,0.86946071,-77.98445057,0.0002833056,9.083,8.057,8.057,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='d04549a')"
2mer-0+87,0.26882385,2,0.26882385,-77.71562672,0.000271284,10.519,8.174,8.174,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='dc8051a')"
2mer-0+62,-0.33418741,2,-0.33418741,-78.04981413,0.0002698142,10.933,8.189,8.189,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='98c2a95')"
2mer-0+108,-0.23828367,1,-0.11914184,-78.16895597,0.000260284,9.853,8.288,8.288,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='ac17ffd')"
2mer-0+89,-1.18774909,1,-0.59387454,-78.76283051,0.0002570707,9.174,8.322,8.322,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='9cc7aa7')"
2mer-0+112,1.62806614,1,0.81403307,-77.94879744,0.0002377193,10.736,8.542,8.542,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='2d58d46')"
2mer-0+56,-0.91253846,2,-0.91253846,-78.8613359,0.0002366621,9.748,8.555,8.555,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='0fdf806')"
2mer-0+79,1.31304419,1,0.6565221,-78.20481381,0.0002365296,10.442,8.557,8.557,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f25464c')"
2mer-0+129,0.49172619,2,0.49172619,-77.71308761,0.0002327858,10.055,8.602,8.602,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f53f280')"
2mer-0+78,-0.2037422,2,-0.2037422,-77.91682981,0.0002319126,11.546,8.613,8.613,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='b3aa634')"
2mer-0+137,-0.77768564,1,-0.38884282,-78.30567263,0.0002243123,11.013,8.709,8.709,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f6285cf')"
2mer-0+96,0.77312855,2,0.77312855,-77.53254408,0.0002238413,10.921,8.715,8.715,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='06ea393')"
2mer-0+41,0.49475555,2,0.49475555,-77.03778853,0.0002207512,10.362,8.756,8.756,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='d5168d4')"
2mer-0+81,-1.12246074,2,-1.12246074,-78.16024926,0.0002129499,11.596,8.862,8.862,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='6615e8e')"
2mer-0+50,-0.72002009,1,-0.36001004,-78.52025931,0.0002110898,10.722,8.887,8.887,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='ac479d2')"
2mer-0+73,0.72267991,1,0.36133995,-78.15891935,0.0002064297,10.555,8.954,8.954,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='2b14288')"
2mer-0+95,-1.08070053,2,-1.08070053,-79.23961988,0.0002062387,11.563,8.957,8.957,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='aff070f')"
2mer-0+94,-0.84475921,2,-0.84475921,-80.08437909,0.0002051451,11.431,8.973,8.973,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='2983527')"
2mer-0+103,0.57088727,1,0.28544364,-79.79893546,0.0002010507,11.48,9.033,9.033,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f999f16')"
2mer-0+99,0.16717599,2,0.16717599,-79.63175946,0.0001992546,10.781,9.06,9.06,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='3d833fc')"
2mer-0+142,1.61272162,1,0.80636081,-78.82539865,0.0001966566,11.387,9.1,9.1,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='e0bb5c2')"
2mer-0+74,-0.45594245,2,-0.45594245,-79.28134111,0.0001956287,10.863,9.116,9.116,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='9c76390')"
2mer-0+66,-0.4718147,2,-0.4718147,-79.75315581,0.0001860513,11.477,9.27,9.27,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='4dd625f')"
2mer-0+150,-0.63036236,1,-0.31518118,-80.06833699,0.0001830161,11.919,9.32,9.32,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='622d0f8')"
2mer-0+106,-0.75401726,1,-0.37700863,-80.44534562,0.0001775169,11.636,9.416,9.416,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='971e738')"
2mer-0+53,-0.89453736,1,-0.44726868,-80.89261429,0.0001774579,9.802,9.417,9.417,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='a65b599')"
2mer-0+117,0.68689196,1,0.34344598,-80.54916831,0.0001761352,11.262,9.44,9.44,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='4051ce6')"
2mer-0+168,-0.61981055,1,-0.30990528,-80.85907359,0.00017123,11.247,9.53,9.53,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='28c58d0')"
2mer-0+90,-0.62335956,1,-0.31167978,-81.17075337,0.0001700665,11.397,9.551,9.551,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='4d5fac0')"
2mer-0+125,1.00065532,1,0.50032766,-80.67042571,0.0001672647,11.517,9.604,9.604,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='ab892bd')"
2mer-0+61,-0.25583259,2,-0.25583259,-80.92625829,0.0001660922,10.551,9.627,9.627,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='0b9f8d4')"
2mer-0+102,0.54312715,1,0.27156357,-80.65469472,0.0001630322,12.698,9.687,9.687,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='9649245')"
2mer-0+86,-0.17444579,2,-0.17444579,-80.82914051,0.0001628035,11.431,9.691,9.691,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='249537a')"
2mer-0+97,0.51437202,1,0.25718601,-80.5719545,0.0001594505,12.709,9.759,9.759,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f8c7875')"
2mer-0+145,0.47288022,2,0.47288022,-80.09907427,0.0001572557,10.85,9.804,9.804,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='4420c15')"
2mer-0+132,0.74660235,2,0.74660235,-79.35247193,0.0001553571,13.171,9.844,9.844,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='6627e89')"
2mer-0+119,0.3190255,1,0.15951275,-79.19295918,0.0001549792,12.963,9.852,9.852,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='3268fef')"
2mer-0+76,0.58075987,2,0.58075987,-78.61219931,0.0001498803,10.813,9.962,9.962,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='61c8df5')"
2mer-0+88,-0.3622004,2,-0.3622004,-78.97439971,0.0001459466,11.654,10.051,10.051,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='a96541a')"
2mer-0+148,0.71797809,2,0.71797809,-78.25642163,0.0001449247,13.344,10.074,10.074,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f709e2b')"
2mer-0+110,-0.77076022,2,-0.77076022,-79.02718184,0.0001427382,12.816,10.126,10.126,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='2a784c2')"
2mer-0+91,0.12415429,2,0.12415429,-78.90302756,0.0001410775,11.563,10.165,10.165,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='11fc4e5')"
2mer-0+140,-0.22674998,2,-0.22674998,-79.12977754,0.0001408463,12.363,10.171,10.171,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='91334d1')"
2mer-0+114,-0.26864165,2,-0.26864165,-79.39841919,0.0001406687,11.589,10.175,10.175,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='4dc5787')"
2mer-0+83,0.08840406,2,0.08840406,-79.31001513,0.0001379669,11.596,10.241,10.241,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='3332ed5')"
2mer-0+146,-0.17926477,2,-0.17926477,-79.4892799,0.0001333465,13.156,10.358,10.358,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f6af882')"
2mer-0+126,-0.23056132,2,-0.23056132,-79.71984122,0.0001303181,12.363,10.438,10.438,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='45198b8')"
2mer-0+169,-0.25947312,1,-0.12973656,-79.84957778,0.0001275374,12.232,10.513,10.513,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='cabe55d')"
2mer-0+116,-0.30500683,2,-0.30500683,-80.15458461,0.0001270429,12.231,10.527,10.527,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='463e4f8')"
2mer-0+111,0.45577221,1,0.2278861,-79.9266985,0.0001265175,13.432,10.541,10.541,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='0ed09ab')"
2mer-0+149,0.2504617,2,0.2504617,-79.6762368,0.0001246583,12.876,10.593,10.593,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='33ccf5e')"
2mer-0+92,-0.344453,2,-0.344453,-80.0206898,0.0001238242,12.166,10.617,10.617,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='5395bd7')"
2mer-0+107,0.04925569,1,0.02462784,-79.99606195,0.0001231885,11.823,10.635,10.635,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='626982c')"
2mer-0+188,-0.41782502,1,-0.20891251,-80.20497446,0.0001185154,11.725,10.773,10.773,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='d225d56')"
2mer-0+170,-0.83046335,2,-0.83046335,-81.03543781,0.0001179022,13.61,10.792,10.792,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='e97139d')"
2mer-0+154,0.47417862,2,0.47417862,-80.56125919,0.0001151921,13.959,10.876,10.876,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='7b509ea')"
2mer-0+221,0.91528224,1,0.45764112,-80.10361807,0.0001147,13.041,10.891,10.891,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='a384cbb')"
2mer-0+82,0.40438138,2,0.40438138,-79.69923669,0.0001124685,11.758,10.963,10.963,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='e0bdba8')"
2mer-0+208,-0.28372001,1,-0.14186001,-79.8410967,0.0001111489,11.764,11.006,11.006,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='79cde43')"
2mer-0+118,0.32232976,2,0.32232976,-79.51876694,0.0001092483,12.633,11.07,11.07,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='cc40883')"
2mer-0+201,-0.74132296,2,-0.74132296,-80.2600899,0.0001077345,13.829,11.121,11.121,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='93f237e')"
2mer-0+204,-0.40192958,1,-0.20096479,-80.46105469,0.0001074852,13.74,11.13,11.13,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='0fe07a7')"
2mer-0+222,0.43963239,2,0.43963239,-80.02142229,0.0001055656,12.243,11.197,11.197,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='a793f55')"
2mer-0+182,0.02521977,1,0.01260988,-80.00881241,0.0001044504,14.172,11.237,11.237,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='94398be')"
2mer-0+100,-0.41320546,1,-0.20660273,-80.21541514,0.0001026567,12.654,11.302,11.302,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f5bbeb1')"
2mer-0+147,0.37235689,2,0.37235689,-79.84305825,0.0001021362,13.988,11.321,11.321,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='c5e7e4a')"
2mer-0+234,-0.14928187,1,-0.07464093,-79.91769918,0.0001017349,13.665,11.336,11.336,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='63e7f90')"
2mer-0+133,0.34438968,2,0.34438968,-79.5733095,0.0001006329,13.794,11.377,11.377,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='1fdb2d0')"
2mer-0+136,0.24905516,2,0.24905516,-79.32425434,0.0001002856,13.992,11.39,11.39,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='884ff86')"
2mer-0+115,-0.41580907,2,-0.41580907,-79.74006341,9.913041e-05,13.034,11.434,11.434,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='1fe11f7')"
2mer-0+165,0.04097495,1,0.02048748,-79.71957593,9.855343e-05,12.821,11.456,11.456,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='bf734f5')"
2mer-0+245,-0.34496749,1,-0.17248374,-79.89205968,9.844811e-05,12.558,11.46,11.46,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='47b50af')"
2mer-0+196,0.43360718,2,0.43360718,-79.4584525,9.763243e-05,14.445,11.492,11.492,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='41decf5')"
2mer-0+130,0.27989768,2,0.27989768,-79.17855482,9.457479e-05,14.048,11.615,11.615,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='22da725')"
2mer-0+183,-0.59404588,2,-0.59404588,-79.7726007,9.423478e-05,14.325,11.629,11.629,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='e8936ac')"
2mer-0+180,0.202301,1,0.1011505,-79.6714502,9.264818e-05,13.976,11.695,11.695,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='4eef250')"
2mer-0+219,0.47969283,1,0.23984641,-79.43160379,9.215914e-05,13.499,11.715,11.715,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f4c954c')"
2mer-0+104,0.3380635,2,0.3380635,-79.09354029,9.170178e-05,13.042,11.735,11.735,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='c1a8ebc')"
2mer-0+174,-0.39262838,2,-0.39262838,-79.48616866,9.003944e-05,14.095,11.807,11.807,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='e922355')"
2mer-0+246,-0.06252049,1,-0.03126025,-79.51742891,8.992318e-05,14.405,11.812,11.812,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='fec7f7b')"
2mer-0+223,-0.41886987,1,-0.20943494,-79.72686385,8.874939e-05,12.638,11.863,11.863,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='778f61a')"
2mer-0+138,-0.43656352,2,-0.43656352,-80.16342737,8.873503e-05,12.976,11.864,11.864,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='15762ca')"
2mer-0+120,0.2530096,2,0.2530096,-79.91041777,8.774289e-05,12.816,11.909,11.909,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='d9de1b3')"
2mer-0+190,0.35990716,2,0.35990716,-79.55051061,8.62625e-05,13.907,11.976,11.976,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='c96efcf')"
2mer-0+266,-0.24242702,1,-0.12121351,-79.67172413,8.624235e-05,13.855,11.977,11.977,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='0ae6449')"
2mer-0+211,-0.42892992,1,-0.21446496,-79.88618909,8.5898e-05,13.934,11.993,11.993,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='090b05c')"
2mer-0+185,-0.22309971,2,-0.22309971,-80.10928879,8.583639e-05,13.761,11.996,11.996,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='3029601')"
2mer-0+217,0.1888567,2,0.1888567,-79.92043209,8.444284e-05,13.542,12.062,12.062,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='e7395db')"
2mer-0+160,0.25974227,1,0.12987113,-79.79056096,8.124369e-05,15.019,12.218,12.218,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f99f658')"
2mer-0+218,-0.13212653,2,-0.13212653,-79.92268749,8.070509e-05,14.178,12.245,12.245,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='18f647e')"
2mer-0+200,0.07842339,2,0.07842339,-79.8442641,8.051424e-05,14.178,12.255,12.255,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='f3a55a1')"
2mer-0+131,-0.27826675,2,-0.27826675,-80.12253085,8.034037e-05,13.645,12.264,12.264,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='5701775')"
2mer-0+189,0.18429385,2,0.18429385,-79.93823701,8.022784e-05,14.838,12.269,12.269,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='1204dce')"
2mer-0+176,-0.38433508,2,-0.38433508,-80.32257209,7.867875e-05,14.832,12.349,12.349,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='69fa5f8')"
2mer-0+195,-0.47666835,2,-0.47666835,-80.79924043,7.845282e-05,14.944,12.361,12.361,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='9d6915f')"
2mer-0+206,0.31607584,2,0.31607584,-80.48316459,7.840343e-05,15.068,12.364,12.364,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='4e1eb6c')"
2mer-0+158,0.25884759,2,0.25884759,-80.224317,7.555429e-05,14.521,12.517,12.517,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='a00d1b0')"
2mer-0+273,-0.43949132,2,-0.43949132,-80.66380832,7.541585e-05,14.941,12.525,12.525,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='c684beb')"
2mer-0+187,-0.26820832,2,-0.26820832,-80.93201664,7.393404e-05,14.161,12.608,12.608,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='1406d35')"
2mer-0+141,-0.35893128,1,-0.17946564,-81.11148228,7.278534e-05,13.282,12.674,12.674,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='c2d0ff4')"
2mer-0+143,-0.24397444,2,-0.24397444,-81.35545673,7.219515e-05,13.589,12.709,12.709,"Molecule(name='C2H6N2O2', formula='C2H6N2O2', hash='29e037a')"
