N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-21.78325103,2,-21.78325103,-21.78325103,0.01787525,4.663,2.024,2.024
2mer-0+3,-45.97999169,1,-22.98999584,-44.77324688,0.01694217,3.315,2.06,2.06
2mer-0+16,-16.59298314,1,-8.29649157,-53.06973845,0.008112176,4.15,2.634,2.634
2mer-0+4,-1.25759213,2,-1.25759213,-54.32733058,0.007412925,5.126,2.714,2.714
2mer-0+7,1.27656299,2,1.27656299,-53.05076759,0.005227882,5.557,3.049,3.049
2mer-0+14,-6.09081198,1,-3.04540599,-56.09617358,0.004957854,5.366,3.103,3.103
2mer-0+2,1.79492974,2,1.79492974,-54.30124384,0.004949507,3.604,3.105,3.105
2mer-0+1,-11.04138243,1,-5.52069122,-59.82193506,0.004229618,3.657,3.272,3.272
2mer-0+19,-4.12576891,2,-4.12576891,-63.94770397,0.003894318,5.268,3.363,3.363
2mer-0+10,2.01393188,2,2.01393188,-61.9337721,0.001796747,6.994,4.353,4.353
2mer-0+11,-0.79851315,2,-0.79851315,-62.73228524,0.001498362,6.458,4.624,4.624
2mer-0+37,-2.93070052,1,-1.46535026,-64.1976355,0.001298722,5.624,4.85,4.85
2mer-0+27,-4.02757045,1,-2.01378523,-66.21142073,0.001279179,5.881,4.875,4.875
2mer-0+13,2.53029725,2,2.53029725,-63.68112348,0.001266109,6.525,4.892,4.892
2mer-0+30,1.93778382,1,0.96889191,-62.71223157,0.001086788,8.878,5.147,5.147
2mer-0+26,1.49472806,2,1.49472806,-61.21750352,0.0009727688,6.868,5.341,5.341
2mer-0+9,1.29522773,2,1.29522773,-59.92227579,0.0009289848,7.261,5.423,5.423
2mer-0+17,-1.24977183,2,-1.24977183,-61.17204762,0.0008959972,6.904,5.489,5.489
2mer-0+40,1.18381312,1,0.59190656,-60.58014106,0.0008547448,8.743,5.576,5.576
2mer-0+21,-0.15114289,2,-0.15114289,-60.73128395,0.0007987712,7.735,5.703,5.703
2mer-0+29,-0.34218042,2,-0.34218042,-61.07346437,0.000774423,7.839,5.762,5.762
2mer-0+35,1.24860831,2,1.24860831,-59.82485606,0.0007324589,8.432,5.87,5.87
2mer-0+32,-1.27055605,1,-0.63527803,-60.46013408,0.0006468769,8.145,6.119,6.119
2mer-0+12,-2.11123328,1,-1.05561664,-61.51575072,0.0006022554,6.46,6.266,6.266
2mer-0+46,-1.79250131,2,-1.79250131,-63.30825204,0.0005898385,9.041,6.31,6.31
2mer-0+24,1.12268399,2,1.12268399,-62.18556804,0.0005552284,7.208,6.438,6.438
2mer-0+22,0.28421481,2,0.28421481,-61.90135323,0.0005521579,8.403,6.45,6.45
2mer-0+58,0.3018545,2,0.3018545,-61.59949873,0.0005401042,7.73,6.498,6.498
2mer-0+39,-0.09019127,2,-0.09019127,-61.68969,0.000499402,8.663,6.67,6.67
2mer-0+23,0.24308547,2,0.24308547,-61.44660453,0.0004858378,7.997,6.731,6.731
2mer-0+63,-1.78429325,2,-1.78429325,-63.23089778,0.0004594849,9.733,6.858,6.858
2mer-0+71,0.57236599,1,0.286183,-62.94471478,0.0004554816,9.092,6.878,6.878
2mer-0+67,0.02477342,2,0.02477342,-62.91994136,0.0004539613,9.027,6.885,6.885
2mer-0+47,1.00880191,1,0.50440095,-62.41554041,0.0004473889,10.353,6.919,6.919
2mer-0+80,0.07442568,2,0.07442568,-62.34111473,0.0004372059,8.849,6.972,6.972
2mer-0+68,0.88776228,1,0.44388114,-61.89723359,0.0003963854,9.708,7.204,7.204
2mer-0+57,-0.11306722,2,-0.11306722,-62.01030081,0.0003720499,8.817,7.358,7.358
2mer-0+38,-0.70338839,1,-0.3516942,-62.36199501,0.0003514422,9.787,7.499,7.499
2mer-0+52,-0.46961497,2,-0.46961497,-62.83160997,0.0003304829,9.733,7.654,7.654
2mer-0+45,0.33665235,2,0.33665235,-62.49495762,0.0003272329,9.363,7.679,7.679
2mer-0+93,-0.57160792,1,-0.28580396,-62.78076158,0.0003241849,8.486,7.703,7.703
2mer-0+55,-0.71941757,1,-0.35970878,-63.14047036,0.0003232554,10.129,7.711,7.711
2mer-0+77,0.09234413,1,0.04617207,-63.0942983,0.0003130122,10.002,7.794,7.794
2mer-0+33,0.63236611,2,0.63236611,-62.46193219,0.0002833056,9.083,8.057,8.057
2mer-0+87,0.19546866,2,0.19546866,-62.26646353,0.000271284,10.519,8.174,8.174
2mer-0+62,-0.2156014,2,-0.2156014,-62.48206493,0.0002698142,10.933,8.189,8.189
2mer-0+108,-0.1116415,1,-0.05582075,-62.53788568,0.000260284,9.853,8.288,8.288
2mer-0+89,-0.81207307,1,-0.40603654,-62.94392222,0.0002570707,9.174,8.322,8.322
2mer-0+112,1.18121018,1,0.59060509,-62.35331713,0.0002377193,10.736,8.542,8.542
2mer-0+56,-0.61449391,2,-0.61449391,-62.96781104,0.0002366621,9.748,8.555,8.555
2mer-0+79,0.9806213,1,0.49031065,-62.47750039,0.0002365296,10.442,8.557,8.557
2mer-0+129,0.33068395,2,0.33068395,-62.14681644,0.0002327858,10.055,8.602,8.602
2mer-0+78,-0.13828686,2,-0.13828686,-62.2851033,0.0002319126,11.546,8.613,8.613
2mer-0+137,-0.59482968,1,-0.29741484,-62.58251813,0.0002243123,11.013,8.709,8.709
2mer-0+96,0.53534782,2,0.53534782,-62.04717031,0.0002238413,10.921,8.715,8.715
2mer-0+41,0.34003873,2,0.34003873,-61.70713158,0.0002207512,10.362,8.756,8.756
2mer-0+81,-0.73798784,2,-0.73798784,-62.44511943,0.0002129499,11.596,8.862,8.862
2mer-0+50,-0.48864726,1,-0.24432363,-62.68944306,0.0002110898,10.722,8.887,8.887
2mer-0+73,0.50252889,1,0.25126444,-62.43817861,0.0002064297,10.555,8.954,8.954
2mer-0+95,-0.80643514,2,-0.80643514,-63.24461376,0.0002062387,11.563,8.957,8.957
2mer-0+94,-0.53268729,2,-0.53268729,-63.77730105,0.0002051451,11.431,8.973,8.973
2mer-0+103,0.4754698,1,0.2377349,-63.53956615,0.0002010507,11.48,9.033,9.033
2mer-0+99,0.13488732,2,0.13488732,-63.40467883,0.0001992546,10.781,9.06,9.06
2mer-0+142,1.19152728,1,0.59576364,-62.80891519,0.0001966566,11.387,9.1,9.1
2mer-0+74,-0.32812651,2,-0.32812651,-63.1370417,0.0001956287,10.863,9.116,9.116
2mer-0+66,-0.30380154,2,-0.30380154,-63.44084324,0.0001860513,11.477,9.27,9.27
2mer-0+150,-0.47182059,1,-0.2359103,-63.67675354,0.0001830161,11.919,9.32,9.32
2mer-0+106,-0.50872098,1,-0.25436049,-63.93111402,0.0001775169,11.636,9.416,9.416
2mer-0+53,-0.60752697,1,-0.30376349,-64.23487751,0.0001774579,9.802,9.417,9.417
2mer-0+117,0.45529571,1,0.22764786,-64.00722965,0.0001761352,11.262,9.44,9.44
2mer-0+168,-0.48560879,1,-0.24280439,-64.25003405,0.00017123,11.247,9.53,9.53
2mer-0+90,-0.43573283,1,-0.21786642,-64.46790047,0.0001700665,11.397,9.551,9.551
2mer-0+125,0.76008939,1,0.3800447,-64.08785577,0.0001672647,11.517,9.604,9.604
2mer-0+61,-0.22794101,2,-0.22794101,-64.31579677,0.0001660922,10.551,9.627,9.627
2mer-0+102,0.31153145,1,0.15576573,-64.16003105,0.0001630322,12.698,9.687,9.687
2mer-0+86,-0.17063566,2,-0.17063566,-64.33066671,0.0001628035,11.431,9.691,9.691
2mer-0+97,0.37605986,1,0.18802993,-64.14263678,0.0001594505,12.709,9.759,9.759
2mer-0+145,0.34816636,2,0.34816636,-63.79447042,0.0001572557,10.85,9.804,9.804
2mer-0+132,0.51500409,2,0.51500409,-63.27946633,0.0001553571,13.171,9.844,9.844
2mer-0+119,0.16732047,1,0.08366024,-63.1958061,0.0001549792,12.963,9.852,9.852
2mer-0+76,0.39378035,2,0.39378035,-62.80202574,0.0001498803,10.813,9.962,9.962
2mer-0+88,-0.25275445,2,-0.25275445,-63.05478019,0.0001459466,11.654,10.051,10.051
2mer-0+148,0.49276618,2,0.49276618,-62.56201401,0.0001449247,13.344,10.074,10.074
2mer-0+110,-0.51975824,2,-0.51975824,-63.08177225,0.0001427382,12.816,10.126,10.126
2mer-0+91,0.10119449,2,0.10119449,-62.98057776,0.0001410775,11.563,10.165,10.165
2mer-0+140,-0.1195681,2,-0.1195681,-63.10014587,0.0001408463,12.363,10.171,10.171
2mer-0+114,-0.22234481,2,-0.22234481,-63.32249068,0.0001406687,11.589,10.175,10.175
2mer-0+83,0.03476474,2,0.03476474,-63.28772594,0.0001379669,11.596,10.241,10.241
2mer-0+146,-0.12761599,2,-0.12761599,-63.41534193,0.0001333465,13.156,10.358,10.358
2mer-0+126,-0.20907464,2,-0.20907464,-63.62441657,0.0001303181,12.363,10.438,10.438
