N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-23.55388399,2,-23.55388399,-23.55388399,0.01787525,4.663,2.024,2.024
2mer-0+3,-50.3011567,1,-25.15057835,-48.70446234,0.01694217,3.315,2.06,2.06
2mer-0+16,-20.71943986,1,-10.35971993,-59.06418228,0.008112176,4.15,2.634,2.634
2mer-0+4,0.04444605,2,0.04444605,-59.01973622,0.007412925,5.126,2.714,2.714
2mer-0+7,3.41597929,2,3.41597929,-55.60375694,0.005227882,5.557,3.049,3.049
2mer-0+14,-7.25482319,1,-3.6274116,-59.23116853,0.004957854,5.366,3.103,3.103
2mer-0+2,5.49187448,2,5.49187448,-53.73929405,0.004949507,3.604,3.105,3.105
2mer-0+1,-13.96381375,1,-6.98190688,-60.72120093,0.004229618,3.657,3.272,3.272
2mer-0+19,-5.78065815,2,-5.78065815,-66.50185908,0.003894318,5.268,3.363,3.363
2mer-0+10,2.96298193,2,2.96298193,-63.53887714,0.001796747,6.994,4.353,4.353
2mer-0+11,-0.96293848,2,-0.96293848,-64.50181563,0.001498362,6.458,4.624,4.624
2mer-0+37,-3.17732774,1,-1.58866387,-66.0904795,0.001298722,5.624,4.85,4.85
2mer-0+27,-5.65761513,1,-2.82880757,-68.91928706,0.001279179,5.881,4.875,4.875
2mer-0+13,3.35757418,2,3.35757418,-65.56171288,0.001266109,6.525,4.892,4.892
2mer-0+30,3.01984072,1,1.50992036,-64.05179252,0.001086788,8.878,5.147,5.147
2mer-0+26,2.00021365,2,2.00021365,-62.05157887,0.0009727688,6.868,5.341,5.341
2mer-0+9,1.79066586,2,1.79066586,-60.26091301,0.0009289848,7.261,5.423,5.423
2mer-0+17,-1.90598358,2,-1.90598358,-62.16689658,0.0008959972,6.904,5.489,5.489
2mer-0+40,1.88980003,1,0.94490002,-61.22199657,0.0008547448,8.743,5.576,5.576
2mer-0+21,-0.19207095,2,-0.19207095,-61.41406751,0.0007987712,7.735,5.703,5.703
2mer-0+29,-0.42956689,2,-0.42956689,-61.8436344,0.000774423,7.839,5.762,5.762
2mer-0+35,1.77194692,2,1.77194692,-60.07168748,0.0007324589,8.432,5.87,5.87
2mer-0+32,-1.70132956,1,-0.85066478,-60.92235226,0.0006468769,8.145,6.119,6.119
