N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-21.17094556,2,-21.17094556,-21.17094556,0.01787525,4.663,2.024,2.024
2mer-0+3,-44.29805403,1,-22.14902701,-43.31997257,0.01694217,3.315,2.06,2.06
2mer-0+16,-18.14493945,1,-9.07246973,-52.3924423,0.008112176,4.15,2.634,2.634
2mer-0+4,1.05881215,2,1.05881215,-51.33363014,0.007412925,5.126,2.714,2.714
2mer-0+7,3.88148691,2,3.88148691,-47.45214323,0.005227882,5.557,3.049,3.049
2mer-0+14,-7.07386547,1,-3.53693273,-50.98907596,0.004957854,5.366,3.103,3.103
2mer-0+2,8.20540043,2,8.20540043,-42.78367554,0.004949507,3.604,3.105,3.105
2mer-0+1,-11.89356084,1,-5.94678042,-48.73045596,0.004229618,3.657,3.272,3.272
2mer-0+19,-5.39200527,2,-5.39200527,-54.12246123,0.003894318,5.268,3.363,3.363
2mer-0+10,3.05172951,2,3.05172951,-51.07073172,0.001796747,6.994,4.353,4.353
2mer-0+11,-0.87566552,2,-0.87566552,-51.94639723,0.001498362,6.458,4.624,4.624
2mer-0+37,-3.19919997,1,-1.59959999,-53.54599722,0.001298722,5.624,4.85,4.85
2mer-0+27,-5.62397721,1,-2.8119886,-56.35798583,0.001279179,5.881,4.875,4.875
2mer-0+13,3.5414162,2,3.5414162,-52.81656962,0.001266109,6.525,4.892,4.892
2mer-0+30,3.08744887,1,1.54372443,-51.27284519,0.001086788,8.878,5.147,5.147
2mer-0+26,2.13396525,2,2.13396525,-49.13887994,0.0009727688,6.868,5.341,5.341
2mer-0+9,1.89406612,2,1.89406612,-47.24481382,0.0009289848,7.261,5.423,5.423
2mer-0+17,-1.83713696,2,-1.83713696,-49.08195078,0.0008959972,6.904,5.489,5.489
2mer-0+40,1.9445585,1,0.97227925,-48.10967153,0.0008547448,8.743,5.576,5.576
2mer-0+21,-0.14756978,2,-0.14756978,-48.25724131,0.0007987712,7.735,5.703,5.703
2mer-0+29,-0.41114985,2,-0.41114985,-48.66839116,0.000774423,7.839,5.762,5.762
2mer-0+35,1.822182,2,1.822182,-46.84620916,0.0007324589,8.432,5.87,5.87
2mer-0+32,-1.73710925,1,-0.86855463,-47.71476379,0.0006468769,8.145,6.119,6.119
2mer-0+12,-2.89278393,1,-1.44639196,-49.16115575,0.0006022554,6.46,6.266,6.266
2mer-0+46,-2.49346507,2,-2.49346507,-51.65462082,0.0005898385,9.041,6.31,6.31
2mer-0+24,1.71230346,2,1.71230346,-49.94231736,0.0005552284,7.208,6.438,6.438
2mer-0+22,0.46035535,2,0.46035535,-49.481962,0.0005521579,8.403,6.45,6.45
2mer-0+58,0.44982878,2,0.44982878,-49.03213323,0.0005401042,7.73,6.498,6.498
2mer-0+39,-0.12624815,2,-0.12624815,-49.15838138,0.000499402,8.663,6.67,6.67
2mer-0+23,0.50992846,2,0.50992846,-48.64845292,0.0004858378,7.997,6.731,6.731
2mer-0+63,-2.42397055,2,-2.42397055,-51.07242347,0.0004594849,9.733,6.858,6.858
2mer-0+71,0.7165203,1,0.35826015,-50.71416332,0.0004554816,9.092,6.878,6.878
2mer-0+67,0.08310948,2,0.08310948,-50.63105384,0.0004539613,9.027,6.885,6.885
2mer-0+47,1.48518636,1,0.74259318,-49.88846066,0.0004473889,10.353,6.919,6.919
2mer-0+80,0.16918817,2,0.16918817,-49.71927249,0.0004372059,8.849,6.972,6.972
2mer-0+68,1.15321632,1,0.57660816,-49.14266433,0.0003963854,9.708,7.204,7.204
2mer-0+57,-0.05463958,2,-0.05463958,-49.19730391,0.0003720499,8.817,7.358,7.358
2mer-0+38,-1.01699835,1,-0.50849917,-49.70580308,0.0003514422,9.787,7.499,7.499
2mer-0+52,-0.67766647,2,-0.67766647,-50.38346955,0.0003304829,9.733,7.654,7.654
2mer-0+45,0.47522345,2,0.47522345,-49.9082461,0.0003272329,9.363,7.679,7.679
2mer-0+93,-0.63406622,1,-0.31703311,-50.22527921,0.0003241849,8.486,7.703,7.703
2mer-0+55,-1.0426583,1,-0.52132915,-50.74660836,0.0003232554,10.129,7.711,7.711
2mer-0+77,0.16346141,1,0.08173071,-50.66487766,0.0003130122,10.002,7.794,7.794
2mer-0+33,0.89000938,2,0.89000938,-49.77486827,0.0002833056,9.083,8.057,8.057
2mer-0+87,0.27491842,2,0.27491842,-49.49994985,0.000271284,10.519,8.174,8.174
2mer-0+62,-0.32216342,2,-0.32216342,-49.82211327,0.0002698142,10.933,8.189,8.189
2mer-0+108,-0.21669642,1,-0.10834821,-49.93046148,0.000260284,9.853,8.288,8.288
2mer-0+89,-1.14458873,1,-0.57229437,-50.50275584,0.0002570707,9.174,8.322,8.322
2mer-0+112,1.62802792,1,0.81401396,-49.68874188,0.0002377193,10.736,8.542,8.542
2mer-0+56,-0.90315332,2,-0.90315332,-50.5918952,0.0002366621,9.748,8.555,8.555
2mer-0+79,1.30756783,1,0.65378392,-49.93811129,0.0002365296,10.442,8.557,8.557
2mer-0+129,0.49671417,2,0.49671417,-49.44139712,0.0002327858,10.055,8.602,8.602
2mer-0+78,-0.19585743,2,-0.19585743,-49.63725454,0.0002319126,11.546,8.613,8.613
2mer-0+137,-0.78456356,1,-0.39228178,-50.02953632,0.0002243123,11.013,8.709,8.709
2mer-0+96,0.77609633,2,0.77609633,-49.25343999,0.0002238413,10.921,8.715,8.715
2mer-0+41,0.50269292,2,0.50269292,-48.75074708,0.0002207512,10.362,8.756,8.756
2mer-0+81,-1.10457556,2,-1.10457556,-49.85532264,0.0002129499,11.596,8.862,8.862
2mer-0+50,-0.70867009,1,-0.35433505,-50.20965768,0.0002110898,10.722,8.887,8.887
2mer-0+73,0.72157767,1,0.36078883,-49.84886885,0.0002064297,10.555,8.954,8.954
2mer-0+95,-1.08461646,2,-1.08461646,-50.93348531,0.0002062387,11.563,8.957,8.957
2mer-0+94,-0.82356762,2,-0.82356762,-51.75705293,0.0002051451,11.431,8.973,8.973
2mer-0+103,0.6000674,1,0.3000337,-51.45701923,0.0002010507,11.48,9.033,9.033
2mer-0+99,0.17480429,2,0.17480429,-51.28221494,0.0001992546,10.781,9.06,9.06
2mer-0+142,1.60886081,1,0.80443041,-50.47778453,0.0001966566,11.387,9.1,9.1
2mer-0+74,-0.45447629,2,-0.45447629,-50.93226082,0.0001956287,10.863,9.116,9.116
2mer-0+66,-0.46169319,2,-0.46169319,-51.39395401,0.0001860513,11.477,9.27,9.27
2mer-0+150,-0.6375526,1,-0.3187763,-51.71273031,0.0001830161,11.919,9.32,9.32
2mer-0+106,-0.74026661,1,-0.3701333,-52.08286361,0.0001775169,11.636,9.416,9.416
2mer-0+53,-0.87681799,1,-0.43840899,-52.52127261,0.0001774579,9.802,9.417,9.417
2mer-0+117,0.68645258,1,0.34322629,-52.17804632,0.0001761352,11.262,9.44,9.44
2mer-0+168,-0.6235878,1,-0.3117939,-52.48984022,0.00017123,11.247,9.53,9.53
2mer-0+90,-0.62172881,1,-0.31086441,-52.80070462,0.0001700665,11.397,9.551,9.551
2mer-0+125,0.99765141,1,0.49882571,-52.30187892,0.0001672647,11.517,9.604,9.604
2mer-0+61,-0.25172464,2,-0.25172464,-52.55360356,0.0001660922,10.551,9.627,9.627
2mer-0+102,0.52474311,1,0.26237156,-52.291232,0.0001630322,12.698,9.687,9.687
2mer-0+86,-0.18111877,2,-0.18111877,-52.47235078,0.0001628035,11.431,9.691,9.691
2mer-0+97,0.52121335,1,0.26060668,-52.2117441,0.0001594505,12.709,9.759,9.759
2mer-0+145,0.48069996,2,0.48069996,-51.73104414,0.0001572557,10.85,9.804,9.804
2mer-0+132,0.74801053,2,0.74801053,-50.98303361,0.0001553571,13.171,9.844,9.844
2mer-0+119,0.30251345,1,0.15125673,-50.83177688,0.0001549792,12.963,9.852,9.852
2mer-0+76,0.57807907,2,0.57807907,-50.25369781,0.0001498803,10.813,9.962,9.962
2mer-0+88,-0.35153554,2,-0.35153554,-50.60523334,0.0001459466,11.654,10.051,10.051
2mer-0+148,0.7187157,2,0.7187157,-49.88651764,0.0001449247,13.344,10.074,10.074
2mer-0+110,-0.76060972,2,-0.76060972,-50.64712736,0.0001427382,12.816,10.126,10.126
2mer-0+91,0.1312055,2,0.1312055,-50.51592186,0.0001410775,11.563,10.165,10.165
2mer-0+140,-0.21213573,2,-0.21213573,-50.72805759,0.0001408463,12.363,10.171,10.171
2mer-0+114,-0.26636092,2,-0.26636092,-50.9944185,0.0001406687,11.589,10.175,10.175
2mer-0+83,0.0837429,2,0.0837429,-50.91067561,0.0001379669,11.596,10.241,10.241
2mer-0+146,-0.17603808,2,-0.17603808,-51.08671369,0.0001333465,13.156,10.358,10.358
2mer-0+126,-0.23750983,2,-0.23750983,-51.32422352,0.0001303181,12.363,10.438,10.438
2mer-0+169,-0.25953455,1,-0.12976728,-51.4539908,0.0001275374,12.232,10.513,10.513
2mer-0+116,-0.29693982,2,-0.29693982,-51.75093062,0.0001270429,12.231,10.527,10.527
2mer-0+111,0.44336323,1,0.22168161,-51.529249,0.0001265175,13.432,10.541,10.541
2mer-0+149,0.25363542,2,0.25363542,-51.27561358,0.0001246583,12.876,10.593,10.593
2mer-0+92,-0.33556734,2,-0.33556734,-51.61118093,0.0001238242,12.166,10.617,10.617
2mer-0+107,0.05290507,1,0.02645253,-51.58472839,0.0001231885,11.823,10.635,10.635
2mer-0+188,-0.41014957,1,-0.20507478,-51.78980318,0.0001185154,11.725,10.773,10.773
2mer-0+170,-0.82748972,2,-0.82748972,-52.61729289,0.0001179022,13.61,10.792,10.792
2mer-0+154,0.4737822,2,0.4737822,-52.1435107,0.0001151921,13.959,10.876,10.876
2mer-0+221,0.9110732,1,0.4555366,-51.6879741,0.0001147,13.041,10.891,10.891
2mer-0+82,0.40713061,2,0.40713061,-51.28084349,0.0001124685,11.758,10.963,10.963
2mer-0+208,-0.27723385,1,-0.13861692,-51.41946041,0.0001111489,11.764,11.006,11.006
2mer-0+118,0.3282599,2,0.3282599,-51.09120052,0.0001092483,12.633,11.07,11.07
2mer-0+201,-0.73676532,2,-0.73676532,-51.82796584,0.0001077345,13.829,11.121,11.121
2mer-0+204,-0.40593744,1,-0.20296872,-52.03093456,0.0001074852,13.74,11.13,11.13
2mer-0+222,0.4399749,2,0.4399749,-51.59095966,0.0001055656,12.243,11.197,11.197
2mer-0+182,0.01635187,1,0.00817593,-51.58278373,0.0001044504,14.172,11.237,11.237
2mer-0+100,-0.40847751,1,-0.20423875,-51.78702248,0.0001026567,12.654,11.302,11.302
2mer-0+147,0.37555984,2,0.37555984,-51.41146264,0.0001021362,13.988,11.321,11.321
2mer-0+234,-0.14394995,1,-0.07197497,-51.48343761,0.0001017349,13.665,11.336,11.336
2mer-0+133,0.34833418,2,0.34833418,-51.13510344,0.0001006329,13.794,11.377,11.377
2mer-0+136,0.24409371,2,0.24409371,-50.89100973,0.0001002856,13.992,11.39,11.39
2mer-0+115,-0.41039352,2,-0.41039352,-51.30140325,9.913041e-05,13.034,11.434,11.434
2mer-0+165,0.03988685,1,0.01994342,-51.28145983,9.855343e-05,12.821,11.456,11.456
2mer-0+245,-0.34681033,1,-0.17340516,-51.454865,9.844811e-05,12.558,11.46,11.46
2mer-0+196,0.43238678,2,0.43238678,-51.02247822,9.763243e-05,14.445,11.492,11.492
2mer-0+130,0.27486436,2,0.27486436,-50.74761386,9.457479e-05,14.048,11.615,11.615
2mer-0+183,-0.5920054,2,-0.5920054,-51.33961926,9.423478e-05,14.325,11.629,11.629
2mer-0+180,0.21286207,1,0.10643104,-51.23318823,9.264818e-05,13.976,11.695,11.695
2mer-0+219,0.47964804,1,0.23982402,-50.9933642,9.215914e-05,13.499,11.715,11.715
2mer-0+104,0.34001723,2,0.34001723,-50.65334697,9.170178e-05,13.042,11.735,11.735
2mer-0+174,-0.39502464,2,-0.39502464,-51.04837162,9.003944e-05,14.095,11.807,11.807
2mer-0+246,-0.05707363,1,-0.02853682,-51.07690843,8.992318e-05,14.405,11.812,11.812
2mer-0+223,-0.40752626,1,-0.20376313,-51.28067156,8.874939e-05,12.638,11.863,11.863
2mer-0+138,-0.43592805,2,-0.43592805,-51.71659961,8.873503e-05,12.976,11.864,11.864
2mer-0+120,0.24952394,2,0.24952394,-51.46707567,8.774289e-05,12.816,11.909,11.909
2mer-0+190,0.35870747,2,0.35870747,-51.1083682,8.62625e-05,13.907,11.976,11.976
2mer-0+266,-0.23876106,1,-0.11938053,-51.22774873,8.624235e-05,13.855,11.977,11.977
2mer-0+211,-0.42150269,1,-0.21075135,-51.43850008,8.5898e-05,13.934,11.993,11.993
2mer-0+185,-0.21902901,2,-0.21902901,-51.65752909,8.583639e-05,13.761,11.996,11.996
2mer-0+217,0.19036609,2,0.19036609,-51.467163,8.444284e-05,13.542,12.062,12.062
