N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-23.13038144,2,-23.13038144,-23.13038144,0.01787525,4.663,2.024,2.024
2mer-0+3,-49.33062668,1,-24.66531334,-47.79569478,0.01694217,3.315,2.06,2.06
2mer-0+16,-19.58429524,1,-9.79214762,-57.5878424,0.008112176,4.15,2.634,2.634
2mer-0+4,-0.09324107,2,-0.09324107,-57.68108347,0.007412925,5.126,2.714,2.714
2mer-0+7,3.26095583,2,3.26095583,-54.42012764,0.005227882,5.557,3.049,3.049
2mer-0+14,-7.01391183,1,-3.50695591,-57.92708355,0.004957854,5.366,3.103,3.103
2mer-0+2,5.36831287,2,5.36831287,-52.55877069,0.004949507,3.604,3.105,3.105
2mer-0+1,-13.5348275,1,-6.76741375,-59.32618444,0.004229618,3.657,3.272,3.272
2mer-0+19,-5.7058981,2,-5.7058981,-65.03208254,0.003894318,5.268,3.363,3.363
2mer-0+10,2.84524729,2,2.84524729,-62.18683524,0.001796747,6.994,4.353,4.353
2mer-0+11,-0.93901096,2,-0.93901096,-63.1258462,0.001498362,6.458,4.624,4.624
2mer-0+37,-3.03594032,1,-1.51797016,-64.64381636,0.001298722,5.624,4.85,4.85
2mer-0+27,-5.54725627,1,-2.77362813,-67.41744449,0.001279179,5.881,4.875,4.875
2mer-0+13,3.19686833,2,3.19686833,-64.22057616,0.001266109,6.525,4.892,4.892
2mer-0+30,2.95456044,1,1.47728022,-62.74329594,0.001086788,8.878,5.147,5.147
2mer-0+26,1.93319645,2,1.93319645,-60.81009949,0.0009727688,6.868,5.341,5.341
2mer-0+9,1.70696989,2,1.70696989,-59.1031296,0.0009289848,7.261,5.423,5.423
2mer-0+17,-1.87972096,2,-1.87972096,-60.98285056,0.0008959972,6.904,5.489,5.489
2mer-0+40,1.85129989,1,0.92564994,-60.05720062,0.0008547448,8.743,5.576,5.576
2mer-0+21,-0.19190276,2,-0.19190276,-60.24910337,0.0007987712,7.735,5.703,5.703
2mer-0+29,-0.41961298,2,-0.41961298,-60.66871635,0.000774423,7.839,5.762,5.762
2mer-0+35,1.71491621,2,1.71491621,-58.95380014,0.0007324589,8.432,5.87,5.87
2mer-0+32,-1.6524926,1,-0.8262463,-59.78004644,0.0006468769,8.145,6.119,6.119
2mer-0+12,-2.8037091,1,-1.40185455,-61.18190099,0.0006022554,6.46,6.266,6.266
2mer-0+46,-2.35947488,2,-2.35947488,-63.54137588,0.0005898385,9.041,6.31,6.31
2mer-0+24,1.58708592,2,1.58708592,-61.95428996,0.0005552284,7.208,6.438,6.438
2mer-0+22,0.41568907,2,0.41568907,-61.53860089,0.0005521579,8.403,6.45,6.45
2mer-0+58,0.39037259,2,0.39037259,-61.1482283,0.0005401042,7.73,6.498,6.498
2mer-0+39,-0.15674725,2,-0.15674725,-61.30497555,0.000499402,8.663,6.67,6.67
2mer-0+23,0.48348155,2,0.48348155,-60.82149399,0.0004858378,7.997,6.731,6.731
2mer-0+63,-2.27833047,2,-2.27833047,-63.09982446,0.0004594849,9.733,6.858,6.858
2mer-0+71,0.61247895,1,0.30623948,-62.79358499,0.0004554816,9.092,6.878,6.878
2mer-0+67,0.06545868,2,0.06545868,-62.72812631,0.0004539613,9.027,6.885,6.885
2mer-0+47,1.39551515,1,0.69775757,-62.03036873,0.0004473889,10.353,6.919,6.919
2mer-0+80,0.15211809,2,0.15211809,-61.87825064,0.0004372059,8.849,6.972,6.972
2mer-0+68,1.04223431,1,0.52111715,-61.35713349,0.0003963854,9.708,7.204,7.204
2mer-0+57,-0.04838559,2,-0.04838559,-61.40551908,0.0003720499,8.817,7.358,7.358
2mer-0+38,-0.97245136,1,-0.48622568,-61.89174476,0.0003514422,9.787,7.499,7.499
2mer-0+52,-0.64918391,2,-0.64918391,-62.54092868,0.0003304829,9.733,7.654,7.654
2mer-0+45,0.43139358,2,0.43139358,-62.1095351,0.0003272329,9.363,7.679,7.679
2mer-0+93,-0.57202548,1,-0.28601274,-62.39554784,0.0003241849,8.486,7.703,7.703
2mer-0+55,-0.99734569,1,-0.49867284,-62.89422068,0.0003232554,10.129,7.711,7.711
2mer-0+77,0.14921612,1,0.07460806,-62.81961262,0.0003130122,10.002,7.794,7.794
2mer-0+33,0.81527101,2,0.81527101,-62.00434161,0.0002833056,9.083,8.057,8.057
2mer-0+87,0.25175721,2,0.25175721,-61.7525844,0.000271284,10.519,8.174,8.174
2mer-0+62,-0.3121919,2,-0.3121919,-62.0647763,0.0002698142,10.933,8.189,8.189
2mer-0+108,-0.24029114,1,-0.12014557,-62.18492187,0.000260284,9.853,8.288,8.288
2mer-0+89,-1.10213273,1,-0.55106636,-62.73598824,0.0002570707,9.174,8.322,8.322
2mer-0+112,1.52224822,1,0.76112411,-61.97486413,0.0002377193,10.736,8.542,8.542
2mer-0+56,-0.87020702,2,-0.87020702,-62.84507115,0.0002366621,9.748,8.555,8.555
2mer-0+79,1.20772588,1,0.60386294,-62.24120821,0.0002365296,10.442,8.557,8.557
2mer-0+129,0.46869894,2,0.46869894,-61.77250927,0.0002327858,10.055,8.602,8.602
2mer-0+78,-0.18479437,2,-0.18479437,-61.95730364,0.0002319126,11.546,8.613,8.613
2mer-0+137,-0.73040731,1,-0.36520366,-62.3225073,0.0002243123,11.013,8.709,8.709
2mer-0+96,0.73243909,2,0.73243909,-61.59006821,0.0002238413,10.921,8.715,8.715
2mer-0+41,0.4699774,2,0.4699774,-61.12009081,0.0002207512,10.362,8.756,8.756
2mer-0+81,-1.06447778,2,-1.06447778,-62.1845686,0.0002129499,11.596,8.862,8.862
2mer-0+50,-0.67752675,1,-0.33876338,-62.52333197,0.0002110898,10.722,8.887,8.887
2mer-0+73,0.67417503,1,0.33708751,-62.18624446,0.0002064297,10.555,8.954,8.954
2mer-0+95,-1.01140962,2,-1.01140962,-63.19765408,0.0002062387,11.563,8.957,8.957
2mer-0+94,-0.80435759,2,-0.80435759,-64.00201168,0.0002051451,11.431,8.973,8.973
