N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-25.82492077,2,-25.82492077,-25.82492077,0.01787525,4.663,2.024,2.024
2mer-0+3,-57.08321619,1,-28.5416081,-54.36652887,0.01694217,3.315,2.06,2.06
2mer-0+16,-23.58390125,1,-11.79195062,-66.15847949,0.008112176,4.15,2.634,2.634
2mer-0+4,-1.75657933,2,-1.75657933,-67.91505882,0.007412925,5.126,2.714,2.714
2mer-0+7,2.25749587,2,2.25749587,-65.65756296,0.005227882,5.557,3.049,3.049
2mer-0+14,-7.89830307,1,-3.94915154,-69.60671449,0.004957854,5.366,3.103,3.103
2mer-0+2,2.64106351,2,2.64106351,-66.96565098,0.004949507,3.604,3.105,3.105
2mer-0+1,-16.50592273,1,-8.25296137,-75.21861235,0.004229618,3.657,3.272,3.272
2mer-0+19,-6.40699036,2,-6.40699036,-81.62560271,0.003894318,5.268,3.363,3.363
2mer-0+10,2.90157584,2,2.90157584,-78.72402687,0.001796747,6.994,4.353,4.353
2mer-0+11,-1.1757015,2,-1.1757015,-79.89972837,0.001498362,6.458,4.624,4.624
2mer-0+37,-2.80153109,1,-1.40076554,-81.30049391,0.001298722,5.624,4.85,4.85
2mer-0+27,-5.63720799,1,-2.818604,-84.11909791,0.001279179,5.881,4.875,4.875
2mer-0+13,3.55935796,2,3.55935796,-80.55973995,0.001266109,6.525,4.892,4.892
2mer-0+30,3.17475014,1,1.58737507,-78.97236488,0.001086788,8.878,5.147,5.147
2mer-0+26,2.06041447,2,2.06041447,-76.91195041,0.0009727688,6.868,5.341,5.341
2mer-0+9,1.78993078,2,1.78993078,-75.12201963,0.0009289848,7.261,5.423,5.423
2mer-0+17,-2.10589462,2,-2.10589462,-77.22791426,0.0008959972,6.904,5.489,5.489
2mer-0+40,1.98018256,1,0.99009128,-76.23782298,0.0008547448,8.743,5.576,5.576
2mer-0+21,-0.14849705,2,-0.14849705,-76.38632002,0.0007987712,7.735,5.703,5.703
2mer-0+29,-0.48358434,2,-0.48358434,-76.86990436,0.000774423,7.839,5.762,5.762
2mer-0+35,1.79576574,2,1.79576574,-75.07413862,0.0007324589,8.432,5.87,5.87
2mer-0+32,-1.80852765,1,-0.90426382,-75.97840244,0.0006468769,8.145,6.119,6.119
2mer-0+12,-3.11724383,1,-1.55862191,-77.53702436,0.0006022554,6.46,6.266,6.266
2mer-0+46,-2.50330268,2,-2.50330268,-80.04032704,0.0005898385,9.041,6.31,6.31
2mer-0+24,1.71575155,2,1.71575155,-78.32457549,0.0005552284,7.208,6.438,6.438
2mer-0+22,0.42870061,2,0.42870061,-77.89587487,0.0005521579,8.403,6.45,6.45
2mer-0+58,0.44589026,2,0.44589026,-77.44998462,0.0005401042,7.73,6.498,6.498
2mer-0+39,-0.11911899,2,-0.11911899,-77.56910361,0.000499402,8.663,6.67,6.67
2mer-0+23,0.62048874,2,0.62048874,-76.94861487,0.0004858378,7.997,6.731,6.731
2mer-0+63,-2.41463982,2,-2.41463982,-79.36325469,0.0004594849,9.733,6.858,6.858
2mer-0+71,0.65915541,1,0.3295777,-79.03367698,0.0004554816,9.092,6.878,6.878
2mer-0+67,0.07986959,2,0.07986959,-78.95380739,0.0004539613,9.027,6.885,6.885
2mer-0+47,1.51980401,1,0.759902,-78.19390539,0.0004473889,10.353,6.919,6.919
2mer-0+80,0.17436533,2,0.17436533,-78.01954006,0.0004372059,8.849,6.972,6.972
2mer-0+68,1.13761038,1,0.56880519,-77.45073487,0.0003963854,9.708,7.204,7.204
2mer-0+57,-0.02358701,2,-0.02358701,-77.47432188,0.0003720499,8.817,7.358,7.358
2mer-0+38,-1.02668936,1,-0.51334468,-77.98766656,0.0003514422,9.787,7.499,7.499
2mer-0+52,-0.69767601,2,-0.69767601,-78.68534257,0.0003304829,9.733,7.654,7.654
2mer-0+45,0.44950759,2,0.44950759,-78.23583498,0.0003272329,9.363,7.679,7.679
2mer-0+93,-0.54504056,1,-0.27252028,-78.50835526,0.0003241849,8.486,7.703,7.703
2mer-0+55,-1.0348932,1,-0.5174466,-79.02580186,0.0003232554,10.129,7.711,7.711
2mer-0+77,0.14426163,1,0.07213081,-78.95367105,0.0003130122,10.002,7.794,7.794
2mer-0+33,0.87151558,2,0.87151558,-78.08215546,0.0002833056,9.083,8.057,8.057
2mer-0+87,0.27217223,2,0.27217223,-77.80998324,0.000271284,10.519,8.174,8.174
2mer-0+62,-0.35115697,2,-0.35115697,-78.16114021,0.0002698142,10.933,8.189,8.189
2mer-0+108,-0.28192617,1,-0.14096308,-78.30210329,0.000260284,9.853,8.288,8.288
2mer-0+89,-1.14636037,1,-0.57318018,-78.87528347,0.0002570707,9.174,8.322,8.322
2mer-0+112,1.60887975,1,0.80443988,-78.0708436,0.0002377193,10.736,8.542,8.542
2mer-0+56,-0.95446683,2,-0.95446683,-79.02531043,0.0002366621,9.748,8.555,8.555
2mer-0+79,1.26618945,1,0.63309473,-78.3922157,0.0002365296,10.442,8.557,8.557
2mer-0+129,0.50372597,2,0.50372597,-77.88848973,0.0002327858,10.055,8.602,8.602
2mer-0+78,-0.21149645,2,-0.21149645,-78.09998618,0.0002319126,11.546,8.613,8.613
2mer-0+137,-0.77106857,1,-0.38553429,-78.48552046,0.0002243123,11.013,8.709,8.709
2mer-0+96,0.77635029,2,0.77635029,-77.70917017,0.0002238413,10.921,8.715,8.715
2mer-0+41,0.49511913,2,0.49511913,-77.21405104,0.0002207512,10.362,8.756,8.756
2mer-0+81,-1.12091746,2,-1.12091746,-78.3349685,0.0002129499,11.596,8.862,8.862
2mer-0+50,-0.72859045,1,-0.36429523,-78.69926372,0.0002110898,10.722,8.887,8.887
2mer-0+73,0.72786622,1,0.36393311,-78.33533061,0.0002064297,10.555,8.954,8.954
2mer-0+95,-1.07863791,2,-1.07863791,-79.41396852,0.0002062387,11.563,8.957,8.957
2mer-0+94,-0.84432949,2,-0.84432949,-80.25829801,0.0002051451,11.431,8.973,8.973
2mer-0+103,0.58886319,1,0.2944316,-79.96386641,0.0002010507,11.48,9.033,9.033
2mer-0+99,0.16332287,2,0.16332287,-79.80054354,0.0001992546,10.781,9.06,9.06
2mer-0+142,1.58135322,1,0.79067661,-79.00986693,0.0001966566,11.387,9.1,9.1
2mer-0+74,-0.47057373,2,-0.47057373,-79.48044066,0.0001956287,10.863,9.116,9.116
2mer-0+66,-0.49124611,2,-0.49124611,-79.97168678,0.0001860513,11.477,9.27,9.27
2mer-0+150,-0.63476697,1,-0.31738348,-80.28907026,0.0001830161,11.919,9.32,9.32
2mer-0+106,-0.73693569,1,-0.36846784,-80.6575381,0.0001775169,11.636,9.416,9.416
2mer-0+53,-0.92777946,1,-0.46388973,-81.12142783,0.0001774579,9.802,9.417,9.417
2mer-0+117,0.70402144,1,0.35201072,-80.76941711,0.0001761352,11.262,9.44,9.44
2mer-0+168,-0.60181549,1,-0.30090774,-81.07032485,0.00017123,11.247,9.53,9.53
2mer-0+90,-0.64332022,1,-0.32166011,-81.39198496,0.0001700665,11.397,9.551,9.551
2mer-0+125,0.95444697,1,0.47722349,-80.91476148,0.0001672647,11.517,9.604,9.604
2mer-0+61,-0.21099102,2,-0.21099102,-81.1257525,0.0001660922,10.551,9.627,9.627
2mer-0+102,0.54512305,1,0.27256153,-80.85319097,0.0001630322,12.698,9.687,9.687
2mer-0+86,-0.16302263,2,-0.16302263,-81.01621359,0.0001628035,11.431,9.691,9.691
2mer-0+97,0.52190309,1,0.26095155,-80.75526205,0.0001594505,12.709,9.759,9.759
2mer-0+145,0.47011221,2,0.47011221,-80.28514984,0.0001572557,10.85,9.804,9.804
2mer-0+132,0.76548091,2,0.76548091,-79.51966893,0.0001553571,13.171,9.844,9.844
2mer-0+119,0.31786603,1,0.15893301,-79.36073592,0.0001549792,12.963,9.852,9.852
2mer-0+76,0.58544702,2,0.58544702,-78.7752889,0.0001498803,10.813,9.962,9.962
2mer-0+88,-0.35320818,2,-0.35320818,-79.12849708,0.0001459466,11.654,10.051,10.051
2mer-0+148,0.73623399,2,0.73623399,-78.39226308,0.0001449247,13.344,10.074,10.074
2mer-0+110,-0.77195802,2,-0.77195802,-79.16422111,0.0001427382,12.816,10.126,10.126
2mer-0+91,0.12388209,2,0.12388209,-79.04033902,0.0001410775,11.563,10.165,10.165
2mer-0+140,-0.2309068,2,-0.2309068,-79.27124582,0.0001408463,12.363,10.171,10.171
2mer-0+114,-0.24847714,2,-0.24847714,-79.51972296,0.0001406687,11.589,10.175,10.175
2mer-0+83,0.09380397,2,0.09380397,-79.425919,0.0001379669,11.596,10.241,10.241
2mer-0+146,-0.18268061,2,-0.18268061,-79.60859961,0.0001333465,13.156,10.358,10.358
2mer-0+126,-0.21904123,2,-0.21904123,-79.82764083,0.0001303181,12.363,10.438,10.438
2mer-0+169,-0.27444851,1,-0.13722425,-79.96486508,0.0001275374,12.232,10.513,10.513
2mer-0+116,-0.29916559,2,-0.29916559,-80.26403067,0.0001270429,12.231,10.527,10.527
2mer-0+111,0.45741976,1,0.22870988,-80.03532079,0.0001265175,13.432,10.541,10.541
2mer-0+149,0.25295833,2,0.25295833,-79.78236247,0.0001246583,12.876,10.593,10.593
2mer-0+92,-0.33176826,2,-0.33176826,-80.11413073,0.0001238242,12.166,10.617,10.617
2mer-0+107,0.07321022,1,0.03660511,-80.07752562,0.0001231885,11.823,10.635,10.635
2mer-0+188,-0.44195808,1,-0.22097904,-80.29850466,0.0001185154,11.725,10.773,10.773
2mer-0+170,-0.83391119,2,-0.83391119,-81.13241585,0.0001179022,13.61,10.792,10.792
2mer-0+154,0.48091056,2,0.48091056,-80.6515053,0.0001151921,13.959,10.876,10.876
2mer-0+221,0.89995327,1,0.44997664,-80.20152866,0.0001147,13.041,10.891,10.891
2mer-0+82,0.40558623,2,0.40558623,-79.79594243,0.0001124685,11.758,10.963,10.963
2mer-0+208,-0.25718648,1,-0.12859324,-79.92453567,0.0001111489,11.764,11.006,11.006
2mer-0+118,0.32537296,2,0.32537296,-79.59916271,0.0001092483,12.633,11.07,11.07
2mer-0+201,-0.73835382,2,-0.73835382,-80.33751653,0.0001077345,13.829,11.121,11.121
2mer-0+204,-0.4082492,1,-0.2041246,-80.54164113,0.0001074852,13.74,11.13,11.13
2mer-0+222,0.44294571,2,0.44294571,-80.09869542,0.0001055656,12.243,11.197,11.197
2mer-0+182,0.02265161,1,0.0113258,-80.08736962,0.0001044504,14.172,11.237,11.237
2mer-0+100,-0.42251887,1,-0.21125944,-80.29862905,0.0001026567,12.654,11.302,11.302
2mer-0+147,0.36904824,2,0.36904824,-79.92958081,0.0001021362,13.988,11.321,11.321
2mer-0+234,-0.16141257,1,-0.08070629,-80.0102871,0.0001017349,13.665,11.336,11.336
2mer-0+133,0.34033285,2,0.34033285,-79.66995425,0.0001006329,13.794,11.377,11.377
2mer-0+136,0.24975423,2,0.24975423,-79.42020001,0.0001002856,13.992,11.39,11.39
2mer-0+115,-0.42812598,2,-0.42812598,-79.84832599,9.913041e-05,13.034,11.434,11.434
2mer-0+165,0.06060279,1,0.03030139,-79.8180246,9.855343e-05,12.821,11.456,11.456
2mer-0+245,-0.32777413,1,-0.16388706,-79.98191166,9.844811e-05,12.558,11.46,11.46
2mer-0+196,0.44117291,2,0.44117291,-79.54073875,9.763243e-05,14.445,11.492,11.492
2mer-0+130,0.2810221,2,0.2810221,-79.25971666,9.457479e-05,14.048,11.615,11.615
2mer-0+183,-0.60129729,2,-0.60129729,-79.86101395,9.423478e-05,14.325,11.629,11.629
2mer-0+180,0.20240746,1,0.10120373,-79.75981022,9.264818e-05,13.976,11.695,11.695
2mer-0+219,0.45929103,1,0.22964552,-79.53016471,9.215914e-05,13.499,11.715,11.715
2mer-0+104,0.33917702,2,0.33917702,-79.19098769,9.170178e-05,13.042,11.735,11.735
2mer-0+174,-0.39114599,2,-0.39114599,-79.58213369,9.003944e-05,14.095,11.807,11.807
2mer-0+246,-0.07101141,1,-0.03550571,-79.61763939,8.992318e-05,14.405,11.812,11.812
2mer-0+223,-0.40780404,1,-0.20390202,-79.82154141,8.874939e-05,12.638,11.863,11.863
2mer-0+138,-0.4482664,2,-0.4482664,-80.26980781,8.873503e-05,12.976,11.864,11.864
2mer-0+120,0.25501968,2,0.25501968,-80.01478813,8.774289e-05,12.816,11.909,11.909
2mer-0+190,0.36138329,2,0.36138329,-79.65340484,8.62625e-05,13.907,11.976,11.976
2mer-0+266,-0.25589623,1,-0.12794811,-79.78135295,8.624235e-05,13.855,11.977,11.977
2mer-0+211,-0.42238829,1,-0.21119415,-79.9925471,8.5898e-05,13.934,11.993,11.993
2mer-0+185,-0.21860876,2,-0.21860876,-80.21115586,8.583639e-05,13.761,11.996,11.996
2mer-0+217,0.18160084,2,0.18160084,-80.02955502,8.444284e-05,13.542,12.062,12.062
2mer-0+160,0.25806084,1,0.12903042,-79.9005246,8.124369e-05,15.019,12.218,12.218
2mer-0+218,-0.12524793,2,-0.12524793,-80.02577253,8.070509e-05,14.178,12.245,12.245
2mer-0+200,0.07466442,2,0.07466442,-79.95110811,8.051424e-05,14.178,12.255,12.255
2mer-0+131,-0.26808247,2,-0.26808247,-80.21919057,8.034037e-05,13.645,12.264,12.264
2mer-0+189,0.18396907,2,0.18396907,-80.0352215,8.022784e-05,14.838,12.269,12.269
2mer-0+176,-0.38597196,2,-0.38597196,-80.42119346,7.867875e-05,14.832,12.349,12.349
2mer-0+195,-0.47281946,2,-0.47281946,-80.89401292,7.845282e-05,14.944,12.361,12.361
2mer-0+206,0.31465946,2,0.31465946,-80.57935346,7.840343e-05,15.068,12.364,12.364
2mer-0+158,0.25560288,2,0.25560288,-80.32375058,7.555429e-05,14.521,12.517,12.517
2mer-0+273,-0.4349061,2,-0.4349061,-80.75865668,7.541585e-05,14.941,12.525,12.525
2mer-0+187,-0.27323673,2,-0.27323673,-81.03189341,7.393404e-05,14.161,12.608,12.608
2mer-0+141,-0.37171602,1,-0.18585801,-81.21775142,7.278534e-05,13.282,12.674,12.674
2mer-0+143,-0.22956839,2,-0.22956839,-81.44731982,7.219515e-05,13.589,12.709,12.709
2mer-0+193,-0.38992071,2,-0.38992071,-81.83724053,7.161927e-05,15.3,12.743,12.743
2mer-0+232,0.59548309,2,0.59548309,-81.24175743,6.994562e-05,14.912,12.843,12.843
2mer-0+227,0.20050979,2,0.20050979,-81.04124765,6.950663e-05,15.564,12.87,12.87
2mer-0+163,0.25450897,2,0.25450897,-80.78673868,6.925162e-05,14.997,12.886,12.886
2mer-0+326,0.17625684,2,0.17625684,-80.61048184,6.9069e-05,15.056,12.898,12.898
2mer-0+260,-0.15144563,2,-0.15144563,-80.76192747,6.905473e-05,15.454,12.898,12.898
2mer-0+199,0.17280827,1,0.08640414,-80.67552333,6.770465e-05,15.552,12.984,12.984
2mer-0+321,0.15318769,2,0.15318769,-80.52233564,6.746573e-05,15.462,12.999,12.999
2mer-0+178,-0.14452237,1,-0.07226119,-80.59459683,6.741173e-05,13.922,13.002,13.002
2mer-0+244,-0.3909413,2,-0.3909413,-80.98553813,6.73223e-05,15.444,13.008,13.008
2mer-0+255,0.55603157,2,0.55603157,-80.42950656,6.712092e-05,15.065,13.021,13.021
2mer-0+302,0.18778457,1,0.09389229,-80.33561428,6.652209e-05,14.81,13.06,13.06
2mer-0+212,-0.28965327,1,-0.14482663,-80.48044091,6.627133e-05,14.812,13.077,13.077
2mer-0+329,0.29957579,1,0.1497879,-80.33065301,6.614845e-05,14.985,13.085,13.085
2mer-0+202,-0.08709345,1,-0.04354672,-80.37419974,6.60953e-05,14.165,13.088,13.088
2mer-0+179,-0.15086721,1,-0.07543361,-80.44963334,6.567885e-05,13.933,13.116,13.116
2mer-0+184,0.22744539,2,0.22744539,-80.22218795,6.51158e-05,14.095,13.153,13.153
2mer-0+322,-0.34710572,2,-0.34710572,-80.56929367,6.347254e-05,15.55,13.266,13.266
2mer-0+294,0.27475726,2,0.27475726,-80.29453641,6.347023e-05,14.201,13.266,13.266
2mer-0+299,-0.03583162,1,-0.01791581,-80.31245222,6.318754e-05,15.945,13.286,13.286
2mer-0+310,-0.34800501,2,-0.34800501,-80.66045723,6.241882e-05,15.652,13.34,13.34
2mer-0+230,-0.18728561,2,-0.18728561,-80.84774284,6.192352e-05,14.726,13.376,13.376
2mer-0+240,-0.30357789,2,-0.30357789,-81.15132073,6.137645e-05,15.848,13.415,13.415
2mer-0+353,0.41036919,1,0.20518459,-80.94613614,6.114952e-05,15.376,13.432,13.432
2mer-0+290,-0.10485968,1,-0.05242984,-80.99856597,6.06308e-05,16.113,13.47,13.47
2mer-0+316,-0.24439423,1,-0.12219711,-81.12076309,6.010816e-05,15.006,13.509,13.509
2mer-0+203,0.25748899,2,0.25748899,-80.8632741,5.985059e-05,14.417,13.528,13.528
2mer-0+259,0.17604917,2,0.17604917,-80.68722493,5.957006e-05,15.713,13.55,13.55
2mer-0+354,-0.26721126,1,-0.13360563,-80.82083056,5.917881e-05,14.938,13.579,13.579
2mer-0+249,0.44349372,2,0.44349372,-80.37733684,5.825736e-05,15.612,13.651,13.651
2mer-0+267,0.21270243,2,0.21270243,-80.16463441,5.810917e-05,16.331,13.662,13.662
2mer-0+304,-0.24508166,1,-0.12254083,-80.28717524,5.801751e-05,16.172,13.669,13.669
2mer-0+280,0.18621024,2,0.18621024,-80.100965,5.724163e-05,16.285,13.731,13.731
2mer-0+330,-0.31859423,1,-0.15929711,-80.26026212,5.684563e-05,14.277,13.763,13.763
2mer-0+384,0.19148319,2,0.19148319,-80.06877893,5.671474e-05,15.502,13.773,13.773
2mer-0+379,-0.16829419,1,-0.08414709,-80.15292603,5.609234e-05,14.659,13.824,13.824
2mer-0+328,0.37429516,1,0.18714758,-79.96577845,5.572411e-05,17.543,13.854,13.854
2mer-0+198,-0.18367194,1,-0.09183597,-80.05761442,5.541365e-05,14.595,13.88,13.88
2mer-0+332,0.03250969,1,0.01625485,-80.04135957,5.526733e-05,15.495,13.892,13.892
2mer-0+214,-0.29548816,2,-0.29548816,-80.33684773,5.389076e-05,15.298,14.01,14.01
2mer-0+345,0.30611408,1,0.15305704,-80.18379069,5.37792e-05,17.475,14.019,14.019
2mer-0+257,-0.11890278,1,-0.05945139,-80.24324208,5.363235e-05,15.097,14.032,14.032
2mer-0+285,0.12745796,2,0.12745796,-80.11578412,5.345818e-05,16.448,14.047,14.047
2mer-0+250,-0.20844553,1,-0.10422276,-80.22000689,5.342428e-05,16.615,14.05,14.05
2mer-0+374,0.12940475,2,0.12940475,-80.09060214,5.335788e-05,16.656,14.056,14.056
2mer-0+413,0.28618409,1,0.14309204,-79.94751009,5.325576e-05,15.992,14.065,14.065
2mer-0+191,0.20502773,2,0.20502773,-79.74248237,5.324744e-05,14.832,14.066,14.066
2mer-0+237,-0.22566329,2,-0.22566329,-79.96814566,5.3217e-05,16.458,14.069,14.069
2mer-0+270,-0.12614902,2,-0.12614902,-80.09429468,5.283973e-05,16.493,14.102,14.102
2mer-0+297,0.19884096,2,0.19884096,-79.89545373,5.27625e-05,16.748,14.109,14.109
2mer-0+268,-0.04586817,1,-0.02293408,-79.91838781,5.258152e-05,15.279,14.125,14.125
2mer-0+387,-0.23709064,2,-0.23709064,-80.15547845,5.239454e-05,16.266,14.142,14.142
2mer-0+307,0.36836436,2,0.36836436,-79.78711409,5.234163e-05,16.048,14.147,14.147
2mer-0+277,0.15056031,2,0.15056031,-79.63655378,5.230116e-05,16.701,14.15,14.15
2mer-0+373,0.28738987,2,0.28738987,-79.34916391,5.194346e-05,14.988,14.183,14.183
2mer-0+289,-0.0546499,2,-0.0546499,-79.40381381,5.146837e-05,16.656,14.226,14.226
2mer-0+194,-0.23665359,1,-0.1183268,-79.52214061,5.144534e-05,15.207,14.228,14.228
2mer-0+301,-0.15296713,2,-0.15296713,-79.67510774,5.123748e-05,15.973,14.247,14.247
2mer-0+317,0.22671768,2,0.22671768,-79.44839006,5.102496e-05,16.864,14.267,14.267
2mer-0+197,0.24531426,2,0.24531426,-79.2030758,5.09965e-05,14.832,14.27,14.27
2mer-0+341,-0.2423685,2,-0.2423685,-79.4454443,5.014942e-05,16.557,14.35,14.35
2mer-0+371,0.1878526,1,0.0939263,-79.351518,4.931388e-05,16.055,14.43,14.43
2mer-0+395,-0.14376276,1,-0.07188138,-79.42339938,4.907578e-05,15.19,14.454,14.454
2mer-0+286,-0.20672756,1,-0.10336378,-79.52676316,4.875364e-05,17.089,14.485,14.485
2mer-0+229,0.17282264,2,0.17282264,-79.35394052,4.872177e-05,16.045,14.489,14.489
2mer-0+251,-0.18445101,1,-0.0922255,-79.44616602,4.835543e-05,16.912,14.525,14.525
2mer-0+340,-0.23236546,2,-0.23236546,-79.67853148,4.814229e-05,16.725,14.547,14.547
2mer-0+254,0.19387447,2,0.19387447,-79.48465702,4.79793e-05,16.047,14.563,14.563
2mer-0+411,0.21947894,1,0.10973947,-79.37491755,4.775112e-05,17.652,14.586,14.586
2mer-0+359,0.34359541,1,0.1717977,-79.20311985,4.756029e-05,18.334,14.606,14.606
2mer-0+253,0.12147752,1,0.06073876,-79.14238109,4.75242e-05,17.225,14.609,14.609
2mer-0+220,-0.19880313,2,-0.19880313,-79.34118422,4.731509e-05,15.822,14.631,14.631
2mer-0+406,-0.18963998,2,-0.18963998,-79.5308242,4.666115e-05,16.769,14.699,14.699
2mer-0+343,-0.04706035,2,-0.04706035,-79.57788455,4.637939e-05,16.588,14.729,14.729
2mer-0+409,0.25979233,1,0.12989617,-79.44798838,4.62459e-05,17.977,14.743,14.743
2mer-0+275,0.13516716,2,0.13516716,-79.31282122,4.622108e-05,16.656,14.745,14.745
2mer-0+311,0.13300617,2,0.13300617,-79.17981506,4.614639e-05,16.588,14.753,14.753
2mer-0+309,0.05626469,1,0.02813234,-79.15168271,4.606457e-05,16.877,14.762,14.762
2mer-0+256,0.16618137,2,0.16618137,-78.98550134,4.581807e-05,16.493,14.788,14.788
2mer-0+282,-0.1444452,2,-0.1444452,-79.12994655,4.573566e-05,17.106,14.797,14.797
2mer-0+303,-0.13007905,2,-0.13007905,-79.2600256,4.5227e-05,17.624,14.853,14.853
2mer-0+239,0.20005361,2,0.20005361,-79.05997199,4.494103e-05,16.687,14.884,14.884
2mer-0+225,0.21056289,2,0.21056289,-78.8494091,4.483119e-05,16.088,14.896,14.896
2mer-0+315,-0.13903942,2,-0.13903942,-78.98844853,4.403884e-05,17.017,14.985,14.985
2mer-0+382,-0.23381365,1,-0.11690683,-79.10535535,4.390521e-05,16.701,15.0,15.0
2mer-0+366,0.02189349,2,0.02189349,-79.08346186,4.330155e-05,17.573,15.07,15.07
