N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-29.21603244,2,-29.21603244,-29.21603244,0.01787525,4.663,2.024,2.024
2mer-0+3,-57.68718205,1,-28.84359102,-58.05962347,0.01694217,3.315,2.06,2.06
2mer-0+16,-27.16600299,1,-13.58300149,-71.64262496,0.008112176,4.15,2.634,2.634
2mer-0+4,2.02413632,2,2.02413632,-69.61848864,0.007412925,5.126,2.714,2.714
2mer-0+7,4.690346,2,4.690346,-64.92814264,0.005227882,5.557,3.049,3.049
2mer-0+14,-8.69124085,1,-4.34562042,-69.27376306,0.004957854,5.366,3.103,3.103
2mer-0+2,8.97367177,2,8.97367177,-60.3000913,0.004949507,3.604,3.105,3.105
2mer-0+1,-14.66892149,1,-7.33446075,-67.63455204,0.004229618,3.657,3.272,3.272
2mer-0+19,-6.91114869,2,-6.91114869,-74.54570073,0.003894318,5.268,3.363,3.363
2mer-0+10,3.91011366,2,3.91011366,-70.63558707,0.001796747,6.994,4.353,4.353
2mer-0+11,-1.0531307,2,-1.0531307,-71.68871777,0.001498362,6.458,4.624,4.624
2mer-0+37,-4.6820268,1,-2.3410134,-74.02973117,0.001298722,5.624,4.85,4.85
2mer-0+27,-6.50282918,1,-3.25141459,-77.28114576,0.001279179,5.881,4.875,4.875
2mer-0+13,4.58673587,2,4.58673587,-72.69440989,0.001266109,6.525,4.892,4.892
2mer-0+30,3.50886806,1,1.75443403,-70.93997586,0.001086788,8.878,5.147,5.147
2mer-0+26,2.54089145,2,2.54089145,-68.39908441,0.0009727688,6.868,5.341,5.341
2mer-0+9,2.52430761,2,2.52430761,-65.8747768,0.0009289848,7.261,5.423,5.423
2mer-0+17,-2.00854363,2,-2.00854363,-67.88332043,0.0008959972,6.904,5.489,5.489
2mer-0+40,2.15855342,1,1.07927671,-66.80404372,0.0008547448,8.743,5.576,5.576
2mer-0+21,-0.2128614,2,-0.2128614,-67.01690512,0.0007987712,7.735,5.703,5.703
2mer-0+29,-0.52445177,2,-0.52445177,-67.54135689,0.000774423,7.839,5.762,5.762
2mer-0+35,2.22235516,2,2.22235516,-65.31900173,0.0007324589,8.432,5.87,5.87
2mer-0+32,-2.06694955,1,-1.03347477,-66.3524765,0.0006468769,8.145,6.119,6.119
2mer-0+12,-3.51050546,1,-1.75525273,-68.10772923,0.0006022554,6.46,6.266,6.266
2mer-0+46,-3.04886898,2,-3.04886898,-71.15659821,0.0005898385,9.041,6.31,6.31
2mer-0+24,2.008734,2,2.008734,-69.14786421,0.0005552284,7.208,6.438,6.438
2mer-0+22,0.51423596,2,0.51423596,-68.63362825,0.0005521579,8.403,6.45,6.45
2mer-0+58,0.61069303,2,0.61069303,-68.02293522,0.0005401042,7.73,6.498,6.498
2mer-0+39,-0.11700428,2,-0.11700428,-68.13993951,0.000499402,8.663,6.67,6.67
2mer-0+23,0.65381684,2,0.65381684,-67.48612266,0.0004858378,7.997,6.731,6.731
2mer-0+63,-3.02267819,2,-3.02267819,-70.50880085,0.0004594849,9.733,6.858,6.858
2mer-0+71,1.07285102,1,0.53642551,-69.97237534,0.0004554816,9.092,6.878,6.878
2mer-0+67,0.07631131,2,0.07631131,-69.89606403,0.0004539613,9.027,6.885,6.885
2mer-0+47,1.77446098,1,0.88723049,-69.00883355,0.0004473889,10.353,6.919,6.919
2mer-0+80,0.09857583,2,0.09857583,-68.91025772,0.0004372059,8.849,6.972,6.972
2mer-0+68,1.6184718,1,0.8092359,-68.10102181,0.0003963854,9.708,7.204,7.204
2mer-0+57,-0.18237742,2,-0.18237742,-68.28339923,0.0003720499,8.817,7.358,7.358
2mer-0+38,-1.2555983,1,-0.62779915,-68.91119838,0.0003514422,9.787,7.499,7.499
2mer-0+52,-0.79823096,2,-0.79823096,-69.70942934,0.0003304829,9.733,7.654,7.654
2mer-0+45,0.62212331,2,0.62212331,-69.08730603,0.0003272329,9.363,7.679,7.679
2mer-0+93,-0.86015665,1,-0.43007832,-69.51738436,0.0003241849,8.486,7.703,7.703
2mer-0+55,-1.26894327,1,-0.63447164,-70.15185599,0.0003232554,10.129,7.711,7.711
