N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-5.60121959,6,-16.80365876,-16.80365876,0.007344023,7.021,2.722,2.722
2mer-0+1,-13.63682268,8,-54.54729071,-71.35094948,0.006181186,6.08,2.883,2.883
2mer-0+15,-0.11216126,12,-0.67296758,-72.02391705,0.0007600164,9.929,5.799,5.799
2mer-0+27,-0.13441055,24,-1.61292665,-73.6368437,0.0003877338,11.643,7.257,7.257
2mer-0+51,-0.15257532,8,-0.6103013,-74.247145,0.0002230476,12.161,8.726,8.726
2mer-0+59,-0.04880492,6,-0.14641477,-74.39355977,0.0001714962,14.042,9.525,9.525
2mer-0+68,-0.0138752,24,-0.16650235,-74.56006212,0.0001092099,15.699,11.071,11.071
2mer-0+65,-0.017069,24,-0.20482799,-74.76489011,0.0001021218,15.302,11.321,11.321
2mer-0+113,-0.01178744,24,-0.14144931,-74.90633942,6.577324e-05,17.198,13.109,13.109
2mer-0+131,-0.00793606,24,-0.09523267,-75.00157209,5.876381e-05,18.241,13.611,13.611
2mer-0+152,-0.01068279,8,-0.04273115,-75.04430324,4.606856e-05,18.241,14.762,14.762
2mer-0+169,-0.00233426,12,-0.01400557,-75.05830881,3.808868e-05,19.858,15.728,15.728
2mer-0+178,-0.00273407,48,-0.06561756,-75.12392637,3.407931e-05,20.768,16.322,16.322
2mer-0+205,-0.0037386,6,-0.01121579,-75.13514217,3.292131e-05,21.063,16.511,16.511
2mer-0+214,-0.0032981,24,-0.03957715,-75.17471932,2.900121e-05,21.063,17.224,17.224
2mer-0+247,-0.00223808,24,-0.0268569,-75.20157622,2.789383e-05,22.202,17.449,17.449
2mer-0+289,-0.00174412,24,-0.0209295,-75.22250572,2.227156e-05,23.286,18.808,18.808
2mer-0+283,-0.00217521,24,-0.02610253,-75.24860825,2.125082e-05,23.02,19.105,19.105
