N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-4.37571277,6,-13.12713831,-13.12713831,0.007344023,7.021,2.722,2.722
2mer-0+1,-11.45325954,8,-45.81303818,-58.94017649,0.006181186,6.08,2.883,2.883
2mer-0+15,-0.07075284,12,-0.42451702,-59.36469351,0.0007600164,9.929,5.799,5.799
2mer-0+27,-0.124761,24,-1.49713205,-60.86182556,0.0003877338,11.643,7.257,7.257
2mer-0+51,-0.15037931,8,-0.60151724,-61.46334279,0.0002230476,12.161,8.726,8.726
2mer-0+59,-0.04739262,6,-0.14217785,-61.60552064,0.0001714962,14.042,9.525,9.525
2mer-0+68,-0.01266057,24,-0.15192683,-61.75744747,0.0001092099,15.699,11.071,11.071
2mer-0+65,-0.01585052,24,-0.19020625,-61.94765372,0.0001021218,15.302,11.321,11.321
2mer-0+113,-0.01150895,24,-0.13810737,-62.08576109,6.577324e-05,17.198,13.109,13.109
2mer-0+131,-0.00777182,24,-0.09326184,-62.17902293,5.876381e-05,18.241,13.611,13.611
2mer-0+152,-0.01076889,8,-0.04307557,-62.2220985,4.606856e-05,18.241,14.762,14.762
2mer-0+169,-0.0022438,12,-0.01346281,-62.23556131,3.808868e-05,19.858,15.728,15.728
2mer-0+178,-0.00275846,48,-0.06620305,-62.30176436,3.407931e-05,20.768,16.322,16.322
2mer-0+205,-0.003832,6,-0.01149601,-62.31326037,3.292131e-05,21.063,16.511,16.511
2mer-0+214,-0.00339908,24,-0.04078896,-62.35404933,2.900121e-05,21.063,17.224,17.224
2mer-0+247,-0.0023361,24,-0.02803319,-62.38208252,2.789383e-05,22.202,17.449,17.449
2mer-0+289,-0.00186674,24,-0.02240088,-62.4044834,2.227156e-05,23.286,18.808,18.808
2mer-0+283,-0.00232542,24,-0.027905,-62.4323884,2.125082e-05,23.02,19.105,19.105
