N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-6.4574515,6,-19.37235451,-19.37235451,0.007344023,7.021,2.722,2.722
2mer-0+1,-18.99286293,8,-75.9714517,-95.34380621,0.006181186,6.08,2.883,2.883
2mer-0+15,0.04225495,12,0.25352972,-95.09027649,0.0007600164,9.929,5.799,5.799
2mer-0+27,0.03951089,24,0.47413065,-94.61614584,0.0003877338,11.643,7.257,7.257
2mer-0+51,0.17577042,8,0.70308168,-93.91306416,0.0002230476,12.161,8.726,8.726
2mer-0+59,0.08859653,6,0.26578958,-93.64727458,0.0001714962,14.042,9.525,9.525
2mer-0+68,0.18992058,24,2.27904691,-91.36822767,0.0001092099,15.699,11.071,11.071
2mer-0+65,0.17302218,24,2.07626614,-89.29196154,0.0001021218,15.302,11.321,11.321
2mer-0+113,0.30658956,24,3.6790747,-85.61288684,6.577324e-05,17.198,13.109,13.109
2mer-0+131,0.37027428,24,4.44329133,-81.16959551,5.876381e-05,18.241,13.611,13.611
2mer-0+152,0.28814126,8,1.15256505,-80.01703046,4.606856e-05,18.241,14.762,14.762
2mer-0+169,0.15007992,12,0.90047954,-79.11655092,3.808868e-05,19.858,15.728,15.728
2mer-0+178,0.18728861,48,4.49492659,-74.62162433,3.407931e-05,20.768,16.322,16.322
2mer-0+205,0.12891614,6,0.38674842,-74.23487591,3.292131e-05,21.063,16.511,16.511
2mer-0+214,0.31490181,24,3.77882175,-70.45605416,2.900121e-05,21.063,17.224,17.224
2mer-0+247,0.33096643,24,3.97159712,-66.48445704,2.789383e-05,22.202,17.449,17.449
2mer-0+289,0.13246964,24,1.58963573,-64.89482132,2.227156e-05,23.286,18.808,18.808
2mer-0+283,0.17002314,24,2.04027766,-62.85454365,2.125082e-05,23.02,19.105,19.105
