N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-5.25143432,6,-15.75430296,-15.75430296,0.007344023,7.021,2.722,2.722
2mer-0+1,-14.90173351,8,-59.60693404,-75.361237,0.006181186,6.08,2.883,2.883
2mer-0+15,-0.10656065,12,-0.6393639,-76.0006009,0.0007600164,9.929,5.799,5.799
2mer-0+27,-0.13856096,24,-1.66273152,-77.66333242,0.0003877338,11.643,7.257,7.257
2mer-0+51,-0.16358603,8,-0.65434412,-78.31767654,0.0002230476,12.161,8.726,8.726
2mer-0+59,-0.05234002,6,-0.15702006,-78.4746966,0.0001714962,14.042,9.525,9.525
2mer-0+68,-0.01496348,24,-0.17956176,-78.65425836,0.0001092099,15.699,11.071,11.071
2mer-0+65,-0.0186581,24,-0.2238972,-78.87815556,0.0001021218,15.302,11.321,11.321
2mer-0+113,-0.0129934,24,-0.1559208,-79.03407636,6.577324e-05,17.198,13.109,13.109
2mer-0+131,-0.00881855,24,-0.1058226,-79.13989896,5.876381e-05,18.241,13.611,13.611
2mer-0+152,-0.01192596,8,-0.04770384,-79.1876028,4.606856e-05,18.241,14.762,14.762
2mer-0+169,-0.0028746,12,-0.0172476,-79.2048504,3.808868e-05,19.858,15.728,15.728
2mer-0+178,-0.00327877,48,-0.07869048,-79.28354088,3.407931e-05,20.768,16.322,16.322
2mer-0+205,-0.00434172,6,-0.01302516,-79.29656604,3.292131e-05,21.063,16.511,16.511
2mer-0+214,-0.00391061,24,-0.04692732,-79.34349336,2.900121e-05,21.063,17.224,17.224
2mer-0+247,-0.00271953,24,-0.03263436,-79.37612772,2.789383e-05,22.202,17.449,17.449
2mer-0+289,-0.00217885,24,-0.0261462,-79.40227392,2.227156e-05,23.286,18.808,18.808
2mer-0+283,-0.00266577,24,-0.03198924,-79.43426316,2.125082e-05,23.02,19.105,19.105
