N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-9.26918305,2,-9.26918305,-9.26918305,0.02170997,2.765,1.897,1.897
2mer-0+1,-7.21211626,1,-3.60605813,-12.87524118,0.02149779,2.765,1.903,1.903
2mer-0+3,-10.94066883,1,-5.47033442,-18.3455756,0.02031553,2.762,1.939,1.939
2mer-0+6,4.39719205,2,4.39719205,-13.94838355,0.005031491,4.435,3.088,3.088
2mer-0+8,-2.05077087,4,-4.10154175,-18.0499253,0.002692835,4.483,3.804,3.804
2mer-0+4,-2.65279377,4,-5.30558754,-23.35551284,0.002624978,4.555,3.836,3.836
2mer-0+13,-3.31843596,1,-1.65921798,-25.01473082,0.001867041,4.601,4.298,4.298
2mer-0+20,1.5509085,2,1.5509085,-23.46382232,0.001717347,5.292,4.419,4.419
2mer-0+11,0.41723872,2,0.41723872,-23.0465836,0.001714617,5.258,4.421,4.421
2mer-0+14,1.21726756,2,1.21726756,-21.82931604,0.0016157,4.564,4.51,4.51
2mer-0+9,-1.44151841,2,-1.44151841,-23.27083445,0.001488705,5.295,4.634,4.634
2mer-0+26,-1.81050922,1,-0.90525461,-24.17608906,0.001263349,5.293,4.895,4.895
2mer-0+15,0.32965211,2,0.32965211,-23.84643695,0.001248965,5.326,4.914,4.914
2mer-0+21,0.80569916,2,0.80569916,-23.04073779,0.001116157,6.418,5.101,5.101
2mer-0+29,1.10765496,2,1.10765496,-21.93308283,0.0009488755,6.88,5.385,5.385
2mer-0+36,0.1734417,2,0.1734417,-21.75964113,0.0007892674,6.306,5.726,5.726
2mer-0+22,0.85963759,4,1.71927519,-20.04036594,0.0007867942,6.419,5.732,5.732
2mer-0+34,-1.48298098,2,-1.48298098,-21.52334692,0.0007705943,6.445,5.772,5.772
2mer-0+25,0.83277,2,0.83277,-20.69057692,0.0006624279,6.474,6.07,6.07
2mer-0+35,-0.27601574,2,-0.27601574,-20.96659267,0.000634129,6.948,6.159,6.159
2mer-0+31,0.21787678,2,0.21787678,-20.74871589,0.0006339603,6.958,6.16,6.16
2mer-0+42,-1.0453001,1,-0.52265005,-21.27136594,0.0006234168,6.948,6.195,6.195
2mer-0+38,-0.21827159,4,-0.43654318,-21.70790912,0.0005368451,7.802,6.511,6.511
2mer-0+32,0.22875742,4,0.45751484,-21.25039427,0.0005092469,7.82,6.627,6.627
2mer-0+40,1.06390853,2,1.06390853,-20.18648575,0.000439955,7.035,6.958,6.958
2mer-0+44,-0.88152575,4,-1.76305149,-21.94953724,0.0004307326,7.825,7.007,7.007
2mer-0+55,0.08757136,2,0.08757136,-21.86196588,0.0004085514,7.36,7.132,7.132
2mer-0+45,0.14735152,4,0.29470303,-21.56726285,0.0003823113,7.825,7.291,7.291
2mer-0+59,0.08199055,2,0.08199055,-21.4852723,0.0003747401,8.25,7.34,7.34
2mer-0+73,0.39234689,1,0.19617345,-21.28909885,0.0003649593,8.206,7.405,7.405
2mer-0+54,-0.48910504,2,-0.48910504,-21.77820389,0.0003589442,7.82,7.446,7.446
2mer-0+57,0.14872641,4,0.29745282,-21.48075107,0.0003368618,8.99,7.605,7.605
2mer-0+77,0.39341613,1,0.19670806,-21.28404301,0.0003328696,8.285,7.636,7.636
2mer-0+56,-0.56297281,2,-0.56297281,-21.84701582,0.0003325178,8.286,7.638,7.638
2mer-0+52,0.0703038,2,0.0703038,-21.77671202,0.0003161852,8.337,7.768,7.768
2mer-0+89,0.37185285,1,0.18592642,-21.59078559,0.0003160106,8.993,7.769,7.769
2mer-0+64,-0.13084403,2,-0.13084403,-21.72162962,0.0003160106,9.033,7.769,7.769
2mer-0+82,-0.27427224,4,-0.54854448,-22.2701741,0.0002914261,8.593,7.982,7.982
2mer-0+67,-0.43316408,4,-0.86632817,-23.13650227,0.0002839308,8.656,8.051,8.051
2mer-0+68,0.43025112,1,0.21512556,-22.92137671,0.0002833353,8.38,8.057,8.057
2mer-0+72,-0.39247722,2,-0.39247722,-23.31385392,0.000281775,8.681,8.072,8.072
2mer-0+69,0.36014092,1,0.18007046,-23.13378346,0.0002815522,8.681,8.074,8.074
2mer-0+76,0.02990566,4,0.05981132,-23.07397214,0.0002520364,8.656,8.377,8.377
2mer-0+100,0.00542987,2,0.00542987,-23.06854227,0.0002412137,9.379,8.501,8.501
2mer-0+87,0.24347854,2,0.24347854,-22.82506374,0.0002411134,9.436,8.502,8.502
2mer-0+70,-0.12839517,2,-0.12839517,-22.9534589,0.0002321974,9.113,8.61,8.61
2mer-0+113,0.0634841,2,0.0634841,-22.8899748,0.0002321631,9.386,8.61,8.61
2mer-0+66,0.11426344,2,0.11426344,-22.77571136,0.0002317151,9.444,8.616,8.616
2mer-0+109,0.21181022,2,0.21181022,-22.56390114,0.0002316673,9.404,8.616,8.616
2mer-0+84,0.22186315,2,0.22186315,-22.342038,0.0002314782,9.48,8.618,8.618
2mer-0+88,-0.42930575,2,-0.42930575,-22.77134375,0.0002127402,9.443,8.864,8.864
2mer-0+86,0.05482234,2,0.05482234,-22.71652141,0.0002121102,9.501,8.873,8.873
2mer-0+99,-0.00690914,2,-0.00690914,-22.72343055,0.0002104783,9.493,8.896,8.896
2mer-0+97,-0.13595759,2,-0.13595759,-22.85938814,0.0002026216,9.785,9.01,9.01
2mer-0+85,0.49616585,2,0.49616585,-22.36322229,0.0002012651,9.11,9.03,9.03
2mer-0+104,0.37701525,1,0.18850762,-22.17471467,0.0001984292,9.152,9.073,9.073
2mer-0+95,-0.06904826,4,-0.13809652,-22.31281119,0.0001954677,10.063,9.118,9.118
2mer-0+96,0.13299429,4,0.26598857,-22.04682262,0.0001954677,10.063,9.118,9.118
2mer-0+131,-0.32701809,1,-0.16350904,-22.21033166,0.0001842656,10.12,9.299,9.299
2mer-0+137,-0.08457616,2,-0.08457616,-22.29490781,0.0001822456,10.098,9.334,9.334
2mer-0+98,-0.05599127,2,-0.05599127,-22.35089908,0.0001818625,10.134,9.34,9.34
2mer-0+136,-0.33583301,1,-0.1679165,-22.51881559,0.0001807027,9.784,9.36,9.36
2mer-0+107,-0.08094798,2,-0.08094798,-22.59976357,0.0001792999,10.169,9.384,9.384
2mer-0+130,0.0483774,2,0.0483774,-22.55138617,0.0001774011,10.726,9.418,9.418
2mer-0+124,0.17349069,4,0.34698138,-22.20440479,0.0001716544,11.013,9.522,9.522
2mer-0+132,-0.1512091,2,-0.1512091,-22.35561389,0.0001661462,10.467,9.626,9.626
2mer-0+119,-0.23970665,1,-0.11985332,-22.47546722,0.0001659168,10.468,9.63,9.63
2mer-0+110,0.02168244,4,0.04336488,-22.43210234,0.0001573314,10.153,9.802,9.802
2mer-0+126,0.05925378,2,0.05925378,-22.37284855,0.0001533653,11.352,9.886,9.886
2mer-0+122,0.17301111,4,0.34602223,-22.02682632,0.0001525534,10.739,9.904,9.904
2mer-0+121,-0.08646038,4,-0.17292076,-22.19974709,0.0001525534,10.739,9.904,9.904
2mer-0+140,0.02220927,2,0.02220927,-22.17753781,0.000149317,10.776,9.975,9.975
2mer-0+151,-0.35065315,2,-0.35065315,-22.52819096,0.0001366512,10.739,10.274,10.274
2mer-0+164,0.06851379,2,0.06851379,-22.45967718,0.000135196,11.081,10.311,10.311
2mer-0+149,-0.12933123,2,-0.12933123,-22.5890084,0.0001351565,11.065,10.312,10.312
2mer-0+154,-0.13569994,2,-0.13569994,-22.72470834,0.0001341423,11.098,10.337,10.337
2mer-0+183,0.12223527,4,0.24447055,-22.4802378,0.0001267006,11.873,10.536,10.536
2mer-0+155,-0.12985842,4,-0.25971684,-22.73995463,0.0001250017,11.618,10.583,10.583
2mer-0+156,0.009582,4,0.019164,-22.72079063,0.0001250017,11.618,10.583,10.583
2mer-0+172,0.18931728,4,0.37863456,-22.34215607,0.0001241576,11.87,10.607,10.607
2mer-0+199,0.08787047,2,0.08787047,-22.2542856,0.0001233407,11.346,10.631,10.631
2mer-0+189,-0.10067718,2,-0.10067718,-22.35496279,0.0001233306,11.399,10.631,10.631
2mer-0+147,0.08607456,2,0.08607456,-22.26888823,0.0001232416,11.441,10.634,10.634
2mer-0+152,0.16788896,2,0.16788896,-22.10099927,0.0001222647,10.739,10.662,10.662
2mer-0+150,0.06653198,2,0.06653198,-22.03446729,0.0001209828,10.826,10.699,10.699
2mer-0+186,-0.05545081,4,-0.11090162,-22.14536891,0.0001140839,11.333,10.911,10.911
2mer-0+148,-0.08683388,4,-0.17366776,-22.31903667,0.0001140737,11.961,10.911,10.911
2mer-0+153,-0.09753778,2,-0.09753778,-22.41657445,0.0001134126,11.393,10.932,10.932
2mer-0+175,0.25976058,2,0.25976058,-22.15681387,0.0001096182,11.144,11.057,11.057
2mer-0+192,0.13521833,2,0.13521833,-22.02159554,0.000107916,12.216,11.115,11.115
2mer-0+165,-0.02445269,2,-0.02445269,-22.04604823,0.0001078359,12.231,11.118,11.118
2mer-0+166,-0.0369274,4,-0.0738548,-22.11990303,0.0001070144,11.979,11.146,11.146
2mer-0+196,-0.14439959,2,-0.14439959,-22.26430262,0.0001054134,11.365,11.202,11.202
2mer-0+207,0.04217036,2,0.04217036,-22.22213226,0.0001035413,12.255,11.269,11.269
2mer-0+168,0.09853021,4,0.19706042,-22.02507184,0.0001019717,11.979,11.327,11.327
2mer-0+219,0.00564733,2,0.00564733,-22.01942452,0.0001011758,12.274,11.356,11.356
2mer-0+205,0.12245882,2,0.12245882,-21.89696569,0.0001010609,12.758,11.361,11.361
2mer-0+178,0.06641527,2,0.06641527,-21.83055043,0.0001009891,12.773,11.363,11.363
2mer-0+171,0.05740918,2,0.05740918,-21.77314125,0.0001000362,11.447,11.399,11.399
2mer-0+179,0.04423361,4,0.08846722,-21.68467402,9.926285e-05,12.006,11.429,11.429
