N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-9.21317772,2,-9.21317772,-9.21317772,0.02170997,2.765,1.897,1.897
2mer-0+1,-7.14327627,1,-3.57163813,-12.78481586,0.02149779,2.765,1.903,1.903
2mer-0+3,-10.94743573,1,-5.47371786,-18.25853372,0.02031553,2.762,1.939,1.939
2mer-0+6,4.35743173,2,4.35743173,-13.90110199,0.005031491,4.435,3.088,3.088
2mer-0+8,-2.02819594,4,-4.05639189,-17.95749388,0.002692835,4.483,3.804,3.804
2mer-0+4,-2.61983261,4,-5.23966522,-23.1971591,0.002624978,4.555,3.836,3.836
2mer-0+13,-3.29222312,1,-1.64611156,-24.84327066,0.001867041,4.601,4.298,4.298
2mer-0+20,1.53667685,2,1.53667685,-23.30659381,0.001717347,5.292,4.419,4.419
2mer-0+11,0.41131504,2,0.41131504,-22.89527877,0.001714617,5.258,4.421,4.421
2mer-0+14,1.20238794,2,1.20238794,-21.69289083,0.0016157,4.564,4.51,4.51
2mer-0+9,-1.42490531,2,-1.42490531,-23.11779614,0.001488705,5.295,4.634,4.634
2mer-0+26,-1.800529,1,-0.9002645,-24.01806064,0.001263349,5.293,4.895,4.895
2mer-0+15,0.32445149,2,0.32445149,-23.69360915,0.001248965,5.326,4.914,4.914
2mer-0+21,0.79904918,2,0.79904918,-22.89455996,0.001116157,6.418,5.101,5.101
2mer-0+29,1.10019108,2,1.10019108,-21.79436889,0.0009488755,6.88,5.385,5.385
2mer-0+36,0.17426253,2,0.17426253,-21.62010635,0.0007892674,6.306,5.726,5.726
2mer-0+22,0.85245316,4,1.70490632,-19.91520003,0.0007867942,6.419,5.732,5.732
2mer-0+34,-1.47331584,2,-1.47331584,-21.38851587,0.0007705943,6.445,5.772,5.772
2mer-0+25,0.82585241,2,0.82585241,-20.56266346,0.0006624279,6.474,6.07,6.07
2mer-0+35,-0.274139,2,-0.274139,-20.83680246,0.000634129,6.948,6.159,6.159
2mer-0+31,0.21915902,2,0.21915902,-20.61764344,0.0006339603,6.958,6.16,6.16
2mer-0+42,-1.03704289,1,-0.51852145,-21.13616489,0.0006234168,6.948,6.195,6.195
2mer-0+38,-0.21718978,4,-0.43437956,-21.57054445,0.0005368451,7.802,6.511,6.511
2mer-0+32,0.22710685,4,0.4542137,-21.11633074,0.0005092469,7.82,6.627,6.627
2mer-0+40,1.05614386,2,1.05614386,-20.06018689,0.000439955,7.035,6.958,6.958
2mer-0+44,-0.87513711,4,-1.75027423,-21.81046111,0.0004307326,7.825,7.007,7.007
2mer-0+55,0.08663129,2,0.08663129,-21.72382982,0.0004085514,7.36,7.132,7.132
2mer-0+45,0.14625136,4,0.29250271,-21.43132711,0.0003823113,7.825,7.291,7.291
2mer-0+59,0.08106626,2,0.08106626,-21.35026085,0.0003747401,8.25,7.34,7.34
2mer-0+73,0.3907683,1,0.19538415,-21.1548767,0.0003649593,8.206,7.405,7.405
2mer-0+54,-0.48569751,2,-0.48569751,-21.64057421,0.0003589442,7.82,7.446,7.446
2mer-0+57,0.14683475,4,0.29366951,-21.3469047,0.0003368618,8.99,7.605,7.605
