N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-11.34109645,2,-11.34109645,-11.34109645,0.02170997,2.765,1.897,1.897
2mer-0+1,-10.16827967,1,-5.08413983,-16.42523628,0.02149779,2.765,1.903,1.903
2mer-0+3,-12.49530546,1,-6.24765273,-22.67288901,0.02031553,2.762,1.939,1.939
2mer-0+6,3.42252554,2,3.42252554,-19.25036347,0.005031491,4.435,3.088,3.088
2mer-0+8,-2.16281167,4,-4.32562334,-23.5759868,0.002692835,4.483,3.804,3.804
2mer-0+4,-2.53967319,4,-5.07934638,-28.65533318,0.002624978,4.555,3.836,3.836
2mer-0+13,-2.82461234,1,-1.41230617,-30.06763935,0.001867041,4.601,4.298,4.298
2mer-0+20,1.25750481,2,1.25750481,-28.81013454,0.001717347,5.292,4.419,4.419
2mer-0+11,0.31786755,2,0.31786755,-28.49226698,0.001714617,5.258,4.421,4.421
2mer-0+14,1.09437875,2,1.09437875,-27.39788823,0.0016157,4.564,4.51,4.51
2mer-0+9,-1.32077751,2,-1.32077751,-28.71866575,0.001488705,5.295,4.634,4.634
2mer-0+26,-1.45479224,1,-0.72739612,-29.44606187,0.001263349,5.293,4.895,4.895
2mer-0+15,0.25850977,2,0.25850977,-29.1875521,0.001248965,5.326,4.914,4.914
2mer-0+21,0.64233078,2,0.64233078,-28.54522132,0.001116157,6.418,5.101,5.101
2mer-0+29,0.87145755,2,0.87145755,-27.67376377,0.0009488755,6.88,5.385,5.385
2mer-0+36,0.06807223,2,0.06807223,-27.60569154,0.0007892674,6.306,5.726,5.726
2mer-0+22,0.67855846,4,1.35711691,-26.24857463,0.0007867942,6.419,5.732,5.732
2mer-0+34,-1.18258535,2,-1.18258535,-27.43115998,0.0007705943,6.445,5.772,5.772
2mer-0+25,0.6679226,2,0.6679226,-26.76323738,0.0006624279,6.474,6.07,6.07
2mer-0+35,-0.23678488,2,-0.23678488,-27.00002226,0.000634129,6.948,6.159,6.159
2mer-0+31,0.10860343,2,0.10860343,-26.89141882,0.0006339603,6.958,6.16,6.16
2mer-0+42,-0.86856766,1,-0.43428383,-27.32570265,0.0006234168,6.948,6.195,6.195
2mer-0+38,-0.17618399,4,-0.35236798,-27.67807064,0.0005368451,7.802,6.511,6.511
2mer-0+32,0.17287195,4,0.34574391,-27.33232673,0.0005092469,7.82,6.627,6.627
2mer-0+40,0.82948833,2,0.82948833,-26.5028384,0.000439955,7.035,6.958,6.958
2mer-0+44,-0.70216452,4,-1.40432905,-27.90716745,0.0004307326,7.825,7.007,7.007
2mer-0+55,0.07224884,2,0.07224884,-27.8349186,0.0004085514,7.36,7.132,7.132
2mer-0+45,0.11369241,4,0.22738482,-27.60753378,0.0003823113,7.825,7.291,7.291
2mer-0+59,0.07011986,2,0.07011986,-27.53741392,0.0003747401,8.25,7.34,7.34
2mer-0+73,0.28342439,1,0.14171219,-27.39570172,0.0003649593,8.206,7.405,7.405
2mer-0+54,-0.38126508,2,-0.38126508,-27.77696681,0.0003589442,7.82,7.446,7.446
2mer-0+57,0.13309666,4,0.26619332,-27.51077348,0.0003368618,8.99,7.605,7.605
2mer-0+77,0.30096826,1,0.15048413,-27.36028935,0.0003328696,8.285,7.636,7.636
2mer-0+56,-0.441182,2,-0.441182,-27.80147136,0.0003325178,8.286,7.638,7.638
2mer-0+52,0.06159724,2,0.06159724,-27.73987412,0.0003161852,8.337,7.768,7.768
2mer-0+89,0.30064913,1,0.15032457,-27.58954956,0.0003160106,8.993,7.769,7.769
2mer-0+64,-0.11025296,2,-0.11025296,-27.69980251,0.0003160106,9.033,7.769,7.769
2mer-0+82,-0.23605962,4,-0.47211925,-28.17192176,0.0002914261,8.593,7.982,7.982
2mer-0+67,-0.34092556,4,-0.68185112,-28.85377288,0.0002839308,8.656,8.051,8.051
2mer-0+68,0.32489802,1,0.16244901,-28.69132387,0.0002833353,8.38,8.057,8.057
2mer-0+72,-0.30305264,2,-0.30305264,-28.9943765,0.000281775,8.681,8.072,8.072
2mer-0+69,0.28837919,1,0.14418959,-28.85018691,0.0002815522,8.681,8.074,8.074
2mer-0+76,0.03094412,4,0.06188824,-28.78829867,0.0002520364,8.656,8.377,8.377
2mer-0+100,-0.00302397,2,-0.00302397,-28.79132264,0.0002412137,9.379,8.501,8.501
2mer-0+87,0.19583981,2,0.19583981,-28.59548284,0.0002411134,9.436,8.502,8.502
2mer-0+70,-0.10806794,2,-0.10806794,-28.70355078,0.0002321974,9.113,8.61,8.61
2mer-0+113,0.04377356,2,0.04377356,-28.65977722,0.0002321631,9.386,8.61,8.61
2mer-0+66,0.09591317,2,0.09591317,-28.56386405,0.0002317151,9.444,8.616,8.616
2mer-0+109,0.16214091,2,0.16214091,-28.40172314,0.0002316673,9.404,8.616,8.616
2mer-0+84,0.17237571,2,0.17237571,-28.22934743,0.0002314782,9.48,8.618,8.618
2mer-0+88,-0.34287623,2,-0.34287623,-28.57222365,0.0002127402,9.443,8.864,8.864
2mer-0+86,0.03529034,2,0.03529034,-28.53693332,0.0002121102,9.501,8.873,8.873
2mer-0+99,-0.01244868,2,-0.01244868,-28.549382,0.0002104783,9.493,8.896,8.896
2mer-0+97,-0.11832089,2,-0.11832089,-28.66770289,0.0002026216,9.785,9.01,9.01
2mer-0+85,0.38897792,2,0.38897792,-28.27872496,0.0002012651,9.11,9.03,9.03
2mer-0+104,0.30276943,1,0.15138472,-28.12734025,0.0001984292,9.152,9.073,9.073
2mer-0+95,-0.05054353,4,-0.10108706,-28.2284273,0.0001954677,10.063,9.118,9.118
2mer-0+96,0.09997163,4,0.19994326,-28.02848404,0.0001954677,10.063,9.118,9.118
2mer-0+131,-0.26437944,1,-0.13218972,-28.16067376,0.0001842656,10.12,9.299,9.299
2mer-0+137,-0.07688519,2,-0.07688519,-28.23755895,0.0001822456,10.098,9.334,9.334
2mer-0+98,-0.05739194,2,-0.05739194,-28.29495088,0.0001818625,10.134,9.34,9.34
2mer-0+136,-0.26249444,1,-0.13124722,-28.4261981,0.0001807027,9.784,9.36,9.36
2mer-0+107,-0.07360845,2,-0.07360845,-28.49980655,0.0001792999,10.169,9.384,9.384
2mer-0+130,0.03923235,2,0.03923235,-28.46057421,0.0001774011,10.726,9.418,9.418
2mer-0+124,0.13604722,4,0.27209443,-28.18847977,0.0001716544,11.013,9.522,9.522
2mer-0+132,-0.1236114,2,-0.1236114,-28.31209117,0.0001661462,10.467,9.626,9.626
2mer-0+119,-0.1986666,1,-0.0993333,-28.41142447,0.0001659168,10.468,9.63,9.63
2mer-0+110,0.00976237,4,0.01952473,-28.39189974,0.0001573314,10.153,9.802,9.802
2mer-0+126,0.04832846,2,0.04832846,-28.34357128,0.0001533653,11.352,9.886,9.886
2mer-0+122,0.13215915,4,0.2643183,-28.07925297,0.0001525534,10.739,9.904,9.904
2mer-0+121,-0.07079138,4,-0.14158276,-28.22083574,0.0001525534,10.739,9.904,9.904
2mer-0+140,0.01672628,2,0.01672628,-28.20410946,0.000149317,10.776,9.975,9.975
2mer-0+151,-0.27391051,2,-0.27391051,-28.47801997,0.0001366512,10.739,10.274,10.274
2mer-0+164,0.0502842,2,0.0502842,-28.42773577,0.000135196,11.081,10.311,10.311
