N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-16.33611271,2,-16.33611271,-16.33611271,0.02170997,2.765,1.897,1.897
2mer-0+1,-14.43861499,1,-7.21930749,-23.55542021,0.02149779,2.765,1.903,1.903
2mer-0+3,-17.29516135,1,-8.64758067,-32.20300088,0.02031553,2.762,1.939,1.939
2mer-0+6,3.23228904,2,3.23228904,-28.97071184,0.005031491,4.435,3.088,3.088
2mer-0+8,-2.64681694,4,-5.29363387,-34.26434572,0.002692835,4.483,3.804,3.804
2mer-0+4,-2.93311499,4,-5.86622998,-40.1305757,0.002624978,4.555,3.836,3.836
2mer-0+13,-3.46244863,1,-1.73122431,-41.86180001,0.001867041,4.601,4.298,4.298
2mer-0+20,1.34453557,2,1.34453557,-40.51726444,0.001717347,5.292,4.419,4.419
2mer-0+11,0.24100122,2,0.24100122,-40.27626323,0.001714617,5.258,4.421,4.421
2mer-0+14,0.9802759,2,0.9802759,-39.29598733,0.0016157,4.564,4.51,4.51
2mer-0+9,-1.46715863,2,-1.46715863,-40.76314595,0.001488705,5.295,4.634,4.634
2mer-0+26,-1.8128102,1,-0.9064051,-41.66955105,0.001263349,5.293,4.895,4.895
2mer-0+15,0.22856855,2,0.22856855,-41.4409825,0.001248965,5.326,4.914,4.914
2mer-0+21,0.71772391,2,0.71772391,-40.72325859,0.001116157,6.418,5.101,5.101
2mer-0+29,1.01919037,2,1.01919037,-39.70406822,0.0009488755,6.88,5.385,5.385
2mer-0+36,0.11739934,2,0.11739934,-39.58666887,0.0007892674,6.306,5.726,5.726
2mer-0+22,0.78045416,4,1.56090832,-38.02576056,0.0007867942,6.419,5.732,5.732
2mer-0+34,-1.42563718,2,-1.42563718,-39.45139774,0.0007705943,6.445,5.772,5.772
2mer-0+25,0.76341347,2,0.76341347,-38.68798427,0.0006624279,6.474,6.07,6.07
2mer-0+35,-0.27845265,2,-0.27845265,-38.96643692,0.000634129,6.948,6.159,6.159
2mer-0+31,0.19186179,2,0.19186179,-38.77457513,0.0006339603,6.958,6.16,6.16
2mer-0+42,-1.00602013,1,-0.50301006,-39.27758519,0.0006234168,6.948,6.195,6.195
2mer-0+38,-0.21505042,4,-0.43010084,-39.70768603,0.0005368451,7.802,6.511,6.511
2mer-0+32,0.2049672,4,0.4099344,-39.29775163,0.0005092469,7.82,6.627,6.627
2mer-0+40,0.98866576,2,0.98866576,-38.30908587,0.000439955,7.035,6.958,6.958
2mer-0+44,-0.83304201,4,-1.66608402,-39.97516988,0.0004307326,7.825,7.007,7.007
2mer-0+55,0.07245846,2,0.07245846,-39.90271143,0.0004085514,7.36,7.132,7.132
2mer-0+45,0.13094732,4,0.26189464,-39.64081679,0.0003823113,7.825,7.291,7.291
2mer-0+59,0.07189905,2,0.07189905,-39.56891774,0.0003747401,8.25,7.34,7.34
2mer-0+73,0.36181181,1,0.18090591,-39.38801183,0.0003649593,8.206,7.405,7.405
2mer-0+54,-0.46280274,2,-0.46280274,-39.85081457,0.0003589442,7.82,7.446,7.446
2mer-0+57,0.1355775,4,0.271155,-39.57965957,0.0003368618,8.99,7.605,7.605
2mer-0+77,0.36584983,1,0.18292492,-39.39673466,0.0003328696,8.285,7.636,7.636
