N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-15.13624174,2,-15.13624174,-15.13624174,0.02170997,2.765,1.897,1.897
2mer-0+1,-14.07681714,1,-7.03840857,-22.17465031,0.02149779,2.765,1.903,1.903
2mer-0+3,-15.74069552,1,-7.87034776,-30.04499807,0.02031553,2.762,1.939,1.939
2mer-0+6,2.48464856,2,2.48464856,-27.56034951,0.005031491,4.435,3.088,3.088
2mer-0+8,-2.61015414,4,-5.22030829,-32.78065779,0.002692835,4.483,3.804,3.804
2mer-0+4,-2.74255265,4,-5.48510531,-38.2657631,0.002624978,4.555,3.836,3.836
2mer-0+13,-3.02937271,1,-1.51468636,-39.78044946,0.001867041,4.601,4.298,4.298
2mer-0+20,1.06879614,2,1.06879614,-38.71165331,0.001717347,5.292,4.419,4.419
2mer-0+11,0.16282231,2,0.16282231,-38.548831,0.001714617,5.258,4.421,4.421
2mer-0+14,0.67747289,2,0.67747289,-37.87135812,0.0016157,4.564,4.51,4.51
2mer-0+9,-1.37394948,2,-1.37394948,-39.2453076,0.001488705,5.295,4.634,4.634
2mer-0+26,-1.4969143,1,-0.74845715,-39.99376475,0.001263349,5.293,4.895,4.895
2mer-0+15,0.13891435,2,0.13891435,-39.8548504,0.001248965,5.326,4.914,4.914
2mer-0+21,0.58172472,2,0.58172472,-39.27312568,0.001116157,6.418,5.101,5.101
2mer-0+29,0.80246835,2,0.80246835,-38.47065734,0.0009488755,6.88,5.385,5.385
2mer-0+36,0.0251468,2,0.0251468,-38.44551054,0.0007892674,6.306,5.726,5.726
2mer-0+22,0.62491604,4,1.24983209,-37.19567845,0.0007867942,6.419,5.732,5.732
2mer-0+34,-1.14190745,2,-1.14190745,-38.3375859,0.0007705943,6.445,5.772,5.772
2mer-0+25,0.61292665,2,0.61292665,-37.72465925,0.0006624279,6.474,6.07,6.07
2mer-0+35,-0.23677628,2,-0.23677628,-37.96143554,0.000634129,6.948,6.159,6.159
2mer-0+31,0.09044602,2,0.09044602,-37.87098952,0.0006339603,6.958,6.16,6.16
