N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-15.14205936,2,-15.14205936,-15.14205936,0.02170997,2.765,1.897,1.897
2mer-0+1,-13.43137254,1,-6.71568627,-21.85774563,0.02149779,2.765,1.903,1.903
2mer-0+3,-16.12626776,1,-8.06313388,-29.92087951,0.02031553,2.762,1.939,1.939
2mer-0+6,3.81370398,2,3.81370398,-26.10717553,0.005031491,4.435,3.088,3.088
2mer-0+8,-2.16319788,4,-4.32639576,-30.43357129,0.002692835,4.483,3.804,3.804
2mer-0+4,-2.58929008,4,-5.17858016,-35.61215145,0.002624978,4.555,3.836,3.836
2mer-0+13,-3.04320623,1,-1.52160312,-37.13375456,0.001867041,4.601,4.298,4.298
2mer-0+20,1.36449816,2,1.36449816,-35.76925641,0.001717347,5.292,4.419,4.419
2mer-0+11,0.33943731,2,0.33943731,-35.42981909,0.001714617,5.258,4.421,4.421
2mer-0+14,1.10234538,2,1.10234538,-34.32747371,0.0016157,4.564,4.51,4.51
2mer-0+9,-1.36992269,2,-1.36992269,-35.6973964,0.001488705,5.295,4.634,4.634
2mer-0+26,-1.62260904,1,-0.81130452,-36.50870092,0.001263349,5.293,4.895,4.895
2mer-0+15,0.27036709,2,0.27036709,-36.23833383,0.001248965,5.326,4.914,4.914
2mer-0+21,0.70877275,2,0.70877275,-35.52956108,0.001116157,6.418,5.101,5.101
2mer-0+29,0.97404216,2,0.97404216,-34.55551892,0.0009488755,6.88,5.385,5.385
2mer-0+36,0.11130403,2,0.11130403,-34.44421489,0.0007892674,6.306,5.726,5.726
2mer-0+22,0.74780758,4,1.49561516,-32.94859973,0.0007867942,6.419,5.732,5.732
2mer-0+34,-1.3103314,2,-1.3103314,-34.25893113,0.0007705943,6.445,5.772,5.772
2mer-0+25,0.7304464,2,0.7304464,-33.52848473,0.0006624279,6.474,6.07,6.07
2mer-0+35,-0.25496245,2,-0.25496245,-33.78344718,0.000634129,6.948,6.159,6.159
2mer-0+31,0.15877084,2,0.15877084,-33.62467634,0.0006339603,6.958,6.16,6.16
2mer-0+42,-0.94072362,1,-0.47036181,-34.09503815,0.0006234168,6.948,6.195,6.195
2mer-0+38,-0.19741943,4,-0.39483886,-34.48987701,0.0005368451,7.802,6.511,6.511
2mer-0+32,0.19434706,4,0.38869412,-34.1011829,0.0005092469,7.82,6.627,6.627
2mer-0+40,0.92121524,2,0.92121524,-33.17996765,0.000439955,7.035,6.958,6.958
2mer-0+44,-0.77804186,4,-1.55608372,-34.73605137,0.0004307326,7.825,7.007,7.007
2mer-0+55,0.07732632,2,0.07732632,-34.65872505,0.0004085514,7.36,7.132,7.132
2mer-0+45,0.12688609,4,0.25377218,-34.40495287,0.0003823113,7.825,7.291,7.291
2mer-0+59,0.07296831,2,0.07296831,-34.33198456,0.0003747401,8.25,7.34,7.34
2mer-0+73,0.32893176,1,0.16446588,-34.16751868,0.0003649593,8.206,7.405,7.405
2mer-0+54,-0.42580585,2,-0.42580585,-34.59332454,0.0003589442,7.82,7.446,7.446
2mer-0+57,0.1382927,4,0.2765854,-34.31673913,0.0003368618,8.99,7.605,7.605
2mer-0+77,0.34040117,1,0.17020058,-34.14653855,0.0003328696,8.285,7.636,7.636
2mer-0+56,-0.49396394,2,-0.49396394,-34.64050249,0.0003325178,8.286,7.638,7.638
2mer-0+52,0.06371781,2,0.06371781,-34.57678468,0.0003161852,8.337,7.768,7.768
2mer-0+89,0.33053995,1,0.16526998,-34.4115147,0.0003160106,8.993,7.769,7.769
2mer-0+64,-0.11927722,2,-0.11927722,-34.53079192,0.0003160106,9.033,7.769,7.769
2mer-0+82,-0.25126801,4,-0.50253602,-35.03332794,0.0002914261,8.593,7.982,7.982
2mer-0+67,-0.37908529,4,-0.75817058,-35.79149852,0.0002839308,8.656,8.051,8.051
2mer-0+68,0.37098341,1,0.18549171,-35.60600682,0.0002833353,8.38,8.057,8.057
2mer-0+72,-0.34183773,2,-0.34183773,-35.94784455,0.000281775,8.681,8.072,8.072
2mer-0+69,0.31764969,1,0.15882484,-35.78901971,0.0002815522,8.681,8.074,8.074
2mer-0+76,0.02839118,4,0.05678236,-35.73223735,0.0002520364,8.656,8.377,8.377
2mer-0+100,0.00057878,2,0.00057878,-35.73165857,0.0002412137,9.379,8.501,8.501
2mer-0+87,0.21521785,2,0.21521785,-35.51644072,0.0002411134,9.436,8.502,8.502
2mer-0+70,-0.11611359,2,-0.11611359,-35.6325543,0.0002321974,9.113,8.61,8.61
2mer-0+113,0.05233668,2,0.05233668,-35.58021762,0.0002321631,9.386,8.61,8.61
2mer-0+66,0.10218019,2,0.10218019,-35.47803743,0.0002317151,9.444,8.616,8.616
2mer-0+109,0.18261827,2,0.18261827,-35.29541916,0.0002316673,9.404,8.616,8.616
2mer-0+84,0.19338779,2,0.19338779,-35.10203137,0.0002314782,9.48,8.618,8.618
2mer-0+88,-0.37945603,2,-0.37945603,-35.4814874,0.0002127402,9.443,8.864,8.864
