N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+1,-44.5705357,2,-44.5705357,-44.5705357,0.02520049,5.142,1.805,1.805,"Molecule(name='C6H8N4', formula='C6H8N4', hash='524a0bb')"
2mer-0+8,-1.34149579,2,-1.34149579,-45.91203149,0.01203584,6.194,2.309,2.309,"Molecule(name='C6H8N4', formula='C6H8N4', hash='16c0738')"
2mer-0+4,-2.416061,1,-1.2080305,-47.12006199,0.009190412,5.775,2.526,2.526,"Molecule(name='C6H8N4', formula='C6H8N4', hash='3784144')"
2mer-0+14,-11.17373125,2,-11.17373125,-58.29379324,0.008282639,4.961,2.615,2.615,"Molecule(name='C6H8N4', formula='C6H8N4', hash='c6ee1f1')"
2mer-0+2,-15.54952169,2,-15.54952169,-73.84331492,0.006341256,4.47,2.859,2.859,"Molecule(name='C6H8N4', formula='C6H8N4', hash='f027b4f')"
2mer-0+16,-7.54702828,1,-3.77351414,-77.61682906,0.006014628,5.307,2.91,2.91,"Molecule(name='C6H8N4', formula='C6H8N4', hash='3216860')"
2mer-0+3,-3.24331798,2,-3.24331798,-80.86014704,0.005459376,5.371,3.005,3.005,"Molecule(name='C6H8N4', formula='C6H8N4', hash='0258a71')"
2mer-0+10,-20.89890902,1,-10.44945451,-91.30960155,0.003717661,4.053,3.416,3.416,"Molecule(name='C6H8N4', formula='C6H8N4', hash='d2a07fa')"
2mer-0+5,0.55889561,1,0.27944781,-91.03015374,0.002965861,6.911,3.683,3.683,"Molecule(name='C6H8N4', formula='C6H8N4', hash='798e988')"
2mer-0+50,-0.97663921,1,-0.48831961,-91.51847334,0.002402648,8.303,3.951,3.951,"Molecule(name='C6H8N4', formula='C6H8N4', hash='606e28b')"
2mer-0+19,1.44868098,2,1.44868098,-90.06979237,0.001294784,6.926,4.855,4.855,"Molecule(name='C6H8N4', formula='C6H8N4', hash='8ba2ae0')"
2mer-0+9,1.48862036,2,1.48862036,-88.581172,0.001283554,8.253,4.869,4.869,"Molecule(name='C6H8N4', formula='C6H8N4', hash='928b2c3')"
2mer-0+37,0.08456463,1,0.04228232,-88.53888969,0.001212229,9.409,4.963,4.963,"Molecule(name='C6H8N4', formula='C6H8N4', hash='37f08ea')"
2mer-0+6,-0.04596021,1,-0.02298011,-88.56186979,0.001070709,8.042,5.173,5.173,"Molecule(name='C6H8N4', formula='C6H8N4', hash='bc0b4bd')"
2mer-0+7,-0.2216871,2,-0.2216871,-88.78355689,0.001037861,8.498,5.227,5.227,"Molecule(name='C6H8N4', formula='C6H8N4', hash='a5bc713')"
2mer-0+38,0.51034744,2,0.51034744,-88.27320945,0.0009028009,9.292,5.475,5.475,"Molecule(name='C6H8N4', formula='C6H8N4', hash='9d89bfa')"
2mer-0+24,0.06642901,1,0.0332145,-88.23999495,0.0008425211,6.715,5.603,5.603,"Molecule(name='C6H8N4', formula='C6H8N4', hash='ae28f16')"
2mer-0+34,-1.06233752,2,-1.06233752,-89.30233246,0.0008322436,9.073,5.626,5.626,"Molecule(name='C6H8N4', formula='C6H8N4', hash='5c94b16')"
2mer-0+13,0.65820263,2,0.65820263,-88.64412984,0.0007461262,7.582,5.834,5.834,"Molecule(name='C6H8N4', formula='C6H8N4', hash='5e0b591')"
2mer-0+12,-1.04096823,2,-1.04096823,-89.68509807,0.000725228,8.814,5.89,5.89,"Molecule(name='C6H8N4', formula='C6H8N4', hash='4e23c51')"
2mer-0+33,0.90134425,2,0.90134425,-88.78375382,0.0006495233,7.739,6.11,6.11,"Molecule(name='C6H8N4', formula='C6H8N4', hash='d7e0c90')"
2mer-0+70,3.09336648,1,1.54668324,-87.23707057,0.0006283345,8.293,6.178,6.178,"Molecule(name='C6H8N4', formula='C6H8N4', hash='cb58a1a')"
2mer-0+43,-1.69847044,1,-0.84923522,-88.08630579,0.0006052052,7.563,6.256,6.256,"Molecule(name='C6H8N4', formula='C6H8N4', hash='ee161f8')"
2mer-0+23,-0.53212729,1,-0.26606364,-88.35236944,0.0005629168,10.391,6.409,6.409,"Molecule(name='C6H8N4', formula='C6H8N4', hash='3c0c3f8')"
2mer-0+61,0.28653149,2,0.28653149,-88.06583795,0.0005384115,10.392,6.505,6.505,"Molecule(name='C6H8N4', formula='C6H8N4', hash='c0b638e')"
2mer-0+35,-0.38638979,2,-0.38638979,-88.45222774,0.0005231535,9.022,6.567,6.567,"Molecule(name='C6H8N4', formula='C6H8N4', hash='a2274b2')"
