N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-40.9695859,2,-40.9695859,-40.9695859,0.02520049,5.142,1.805,1.805
2mer-0+8,-2.16685846,2,-2.16685846,-43.13644436,0.01203584,6.194,2.309,2.309
2mer-0+4,-3.5069578,1,-1.7534789,-44.88992326,0.009190412,5.775,2.526,2.526
2mer-0+14,-11.02790029,2,-11.02790029,-55.91782355,0.008282639,4.961,2.615,2.615
2mer-0+2,-15.55347152,2,-15.55347152,-71.47129507,0.006341256,4.47,2.859,2.859
2mer-0+16,-7.69213522,1,-3.84606761,-75.31736268,0.006014628,5.307,2.91,2.91
2mer-0+3,-3.7425997,2,-3.7425997,-79.05996238,0.005459376,5.371,3.005,3.005
2mer-0+10,-20.57162997,1,-10.28581499,-89.34577737,0.003717661,4.053,3.416,3.416
2mer-0+5,-0.19330864,1,-0.09665432,-89.44243169,0.002965861,6.911,3.683,3.683
2mer-0+50,-1.16021322,1,-0.58010661,-90.0225383,0.002402648,8.303,3.951,3.951
2mer-0+19,1.07079384,2,1.07079384,-88.95174446,0.001294784,6.926,4.855,4.855
2mer-0+9,1.30158215,2,1.30158215,-87.65016231,0.001283554,8.253,4.869,4.869
2mer-0+37,0.0035826,1,0.0017913,-87.64837101,0.001212229,9.409,4.963,4.963
2mer-0+6,-0.16016659,1,-0.08008329,-87.7284543,0.001070709,8.042,5.173,5.173
2mer-0+7,-0.31304853,2,-0.31304853,-88.04150283,0.001037861,8.498,5.227,5.227
2mer-0+38,0.42934907,2,0.42934907,-87.61215376,0.0009028009,9.292,5.475,5.475
2mer-0+24,-0.30606344,1,-0.15303172,-87.76518548,0.0008425211,6.715,5.603,5.603
2mer-0+34,-1.06948923,2,-1.06948923,-88.83467472,0.0008322436,9.073,5.626,5.626
2mer-0+13,0.44601475,2,0.44601475,-88.38865997,0.0007461262,7.582,5.834,5.834
2mer-0+12,-1.05743429,2,-1.05743429,-89.44609426,0.000725228,8.814,5.89,5.89
2mer-0+33,0.72201296,2,0.72201296,-88.7240813,0.0006495233,7.739,6.11,6.11
2mer-0+70,2.80572013,1,1.40286006,-87.32122123,0.0006283345,8.293,6.178,6.178
2mer-0+43,-1.79275359,1,-0.89637679,-88.21759803,0.0006052052,7.563,6.256,6.256
2mer-0+23,-0.54001223,1,-0.27000612,-88.48760414,0.0005629168,10.391,6.409,6.409
2mer-0+61,0.24762722,2,0.24762722,-88.23997692,0.0005384115,10.392,6.505,6.505
2mer-0+35,-0.41979933,2,-0.41979933,-88.65977625,0.0005231535,9.022,6.567,6.567
2mer-0+25,-2.41792166,2,-2.41792166,-91.07769791,0.0005131624,9.79,6.61,6.61
2mer-0+74,0.80982638,2,0.80982638,-90.26787152,0.0004537087,9.81,6.887,6.887
2mer-0+27,-0.0067755,2,-0.0067755,-90.27464702,0.0004509496,10.5,6.901,6.901
2mer-0+65,1.22781935,1,0.61390968,-89.66073734,0.0004424465,9.257,6.945,6.945
2mer-0+22,-0.94039364,2,-0.94039364,-90.60113098,0.0003971009,11.167,7.199,7.199
2mer-0+29,0.6855654,2,0.6855654,-89.91556559,0.0003580707,9.682,7.452,7.452
2mer-0+36,0.46534728,2,0.46534728,-89.4502183,0.0003313513,10.742,7.647,7.647
2mer-0+116,0.24288011,1,0.12144005,-89.32877825,0.0003240218,10.466,7.704,7.704
2mer-0+73,-0.92253983,1,-0.46126992,-89.79004817,0.0003127281,10.816,7.796,7.796
2mer-0+30,0.81861108,2,0.81861108,-88.97143708,0.000304378,11.637,7.867,7.867
2mer-0+32,-0.00143244,2,-0.00143244,-88.97286952,0.0002919045,11.217,7.977,7.977
2mer-0+57,-0.73088635,2,-0.73088635,-89.70375587,0.0002677737,11.167,8.21,8.21
2mer-0+28,0.30168333,2,0.30168333,-89.40207254,0.0002588983,9.292,8.303,8.303
2mer-0+54,-0.64796137,1,-0.32398068,-89.72605323,0.0002445731,10.127,8.462,8.462
2mer-0+39,-0.64143715,2,-0.64143715,-90.36749037,0.000237848,10.95,8.541,8.541
2mer-0+60,-0.51008472,2,-0.51008472,-90.87757509,0.0002378111,11.482,8.541,8.541
