N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-52.16332075,2,-52.16332075,-52.16332075,0.02520049,5.142,1.805,1.805
2mer-0+8,-2.09563729,2,-2.09563729,-54.25895804,0.01203584,6.194,2.309,2.309
2mer-0+4,-3.41586953,1,-1.70793476,-55.9668928,0.009190412,5.775,2.526,2.526
2mer-0+14,-10.08979567,2,-10.08979567,-66.05668847,0.008282639,4.961,2.615,2.615
2mer-0+2,-15.2148709,2,-15.2148709,-81.27155937,0.006341256,4.47,2.859,2.859
2mer-0+16,-5.66394548,1,-2.83197274,-84.10353211,0.006014628,5.307,2.91,2.91
2mer-0+3,-2.03109187,2,-2.03109187,-86.13462398,0.005459376,5.371,3.005,3.005
2mer-0+10,-18.99303128,1,-9.49651564,-95.63113962,0.003717661,4.053,3.416,3.416
2mer-0+5,0.71112749,1,0.35556375,-95.27557588,0.002965861,6.911,3.683,3.683
2mer-0+50,-1.04414156,1,-0.52207078,-95.79764666,0.002402648,8.303,3.951,3.951
2mer-0+19,1.51315082,2,1.51315082,-94.28449584,0.001294784,6.926,4.855,4.855
2mer-0+9,1.68550941,2,1.68550941,-92.59898643,0.001283554,8.253,4.869,4.869
2mer-0+37,-0.07160511,1,-0.03580255,-92.63478899,0.001212229,9.409,4.963,4.963
2mer-0+6,0.34627429,1,0.17313715,-92.46165184,0.001070709,8.042,5.173,5.173
2mer-0+7,-0.22435006,2,-0.22435006,-92.6860019,0.001037861,8.498,5.227,5.227
2mer-0+38,0.62010661,2,0.62010661,-92.06589529,0.0009028009,9.292,5.475,5.475
2mer-0+24,-0.53099555,1,-0.26549778,-92.33139307,0.0008425211,6.715,5.603,5.603
2mer-0+34,-1.11739129,2,-1.11739129,-93.44878436,0.0008322436,9.073,5.626,5.626
2mer-0+13,0.65325684,2,0.65325684,-92.79552752,0.0007461262,7.582,5.834,5.834
2mer-0+12,-1.15391084,2,-1.15391084,-93.94943836,0.000725228,8.814,5.89,5.89
2mer-0+33,1.04022951,2,1.04022951,-92.90920884,0.0006495233,7.739,6.11,6.11
2mer-0+70,3.11916084,1,1.55958042,-91.34962843,0.0006283345,8.293,6.178,6.178
2mer-0+43,-1.77586203,1,-0.88793102,-92.23755944,0.0006052052,7.563,6.256,6.256
2mer-0+23,-0.60160699,1,-0.3008035,-92.53836294,0.0005629168,10.391,6.409,6.409
2mer-0+61,0.27718542,2,0.27718542,-92.26117752,0.0005384115,10.392,6.505,6.505
2mer-0+35,-0.3307722,2,-0.3307722,-92.59194972,0.0005231535,9.022,6.567,6.567
2mer-0+25,-2.53193353,2,-2.53193353,-95.12388325,0.0005131624,9.79,6.61,6.61
2mer-0+74,1.00723863,2,1.00723863,-94.11664462,0.0004537087,9.81,6.887,6.887
2mer-0+27,-0.04012316,2,-0.04012316,-94.15676778,0.0004509496,10.5,6.901,6.901
2mer-0+65,1.37348127,1,0.68674064,-93.47002714,0.0004424465,9.257,6.945,6.945
2mer-0+22,-1.07317816,2,-1.07317816,-94.5432053,0.0003971009,11.167,7.199,7.199
2mer-0+29,0.86007328,2,0.86007328,-93.68313202,0.0003580707,9.682,7.452,7.452
2mer-0+36,0.57837095,2,0.57837095,-93.10476107,0.0003313513,10.742,7.647,7.647
2mer-0+116,0.38256296,1,0.19128148,-92.91347959,0.0003240218,10.466,7.704,7.704
2mer-0+73,-0.94229522,1,-0.47114761,-93.3846272,0.0003127281,10.816,7.796,7.796
2mer-0+30,0.92321906,2,0.92321906,-92.46140814,0.000304378,11.637,7.867,7.867
2mer-0+32,0.03406877,2,0.03406877,-92.42733937,0.0002919045,11.217,7.977,7.977
2mer-0+57,-0.74820616,2,-0.74820616,-93.17554553,0.0002677737,11.167,8.21,8.21
2mer-0+28,0.37588053,2,0.37588053,-92.799665,0.0002588983,9.292,8.303,8.303
2mer-0+54,-0.70051442,1,-0.35025721,-93.14992221,0.0002445731,10.127,8.462,8.462
2mer-0+39,-0.66399851,2,-0.66399851,-93.81392073,0.000237848,10.95,8.541,8.541
2mer-0+60,-0.48243592,2,-0.48243592,-94.29635665,0.0002378111,11.482,8.541,8.541
2mer-0+55,0.7602693,1,0.38013465,-93.916222,0.0002220439,12.481,8.739,8.739
2mer-0+62,-0.65396704,2,-0.65396704,-94.57018904,0.0002199059,10.761,8.767,8.767
2mer-0+51,-0.39008633,2,-0.39008633,-94.96027537,0.0002192317,11.416,8.776,8.776
2mer-0+45,0.89902294,1,0.44951147,-94.5107639,0.0002142753,13.142,8.843,8.843
2mer-0+59,-0.66522711,1,-0.33261356,-94.84337745,0.0002092252,10.941,8.914,8.914
2mer-0+96,-0.40798622,1,-0.20399311,-95.04737056,0.0002081369,11.972,8.929,8.929
2mer-0+84,0.33940919,2,0.33940919,-94.70796137,0.0002054989,13.149,8.967,8.967
2mer-0+155,-0.26010706,1,-0.13005353,-94.8380149,0.0002053478,12.939,8.97,8.97
2mer-0+99,0.41627993,2,0.41627993,-94.42173497,0.0001998587,11.381,9.051,9.051
2mer-0+85,-0.22917052,2,-0.22917052,-94.65090549,0.0001970755,11.604,9.093,9.093
2mer-0+88,-0.77624479,1,-0.38812239,-95.03902788,0.0001939131,10.003,9.143,9.143
2mer-0+68,0.26217057,2,0.26217057,-94.77685732,0.0001861548,10.5,9.268,9.268
2mer-0+93,0.07406604,2,0.07406604,-94.70279128,0.0001851374,12.407,9.285,9.285
2mer-0+40,-0.08425546,1,-0.04212773,-94.74491901,0.000184867,11.803,9.289,9.289
