N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-42.20687691,2,-42.20687691,-42.20687691,0.02520049,5.142,1.805,1.805
2mer-0+8,-1.14958845,2,-1.14958845,-43.35646535,0.01203584,6.194,2.309,2.309
2mer-0+4,-2.05674609,1,-1.02837304,-44.3848384,0.009190412,5.775,2.526,2.526
2mer-0+14,-11.86364704,2,-11.86364704,-56.24848543,0.008282639,4.961,2.615,2.615
2mer-0+2,-17.02786159,2,-17.02786159,-73.27634702,0.006341256,4.47,2.859,2.859
2mer-0+16,-8.46846179,1,-4.2342309,-77.51057792,0.006014628,5.307,2.91,2.91
2mer-0+3,-3.25237335,2,-3.25237335,-80.76295127,0.005459376,5.371,3.005,3.005
2mer-0+10,-23.75552598,1,-11.87776299,-92.64071426,0.003717661,4.053,3.416,3.416
2mer-0+5,0.57763784,1,0.28881892,-92.35189534,0.002965861,6.911,3.683,3.683
2mer-0+50,-1.13404235,1,-0.56702117,-92.91891651,0.002402648,8.303,3.951,3.951
2mer-0+19,1.45673839,2,1.45673839,-91.46217813,0.001294784,6.926,4.855,4.855
2mer-0+9,1.51281806,2,1.51281806,-89.94936007,0.001283554,8.253,4.869,4.869
2mer-0+37,0.10041872,1,0.05020936,-89.89915071,0.001212229,9.409,4.963,4.963
2mer-0+6,-0.13738142,1,-0.06869071,-89.96784142,0.001070709,8.042,5.173,5.173
2mer-0+7,-0.27477483,2,-0.27477483,-90.24261624,0.001037861,8.498,5.227,5.227
2mer-0+38,0.4824645,2,0.4824645,-89.76015175,0.0009028009,9.292,5.475,5.475
2mer-0+24,-0.02641793,1,-0.01320896,-89.77336071,0.0008425211,6.715,5.603,5.603
2mer-0+34,-1.13061121,2,-1.13061121,-90.90397192,0.0008322436,9.073,5.626,5.626
2mer-0+13,0.57439616,2,0.57439616,-90.32957576,0.0007461262,7.582,5.834,5.834
2mer-0+12,-1.12586807,2,-1.12586807,-91.45544382,0.000725228,8.814,5.89,5.89
2mer-0+33,0.8981714,2,0.8981714,-90.55727243,0.0006495233,7.739,6.11,6.11
2mer-0+70,3.09936121,1,1.5496806,-89.00759182,0.0006283345,8.293,6.178,6.178
2mer-0+43,-1.89935284,1,-0.94967642,-89.95726825,0.0006052052,7.563,6.256,6.256
2mer-0+23,-0.61329684,1,-0.30664842,-90.26391667,0.0005629168,10.391,6.409,6.409
2mer-0+61,0.29194462,2,0.29194462,-89.97197205,0.0005384115,10.392,6.505,6.505
2mer-0+35,-0.41823091,2,-0.41823091,-90.39020295,0.0005231535,9.022,6.567,6.567
2mer-0+25,-2.65514024,2,-2.65514024,-93.04534319,0.0005131624,9.79,6.61,6.61
2mer-0+74,0.8930428,2,0.8930428,-92.15230039,0.0004537087,9.81,6.887,6.887
2mer-0+27,0.0267109,2,0.0267109,-92.12558949,0.0004509496,10.5,6.901,6.901
2mer-0+65,1.38778238,1,0.69389119,-91.4316983,0.0004424465,9.257,6.945,6.945
2mer-0+22,-1.01138562,2,-1.01138562,-92.44308393,0.0003971009,11.167,7.199,7.199
2mer-0+29,0.77557755,2,0.77557755,-91.66750637,0.0003580707,9.682,7.452,7.452
2mer-0+36,0.53060546,2,0.53060546,-91.13690092,0.0003313513,10.742,7.647,7.647
2mer-0+116,0.26276375,1,0.13138188,-91.00551904,0.0003240218,10.466,7.704,7.704
2mer-0+73,-0.99499783,1,-0.49749892,-91.50301796,0.0003127281,10.816,7.796,7.796
2mer-0+30,0.9287209,2,0.9287209,-90.57429706,0.000304378,11.637,7.867,7.867
2mer-0+32,0.0036582,2,0.0036582,-90.57063886,0.0002919045,11.217,7.977,7.977
2mer-0+57,-0.82593427,2,-0.82593427,-91.39657314,0.0002677737,11.167,8.21,8.21
2mer-0+28,0.36527275,2,0.36527275,-91.03130038,0.0002588983,9.292,8.303,8.303
2mer-0+54,-0.71080687,1,-0.35540344,-91.38670382,0.0002445731,10.127,8.462,8.462
2mer-0+39,-0.70810397,2,-0.70810397,-92.09480779,0.000237848,10.95,8.541,8.541
2mer-0+60,-0.57687809,2,-0.57687809,-92.67168588,0.0002378111,11.482,8.541,8.541
2mer-0+55,0.7564883,1,0.37824415,-92.29344173,0.0002220439,12.481,8.739,8.739
2mer-0+62,-0.719421,2,-0.719421,-93.01286273,0.0002199059,10.761,8.767,8.767
2mer-0+51,-0.42235831,2,-0.42235831,-93.43522105,0.0002192317,11.416,8.776,8.776
2mer-0+45,0.91622798,1,0.45811399,-92.97710706,0.0002142753,13.142,8.843,8.843
2mer-0+59,-0.6417169,1,-0.32085845,-93.29796551,0.0002092252,10.941,8.914,8.914
2mer-0+96,-0.40273074,1,-0.20136537,-93.49933088,0.0002081369,11.972,8.929,8.929
2mer-0+84,0.31701127,2,0.31701127,-93.18231961,0.0002054989,13.149,8.967,8.967
2mer-0+155,-0.28630155,1,-0.14315077,-93.32547038,0.0002053478,12.939,8.97,8.97
2mer-0+99,0.36869552,2,0.36869552,-92.95677486,0.0001998587,11.381,9.051,9.051
2mer-0+85,-0.20804583,2,-0.20804583,-93.16482069,0.0001970755,11.604,9.093,9.093
2mer-0+88,-0.72165023,1,-0.36082512,-93.52564581,0.0001939131,10.003,9.143,9.143
2mer-0+68,0.26031687,2,0.26031687,-93.26532894,0.0001861548,10.5,9.268,9.268
2mer-0+93,0.01194455,2,0.01194455,-93.25338439,0.0001851374,12.407,9.285,9.285
2mer-0+40,-0.16890687,1,-0.08445344,-93.33783782,0.000184867,11.803,9.289,9.289
2mer-0+113,-0.19513895,1,-0.09756948,-93.4354073,0.0001730604,12.662,9.496,9.496
2mer-0+136,-0.13010757,1,-0.06505378,-93.50046108,0.0001694531,13.675,9.563,9.563
2mer-0+47,-0.12034502,2,-0.12034502,-93.6208061,0.0001625299,12.871,9.697,9.697
2mer-0+64,-0.4747957,2,-0.4747957,-94.0956018,0.0001610506,12.951,9.726,9.726
2mer-0+104,-0.48122644,1,-0.24061322,-94.33621502,0.0001604568,13.842,9.738,9.738
2mer-0+49,0.29626339,2,0.29626339,-94.03995163,0.0001570226,13.897,9.809,9.809
2mer-0+53,0.28873469,2,0.28873469,-93.75121694,0.0001553139,13.255,9.845,9.845
2mer-0+78,-0.14660535,2,-0.14660535,-93.89782229,0.0001545029,13.404,9.862,9.862
2mer-0+71,0.15204377,2,0.15204377,-93.74577852,0.000151055,14.029,9.936,9.936
2mer-0+137,0.06308293,2,0.06308293,-93.68269559,0.0001477739,12.009,10.009,10.009
2mer-0+146,-0.38872495,1,-0.19436247,-93.87705807,0.0001358706,12.477,10.293,10.293
2mer-0+106,-0.30473998,2,-0.30473998,-94.18179805,0.0001285354,14.061,10.486,10.486
2mer-0+98,-0.17420429,1,-0.08710215,-94.2689002,0.0001255395,12.942,10.568,10.568
2mer-0+86,0.01921452,1,0.00960726,-94.25929294,0.0001225083,13.58,10.655,10.655
2mer-0+76,-0.28930009,2,-0.28930009,-94.54859303,0.0001217818,13.895,10.676,10.676
2mer-0+58,-0.14878626,2,-0.14878626,-94.69737929,0.0001217099,14.534,10.678,10.678
2mer-0+140,-0.09897389,2,-0.09897389,-94.79635318,0.0001210706,14.193,10.697,10.697
2mer-0+182,0.79925442,2,0.79925442,-93.99709876,0.0001201319,13.146,10.725,10.725
2mer-0+80,0.05862042,1,0.02931021,-93.96778856,0.0001186294,13.931,10.77,10.77
2mer-0+67,-0.60705456,1,-0.30352728,-94.27131584,0.0001180951,10.93,10.786,10.786
2mer-0+83,0.35928536,2,0.35928536,-93.91203047,0.0001149657,14.043,10.883,10.883
2mer-0+119,-0.42349561,2,-0.42349561,-94.33552609,0.0001111048,13.172,11.008,11.008
2mer-0+107,0.17988196,1,0.08994098,-94.24558511,0.0001102522,14.02,11.036,11.036
2mer-0+72,-0.23296447,2,-0.23296447,-94.47854957,0.0001080966,13.712,11.109,11.109
2mer-0+234,-0.0521769,1,-0.02608845,-94.50463802,0.0001070562,14.423,11.145,11.145
2mer-0+134,0.03501525,1,0.01750762,-94.4871304,0.0001059014,15.325,11.185,11.185
2mer-0+185,0.05263639,1,0.0263182,-94.4608122,0.0001031157,14.238,11.285,11.285
2mer-0+216,0.46911859,1,0.2345593,-94.22625291,0.0001022651,14.152,11.316,11.316
2mer-0+147,-0.03703088,2,-0.03703088,-94.26328378,0.0001022154,14.534,11.318,11.318
2mer-0+118,0.32251259,2,0.32251259,-93.94077119,0.0001020963,13.582,11.322,11.322
2mer-0+75,0.20308232,2,0.20308232,-93.73768887,9.795143e-05,13.149,11.48,11.48
2mer-0+91,-0.66298449,2,-0.66298449,-94.40067336,9.726932e-05,14.77,11.506,11.506
2mer-0+103,-0.2447496,1,-0.1223748,-94.52304816,9.679811e-05,15.501,11.525,11.525
2mer-0+144,0.24048381,2,0.24048381,-94.28256435,9.628764e-05,14.518,11.545,11.545
2mer-0+110,-0.22274236,2,-0.22274236,-94.50530671,9.513899e-05,13.869,11.592,11.592
2mer-0+242,-0.04746943,1,-0.02373472,-94.52904143,9.501051e-05,15.604,11.597,11.597
2mer-0+278,0.17274573,1,0.08637287,-94.44266856,9.426809e-05,15.526,11.627,11.627
2mer-0+153,-0.30615676,1,-0.15307838,-94.59574694,9.30533e-05,11.868,11.678,11.678
2mer-0+210,0.14938723,2,0.14938723,-94.44635971,9.242004e-05,15.34,11.704,11.704
2mer-0+111,-0.43131977,2,-0.43131977,-94.87767948,9.197148e-05,15.168,11.723,11.723
2mer-0+87,0.36572785,1,0.18286393,-94.69481556,9.167008e-05,15.727,11.736,11.736
2mer-0+181,-0.11051288,2,-0.11051288,-94.80532843,9.151413e-05,14.21,11.743,11.743
2mer-0+102,-0.32364988,2,-0.32364988,-95.12897831,8.900818e-05,14.612,11.852,11.852
2mer-0+139,0.30873788,2,0.30873788,-94.82024044,8.799245e-05,13.488,11.897,11.897
2mer-0+169,0.22895649,2,0.22895649,-94.59128395,8.524543e-05,14.014,12.024,12.024
2mer-0+105,-0.09696036,2,-0.09696036,-94.68824431,8.504902e-05,15.531,12.033,12.033
2mer-0+218,-0.17690297,1,-0.08845148,-94.77669579,8.437834e-05,15.55,12.065,12.065
2mer-0+94,0.01047509,1,0.00523755,-94.77145825,8.110195e-05,14.526,12.225,12.225
2mer-0+112,-0.45358153,2,-0.45358153,-95.22503977,8.067613e-05,15.009,12.247,12.247
2mer-0+135,0.22043437,2,0.22043437,-95.0046054,7.945844e-05,14.029,12.309,12.309
2mer-0+158,0.02325152,2,0.02325152,-94.98135388,7.926127e-05,15.789,12.319,12.319
2mer-0+215,0.25513784,2,0.25513784,-94.72621604,7.910728e-05,15.183,12.327,12.327
2mer-0+123,0.41517106,1,0.20758553,-94.51863051,7.6035e-05,16.095,12.491,12.491
2mer-0+114,0.40558954,1,0.20279477,-94.31583574,7.47132e-05,16.612,12.564,12.564
2mer-0+228,0.48942839,1,0.2447142,-94.07112155,7.42111e-05,14.738,12.592,12.592
2mer-0+152,-0.27499557,2,-0.27499557,-94.34611711,7.148027e-05,15.941,12.751,12.751
2mer-0+130,0.02339544,1,0.01169772,-94.33441939,7.144689e-05,16.094,12.753,12.753
2mer-0+168,0.07395356,2,0.07395356,-94.26046583,7.018149e-05,16.088,12.829,12.829
2mer-0+141,0.19661319,2,0.19661319,-94.06385264,6.95186e-05,16.114,12.87,12.87
2mer-0+156,0.10807972,2,0.10807972,-93.95577291,6.88204e-05,15.241,12.913,12.913
2mer-0+183,-0.07599813,2,-0.07599813,-94.03177104,6.862914e-05,16.412,12.925,12.925
2mer-0+173,-0.20280576,1,-0.10140288,-94.13317392,6.832306e-05,14.431,12.944,12.944
2mer-0+122,-0.41958508,2,-0.41958508,-94.552759,6.820297e-05,16.246,12.952,12.952
2mer-0+126,0.26673626,2,0.26673626,-94.28602274,6.714385e-05,15.174,13.02,13.02
2mer-0+109,0.06495697,2,0.06495697,-94.22106577,6.70496e-05,16.406,13.026,13.026
2mer-0+124,-0.32531668,2,-0.32531668,-94.54638245,6.625427e-05,15.941,13.078,13.078
2mer-0+276,0.32862607,1,0.16431303,-94.38206942,6.620965e-05,14.978,13.081,13.081
2mer-0+160,-0.2598018,1,-0.1299009,-94.51197032,6.614705e-05,15.876,13.085,13.085
2mer-0+138,0.05931117,2,0.05931117,-94.45265915,6.577878e-05,15.164,13.109,13.109
2mer-0+174,0.1434704,2,0.1434704,-94.30918876,6.566124e-05,15.628,13.117,13.117
2mer-0+262,0.16616436,2,0.16616436,-94.14302439,6.367547e-05,16.026,13.252,13.252
2mer-0+200,0.10712952,1,0.05356476,-94.08945963,6.334681e-05,14.82,13.275,13.275
2mer-0+264,0.19723332,1,0.09861666,-93.99084297,6.264091e-05,15.533,13.324,13.324
2mer-0+157,0.14104073,2,0.14104073,-93.84980224,6.235543e-05,16.705,13.345,13.345
2mer-0+145,0.34557389,2,0.34557389,-93.50422835,6.201796e-05,17.416,13.369,13.369
2mer-0+190,-0.14406862,2,-0.14406862,-93.64829697,6.094013e-05,17.312,13.447,13.447
2mer-0+221,-0.15842238,1,-0.07921119,-93.72750816,6.038967e-05,17.107,13.488,13.488
2mer-0+172,0.22063997,1,0.11031999,-93.61718817,6.031279e-05,17.315,13.494,13.494
2mer-0+203,0.16037526,2,0.16037526,-93.45681292,5.998346e-05,17.243,13.518,13.518
2mer-0+132,-0.35606433,1,-0.17803216,-93.63484508,5.986131e-05,13.932,13.528,13.528
2mer-0+214,-0.20447636,1,-0.10223818,-93.73708326,5.81405e-05,17.998,13.66,13.66
2mer-0+131,0.03789948,2,0.03789948,-93.69918377,5.737821e-05,17.565,13.72,13.72
2mer-0+208,0.14687305,2,0.14687305,-93.55231072,5.723601e-05,17.808,13.731,13.731
2mer-0+231,-0.00509556,1,-0.00254778,-93.5548585,5.593201e-05,17.176,13.837,13.837
2mer-0+259,-0.01319893,1,-0.00659946,-93.56145796,5.573474e-05,18.257,13.853,13.853
2mer-0+133,-0.11847273,1,-0.05923637,-93.62069433,5.563815e-05,16.481,13.862,13.862
2mer-0+179,-0.26849074,2,-0.26849074,-93.88918507,5.553102e-05,17.234,13.87,13.87
2mer-0+166,-0.20557634,2,-0.20557634,-94.09476141,5.364263e-05,18.052,14.031,14.031
2mer-0+388,-0.05731636,1,-0.02865818,-94.12341959,5.265474e-05,18.493,14.119,14.119
2mer-0+426,0.03318478,1,0.01659239,-94.10682721,5.237655e-05,18.426,14.143,14.143
2mer-0+217,-0.19247606,2,-0.19247606,-94.29930326,5.221453e-05,16.997,14.158,14.158
2mer-0+371,-0.11572441,1,-0.05786221,-94.35716547,5.123588e-05,17.989,14.248,14.248
2mer-0+163,0.28345492,2,0.28345492,-94.07371055,5.117036e-05,14.518,14.254,14.254
2mer-0+186,0.09237626,2,0.09237626,-93.98133429,5.016383e-05,18.468,14.348,14.348
2mer-0+149,-0.02890403,1,-0.01445202,-93.9957863,4.904699e-05,16.9,14.457,14.457
2mer-0+206,0.06824554,2,0.06824554,-93.92754076,4.902545e-05,16.675,14.459,14.459
2mer-0+314,0.02324881,2,0.02324881,-93.90429195,4.900815e-05,18.132,14.46,14.46
2mer-0+273,0.13008048,2,0.13008048,-93.77421147,4.892751e-05,16.31,14.468,14.468
2mer-0+167,0.14127657,2,0.14127657,-93.6329349,4.888915e-05,17.824,14.472,14.472
2mer-0+286,-0.16517306,1,-0.08258653,-93.71552143,4.828853e-05,15.47,14.532,14.532
2mer-0+267,-0.200425,2,-0.200425,-93.91594643,4.804077e-05,16.687,14.557,14.557
2mer-0+353,0.18421981,1,0.0921099,-93.82383653,4.756998e-05,16.283,14.605,14.605
2mer-0+284,0.07669767,2,0.07669767,-93.74713886,4.699893e-05,18.584,14.664,14.664
2mer-0+154,-0.11984572,2,-0.11984572,-93.86698458,4.686498e-05,17.419,14.677,14.677
2mer-0+325,0.00923419,1,0.00461709,-93.86236749,4.672226e-05,17.773,14.692,14.692
2mer-0+348,-0.0851255,1,-0.04256275,-93.90493023,4.669124e-05,18.525,14.696,14.696
2mer-0+285,-0.10394019,2,-0.10394019,-94.00887042,4.661705e-05,17.814,14.703,14.703
2mer-0+164,0.21847506,1,0.10923753,-93.89963289,4.623089e-05,18.724,14.744,14.744
2mer-0+184,0.14261156,2,0.14261156,-93.75702133,4.619082e-05,18.354,14.749,14.749
2mer-0+165,0.05366579,2,0.05366579,-93.70335555,4.59517e-05,16.088,14.774,14.774
2mer-0+199,-0.13453971,2,-0.13453971,-93.83789526,4.577477e-05,17.543,14.793,14.793
2mer-0+265,-0.07544084,2,-0.07544084,-93.91333611,4.551896e-05,18.457,14.821,14.821
2mer-0+226,-0.14897424,1,-0.07448712,-93.98782322,4.485508e-05,17.085,14.894,14.894
2mer-0+366,0.12011149,2,0.12011149,-93.86771173,4.356135e-05,18.184,15.04,15.04
2mer-0+308,0.18271911,1,0.09135956,-93.77635217,4.320166e-05,17.083,15.081,15.081
2mer-0+252,-0.17603701,1,-0.0880185,-93.86437068,4.297239e-05,17.638,15.108,15.108
2mer-0+192,-0.07082945,2,-0.07082945,-93.93520013,4.268307e-05,17.804,15.142,15.142
2mer-0+331,-0.13162187,1,-0.06581093,-94.00101106,4.261643e-05,17.766,15.15,15.15
