N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-37.98312119,2,-37.98312119,-37.98312119,0.02520049,5.142,1.805,1.805
2mer-0+8,-0.18670451,2,-0.18670451,-38.1698257,0.01203584,6.194,2.309,2.309
2mer-0+4,-0.10559253,1,-0.05279627,-38.22262196,0.009190412,5.775,2.526,2.526
2mer-0+14,-8.79828354,2,-8.79828354,-47.0209055,0.008282639,4.961,2.615,2.615
2mer-0+2,-12.22294854,2,-12.22294854,-59.24385403,0.006341256,4.47,2.859,2.859
2mer-0+16,-5.6419443,1,-2.82097215,-62.06482619,0.006014628,5.307,2.91,2.91
2mer-0+3,-0.70760877,2,-0.70760877,-62.77243495,0.005459376,5.371,3.005,3.005
2mer-0+10,-18.61303937,1,-9.30651968,-72.07895464,0.003717661,4.053,3.416,3.416
2mer-0+5,1.05934159,1,0.5296708,-71.54928384,0.002965861,6.911,3.683,3.683
2mer-0+50,-1.06009642,1,-0.53004821,-72.07933205,0.002402648,8.303,3.951,3.951
2mer-0+19,1.74103013,2,1.74103013,-70.33830192,0.001294784,6.926,4.855,4.855
2mer-0+9,1.74728308,2,1.74728308,-68.59101884,0.001283554,8.253,4.869,4.869
2mer-0+37,0.12259848,1,0.06129924,-68.5297196,0.001212229,9.409,4.963,4.963
2mer-0+6,0.03556318,1,0.01778159,-68.51193801,0.001070709,8.042,5.173,5.173
2mer-0+7,-0.21042261,2,-0.21042261,-68.72236061,0.001037861,8.498,5.227,5.227
2mer-0+38,0.57655576,2,0.57655576,-68.14580485,0.0009028009,9.292,5.475,5.475
2mer-0+24,0.16514529,1,0.08257265,-68.06323221,0.0008425211,6.715,5.603,5.603
2mer-0+34,-1.14111045,2,-1.14111045,-69.20434266,0.0008322436,9.073,5.626,5.626
2mer-0+13,0.7735573,2,0.7735573,-68.43078535,0.0007461262,7.582,5.834,5.834
2mer-0+12,-1.11702453,2,-1.11702453,-69.54780988,0.000725228,8.814,5.89,5.89
2mer-0+33,1.08858783,2,1.08858783,-68.45922205,0.0006495233,7.739,6.11,6.11
2mer-0+70,3.34793875,1,1.67396937,-66.78525268,0.0006283345,8.293,6.178,6.178
2mer-0+43,-1.83622319,1,-0.9181116,-67.70336427,0.0006052052,7.563,6.256,6.256
2mer-0+23,-0.61145424,1,-0.30572712,-68.0090914,0.0005629168,10.391,6.409,6.409
2mer-0+61,0.32744192,2,0.32744192,-67.68164947,0.0005384115,10.392,6.505,6.505
2mer-0+35,-0.39300598,2,-0.39300598,-68.07465545,0.0005231535,9.022,6.567,6.567
2mer-0+25,-2.73551083,2,-2.73551083,-70.81016628,0.0005131624,9.79,6.61,6.61
2mer-0+74,0.98739011,2,0.98739011,-69.82277617,0.0004537087,9.81,6.887,6.887
2mer-0+27,0.03335752,2,0.03335752,-69.78941866,0.0004509496,10.5,6.901,6.901
2mer-0+65,1.49230224,1,0.74615112,-69.04326754,0.0004424465,9.257,6.945,6.945
2mer-0+22,-1.06284599,2,-1.06284599,-70.10611353,0.0003971009,11.167,7.199,7.199
