N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-38.5318545,2,-38.5318545,-38.5318545,0.02520049,5.142,1.805,1.805
2mer-0+8,-0.1702246,2,-0.1702246,-38.7020791,0.01203584,6.194,2.309,2.309
2mer-0+4,-0.33049041,1,-0.1652452,-38.8673243,0.009190412,5.775,2.526,2.526
2mer-0+14,-8.41957612,2,-8.41957612,-47.28690043,0.008282639,4.961,2.615,2.615
2mer-0+2,-11.73072785,2,-11.73072785,-59.01762827,0.006341256,4.47,2.859,2.859
2mer-0+16,-5.54052715,1,-2.77026358,-61.78789185,0.006014628,5.307,2.91,2.91
2mer-0+3,-0.44712167,2,-0.44712167,-62.23501352,0.005459376,5.371,3.005,3.005
2mer-0+10,-18.39770398,1,-9.19885199,-71.43386551,0.003717661,4.053,3.416,3.416
2mer-0+5,1.06928823,1,0.53464411,-70.89922139,0.002965861,6.911,3.683,3.683
2mer-0+50,-1.06427284,1,-0.53213642,-71.43135781,0.002402648,8.303,3.951,3.951
2mer-0+19,1.77658642,2,1.77658642,-69.6547714,0.001294784,6.926,4.855,4.855
2mer-0+9,1.7426506,2,1.7426506,-67.91212079,0.001283554,8.253,4.869,4.869
2mer-0+37,0.13286049,1,0.06643024,-67.84569055,0.001212229,9.409,4.963,4.963
2mer-0+6,0.02787665,1,0.01393833,-67.83175222,0.001070709,8.042,5.173,5.173
2mer-0+7,-0.21945025,2,-0.21945025,-68.05120248,0.001037861,8.498,5.227,5.227
2mer-0+38,0.56540261,2,0.56540261,-67.48579986,0.0009028009,9.292,5.475,5.475
2mer-0+24,0.19167095,1,0.09583548,-67.38996439,0.0008425211,6.715,5.603,5.603
2mer-0+34,-1.13767897,2,-1.13767897,-68.52764336,0.0008322436,9.073,5.626,5.626
2mer-0+13,0.76254275,2,0.76254275,-67.76510061,0.0007461262,7.582,5.834,5.834
2mer-0+12,-1.12551477,2,-1.12551477,-68.89061538,0.000725228,8.814,5.89,5.89
2mer-0+33,1.09376135,2,1.09376135,-67.79685403,0.0006495233,7.739,6.11,6.11
2mer-0+70,3.34530599,1,1.672653,-66.12420103,0.0006283345,8.293,6.178,6.178
2mer-0+43,-1.84523057,1,-0.92261529,-67.04681632,0.0006052052,7.563,6.256,6.256
2mer-0+23,-0.63985486,1,-0.31992743,-67.36674375,0.0005629168,10.391,6.409,6.409
2mer-0+61,0.32971514,2,0.32971514,-67.03702861,0.0005384115,10.392,6.505,6.505
2mer-0+35,-0.38892466,2,-0.38892466,-67.42595328,0.0005231535,9.022,6.567,6.567
2mer-0+25,-2.75930216,2,-2.75930216,-70.18525544,0.0005131624,9.79,6.61,6.61
2mer-0+74,0.98223303,2,0.98223303,-69.2030224,0.0004537087,9.81,6.887,6.887
2mer-0+27,0.04556107,2,0.04556107,-69.15746133,0.0004509496,10.5,6.901,6.901
2mer-0+65,1.52912246,1,0.76456123,-68.3929001,0.0004424465,9.257,6.945,6.945
2mer-0+22,-1.06123139,2,-1.06123139,-69.45413149,0.0003971009,11.167,7.199,7.199
2mer-0+29,0.86705933,2,0.86705933,-68.58707216,0.0003580707,9.682,7.452,7.452
2mer-0+36,0.58509075,2,0.58509075,-68.00198141,0.0003313513,10.742,7.647,7.647
2mer-0+116,0.3091751,1,0.15458755,-67.84739386,0.0003240218,10.466,7.704,7.704
2mer-0+73,-1.0316445,1,-0.51582225,-68.36321611,0.0003127281,10.816,7.796,7.796
2mer-0+30,0.99301994,2,0.99301994,-67.37019617,0.000304378,11.637,7.867,7.867
2mer-0+32,0.01709781,2,0.01709781,-67.35309835,0.0002919045,11.217,7.977,7.977
2mer-0+57,-0.85346038,2,-0.85346038,-68.20655873,0.0002677737,11.167,8.21,8.21
2mer-0+28,0.41754518,2,0.41754518,-67.78901356,0.0002588983,9.292,8.303,8.303
2mer-0+54,-0.72576465,1,-0.36288233,-68.15189588,0.0002445731,10.127,8.462,8.462
2mer-0+39,-0.73251562,2,-0.73251562,-68.88441151,0.000237848,10.95,8.541,8.541
2mer-0+60,-0.5870318,2,-0.5870318,-69.4714433,0.0002378111,11.482,8.541,8.541
2mer-0+55,0.80923054,1,0.40461527,-69.06682803,0.0002220439,12.481,8.739,8.739
2mer-0+62,-0.74462298,2,-0.74462298,-69.81145101,0.0002199059,10.761,8.767,8.767
2mer-0+51,-0.43335629,2,-0.43335629,-70.2448073,0.0002192317,11.416,8.776,8.776
2mer-0+45,0.97351746,1,0.48675873,-69.75804857,0.0002142753,13.142,8.843,8.843
