N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-49.5270698,2,-49.5270698,-49.5270698,0.02520049,5.142,1.805,1.805
2mer-0+8,-1.2006285,2,-1.2006285,-50.7276983,0.01203584,6.194,2.309,2.309
2mer-0+4,-1.80556482,1,-0.90278241,-51.63048071,0.009190412,5.775,2.526,2.526
2mer-0+14,-12.02115024,2,-12.02115024,-63.65163095,0.008282639,4.961,2.615,2.615
2mer-0+2,-16.4727956,2,-16.4727956,-80.12442655,0.006341256,4.47,2.859,2.859
2mer-0+16,-7.81156438,1,-3.90578219,-84.03020874,0.006014628,5.307,2.91,2.91
2mer-0+3,-4.31334823,2,-4.31334823,-88.34355696,0.005459376,5.371,3.005,3.005
2mer-0+10,-23.10088388,1,-11.55044194,-99.89399891,0.003717661,4.053,3.416,3.416
2mer-0+5,0.68035556,1,0.34017778,-99.55382112,0.002965861,6.911,3.683,3.683
2mer-0+50,-0.98674657,1,-0.49337329,-100.04719441,0.002402648,8.303,3.951,3.951
2mer-0+19,1.6289756,2,1.6289756,-98.41821881,0.001294784,6.926,4.855,4.855
2mer-0+9,1.68610873,2,1.68610873,-96.73211007,0.001283554,8.253,4.869,4.869
2mer-0+37,0.11046864,1,0.05523432,-96.67687576,0.001212229,9.409,4.963,4.963
2mer-0+6,-0.14771917,1,-0.07385958,-96.75073534,0.001070709,8.042,5.173,5.173
2mer-0+7,-0.13508113,2,-0.13508113,-96.88581647,0.001037861,8.498,5.227,5.227
2mer-0+38,0.61005036,2,0.61005036,-96.27576611,0.0009028009,9.292,5.475,5.475
2mer-0+24,0.54261986,1,0.27130993,-96.00445618,0.0008425211,6.715,5.603,5.603
2mer-0+34,-1.08043981,2,-1.08043981,-97.08489599,0.0008322436,9.073,5.626,5.626
2mer-0+13,0.80878354,2,0.80878354,-96.27611245,0.0007461262,7.582,5.834,5.834
2mer-0+12,-1.07860875,2,-1.07860875,-97.35472119,0.000725228,8.814,5.89,5.89
2mer-0+33,1.06674506,2,1.06674506,-96.28797614,0.0006495233,7.739,6.11,6.11
2mer-0+70,3.18266997,1,1.59133498,-94.69664115,0.0006283345,8.293,6.178,6.178
2mer-0+43,-1.81563841,1,-0.9078192,-95.60446036,0.0006052052,7.563,6.256,6.256
2mer-0+23,-0.49649281,1,-0.24824641,-95.85270676,0.0005629168,10.391,6.409,6.409
2mer-0+61,0.32423367,2,0.32423367,-95.52847309,0.0005384115,10.392,6.505,6.505
2mer-0+35,-0.45679806,2,-0.45679806,-95.98527115,0.0005231535,9.022,6.567,6.567
2mer-0+25,-2.56220311,2,-2.56220311,-98.54747426,0.0005131624,9.79,6.61,6.61
2mer-0+74,0.96163319,2,0.96163319,-97.58584107,0.0004537087,9.81,6.887,6.887
2mer-0+27,-0.01728,2,-0.01728,-97.60312107,0.0004509496,10.5,6.901,6.901
2mer-0+65,1.22659801,1,0.613299,-96.98982206,0.0004424465,9.257,6.945,6.945
2mer-0+22,-1.04321417,2,-1.04321417,-98.03303624,0.0003971009,11.167,7.199,7.199
2mer-0+29,0.73020591,2,0.73020591,-97.30283033,0.0003580707,9.682,7.452,7.452
2mer-0+36,0.52630591,2,0.52630591,-96.77652442,0.0003313513,10.742,7.647,7.647
2mer-0+116,0.36737852,1,0.18368926,-96.59283516,0.0003240218,10.466,7.704,7.704
2mer-0+73,-1.00244444,1,-0.50122222,-97.09405739,0.0003127281,10.816,7.796,7.796
2mer-0+30,0.95408407,2,0.95408407,-96.13997331,0.000304378,11.637,7.867,7.867
2mer-0+32,0.00756586,2,0.00756586,-96.13240745,0.0002919045,11.217,7.977,7.977
2mer-0+57,-0.74816194,2,-0.74816194,-96.8805694,0.0002677737,11.167,8.21,8.21
2mer-0+28,0.38006596,2,0.38006596,-96.50050344,0.0002588983,9.292,8.303,8.303
2mer-0+54,-0.68986011,1,-0.34493006,-96.8454335,0.0002445731,10.127,8.462,8.462
2mer-0+39,-0.65485472,2,-0.65485472,-97.50028822,0.000237848,10.95,8.541,8.541
2mer-0+60,-0.56512966,2,-0.56512966,-98.06541788,0.0002378111,11.482,8.541,8.541
2mer-0+55,0.77031201,1,0.385156,-97.68026188,0.0002220439,12.481,8.739,8.739
2mer-0+62,-0.6942066,2,-0.6942066,-98.37446848,0.0002199059,10.761,8.767,8.767
2mer-0+51,-0.45652113,2,-0.45652113,-98.8309896,0.0002192317,11.416,8.776,8.776
2mer-0+45,0.97016619,1,0.4850831,-98.34590651,0.0002142753,13.142,8.843,8.843
2mer-0+59,-0.64946398,1,-0.32473199,-98.6706385,0.0002092252,10.941,8.914,8.914
2mer-0+96,-0.40222259,1,-0.2011113,-98.87174979,0.0002081369,11.972,8.929,8.929
2mer-0+84,0.34479172,2,0.34479172,-98.52695807,0.0002054989,13.149,8.967,8.967
2mer-0+155,-0.26555591,1,-0.13277795,-98.65973603,0.0002053478,12.939,8.97,8.97
2mer-0+99,0.38242837,2,0.38242837,-98.27730766,0.0001998587,11.381,9.051,9.051
2mer-0+85,-0.15843748,2,-0.15843748,-98.43574514,0.0001970755,11.604,9.093,9.093
2mer-0+88,-0.69468504,1,-0.34734252,-98.78308766,0.0001939131,10.003,9.143,9.143
2mer-0+68,0.29902128,2,0.29902128,-98.48406638,0.0001861548,10.5,9.268,9.268
2mer-0+93,0.03991216,2,0.03991216,-98.44415422,0.0001851374,12.407,9.285,9.285
