N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-48.66639127,2,-48.66639127,-48.66639127,0.02520049,5.142,1.805,1.805
2mer-0+8,-1.037251,2,-1.037251,-49.70364227,0.01203584,6.194,2.309,2.309
2mer-0+4,-0.5694575,1,-0.28472875,-49.98837102,0.009190412,5.775,2.526,2.526
2mer-0+14,-13.73269408,2,-13.73269408,-63.7210651,0.008282639,4.961,2.615,2.615
2mer-0+2,-18.68857632,2,-18.68857632,-82.40964142,0.006341256,4.47,2.859,2.859
2mer-0+16,-9.11306538,1,-4.55653269,-86.96617411,0.006014628,5.307,2.91,2.91
2mer-0+3,-4.56276156,2,-4.56276156,-91.52893567,0.005459376,5.371,3.005,3.005
2mer-0+10,-25.72632788,1,-12.86316394,-104.39209961,0.003717661,4.053,3.416,3.416
2mer-0+5,0.45624843,1,0.22812421,-104.1639754,0.002965861,6.911,3.683,3.683
2mer-0+50,-1.03698712,1,-0.51849356,-104.68246896,0.002402648,8.303,3.951,3.951
2mer-0+19,1.3431812,2,1.3431812,-103.33928776,0.001294784,6.926,4.855,4.855
2mer-0+9,1.61507905,2,1.61507905,-101.7242087,0.001283554,8.253,4.869,4.869
2mer-0+37,0.03875746,1,0.01937873,-101.70482997,0.001212229,9.409,4.963,4.963
2mer-0+6,-0.21921816,1,-0.10960908,-101.81443905,0.001070709,8.042,5.173,5.173
2mer-0+7,-0.2247283,2,-0.2247283,-102.03916735,0.001037861,8.498,5.227,5.227
2mer-0+38,0.61307493,2,0.61307493,-101.42609242,0.0009028009,9.292,5.475,5.475
2mer-0+24,0.11233058,1,0.05616529,-101.36992713,0.0008425211,6.715,5.603,5.603
2mer-0+34,-1.18672431,2,-1.18672431,-102.55665144,0.0008322436,9.073,5.626,5.626
2mer-0+13,0.7693563,2,0.7693563,-101.78729515,0.0007461262,7.582,5.834,5.834
2mer-0+12,-1.11855726,2,-1.11855726,-102.90585241,0.000725228,8.814,5.89,5.89
2mer-0+33,0.96027587,2,0.96027587,-101.94557654,0.0006495233,7.739,6.11,6.11
2mer-0+70,3.22196407,1,1.61098203,-100.3345945,0.0006283345,8.293,6.178,6.178
2mer-0+43,-1.91721679,1,-0.95860839,-101.29320289,0.0006052052,7.563,6.256,6.256
2mer-0+23,-0.4483807,1,-0.22419035,-101.51739324,0.0005629168,10.391,6.409,6.409
2mer-0+61,0.3035853,2,0.3035853,-101.21380794,0.0005384115,10.392,6.505,6.505
2mer-0+35,-0.5270749,2,-0.5270749,-101.74088285,0.0005231535,9.022,6.567,6.567
2mer-0+25,-2.68057238,2,-2.68057238,-104.42145523,0.0005131624,9.79,6.61,6.61
2mer-0+74,0.94113528,2,0.94113528,-103.48031995,0.0004537087,9.81,6.887,6.887
2mer-0+27,-0.06523935,2,-0.06523935,-103.5455593,0.0004509496,10.5,6.901,6.901
2mer-0+65,1.20576071,1,0.60288036,-102.94267894,0.0004424465,9.257,6.945,6.945
2mer-0+22,-1.08467255,2,-1.08467255,-104.02735149,0.0003971009,11.167,7.199,7.199
2mer-0+29,0.70642124,2,0.70642124,-103.32093025,0.0003580707,9.682,7.452,7.452
2mer-0+36,0.50370843,2,0.50370843,-102.81722182,0.0003313513,10.742,7.647,7.647
2mer-0+116,0.33886552,1,0.16943276,-102.64778906,0.0003240218,10.466,7.704,7.704
2mer-0+73,-1.07398797,1,-0.53699398,-103.18478304,0.0003127281,10.816,7.796,7.796
2mer-0+30,0.93180226,2,0.93180226,-102.25298078,0.000304378,11.637,7.867,7.867
2mer-0+32,0.00900046,2,0.00900046,-102.24398032,0.0002919045,11.217,7.977,7.977
2mer-0+57,-0.76967047,2,-0.76967047,-103.01365079,0.0002677737,11.167,8.21,8.21
2mer-0+28,0.35946026,2,0.35946026,-102.65419053,0.0002588983,9.292,8.303,8.303
2mer-0+54,-0.69967222,1,-0.34983611,-103.00402664,0.0002445731,10.127,8.462,8.462
2mer-0+39,-0.67333787,2,-0.67333787,-103.67736451,0.000237848,10.95,8.541,8.541
2mer-0+60,-0.57742279,2,-0.57742279,-104.2547873,0.0002378111,11.482,8.541,8.541
2mer-0+55,0.75509775,1,0.37754888,-103.87723843,0.0002220439,12.481,8.739,8.739
2mer-0+62,-0.68359287,2,-0.68359287,-104.5608313,0.0002199059,10.761,8.767,8.767
2mer-0+51,-0.46828268,2,-0.46828268,-105.02911398,0.0002192317,11.416,8.776,8.776
2mer-0+45,0.97395822,1,0.48697911,-104.54213487,0.0002142753,13.142,8.843,8.843
2mer-0+59,-0.71809634,1,-0.35904817,-104.90118304,0.0002092252,10.941,8.914,8.914
2mer-0+96,-0.40889108,1,-0.20444554,-105.10562858,0.0002081369,11.972,8.929,8.929
2mer-0+84,0.35366666,2,0.35366666,-104.75196192,0.0002054989,13.149,8.967,8.967
2mer-0+155,-0.27034767,1,-0.13517383,-104.88713575,0.0002053478,12.939,8.97,8.97
2mer-0+99,0.37130576,2,0.37130576,-104.51582999,0.0001998587,11.381,9.051,9.051
2mer-0+85,-0.17078056,2,-0.17078056,-104.68661055,0.0001970755,11.604,9.093,9.093
2mer-0+88,-0.76285724,1,-0.38142862,-105.06803917,0.0001939131,10.003,9.143,9.143
2mer-0+68,0.3020662,2,0.3020662,-104.76597297,0.0001861548,10.5,9.268,9.268
2mer-0+93,0.02124894,2,0.02124894,-104.74472403,0.0001851374,12.407,9.285,9.285
2mer-0+40,-0.13928772,1,-0.06964386,-104.81436789,0.000184867,11.803,9.289,9.289
2mer-0+113,-0.28795518,1,-0.14397759,-104.95834548,0.0001730604,12.662,9.496,9.496
2mer-0+136,-0.15619031,1,-0.07809515,-105.03644064,0.0001694531,13.675,9.563,9.563
2mer-0+47,-0.08786482,2,-0.08786482,-105.12430546,0.0001625299,12.871,9.697,9.697
2mer-0+64,-0.5095993,2,-0.5095993,-105.63390476,0.0001610506,12.951,9.726,9.726
2mer-0+104,-0.49310375,1,-0.24655188,-105.88045663,0.0001604568,13.842,9.738,9.738
2mer-0+49,0.29707678,2,0.29707678,-105.58337985,0.0001570226,13.897,9.809,9.809
2mer-0+53,0.31225086,2,0.31225086,-105.27112899,0.0001553139,13.255,9.845,9.845
2mer-0+78,-0.15500397,2,-0.15500397,-105.42613296,0.0001545029,13.404,9.862,9.862
2mer-0+71,0.12014488,2,0.12014488,-105.30598808,0.000151055,14.029,9.936,9.936
2mer-0+137,0.05183615,2,0.05183615,-105.25415193,0.0001477739,12.009,10.009,10.009
2mer-0+146,-0.39682279,1,-0.19841139,-105.45256333,0.0001358706,12.477,10.293,10.293
2mer-0+106,-0.31627329,2,-0.31627329,-105.76883662,0.0001285354,14.061,10.486,10.486
2mer-0+98,-0.18888537,1,-0.09444268,-105.8632793,0.0001255395,12.942,10.568,10.568
2mer-0+86,0.05457873,1,0.02728936,-105.83598994,0.0001225083,13.58,10.655,10.655
2mer-0+76,-0.29087256,2,-0.29087256,-106.1268625,0.0001217818,13.895,10.676,10.676
2mer-0+58,-0.18988011,2,-0.18988011,-106.31674261,0.0001217099,14.534,10.678,10.678
2mer-0+140,-0.09893233,2,-0.09893233,-106.41567494,0.0001210706,14.193,10.697,10.697
2mer-0+182,0.79952703,2,0.79952703,-105.61614791,0.0001201319,13.146,10.725,10.725
2mer-0+80,0.02851101,1,0.0142555,-105.6018924,0.0001186294,13.931,10.77,10.77
2mer-0+67,-0.60276886,1,-0.30138443,-105.90327683,0.0001180951,10.93,10.786,10.786
2mer-0+83,0.36365659,2,0.36365659,-105.53962024,0.0001149657,14.043,10.883,10.883
2mer-0+119,-0.43306066,2,-0.43306066,-105.9726809,0.0001111048,13.172,11.008,11.008
2mer-0+107,0.15122501,1,0.0756125,-105.8970684,0.0001102522,14.02,11.036,11.036
2mer-0+72,-0.25117586,2,-0.25117586,-106.14824426,0.0001080966,13.712,11.109,11.109
2mer-0+234,-0.02435019,1,-0.0121751,-106.16041935,0.0001070562,14.423,11.145,11.145
2mer-0+134,0.01203945,1,0.00601973,-106.15439963,0.0001059014,15.325,11.185,11.185
2mer-0+185,0.08080612,1,0.04040306,-106.11399657,0.0001031157,14.238,11.285,11.285
2mer-0+216,0.49112914,1,0.24556457,-105.868432,0.0001022651,14.152,11.316,11.316
2mer-0+147,-0.00127676,2,-0.00127676,-105.86970876,0.0001022154,14.534,11.318,11.318
2mer-0+118,0.33718627,2,0.33718627,-105.53252249,0.0001020963,13.582,11.322,11.322
2mer-0+75,0.1817854,2,0.1817854,-105.35073709,9.795143e-05,13.149,11.48,11.48
2mer-0+91,-0.67583207,2,-0.67583207,-106.02656916,9.726932e-05,14.77,11.506,11.506
2mer-0+103,-0.22050828,1,-0.11025414,-106.1368233,9.679811e-05,15.501,11.525,11.525
2mer-0+144,0.22975998,2,0.22975998,-105.90706332,9.628764e-05,14.518,11.545,11.545
2mer-0+110,-0.21334102,2,-0.21334102,-106.12040434,9.513899e-05,13.869,11.592,11.592
2mer-0+242,-0.02772334,1,-0.01386167,-106.13426601,9.501051e-05,15.604,11.597,11.597
2mer-0+278,0.1949632,1,0.0974816,-106.03678441,9.426809e-05,15.526,11.627,11.627
2mer-0+153,-0.28144556,1,-0.14072278,-106.17750719,9.30533e-05,11.868,11.678,11.678
2mer-0+210,0.15253478,2,0.15253478,-106.02497241,9.242004e-05,15.34,11.704,11.704
2mer-0+111,-0.43796977,2,-0.43796977,-106.46294218,9.197148e-05,15.168,11.723,11.723
2mer-0+87,0.41673974,1,0.20836987,-106.25457231,9.167008e-05,15.727,11.736,11.736
2mer-0+181,-0.1261824,2,-0.1261824,-106.38075471,9.151413e-05,14.21,11.743,11.743
2mer-0+102,-0.35627677,2,-0.35627677,-106.73703148,8.900818e-05,14.612,11.852,11.852
2mer-0+139,0.30555131,2,0.30555131,-106.43148017,8.799245e-05,13.488,11.897,11.897
2mer-0+169,0.24319237,2,0.24319237,-106.1882878,8.524543e-05,14.014,12.024,12.024
2mer-0+105,-0.09980417,2,-0.09980417,-106.28809197,8.504902e-05,15.531,12.033,12.033
2mer-0+218,-0.17918273,1,-0.08959137,-106.37768333,8.437834e-05,15.55,12.065,12.065
2mer-0+94,-0.00862506,1,-0.00431253,-106.38199586,8.110195e-05,14.526,12.225,12.225
2mer-0+112,-0.44491864,2,-0.44491864,-106.8269145,8.067613e-05,15.009,12.247,12.247
2mer-0+135,0.24346046,2,0.24346046,-106.58345404,7.945844e-05,14.029,12.309,12.309
2mer-0+158,0.02253281,2,0.02253281,-106.56092123,7.926127e-05,15.789,12.319,12.319
2mer-0+215,0.25267956,2,0.25267956,-106.30824167,7.910728e-05,15.183,12.327,12.327
