N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+1,-8.4395473,4,-16.87909461,-16.87909461,0.01038414,7.745,2.426,2.426,"Molecule(name='C20H16', formula='C20H16', hash='7d88d64')"
2mer-0+5,-6.26181927,2,-6.26181927,-23.14091388,0.008569363,8.634,2.586,2.586,"Molecule(name='C20H16', formula='C20H16', hash='64d8ee9')"
2mer-0+7,-16.57072639,2,-16.57072639,-39.71164026,0.006364136,5.938,2.856,2.856,"Molecule(name='C20H16', formula='C20H16', hash='fd3a610')"
2mer-0+3,-22.71505786,4,-45.43011571,-85.14175598,0.006294937,5.015,2.866,2.866,"Molecule(name='C20H16', formula='C20H16', hash='42281e5')"
2mer-0+11,-0.66143329,2,-0.66143329,-85.80318927,0.003228275,10.478,3.581,3.581,"Molecule(name='C20H16', formula='C20H16', hash='d0eda79')"
2mer-0+10,-0.54615858,2,-0.54615858,-86.34934785,0.001237557,9.785,4.929,4.929,"Molecule(name='C20H16', formula='C20H16', hash='a19d812')"
2mer-0+6,-2.20269029,2,-2.20269029,-88.55203814,0.001067028,7.777,5.179,5.179,"Molecule(name='C20H16', formula='C20H16', hash='6be2c85')"
2mer-0+15,-0.55897217,2,-0.55897217,-89.11101031,0.000821434,10.478,5.65,5.65,"Molecule(name='C20H16', formula='C20H16', hash='32465d2')"
2mer-0+18,-0.63263924,2,-0.63263924,-89.74364955,0.0007985891,10.031,5.704,5.704,"Molecule(name='C20H16', formula='C20H16', hash='50b3e27')"
2mer-0+21,-0.52909699,4,-1.05819399,-90.80184354,0.0007340187,9.781,5.866,5.866,"Molecule(name='C20H16', formula='C20H16', hash='fd4b325')"
2mer-0+19,-0.28914968,4,-0.57829937,-91.38014291,0.0006778374,11.807,6.024,6.024,"Molecule(name='C20H16', formula='C20H16', hash='8a44780')"
2mer-0+17,-0.14648263,4,-0.29296526,-91.67310817,0.0006518769,11.423,6.103,6.103,"Molecule(name='C20H16', formula='C20H16', hash='d6c0515')"
2mer-0+13,-0.87438947,2,-0.87438947,-92.54749764,0.0004867948,8.085,6.727,6.727,"Molecule(name='C20H16', formula='C20H16', hash='92db294')"
2mer-0+44,-0.17457031,2,-0.17457031,-92.72206795,0.0003293969,11.875,7.662,7.662,"Molecule(name='C20H16', formula='C20H16', hash='448223b')"
2mer-0+22,-0.05282005,2,-0.05282005,-92.774888,0.0003245849,14.307,7.7,7.7,"Molecule(name='C20H16', formula='C20H16', hash='1197e19')"
2mer-0+14,-0.32038916,2,-0.32038916,-93.09527716,0.0003204969,9.785,7.733,7.733,"Molecule(name='C20H16', formula='C20H16', hash='444aa67')"
2mer-0+16,-0.11471939,4,-0.22943877,-93.32471593,0.0002646354,10.549,8.242,8.242,"Molecule(name='C20H16', formula='C20H16', hash='71b55eb')"
2mer-0+56,-0.03141402,2,-0.03141402,-93.35612995,0.0002187867,14.682,8.782,8.782,"Molecule(name='C20H16', formula='C20H16', hash='62e8388')"
2mer-0+37,-0.0171458,4,-0.0342916,-93.39042155,0.0002157206,15.617,8.823,8.823,"Molecule(name='C20H16', formula='C20H16', hash='b3a0eb0')"
2mer-0+47,-0.05293402,4,-0.10586805,-93.4962896,0.0002005443,14.488,9.041,9.041,"Molecule(name='C20H16', formula='C20H16', hash='7987f85')"
2mer-0+70,-0.00908191,2,-0.00908191,-93.50537151,0.000195909,14.366,9.111,9.111,"Molecule(name='C20H16', formula='C20H16', hash='c13e7da')"
2mer-0+34,-0.07901166,2,-0.07901166,-93.58438317,0.0001877436,10.031,9.242,9.242,"Molecule(name='C20H16', formula='C20H16', hash='de9b6fd')"
2mer-0+38,-0.00702426,2,-0.00702426,-93.59140744,0.00018622,15.49,9.267,9.267,"Molecule(name='C20H16', formula='C20H16', hash='ba9fcba')"
2mer-0+49,-0.00594874,2,-0.00594874,-93.59735618,0.0001838029,14.195,9.307,9.307,"Molecule(name='C20H16', formula='C20H16', hash='f0b5019')"
2mer-0+32,-0.05656345,4,-0.1131269,-93.71048308,0.0001736464,14.689,9.485,9.485,"Molecule(name='C20H16', formula='C20H16', hash='39dcddf')"
2mer-0+46,-0.03541663,4,-0.07083327,-93.78131634,0.0001683269,12.485,9.584,9.584,"Molecule(name='C20H16', formula='C20H16', hash='754ca17')"
2mer-0+75,-0.02994717,2,-0.02994717,-93.81126351,0.0001594845,15.955,9.758,9.758,"Molecule(name='C20H16', formula='C20H16', hash='306a18d')"
2mer-0+41,-0.04702286,2,-0.04702286,-93.85828637,0.0001572655,15.49,9.804,9.804,"Molecule(name='C20H16', formula='C20H16', hash='7631cc6')"
2mer-0+66,-0.06818182,2,-0.06818182,-93.92646819,0.0001469979,14.809,10.027,10.027,"Molecule(name='C20H16', formula='C20H16', hash='fea24e6')"
2mer-0+64,-0.04915082,2,-0.04915082,-93.97561901,0.0001384989,14.682,10.228,10.228,"Molecule(name='C20H16', formula='C20H16', hash='bbc2274')"
2mer-0+42,-0.08598692,4,-0.17197384,-94.14759285,0.0001290053,13.483,10.473,10.473,"Molecule(name='C20H16', formula='C20H16', hash='5635e71')"
2mer-0+67,-0.00585794,2,-0.00585794,-94.15345078,0.0001241274,17.267,10.608,10.608,"Molecule(name='C20H16', formula='C20H16', hash='b642b0f')"
2mer-0+90,-0.01073651,4,-0.02147301,-94.1749238,0.000112514,15.384,10.961,10.961,"Molecule(name='C20H16', formula='C20H16', hash='d976595')"
2mer-0+62,-0.05969077,2,-0.05969077,-94.23461456,0.0001095832,14.195,11.058,11.058,"Molecule(name='C20H16', formula='C20H16', hash='b25b958')"
2mer-0+73,-0.00366053,4,-0.00732105,-94.24193561,0.0001044382,17.731,11.237,11.237,"Molecule(name='C20H16', formula='C20H16', hash='bd859b6')"
2mer-0+61,-0.05740748,2,-0.05740748,-94.29934309,0.0001009054,14.574,11.367,11.367,"Molecule(name='C20H16', formula='C20H16', hash='0bfc3e2')"
2mer-0+80,0.00139952,2,0.00139952,-94.29794357,9.805815e-05,18.259,11.476,11.476,"Molecule(name='C20H16', formula='C20H16', hash='e205235')"
2mer-0+84,-0.00116537,4,-0.00233075,-94.30027432,9.361977e-05,16.478,11.654,11.654,"Molecule(name='C20H16', formula='C20H16', hash='b7ab795')"
2mer-0+51,-0.03854455,2,-0.03854455,-94.33881887,9.264641e-05,15.554,11.695,11.695,"Molecule(name='C20H16', formula='C20H16', hash='218fea4')"
2mer-0+87,-0.03463166,2,-0.03463166,-94.37345053,9.158646e-05,15.955,11.74,11.74,"Molecule(name='C20H16', formula='C20H16', hash='4b518ad')"
2mer-0+81,-0.00929487,2,-0.00929487,-94.3827454,9.030899e-05,18.259,11.795,11.795,"Molecule(name='C20H16', formula='C20H16', hash='0372abc')"
2mer-0+77,-0.04498144,4,-0.08996288,-94.47270828,8.659354e-05,15.046,11.961,11.961,"Molecule(name='C20H16', formula='C20H16', hash='2f1537e')"
2mer-0+55,-0.02545495,2,-0.02545495,-94.49816323,8.638344e-05,13.31,11.971,11.971,"Molecule(name='C20H16', formula='C20H16', hash='908df87')"
2mer-0+68,-0.02132099,4,-0.04264197,-94.5408052,8.603025e-05,16.92,11.987,11.987,"Molecule(name='C20H16', formula='C20H16', hash='561f2b0')"
2mer-0+65,-0.02380465,2,-0.02380465,-94.56460986,8.114036e-05,16.649,12.223,12.223,"Molecule(name='C20H16', formula='C20H16', hash='7555321')"
2mer-0+85,-0.03446698,2,-0.03446698,-94.59907683,7.92572e-05,14.366,12.319,12.319,"Molecule(name='C20H16', formula='C20H16', hash='aa581fc')"
2mer-0+131,-0.00053429,2,-0.00053429,-94.59961112,7.354779e-05,18.982,12.63,12.63,"Molecule(name='C20H16', formula='C20H16', hash='1170a7b')"
2mer-0+92,-0.01573799,2,-0.01573799,-94.61534911,6.998009e-05,18.593,12.841,12.841,"Molecule(name='C20H16', formula='C20H16', hash='c1e92bb')"
2mer-0+97,0.00023297,2,0.00023297,-94.61511614,6.409616e-05,18.593,13.223,13.223,"Molecule(name='C20H16', formula='C20H16', hash='07d7221')"
2mer-0+116,-0.02441111,2,-0.02441111,-94.63952725,6.231601e-05,17.225,13.348,13.348,"Molecule(name='C20H16', formula='C20H16', hash='73ff5e8')"
2mer-0+144,-0.01417603,2,-0.01417603,-94.65370328,6.151296e-05,17.813,13.405,13.405,"Molecule(name='C20H16', formula='C20H16', hash='84add09')"
2mer-0+76,-0.01792728,2,-0.01792728,-94.67163056,6.100794e-05,16.649,13.442,13.442,"Molecule(name='C20H16', formula='C20H16', hash='f93222e')"
2mer-0+106,-0.0109759,2,-0.0109759,-94.68260646,5.941218e-05,17.837,13.562,13.562,"Molecule(name='C20H16', formula='C20H16', hash='cdb488f')"
2mer-0+109,-0.01638737,2,-0.01638737,-94.69899382,5.845362e-05,16.169,13.635,13.635,"Molecule(name='C20H16', formula='C20H16', hash='e69abde')"
2mer-0+121,-0.00547587,4,-0.01095174,-94.70994557,5.841128e-05,18.733,13.639,13.639,"Molecule(name='C20H16', formula='C20H16', hash='78efcf4')"
2mer-0+135,-0.01076987,4,-0.02153975,-94.73148532,5.736353e-05,18.696,13.721,13.721,"Molecule(name='C20H16', formula='C20H16', hash='dd740e7')"
2mer-0+120,-0.0054793,4,-0.0109586,-94.74244392,5.732354e-05,20.068,13.724,13.724,"Molecule(name='C20H16', formula='C20H16', hash='612eca2')"
2mer-0+140,0.00088482,2,0.00088482,-94.7415591,5.400654e-05,20.956,14.0,14.0,"Molecule(name='C20H16', formula='C20H16', hash='60e44ec')"
2mer-0+114,-0.01625734,4,-0.03251468,-94.77407378,5.148921e-05,17.967,14.224,14.224,"Molecule(name='C20H16', formula='C20H16', hash='a82996a')"
2mer-0+180,0.00169687,2,0.00169687,-94.77237691,5.085434e-05,19.561,14.283,14.283,"Molecule(name='C20H16', formula='C20H16', hash='39ac770')"
2mer-0+86,0.02439909,2,0.02439909,-94.74797782,4.945482e-05,14.574,14.417,14.417,"Molecule(name='C20H16', formula='C20H16', hash='6b0b8ee')"
2mer-0+115,-0.00308443,2,-0.00308443,-94.75106226,4.80953e-05,19.569,14.551,14.551,"Molecule(name='C20H16', formula='C20H16', hash='21b2137')"
2mer-0+164,-0.00459416,2,-0.00459416,-94.75565642,4.802817e-05,19.795,14.558,14.558,"Molecule(name='C20H16', formula='C20H16', hash='fc0066e')"
2mer-0+96,-0.00402156,4,-0.00804312,-94.76369954,4.684075e-05,17.844,14.68,14.68,"Molecule(name='C20H16', formula='C20H16', hash='d50ad57')"
2mer-0+148,0.00034453,2,0.00034453,-94.76335501,4.592849e-05,19.436,14.777,14.777,"Molecule(name='C20H16', formula='C20H16', hash='6934487')"
2mer-0+123,-0.00316565,4,-0.00633129,-94.7696863,4.368243e-05,21.664,15.026,15.026,"Molecule(name='C20H16', formula='C20H16', hash='c172f5f')"
2mer-0+112,0.00853658,4,0.01707317,-94.75261314,4.320556e-05,17.127,15.081,15.081,"Molecule(name='C20H16', formula='C20H16', hash='12fe895')"
2mer-0+119,-0.00543955,2,-0.00543955,-94.75805269,4.170248e-05,21.349,15.26,15.26,"Molecule(name='C20H16', formula='C20H16', hash='d667b76')"
2mer-0+163,-0.00303866,4,-0.00607731,-94.76413,4.145139e-05,21.754,15.29,15.29,"Molecule(name='C20H16', formula='C20H16', hash='e32f419')"
2mer-0+142,0.00053967,2,0.00053967,-94.76359033,4.118698e-05,22.315,15.323,15.323,"Molecule(name='C20H16', formula='C20H16', hash='cdabea2')"
2mer-0+165,-0.01169166,2,-0.01169166,-94.77528199,4.115743e-05,18.982,15.327,15.327,"Molecule(name='C20H16', formula='C20H16', hash='8412188')"
2mer-0+189,-0.00672111,2,-0.00672111,-94.7820031,4.098988e-05,20.061,15.348,15.348,"Molecule(name='C20H16', formula='C20H16', hash='29c3ef6')"
2mer-0+159,-0.00500039,2,-0.00500039,-94.78700349,4.0819e-05,20.956,15.369,15.369,"Molecule(name='C20H16', formula='C20H16', hash='5ce0ebf')"
2mer-0+171,-0.00824882,2,-0.00824882,-94.79525231,4.049968e-05,19.795,15.409,15.409,"Molecule(name='C20H16', formula='C20H16', hash='452dc20')"
2mer-0+168,-0.01285844,4,-0.02571688,-94.82096919,4.004879e-05,19.168,15.467,15.467,"Molecule(name='C20H16', formula='C20H16', hash='7065627')"
2mer-0+174,-0.00805336,4,-0.01610672,-94.8370759,3.971391e-05,20.495,15.51,15.51,"Molecule(name='C20H16', formula='C20H16', hash='37a7b4e')"
2mer-0+152,0.00025124,4,0.00050247,-94.83657343,3.957064e-05,21.34,15.529,15.529,"Molecule(name='C20H16', formula='C20H16', hash='b98a15e')"
2mer-0+150,-0.00453219,4,-0.00906438,-94.84563781,3.929805e-05,20.671,15.565,15.565,"Molecule(name='C20H16', formula='C20H16', hash='f7944d7')"
2mer-0+167,-0.01211172,2,-0.01211172,-94.85774953,3.744599e-05,19.436,15.817,15.817,"Molecule(name='C20H16', formula='C20H16', hash='ec062a7')"
2mer-0+143,0.00330255,2,0.00330255,-94.85444698,3.65481e-05,17.225,15.946,15.946,"Molecule(name='C20H16', formula='C20H16', hash='8734840')"
2mer-0+145,-0.00191887,2,-0.00191887,-94.85636585,3.546046e-05,22.16,16.107,16.107,"Molecule(name='C20H16', formula='C20H16', hash='a7115c7')"
2mer-0+169,0.00076727,2,0.00076727,-94.85559858,3.506662e-05,23.091,16.167,16.167,"Molecule(name='C20H16', formula='C20H16', hash='f4845f0')"
2mer-0+137,-0.0072128,2,-0.0072128,-94.86281138,3.444223e-05,19.569,16.264,16.264,"Molecule(name='C20H16', formula='C20H16', hash='be3710b')"
2mer-0+129,-0.00735117,4,-0.01470233,-94.87751371,3.365651e-05,19.721,16.39,16.39,"Molecule(name='C20H16', formula='C20H16', hash='30266ad')"
2mer-0+241,0.00057604,4,0.00115207,-94.87636164,3.224771e-05,21.171,16.625,16.625,"Molecule(name='C20H16', formula='C20H16', hash='16a3036')"
2mer-0+156,-0.00589738,2,-0.00589738,-94.88225902,3.218e-05,22.16,16.637,16.637,"Molecule(name='C20H16', formula='C20H16', hash='c7fda3c')"
2mer-0+173,-0.00050649,2,-0.00050649,-94.8827655,3.194701e-05,23.091,16.677,16.677,"Molecule(name='C20H16', formula='C20H16', hash='d3f2a99')"
2mer-0+205,-0.00977074,2,-0.00977074,-94.89253624,3.174122e-05,19.561,16.713,16.713,"Molecule(name='C20H16', formula='C20H16', hash='2837f1f')"
2mer-0+154,0.00582178,2,0.00582178,-94.88671446,3.034911e-05,17.837,16.965,16.965,"Molecule(name='C20H16', formula='C20H16', hash='357f875')"
2mer-0+158,-0.00453148,4,-0.00906296,-94.89577742,3.01318e-05,22.193,17.006,17.006,"Molecule(name='C20H16', formula='C20H16', hash='fa90d5f')"
2mer-0+146,-0.00499032,4,-0.00998063,-94.90575805,2.974773e-05,19.074,17.079,17.079,"Molecule(name='C20H16', formula='C20H16', hash='f9a048d')"
2mer-0+181,-0.00165706,4,-0.00331411,-94.90907217,2.973307e-05,23.235,17.081,17.081,"Molecule(name='C20H16', formula='C20H16', hash='bba7a92')"
2mer-0+219,-0.00390131,2,-0.00390131,-94.91297348,2.965057e-05,22.855,17.097,17.097,"Molecule(name='C20H16', formula='C20H16', hash='ac6e7d5')"
2mer-0+202,-0.00025295,4,-0.00050591,-94.91347938,2.953573e-05,24.018,17.119,17.119,"Molecule(name='C20H16', formula='C20H16', hash='0a8b85f')"
2mer-0+235,-0.00150992,2,-0.00150992,-94.91498931,2.947026e-05,23.614,17.132,17.132,"Molecule(name='C20H16', formula='C20H16', hash='b5eea50')"
2mer-0+266,0.00116498,2,0.00116498,-94.91382432,2.934543e-05,23.165,17.156,17.156,"Molecule(name='C20H16', formula='C20H16', hash='c2ed9db')"
2mer-0+209,0.00066713,4,0.00133425,-94.91249007,2.874506e-05,20.428,17.275,17.275,"Molecule(name='C20H16', formula='C20H16', hash='013effd')"
2mer-0+213,-0.00471643,2,-0.00471643,-94.9172065,2.855931e-05,22.847,17.312,17.312,"Molecule(name='C20H16', formula='C20H16', hash='d7a4b95')"
2mer-0+230,0.00116766,4,0.00233531,-94.91487119,2.832759e-05,21.978,17.359,17.359,"Molecule(name='C20H16', formula='C20H16', hash='1cd3e5b')"
2mer-0+227,1.84e-05,2,1.84e-05,-94.91485278,2.783234e-05,22.236,17.462,17.462,"Molecule(name='C20H16', formula='C20H16', hash='36bcb31')"
2mer-0+269,-0.00484622,2,-0.00484622,-94.91969901,2.736889e-05,23.023,17.56,17.56,"Molecule(name='C20H16', formula='C20H16', hash='8a8c31b')"
2mer-0+216,-7.639e-05,2,-7.639e-05,-94.9197754,2.698517e-05,22.847,17.642,17.642,"Molecule(name='C20H16', formula='C20H16', hash='57df84b')"
2mer-0+185,-0.00705053,2,-0.00705053,-94.92682592,2.670216e-05,21.099,17.705,17.705,"Molecule(name='C20H16', formula='C20H16', hash='16c3298')"
2mer-0+259,-0.00600905,2,-0.00600905,-94.93283497,2.656308e-05,22.244,17.735,17.735,"Molecule(name='C20H16', formula='C20H16', hash='aa6f768')"
2mer-0+170,-0.00366383,2,-0.00366383,-94.9364988,2.569012e-05,20.246,17.934,17.934,"Molecule(name='C20H16', formula='C20H16', hash='73486f6')"
2mer-0+251,-0.00402606,2,-0.00402606,-94.94052487,2.551683e-05,23.614,17.975,17.975,"Molecule(name='C20H16', formula='C20H16', hash='0c3739f')"
2mer-0+273,2.76e-05,2,2.76e-05,-94.94049727,2.462901e-05,24.808,18.188,18.188,"Molecule(name='C20H16', formula='C20H16', hash='c323266')"
2mer-0+226,-0.00609245,2,-0.00609245,-94.94658972,2.3661e-05,21.443,18.433,18.433,"Molecule(name='C20H16', formula='C20H16', hash='50e8138')"
2mer-0+249,0.00048354,2,0.00048354,-94.94610617,2.316723e-05,23.648,18.563,18.563,"Molecule(name='C20H16', formula='C20H16', hash='5e9e5a8')"
2mer-0+233,0.00174933,2,0.00174933,-94.94435684,2.289195e-05,20.061,18.637,18.637,"Molecule(name='C20H16', formula='C20H16', hash='0ba9251')"
2mer-0+254,-9.845e-05,4,-0.00019691,-94.94455375,2.282674e-05,25.444,18.655,18.655,"Molecule(name='C20H16', formula='C20H16', hash='1506d9c')"
2mer-0+263,-0.00105983,4,-0.00211966,-94.94667341,2.265511e-05,24.784,18.702,18.702,"Molecule(name='C20H16', formula='C20H16', hash='4098989')"
2mer-0+252,-0.0009404,2,-0.0009404,-94.94761382,2.230249e-05,25.278,18.8,18.8,"Molecule(name='C20H16', formula='C20H16', hash='0c01ce6')"
2mer-0+281,-0.00034979,4,-0.00069958,-94.9483134,2.214602e-05,23.716,18.844,18.844,"Molecule(name='C20H16', formula='C20H16', hash='69709e5')"
2mer-0+277,-0.00373444,4,-0.00746887,-94.95578228,2.201285e-05,23.687,18.882,18.882,"Molecule(name='C20H16', formula='C20H16', hash='214b25f')"
2mer-0+231,0.00012248,2,0.00012248,-94.9556598,2.201183e-05,24.43,18.882,18.882,"Molecule(name='C20H16', formula='C20H16', hash='e1709a6')"
2mer-0+210,-0.00331936,4,-0.00663872,-94.96229852,2.190439e-05,23.729,18.913,18.913,"Molecule(name='C20H16', formula='C20H16', hash='0366bd1')"
2mer-0+312,0.00015713,2,0.00015713,-94.96214139,2.189425e-05,25.756,18.916,18.916,"Molecule(name='C20H16', formula='C20H16', hash='9a5e317')"
