N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-8.49571692,4,-16.99143384,-16.99143384,0.01038414,7.745,2.426,2.426
2mer-0+5,-6.48330102,2,-6.48330102,-23.47473486,0.008569363,8.634,2.586,2.586
2mer-0+7,-15.23586413,2,-15.23586413,-38.71059899,0.006364136,5.938,2.856,2.856
2mer-0+3,-22.06401517,4,-44.12803034,-82.83862933,0.006294937,5.015,2.866,2.866
2mer-0+11,-0.79937366,2,-0.79937366,-83.63800299,0.003228275,10.478,3.581,3.581
2mer-0+10,-0.52779026,2,-0.52779026,-84.16579325,0.001237557,9.785,4.929,4.929
2mer-0+6,-2.03166421,2,-2.03166421,-86.19745746,0.001067028,7.777,5.179,5.179
2mer-0+15,-0.47353959,2,-0.47353959,-86.67099706,0.000821434,10.478,5.65,5.65
2mer-0+18,-0.50451842,2,-0.50451842,-87.17551548,0.0007985891,10.031,5.704,5.704
2mer-0+21,-0.44952472,4,-0.89904943,-88.07456491,0.0007340187,9.781,5.866,5.866
2mer-0+19,-0.24860406,4,-0.49720813,-88.57177304,0.0006778374,11.807,6.024,6.024
2mer-0+17,-0.17617186,4,-0.35234372,-88.92411676,0.0006518769,11.423,6.103,6.103
2mer-0+13,-0.88852587,2,-0.88852587,-89.81264264,0.0004867948,8.085,6.727,6.727
2mer-0+44,-0.13440447,2,-0.13440447,-89.9470471,0.0003293969,11.875,7.662,7.662
2mer-0+22,-0.05006341,2,-0.05006341,-89.99711051,0.0003245849,14.307,7.7,7.7
2mer-0+14,-0.34432126,2,-0.34432126,-90.34143178,0.0003204969,9.785,7.733,7.733
2mer-0+16,-0.14475298,4,-0.28950595,-90.63093773,0.0002646354,10.549,8.242,8.242
2mer-0+56,-0.03533996,2,-0.03533996,-90.66627769,0.0002187867,14.682,8.782,8.782
2mer-0+37,-0.01900529,4,-0.03801057,-90.70428826,0.0002157206,15.617,8.823,8.823
2mer-0+47,-0.04585596,4,-0.09171191,-90.79600017,0.0002005443,14.488,9.041,9.041
2mer-0+70,-0.02724042,2,-0.02724042,-90.8232406,0.000195909,14.366,9.111,9.111
2mer-0+34,-0.14340301,2,-0.14340301,-90.9666436,0.0001877436,10.031,9.242,9.242
