N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-6.41896377,4,-12.83792754,-12.83792754,0.01038414,7.745,2.426,2.426
2mer-0+5,-4.57237,2,-4.57237,-17.41029754,0.008569363,8.634,2.586,2.586
2mer-0+7,-13.39889011,2,-13.39889011,-30.80918765,0.006364136,5.938,2.856,2.856
2mer-0+3,-20.94568928,4,-41.89137855,-72.7005662,0.006294937,5.015,2.866,2.866
2mer-0+11,-0.68100973,2,-0.68100973,-73.38157593,0.003228275,10.478,3.581,3.581
2mer-0+10,-0.57481106,2,-0.57481106,-73.95638699,0.001237557,9.785,4.929,4.929
2mer-0+6,-2.44045086,2,-2.44045086,-76.39683785,0.001067028,7.777,5.179,5.179
2mer-0+15,-0.61278549,2,-0.61278549,-77.00962334,0.000821434,10.478,5.65,5.65
2mer-0+18,-0.67197096,2,-0.67197096,-77.6815943,0.0007985891,10.031,5.704,5.704
2mer-0+21,-0.5650414,4,-1.13008281,-78.81167711,0.0007340187,9.781,5.866,5.866
2mer-0+19,-0.33537868,4,-0.67075736,-79.48243447,0.0006778374,11.807,6.024,6.024
2mer-0+17,-0.17616477,4,-0.35232953,-79.83476401,0.0006518769,11.423,6.103,6.103
2mer-0+13,-0.95195684,2,-0.95195684,-80.78672084,0.0004867948,8.085,6.727,6.727
2mer-0+44,-0.19566637,2,-0.19566637,-80.98238721,0.0003293969,11.875,7.662,7.662
2mer-0+22,-0.07064087,2,-0.07064087,-81.05302807,0.0003245849,14.307,7.7,7.7
2mer-0+14,-0.36667875,2,-0.36667875,-81.41970683,0.0003204969,9.785,7.733,7.733
2mer-0+16,-0.12871977,4,-0.25743954,-81.67714636,0.0002646354,10.549,8.242,8.242
2mer-0+56,-0.04244058,2,-0.04244058,-81.71958694,0.0002187867,14.682,8.782,8.782
2mer-0+37,-0.02832909,4,-0.05665819,-81.77624513,0.0002157206,15.617,8.823,8.823
2mer-0+47,-0.06476327,4,-0.12952653,-81.90577166,0.0002005443,14.488,9.041,9.041
2mer-0+70,-0.01927412,2,-0.01927412,-81.92504578,0.000195909,14.366,9.111,9.111
2mer-0+34,-0.08692397,2,-0.08692397,-82.01196975,0.0001877436,10.031,9.242,9.242
2mer-0+38,-0.01558228,2,-0.01558228,-82.02755202,0.00018622,15.49,9.267,9.267
2mer-0+49,-0.01645544,2,-0.01645544,-82.04400746,0.0001838029,14.195,9.307,9.307
2mer-0+32,-0.06862148,4,-0.13724296,-82.18125043,0.0001736464,14.689,9.485,9.485
2mer-0+46,-0.04327022,4,-0.08654044,-82.26779086,0.0001683269,12.485,9.584,9.584
2mer-0+75,-0.03845311,2,-0.03845311,-82.30624398,0.0001594845,15.955,9.758,9.758
2mer-0+41,-0.05918941,2,-0.05918941,-82.36543339,0.0001572655,15.49,9.804,9.804
2mer-0+66,-0.0811893,2,-0.0811893,-82.44662268,0.0001469979,14.809,10.027,10.027
2mer-0+64,-0.05753322,2,-0.05753322,-82.50415591,0.0001384989,14.682,10.228,10.228
2mer-0+42,-0.09430051,4,-0.18860103,-82.69275694,0.0001290053,13.483,10.473,10.473
2mer-0+67,-0.01226411,2,-0.01226411,-82.70502104,0.0001241274,17.267,10.608,10.608
2mer-0+90,-0.01621911,4,-0.03243822,-82.73745927,0.000112514,15.384,10.961,10.961
2mer-0+62,-0.06792946,2,-0.06792946,-82.80538873,0.0001095832,14.195,11.058,11.058
2mer-0+73,-0.00816711,4,-0.01633423,-82.82172296,0.0001044382,17.731,11.237,11.237
2mer-0+61,-0.06332831,2,-0.06332831,-82.88505127,0.0001009054,14.574,11.367,11.367
2mer-0+80,-0.0030758,2,-0.0030758,-82.88812707,9.805815e-05,18.259,11.476,11.476
2mer-0+84,-0.00551116,4,-0.01102232,-82.89914939,9.361977e-05,16.478,11.654,11.654
2mer-0+51,-0.04458041,2,-0.04458041,-82.9437298,9.264641e-05,15.554,11.695,11.695
2mer-0+87,-0.04084636,2,-0.04084636,-82.98457617,9.158646e-05,15.955,11.74,11.74
2mer-0+81,-0.01342058,2,-0.01342058,-82.99799674,9.030899e-05,18.259,11.795,11.795
2mer-0+77,-0.05045277,4,-0.10090553,-83.09890227,8.659354e-05,15.046,11.961,11.961
2mer-0+55,-0.0272189,2,-0.0272189,-83.12612117,8.638344e-05,13.31,11.971,11.971
2mer-0+68,-0.02627934,4,-0.05255867,-83.17867985,8.603025e-05,16.92,11.987,11.987
2mer-0+65,-0.02838412,2,-0.02838412,-83.20706397,8.114036e-05,16.649,12.223,12.223
2mer-0+85,-0.03794128,2,-0.03794128,-83.24500525,7.92572e-05,14.366,12.319,12.319
2mer-0+131,-0.00330025,2,-0.00330025,-83.2483055,7.354779e-05,18.982,12.63,12.63
2mer-0+92,-0.01947018,2,-0.01947018,-83.26777568,6.998009e-05,18.593,12.841,12.841
2mer-0+97,-0.00249021,2,-0.00249021,-83.27026589,6.409616e-05,18.593,13.223,13.223
2mer-0+116,-0.0280406,2,-0.0280406,-83.2983065,6.231601e-05,17.225,13.348,13.348
2mer-0+144,-0.01703725,2,-0.01703725,-83.31534374,6.151296e-05,17.813,13.405,13.405
2mer-0+76,-0.02143819,2,-0.02143819,-83.33678193,6.100794e-05,16.649,13.442,13.442
