N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-4.73423088,4,-9.46846176,-9.46846176,0.01038414,7.745,2.426,2.426
2mer-0+5,-3.55071319,2,-3.55071319,-13.01917495,0.008569363,8.634,2.586,2.586
2mer-0+7,-10.12337709,2,-10.12337709,-23.14255205,0.006364136,5.938,2.856,2.856
2mer-0+3,-14.17336171,4,-28.34672343,-51.48927547,0.006294937,5.015,2.866,2.866
2mer-0+11,-0.55410012,2,-0.55410012,-52.04337559,0.003228275,10.478,3.581,3.581
2mer-0+10,-0.47928684,2,-0.47928684,-52.52266244,0.001237557,9.785,4.929,4.929
2mer-0+6,-2.00397967,2,-2.00397967,-54.52664211,0.001067028,7.777,5.179,5.179
2mer-0+15,-0.53434084,2,-0.53434084,-55.06098294,0.000821434,10.478,5.65,5.65
2mer-0+18,-0.58515259,2,-0.58515259,-55.64613553,0.0007985891,10.031,5.704,5.704
2mer-0+21,-0.48047985,4,-0.9609597,-56.60709523,0.0007340187,9.781,5.866,5.866
2mer-0+19,-0.29447245,4,-0.58894489,-57.19604012,0.0006778374,11.807,6.024,6.024
2mer-0+17,-0.13763481,4,-0.27526963,-57.47130975,0.0006518769,11.423,6.103,6.103
2mer-0+13,-0.71733692,2,-0.71733692,-58.18864666,0.0004867948,8.085,6.727,6.727
2mer-0+44,-0.17193731,2,-0.17193731,-58.36058397,0.0003293969,11.875,7.662,7.662
2mer-0+22,-0.05985978,2,-0.05985978,-58.42044376,0.0003245849,14.307,7.7,7.7
2mer-0+14,-0.28545747,2,-0.28545747,-58.70590123,0.0003204969,9.785,7.733,7.733
2mer-0+16,-0.08753977,4,-0.17507955,-58.88098077,0.0002646354,10.549,8.242,8.242
2mer-0+56,-0.03452156,2,-0.03452156,-58.91550234,0.0002187867,14.682,8.782,8.782
2mer-0+37,-0.02218147,4,-0.04436294,-58.95986528,0.0002157206,15.617,8.823,8.823
2mer-0+47,-0.0565152,4,-0.11303039,-59.07289567,0.0002005443,14.488,9.041,9.041
2mer-0+70,-0.01141441,2,-0.01141441,-59.08431008,0.000195909,14.366,9.111,9.111
2mer-0+34,-0.03557517,2,-0.03557517,-59.11988524,0.0001877436,10.031,9.242,9.242
2mer-0+38,-0.00995877,2,-0.00995877,-59.12984401,0.00018622,15.49,9.267,9.267
2mer-0+49,-0.00858827,2,-0.00858827,-59.13843228,0.0001838029,14.195,9.307,9.307
2mer-0+32,-0.06112911,4,-0.12225823,-59.2606905,0.0001736464,14.689,9.485,9.485
2mer-0+46,-0.02730738,4,-0.05461476,-59.31530527,0.0001683269,12.485,9.584,9.584
2mer-0+75,-0.03373509,2,-0.03373509,-59.34904036,0.0001594845,15.955,9.758,9.758
2mer-0+41,-0.05316737,2,-0.05316737,-59.40220774,0.0001572655,15.49,9.804,9.804
2mer-0+66,-0.07388106,2,-0.07388106,-59.4760888,0.0001469979,14.809,10.027,10.027
2mer-0+64,-0.05112737,2,-0.05112737,-59.52721617,0.0001384989,14.682,10.228,10.228
2mer-0+42,-0.08459329,4,-0.16918657,-59.69640274,0.0001290053,13.483,10.473,10.473
2mer-0+67,-0.00919987,2,-0.00919987,-59.70560262,0.0001241274,17.267,10.608,10.608
2mer-0+90,-0.0116405,4,-0.023281,-59.72888361,0.000112514,15.384,10.961,10.961
2mer-0+62,-0.06039843,2,-0.06039843,-59.78928205,0.0001095832,14.195,11.058,11.058
2mer-0+73,-0.00580317,4,-0.01160634,-59.80088839,0.0001044382,17.731,11.237,11.237
2mer-0+61,-0.05736344,2,-0.05736344,-59.85825183,0.0001009054,14.574,11.367,11.367
2mer-0+80,-0.00095223,2,-0.00095223,-59.85920405,9.805815e-05,18.259,11.476,11.476
2mer-0+84,-0.00236801,4,-0.00473601,-59.86394007,9.361977e-05,16.478,11.654,11.654
2mer-0+51,-0.04011212,2,-0.04011212,-59.90405219,9.264641e-05,15.554,11.695,11.695
2mer-0+87,-0.03687286,2,-0.03687286,-59.94092505,9.158646e-05,15.955,11.74,11.74
2mer-0+81,-0.01148842,2,-0.01148842,-59.95241347,9.030899e-05,18.259,11.795,11.795
2mer-0+77,-0.04535641,4,-0.09071283,-60.04312629,8.659354e-05,15.046,11.961,11.961
2mer-0+55,-0.01784413,2,-0.01784413,-60.06097043,8.638344e-05,13.31,11.971,11.971
2mer-0+68,-0.02344782,4,-0.04689565,-60.10786607,8.603025e-05,16.92,11.987,11.987
2mer-0+65,-0.02545451,2,-0.02545451,-60.13332058,8.114036e-05,16.649,12.223,12.223
2mer-0+85,-0.03179379,2,-0.03179379,-60.16511437,7.92572e-05,14.366,12.319,12.319
2mer-0+131,-0.00183624,2,-0.00183624,-60.16695061,7.354779e-05,18.982,12.63,12.63
2mer-0+92,-0.01781138,2,-0.01781138,-60.18476199,6.998009e-05,18.593,12.841,12.841
2mer-0+97,-0.0009368,2,-0.0009368,-60.18569879,6.409616e-05,18.593,13.223,13.223
2mer-0+116,-0.02572123,2,-0.02572123,-60.21142003,6.231601e-05,17.225,13.348,13.348
2mer-0+144,-0.01520212,2,-0.01520212,-60.22662215,6.151296e-05,17.813,13.405,13.405
2mer-0+76,-0.01858331,2,-0.01858331,-60.24520546,6.100794e-05,16.649,13.442,13.442
2mer-0+106,-0.01199652,2,-0.01199652,-60.25720198,5.941218e-05,17.837,13.562,13.562
2mer-0+109,-0.01578769,2,-0.01578769,-60.27298967,5.845362e-05,16.169,13.635,13.635
2mer-0+121,-0.00655839,4,-0.01311678,-60.28610645,5.841128e-05,18.733,13.639,13.639
2mer-0+135,-0.0120989,4,-0.02419781,-60.31030426,5.736353e-05,18.696,13.721,13.721
2mer-0+120,-0.00688615,4,-0.0137723,-60.32407656,5.732354e-05,20.068,13.724,13.724
2mer-0+140,1.15e-05,2,1.15e-05,-60.32406506,5.400654e-05,20.956,14.0,14.0
2mer-0+114,-0.01686557,4,-0.03373114,-60.3577962,5.148921e-05,17.967,14.224,14.224
2mer-0+180,0.00084754,2,0.00084754,-60.35694865,5.085434e-05,19.561,14.283,14.283
2mer-0+86,0.03204499,2,0.03204499,-60.32490366,4.945482e-05,14.574,14.417,14.417
2mer-0+115,-0.00391949,2,-0.00391949,-60.32882315,4.80953e-05,19.569,14.551,14.551
2mer-0+164,-0.00552788,2,-0.00552788,-60.33435103,4.802817e-05,19.795,14.558,14.558
2mer-0+96,-0.0038303,4,-0.0076606,-60.34201163,4.684075e-05,17.844,14.68,14.68
2mer-0+148,-0.00046125,2,-0.00046125,-60.34247288,4.592849e-05,19.436,14.777,14.777
2mer-0+123,-0.00408575,4,-0.00817149,-60.35064437,4.368243e-05,21.664,15.026,15.026
