N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-7.75750471,4,-15.51500943,-15.51500943,0.01038414,7.745,2.426,2.426
2mer-0+5,-5.18559863,2,-5.18559863,-20.70060806,0.008569363,8.634,2.586,2.586
2mer-0+7,-16.24230408,2,-16.24230408,-36.94291214,0.006364136,5.938,2.856,2.856
2mer-0+3,-20.49049927,4,-40.98099854,-77.92391067,0.006294937,5.015,2.866,2.866
2mer-0+11,-0.4847946,2,-0.4847946,-78.40870527,0.003228275,10.478,3.581,3.581
2mer-0+10,-0.44120754,2,-0.44120754,-78.84991281,0.001237557,9.785,4.929,4.929
2mer-0+6,-2.12761977,2,-2.12761977,-80.97753258,0.001067028,7.777,5.179,5.179
2mer-0+15,-0.57356912,2,-0.57356912,-81.5511017,0.000821434,10.478,5.65,5.65
2mer-0+18,-0.64778629,2,-0.64778629,-82.198888,0.0007985891,10.031,5.704,5.704
2mer-0+21,-0.50310112,4,-1.00620225,-83.20509024,0.0007340187,9.781,5.866,5.866
2mer-0+19,-0.31096712,4,-0.62193424,-83.82702448,0.0006778374,11.807,6.024,6.024
2mer-0+17,-0.0882336,4,-0.1764672,-84.00349168,0.0006518769,11.423,6.103,6.103
2mer-0+13,-0.60032356,2,-0.60032356,-84.60381524,0.0004867948,8.085,6.727,6.727
2mer-0+44,-0.19419762,2,-0.19419762,-84.79801286,0.0003293969,11.875,7.662,7.662
2mer-0+22,-0.03788917,2,-0.03788917,-84.83590202,0.0003245849,14.307,7.7,7.7
2mer-0+14,-0.2733953,2,-0.2733953,-85.10929733,0.0003204969,9.785,7.733,7.733
2mer-0+16,-0.04413108,4,-0.08826215,-85.19755948,0.0002646354,10.549,8.242,8.242
2mer-0+56,-0.02002647,2,-0.02002647,-85.21758595,0.0002187867,14.682,8.782,8.782
2mer-0+37,0.00150695,4,0.00301389,-85.21457206,0.0002157206,15.617,8.823,8.823
2mer-0+47,-0.05432054,4,-0.10864108,-85.32321314,0.0002005443,14.488,9.041,9.041
2mer-0+70,0.01872439,2,0.01872439,-85.30448876,0.000195909,14.366,9.111,9.111
2mer-0+34,0.0401327,2,0.0401327,-85.26435606,0.0001877436,10.031,9.242,9.242
2mer-0+38,0.02085123,2,0.02085123,-85.24350483,0.00018622,15.49,9.267,9.267
2mer-0+49,0.02293986,2,0.02293986,-85.22056498,0.0001838029,14.195,9.307,9.307
2mer-0+32,-0.07191879,4,-0.14383757,-85.36440255,0.0001736464,14.689,9.485,9.485
2mer-0+46,0.000621,4,0.001242,-85.36316055,0.0001683269,12.485,9.584,9.584
2mer-0+75,-0.01973954,2,-0.01973954,-85.38290009,0.0001594845,15.955,9.758,9.758
2mer-0+41,-0.0504359,2,-0.0504359,-85.43333599,0.0001572655,15.49,9.804,9.804
2mer-0+66,-0.09732059,2,-0.09732059,-85.53065658,0.0001469979,14.809,10.027,10.027
2mer-0+64,-0.05433116,2,-0.05433116,-85.58498774,0.0001384989,14.682,10.228,10.228
2mer-0+42,-0.10302805,4,-0.2060561,-85.79104384,0.0001290053,13.483,10.473,10.473
2mer-0+67,0.00059656,2,0.00059656,-85.79044728,0.0001241274,17.267,10.608,10.608
2mer-0+90,0.0008227,4,0.0016454,-85.78880188,0.000112514,15.384,10.961,10.961
2mer-0+62,-0.07528174,2,-0.07528174,-85.86408362,0.0001095832,14.195,11.058,11.058
2mer-0+73,0.00173043,4,0.00346086,-85.86062276,0.0001044382,17.731,11.237,11.237
2mer-0+61,-0.0717904,2,-0.0717904,-85.93241316,0.0001009054,14.574,11.367,11.367
2mer-0+80,0.01372733,2,0.01372733,-85.91868584,9.805815e-05,18.259,11.476,11.476
2mer-0+84,0.01021607,4,0.02043213,-85.8982537,9.361977e-05,16.478,11.654,11.654
2mer-0+51,-0.03928338,2,-0.03928338,-85.93753708,9.264641e-05,15.554,11.695,11.695
2mer-0+87,-0.04071453,2,-0.04071453,-85.97825161,9.158646e-05,15.955,11.74,11.74
2mer-0+81,0.00235096,2,0.00235096,-85.97590065,9.030899e-05,18.259,11.795,11.795
2mer-0+77,-0.05645898,4,-0.11291797,-86.08881862,8.659354e-05,15.046,11.961,11.961
2mer-0+55,-0.00354208,2,-0.00354208,-86.0923607,8.638344e-05,13.31,11.971,11.971
2mer-0+68,-0.01748561,4,-0.03497121,-86.12733191,8.603025e-05,16.92,11.987,11.987
2mer-0+65,-0.02693662,2,-0.02693662,-86.15426853,8.114036e-05,16.649,12.223,12.223
2mer-0+85,-0.0381165,2,-0.0381165,-86.19238504,7.92572e-05,14.366,12.319,12.319
2mer-0+131,-0.00314436,2,-0.00314436,-86.19552939,7.354779e-05,18.982,12.63,12.63
2mer-0+92,-0.02959948,2,-0.02959948,-86.22512887,6.998009e-05,18.593,12.841,12.841
2mer-0+97,0.00619956,2,0.00619956,-86.21892931,6.409616e-05,18.593,13.223,13.223
2mer-0+116,-0.02781775,2,-0.02781775,-86.24674707,6.231601e-05,17.225,13.348,13.348
2mer-0+144,-0.01834644,2,-0.01834644,-86.2650935,6.151296e-05,17.813,13.405,13.405
2mer-0+76,-0.02098883,2,-0.02098883,-86.28608234,6.100794e-05,16.649,13.442,13.442
2mer-0+106,-0.01488782,2,-0.01488782,-86.30097016,5.941218e-05,17.837,13.562,13.562
2mer-0+109,-0.02041109,2,-0.02041109,-86.32138124,5.845362e-05,16.169,13.635,13.635
2mer-0+121,-0.00649233,4,-0.01298467,-86.33436591,5.841128e-05,18.733,13.639,13.639
2mer-0+135,-0.01922682,4,-0.03845363,-86.37281954,5.736353e-05,18.696,13.721,13.721
2mer-0+120,-0.00358164,4,-0.00716328,-86.37998282,5.732354e-05,20.068,13.724,13.724
2mer-0+140,-0.00043394,2,-0.00043394,-86.38041676,5.400654e-05,20.956,14.0,14.0
2mer-0+114,-0.01866979,4,-0.03733957,-86.41775633,5.148921e-05,17.967,14.224,14.224
2mer-0+180,0.00296349,2,0.00296349,-86.41479284,5.085434e-05,19.561,14.283,14.283
2mer-0+86,0.06054201,2,0.06054201,-86.35425083,4.945482e-05,14.574,14.417,14.417
2mer-0+115,0.00324612,2,0.00324612,-86.35100471,4.80953e-05,19.569,14.551,14.551
2mer-0+164,-0.00381933,2,-0.00381933,-86.35482404,4.802817e-05,19.795,14.558,14.558
2mer-0+96,0.00676791,4,0.01353583,-86.34128821,4.684075e-05,17.844,14.68,14.68
2mer-0+148,0.01071267,2,0.01071267,-86.33057553,4.592849e-05,19.436,14.777,14.777
2mer-0+123,0.00037427,4,0.00074854,-86.32982699,4.368243e-05,21.664,15.026,15.026
2mer-0+112,0.0266558,4,0.05331159,-86.2765154,4.320556e-05,17.127,15.081,15.081
2mer-0+119,0.00504177,2,0.00504177,-86.27147362,4.170248e-05,21.349,15.26,15.26
2mer-0+163,-0.00517261,4,-0.01034521,-86.28181883,4.145139e-05,21.754,15.29,15.29
2mer-0+142,0.00692482,2,0.00692482,-86.27489402,4.118698e-05,22.315,15.323,15.323
2mer-0+165,-0.02006906,2,-0.02006906,-86.29496308,4.115743e-05,18.982,15.327,15.327
2mer-0+189,-0.00609933,2,-0.00609933,-86.30106241,4.098988e-05,20.061,15.348,15.348
2mer-0+159,0.00273915,2,0.00273915,-86.29832326,4.0819e-05,20.956,15.369,15.369
2mer-0+171,-0.0097739,2,-0.0097739,-86.30809715,4.049968e-05,19.795,15.409,15.409
2mer-0+168,-0.01754937,4,-0.03509873,-86.34319589,4.004879e-05,19.168,15.467,15.467
2mer-0+174,-0.00859606,4,-0.01719212,-86.36038801,3.971391e-05,20.495,15.51,15.51
2mer-0+152,0.00746193,4,0.01492385,-86.34546416,3.957064e-05,21.34,15.529,15.529
2mer-0+150,-0.01057322,4,-0.02114643,-86.36661059,3.929805e-05,20.671,15.565,15.565
2mer-0+167,-0.01870051,2,-0.01870051,-86.3853111,3.744599e-05,19.436,15.817,15.817
2mer-0+143,0.01390387,2,0.01390387,-86.37140723,3.65481e-05,17.225,15.946,15.946
2mer-0+145,-0.00584145,2,-0.00584145,-86.37724868,3.546046e-05,22.16,16.107,16.107
2mer-0+169,0.00258896,2,0.00258896,-86.37465972,3.506662e-05,23.091,16.167,16.167
2mer-0+137,-0.00306101,2,-0.00306101,-86.37772073,3.444223e-05,19.569,16.264,16.264
2mer-0+129,-0.00590378,4,-0.01180756,-86.38952829,3.365651e-05,19.721,16.39,16.39
2mer-0+241,0.00439573,4,0.00879145,-86.38073684,3.224771e-05,21.171,16.625,16.625
2mer-0+156,-0.00389698,2,-0.00389698,-86.38463382,3.218e-05,22.16,16.637,16.637
2mer-0+173,0.00205932,2,0.00205932,-86.38257451,3.194701e-05,23.091,16.677,16.677
2mer-0+205,-0.01084046,2,-0.01084046,-86.39341497,3.174122e-05,19.561,16.713,16.713
2mer-0+154,0.02195297,2,0.02195297,-86.371462,3.034911e-05,17.837,16.965,16.965
2mer-0+158,-0.01160971,4,-0.02321941,-86.39468141,3.01318e-05,22.193,17.006,17.006
2mer-0+146,0.00088543,4,0.00177087,-86.39291054,2.974773e-05,19.074,17.079,17.079
2mer-0+181,0.00089615,4,0.00179229,-86.39111825,2.973307e-05,23.235,17.081,17.081
2mer-0+219,0.00109147,2,0.00109147,-86.39002679,2.965057e-05,22.855,17.097,17.097
2mer-0+202,0.00697719,4,0.01395438,-86.37607241,2.953573e-05,24.018,17.119,17.119
2mer-0+235,0.0016883,2,0.0016883,-86.37438411,2.947026e-05,23.614,17.132,17.132
2mer-0+266,-0.00560139,2,-0.00560139,-86.37998549,2.934543e-05,23.165,17.156,17.156
2mer-0+209,0.00961369,4,0.01922738,-86.36075811,2.874506e-05,20.428,17.275,17.275
2mer-0+213,0.00655542,2,0.00655542,-86.35420269,2.855931e-05,22.847,17.312,17.312
2mer-0+230,0.00348671,4,0.00697342,-86.34722928,2.832759e-05,21.978,17.359,17.359
2mer-0+227,0.00143301,2,0.00143301,-86.34579626,2.783234e-05,22.236,17.462,17.462
2mer-0+269,-0.01075773,2,-0.01075773,-86.35655399,2.736889e-05,23.023,17.56,17.56
2mer-0+216,0.00831314,2,0.00831314,-86.34824084,2.698517e-05,22.847,17.642,17.642
2mer-0+185,-0.00877863,2,-0.00877863,-86.35701947,2.670216e-05,21.099,17.705,17.705
2mer-0+259,-0.02343145,2,-0.02343145,-86.38045093,2.656308e-05,22.244,17.735,17.735
2mer-0+170,0.00459467,2,0.00459467,-86.37585626,2.569012e-05,20.246,17.934,17.934
2mer-0+251,0.00606235,2,0.00606235,-86.36979391,2.551683e-05,23.614,17.975,17.975
2mer-0+273,0.01627723,2,0.01627723,-86.35351668,2.462901e-05,24.808,18.188,18.188
2mer-0+226,-0.00620312,2,-0.00620312,-86.35971981,2.3661e-05,21.443,18.433,18.433
2mer-0+249,0.00882395,2,0.00882395,-86.35089585,2.316723e-05,23.648,18.563,18.563
2mer-0+233,0.00665641,2,0.00665641,-86.34423944,2.289195e-05,20.061,18.637,18.637
2mer-0+254,0.00709055,4,0.01418109,-86.33005835,2.282674e-05,25.444,18.655,18.655
2mer-0+263,0.00645689,4,0.01291378,-86.31714457,2.265511e-05,24.784,18.702,18.702
2mer-0+252,0.00584763,2,0.00584763,-86.31129694,2.230249e-05,25.278,18.8,18.8
2mer-0+281,0.00253143,4,0.00506286,-86.30623408,2.214602e-05,23.716,18.844,18.844
2mer-0+277,-0.00360518,4,-0.00721036,-86.31344444,2.201285e-05,23.687,18.882,18.882
2mer-0+231,0.00267916,2,0.00267916,-86.31076528,2.201183e-05,24.43,18.882,18.882
2mer-0+210,0.00158438,4,0.00316876,-86.30759653,2.190439e-05,23.729,18.913,18.913
2mer-0+312,0.00747368,2,0.00747368,-86.30012285,2.189425e-05,25.756,18.916,18.916
2mer-0+255,0.01507623,2,0.01507623,-86.28504661,2.183349e-05,25.278,18.933,18.933
2mer-0+317,0.00054673,2,0.00054673,-86.28449989,2.178179e-05,24.057,18.948,18.948
2mer-0+217,0.00230764,2,0.00230764,-86.28219225,2.171344e-05,20.604,18.968,18.968
2mer-0+206,0.00491458,2,0.00491458,-86.27727766,2.154678e-05,23.331,19.017,19.017
2mer-0+267,0.0019328,4,0.0038656,-86.27341206,2.146732e-05,23.116,19.04,19.04
2mer-0+258,-0.0041405,4,-0.00828101,-86.28169307,2.1349e-05,22.087,19.075,19.075
2mer-0+274,-0.000101,2,-0.000101,-86.28179407,2.103718e-05,25.901,19.169,19.169
2mer-0+329,-0.00471412,2,-0.00471412,-86.28650819,2.071965e-05,23.75,19.267,19.267
2mer-0+346,-0.00644669,2,-0.00644669,-86.29295487,2.059973e-05,25.216,19.304,19.304
2mer-0+301,-0.00299945,2,-0.00299945,-86.29595432,2.056237e-05,23.023,19.316,19.316
2mer-0+240,0.00547613,2,0.00547613,-86.29047819,2.051733e-05,24.43,19.33,19.33
2mer-0+234,0.00218612,4,0.00437224,-86.28610595,2.047959e-05,23.02,19.342,19.342
2mer-0+256,-0.00019663,2,-0.00019663,-86.28630258,2.034229e-05,23.472,19.385,19.385
2mer-0+238,-0.00185985,2,-0.00185985,-86.28816243,1.95391e-05,24.075,19.647,19.647
2mer-0+304,-0.00638554,2,-0.00638554,-86.29454796,1.9528e-05,23.165,19.651,19.651
2mer-0+246,-0.00496047,4,-0.00992094,-86.3044689,1.936522e-05,22.469,19.706,19.706
2mer-0+218,0.00826289,2,0.00826289,-86.29620601,1.933227e-05,21.099,19.717,19.717
2mer-0+290,0.00429895,2,0.00429895,-86.29190705,1.922155e-05,23.781,19.755,19.755
2mer-0+302,-9.277e-05,2,-9.277e-05,-86.29199983,1.894477e-05,26.572,19.85,19.85
2mer-0+377,-0.00154566,2,-0.00154566,-86.29354548,1.883936e-05,25.088,19.887,19.887
2mer-0+271,0.0002293,2,0.0002293,-86.29331618,1.856888e-05,23.648,19.984,19.984
2mer-0+299,0.00890384,2,0.00890384,-86.28441234,1.854867e-05,26.572,19.991,19.991
