N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-7.06472408,4,-14.12944816,-14.12944816,0.01038414,7.745,2.426,2.426
2mer-0+5,-4.8878574,2,-4.8878574,-19.01730556,0.008569363,8.634,2.586,2.586
2mer-0+7,-15.28908528,2,-15.28908528,-34.30639084,0.006364136,5.938,2.856,2.856
2mer-0+3,-23.15074275,4,-46.3014855,-80.60787634,0.006294937,5.015,2.866,2.866
2mer-0+11,-0.57166569,2,-0.57166569,-81.17954203,0.003228275,10.478,3.581,3.581
2mer-0+10,-0.56354949,2,-0.56354949,-81.74309152,0.001237557,9.785,4.929,4.929
2mer-0+6,-2.53315847,2,-2.53315847,-84.27624999,0.001067028,7.777,5.179,5.179
2mer-0+15,-0.65893187,2,-0.65893187,-84.93518186,0.000821434,10.478,5.65,5.65
2mer-0+18,-0.73371459,2,-0.73371459,-85.66889645,0.0007985891,10.031,5.704,5.704
2mer-0+21,-0.59124382,4,-1.18248764,-86.85138409,0.0007340187,9.781,5.866,5.866
2mer-0+19,-0.36264877,4,-0.72529754,-87.57668163,0.0006778374,11.807,6.024,6.024
2mer-0+17,-0.1477345,4,-0.295469,-87.87215063,0.0006518769,11.423,6.103,6.103
2mer-0+13,-0.87064175,2,-0.87064175,-88.74279238,0.0004867948,8.085,6.727,6.727
2mer-0+44,-0.21798471,2,-0.21798471,-88.96077709,0.0003293969,11.875,7.662,7.662
2mer-0+22,-0.06842467,2,-0.06842467,-89.02920176,0.0003245849,14.307,7.7,7.7
2mer-0+14,-0.34307917,2,-0.34307917,-89.37228093,0.0003204969,9.785,7.733,7.733
2mer-0+16,-0.09768728,4,-0.19537456,-89.56765549,0.0002646354,10.549,8.242,8.242
2mer-0+56,-0.03839158,2,-0.03839158,-89.60604707,0.0002187867,14.682,8.782,8.782
