N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+1,-27.52209438,4,-55.04418876,-55.04418876,0.02207662,4.964,1.886,1.886,"Molecule(name='C4H4O8', formula='C4H4O8', hash='efb99e1')"
2mer-0+4,-12.4511585,4,-24.90231701,-79.94650577,0.006209984,4.47,2.879,2.879,"Molecule(name='C4H4O8', formula='C4H4O8', hash='dc91df7')"
2mer-0+7,-4.92636031,4,-9.85272061,-89.79922638,0.005771491,5.109,2.95,2.95,"Molecule(name='C4H4O8', formula='C4H4O8', hash='f19d7f1')"
2mer-0+2,-4.05330848,2,-4.05330848,-93.85253486,0.002599329,6.087,3.849,3.849,"Molecule(name='C4H4O8', formula='C4H4O8', hash='835204f')"
2mer-0+20,-3.28479601,2,-3.28479601,-97.13733087,0.002065251,7.845,4.155,4.155,"Molecule(name='C4H4O8', formula='C4H4O8', hash='4435751')"
2mer-0+6,-2.11559805,4,-4.23119609,-101.36852696,0.00171823,7.947,4.418,4.418,"Molecule(name='C4H4O8', formula='C4H4O8', hash='5c07b51')"
2mer-0+29,0.44446718,4,0.88893436,-100.4795926,0.001239319,9.029,4.927,4.927,"Molecule(name='C4H4O8', formula='C4H4O8', hash='039b1bb')"
2mer-0+19,-1.16477113,2,-1.16477113,-101.64436373,0.0009852087,6.549,5.318,5.318,"Molecule(name='C4H4O8', formula='C4H4O8', hash='c857dd3')"
2mer-0+17,0.19003744,2,0.19003744,-101.45432629,0.0008621196,8.94,5.56,5.56,"Molecule(name='C4H4O8', formula='C4H4O8', hash='f2eca0e')"
2mer-0+23,0.89430212,2,0.89430212,-100.56002416,0.0008504524,9.929,5.585,5.585,"Molecule(name='C4H4O8', formula='C4H4O8', hash='35c0340')"
2mer-0+22,-0.92205779,4,-1.84411557,-102.40413974,0.0007419148,8.218,5.845,5.845,"Molecule(name='C4H4O8', formula='C4H4O8', hash='85e31ff')"
2mer-0+30,0.27299639,4,0.54599279,-101.85814695,0.0006016886,8.218,6.268,6.268,"Molecule(name='C4H4O8', formula='C4H4O8', hash='6f02347')"
2mer-0+13,-0.27413011,4,-0.54826022,-102.40640718,0.0005703824,7.947,6.381,6.381,"Molecule(name='C4H4O8', formula='C4H4O8', hash='2984a2c')"
2mer-0+24,-0.80871483,4,-1.61742965,-104.02383683,0.0005627542,9.029,6.41,6.41,"Molecule(name='C4H4O8', formula='C4H4O8', hash='bf597b3')"
2mer-0+48,0.22005215,2,0.22005215,-103.80378468,0.0004985042,10.219,6.674,6.674,"Molecule(name='C4H4O8', formula='C4H4O8', hash='0b2e06b')"
2mer-0+18,-0.02281605,4,-0.0456321,-103.84941678,0.0004335611,9.937,6.992,6.992,"Molecule(name='C4H4O8', formula='C4H4O8', hash='0f811d3')"
2mer-0+16,-0.16723222,4,-0.33446444,-104.18388122,0.000413512,9.699,7.103,7.103,"Molecule(name='C4H4O8', formula='C4H4O8', hash='7988c77')"
2mer-0+45,-0.04776835,2,-0.04776835,-104.23164957,0.0003314414,11.894,7.647,7.647,"Molecule(name='C4H4O8', formula='C4H4O8', hash='5eb7258')"
2mer-0+36,-0.29796017,2,-0.29796017,-104.52960975,0.0003015289,9.929,7.891,7.891,"Molecule(name='C4H4O8', formula='C4H4O8', hash='29f2c55')"
2mer-0+72,0.06798016,4,0.13596032,-104.39364942,0.0002779358,12.154,8.109,8.109,"Molecule(name='C4H4O8', formula='C4H4O8', hash='ee1d625')"
2mer-0+86,0.25933134,4,0.51866269,-103.87498673,0.0002776894,12.214,8.111,8.111,"Molecule(name='C4H4O8', formula='C4H4O8', hash='ca50bcd')"
2mer-0+60,-0.45056492,2,-0.45056492,-104.32555165,0.0002641565,10.219,8.247,8.247,"Molecule(name='C4H4O8', formula='C4H4O8', hash='0e58dda')"
