N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+1,-11.55804178,8,-46.2321671,-46.2321671,0.00818554,5.812,2.626,2.626,"Molecule(name='C8H8N4', formula='C8H8N4', hash='99dcb33')"
2mer-0+4,-4.92948536,2,-4.92948536,-51.16165246,0.007507568,5.85,2.703,2.703,"Molecule(name='C8H8N4', formula='C8H8N4', hash='b397520')"
2mer-0+11,-0.63301313,2,-0.63301313,-51.7946656,0.004402235,6.94,3.229,3.229,"Molecule(name='C8H8N4', formula='C8H8N4', hash='77ebdfc')"
2mer-0+2,-12.75499372,2,-12.75499372,-64.54965931,0.003443976,3.733,3.504,3.504,"Molecule(name='C8H8N4', formula='C8H8N4', hash='6e48da7')"
2mer-0+15,-0.72835828,8,-2.91343312,-67.46309243,0.0009314991,7.852,5.418,5.418,"Molecule(name='C8H8N4', formula='C8H8N4', hash='3005766')"
2mer-0+16,-0.94331815,2,-0.94331815,-68.40641058,0.0008165455,6.94,5.662,5.662,"Molecule(name='C8H8N4', formula='C8H8N4', hash='9ac468d')"
2mer-0+24,-0.11888192,8,-0.47552766,-68.88193825,0.0006926405,10.111,5.981,5.981,"Molecule(name='C8H8N4', formula='C8H8N4', hash='1eaee19')"
2mer-0+31,-0.0662062,2,-0.0662062,-68.94814445,0.0005559094,9.485,6.436,6.436,"Molecule(name='C8H8N4', formula='C8H8N4', hash='84ccd30')"
2mer-0+25,0.75352355,2,0.75352355,-68.1946209,0.0005324558,9.325,6.529,6.529,"Molecule(name='C8H8N4', formula='C8H8N4', hash='bfc4f1f')"
2mer-0+20,-0.33137753,2,-0.33137753,-68.52599843,0.0004542158,7.466,6.884,6.884,"Molecule(name='C8H8N4', formula='C8H8N4', hash='a14064b')"
2mer-0+36,-0.25633098,4,-0.51266196,-69.03866039,0.000358971,11.009,7.446,7.446,"Molecule(name='C8H8N4', formula='C8H8N4', hash='2f64115')"
2mer-0+33,0.20287938,4,0.40575875,-68.63290164,0.0003483452,10.045,7.521,7.521,"Molecule(name='C8H8N4', formula='C8H8N4', hash='1df8dfd')"
2mer-0+45,-0.23964497,4,-0.47928994,-69.11219158,0.0003306545,11.624,7.653,7.653,"Molecule(name='C8H8N4', formula='C8H8N4', hash='7036296')"
2mer-0+39,-0.10029567,8,-0.4011827,-69.51337428,0.0002918618,11.406,7.978,7.978,"Molecule(name='C8H8N4', formula='C8H8N4', hash='bfb54d9')"
2mer-0+53,0.06850308,2,0.06850308,-69.4448712,0.000262966,11.7,8.26,8.26,"Molecule(name='C8H8N4', formula='C8H8N4', hash='afebc61')"
2mer-0+61,0.12831625,2,0.12831625,-69.31655495,0.0002458973,12.282,8.447,8.447,"Molecule(name='C8H8N4', formula='C8H8N4', hash='3bbf0cb')"
2mer-0+44,-0.04583347,8,-0.18333387,-69.49988882,0.0002241174,10.835,8.712,8.712,"Molecule(name='C8H8N4', formula='C8H8N4', hash='9d0c3f4')"
2mer-0+49,-0.07100047,4,-0.14200095,-69.64188977,0.0002063543,11.624,8.955,8.955,"Molecule(name='C8H8N4', formula='C8H8N4', hash='ed5809b')"
2mer-0+42,-0.04144736,2,-0.04144736,-69.68333713,0.0001936668,9.485,9.146,9.146,"Molecule(name='C8H8N4', formula='C8H8N4', hash='3cbb4df')"
2mer-0+79,-0.09824103,4,-0.19648206,-69.87981919,0.0001748477,13.302,9.463,9.463,"Molecule(name='C8H8N4', formula='C8H8N4', hash='c637aa8')"
2mer-0+70,-0.01721839,2,-0.01721839,-69.89703757,0.000165295,12.282,9.642,9.642,"Molecule(name='C8H8N4', formula='C8H8N4', hash='9fd043c')"
