N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+19,-22.05071694,1,-11.02535847,-11.02535847,0.01902328,4.965,1.982,1.982
2mer-0+18,-16.95684459,1,-8.4784223,-19.50378077,0.01860105,5.097,1.997,1.997
2mer-0+1,-8.52361283,2,-8.52361283,-28.02739359,0.00707979,5.21,2.756,2.756
2mer-0+8,-10.23496707,2,-10.23496707,-38.26236066,0.006914117,4.616,2.778,2.778
2mer-0+7,-12.1986667,1,-6.09933335,-44.36169401,0.006794476,4.608,2.794,2.794
2mer-0+2,-4.6443752,1,-2.3221876,-46.68388161,0.006668211,5.033,2.811,2.811
2mer-0+5,-6.67711373,1,-3.33855686,-50.02243848,0.006640356,5.162,2.815,2.815
2mer-0+4,-6.04021218,1,-3.02010609,-53.04254457,0.006089562,5.691,2.898,2.898
2mer-0+3,-8.60566091,1,-4.30283046,-57.34537503,0.005626276,4.78,2.975,2.975
2mer-0+22,-6.91629833,1,-3.45814916,-60.80352419,0.003084965,5.631,3.635,3.635
2mer-0+6,-3.87844232,1,-1.93922116,-62.74274535,0.002227933,6.203,4.052,4.052
2mer-0+31,-2.73173588,1,-1.36586794,-64.10861329,0.002195047,6.388,4.072,4.072
2mer-0+14,0.47332802,2,0.47332802,-63.63528527,0.001926127,8.021,4.253,4.253
2mer-0+13,-2.14686504,2,-2.14686504,-65.7821503,0.001192758,7.995,4.99,4.99
2mer-0+11,-0.3151045,2,-0.3151045,-66.09725481,0.001191686,8.19,4.991,4.991
2mer-0+16,-2.09451566,2,-2.09451566,-68.19177047,0.001176714,6.773,5.012,5.012
2mer-0+29,0.94815952,1,0.47407976,-67.71769071,0.001161744,9.095,5.034,5.034
2mer-0+21,-0.17110535,1,-0.08555267,-67.80324338,0.0009054665,8.921,5.47,5.47
2mer-0+9,-0.13668527,2,-0.13668527,-67.93992865,0.0008360245,8.521,5.617,5.617
2mer-0+51,-0.21781834,1,-0.10890917,-68.04883782,0.0008253675,9.397,5.641,5.641
2mer-0+27,-0.72892472,2,-0.72892472,-68.77776254,0.0008142065,7.995,5.667,5.667
2mer-0+12,-0.05421496,1,-0.02710748,-68.80487002,0.0007337449,9.433,5.867,5.867
2mer-0+15,-0.26419912,1,-0.13209956,-68.93696958,0.0007130476,9.519,5.923,5.923
2mer-0+54,0.69364453,1,0.34682226,-68.59014732,0.0006703362,8.05,6.046,6.046
2mer-0+33,-0.09018457,2,-0.09018457,-68.68033189,0.0006197606,8.521,6.207,6.207
2mer-0+52,-0.96232082,1,-0.48116041,-69.1614923,0.0005989168,8.883,6.278,6.278
2mer-0+30,-0.3654786,2,-0.3654786,-69.5269709,0.0005904304,9.401,6.308,6.308
2mer-0+69,-0.48641973,1,-0.24320987,-69.77018077,0.0005222903,9.361,6.571,6.571
2mer-0+28,0.18543259,2,0.18543259,-69.58474818,0.000461699,10.628,6.847,6.847
2mer-0+32,-0.33741245,2,-0.33741245,-69.92216063,0.0004369541,9.401,6.974,6.974
2mer-0+25,0.21606343,2,0.21606343,-69.7060972,0.0004259554,10.039,7.033,7.033
2mer-0+61,-0.55996475,1,-0.27998238,-69.98607957,0.0004183404,10.241,7.076,7.076
2mer-0+72,-0.59268125,1,-0.29634063,-70.2824202,0.0004042283,9.894,7.157,7.157
2mer-0+20,-0.14174771,1,-0.07087385,-70.35329405,0.0003923295,10.307,7.229,7.229
2mer-0+41,-0.18302743,1,-0.09151371,-70.44480777,0.0003753932,10.419,7.336,7.336
2mer-0+80,-0.06403929,1,-0.03201964,-70.47682741,0.0003734767,9.975,7.348,7.348
2mer-0+26,-0.10043898,2,-0.10043898,-70.57726639,0.0003643697,9.038,7.409,7.409
2mer-0+23,-0.06914187,1,-0.03457093,-70.61183732,0.0003600079,10.414,7.439,7.439
2mer-0+74,0.22344462,1,0.11172231,-70.50011501,0.0003583991,9.447,7.45,7.45
2mer-0+39,-0.05631559,1,-0.02815779,-70.52827281,0.0003494859,8.091,7.513,7.513
2mer-0+63,0.18444254,2,0.18444254,-70.34383026,0.0003074647,10.302,7.84,7.84
2mer-0+53,-0.19105401,1,-0.095527,-70.43935727,0.0002995302,10.489,7.909,7.909
2mer-0+43,-0.07163444,1,-0.03581722,-70.47517449,0.0002974733,12.136,7.927,7.927
2mer-0+93,-0.70403874,1,-0.35201937,-70.82719386,0.0002908666,10.457,7.987,7.987
2mer-0+70,0.18789282,1,0.09394641,-70.73324745,0.0002882706,10.552,8.011,8.011
2mer-0+65,-0.2233224,2,-0.2233224,-70.95656985,0.0002758886,10.633,8.129,8.129
2mer-0+82,-0.31246416,1,-0.15623208,-71.11280193,0.0002691638,9.223,8.196,8.196
2mer-0+121,0.36143603,1,0.18071802,-70.93208391,0.0002615345,10.354,8.275,8.275
2mer-0+36,-0.2533064,1,-0.1266532,-71.05873711,0.0002602277,9.272,8.289,8.289
2mer-0+59,-0.08713594,1,-0.04356797,-71.10230508,0.0002471891,10.382,8.432,8.432
2mer-0+60,-0.11115846,1,-0.05557923,-71.15788431,0.0002443155,11.454,8.465,8.465
2mer-0+57,0.035678,1,0.017839,-71.14004531,0.0002414284,10.781,8.498,8.498
2mer-0+109,0.21904311,1,0.10952156,-71.03052375,0.0002390681,12.212,8.526,8.526
2mer-0+40,0.10712773,1,0.05356386,-70.97695989,0.0002305856,12.267,8.63,8.63
2mer-0+44,0.01113613,1,0.00556806,-70.97139182,0.0002235771,12.931,8.719,8.719
2mer-0+47,-0.05331613,2,-0.05331613,-71.02470795,0.0002189446,10.628,8.78,8.78
2mer-0+76,0.00857746,2,0.00857746,-71.01613049,0.0002089454,12.124,8.918,8.918
2mer-0+91,-0.37036691,1,-0.18518346,-71.20131395,0.0002073483,12.108,8.941,8.941
2mer-0+98,0.13970214,2,0.13970214,-71.06161181,0.000201321,12.676,9.029,9.029
2mer-0+56,0.04285175,1,0.02142587,-71.04018593,0.000199997,12.707,9.049,9.049
2mer-0+49,-0.00688588,1,-0.00344294,-71.04362887,0.0001972455,12.655,9.091,9.091
2mer-0+67,-0.08131723,1,-0.04065861,-71.08428748,0.0001949931,12.492,9.126,9.126
2mer-0+45,-0.1499639,2,-0.1499639,-71.23425139,0.0001924843,12.7,9.165,9.165
