N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+19,-24.94482472,1,-12.47241236,-12.47241236,0.01902328,4.965,1.982,1.982
2mer-0+18,-19.72657931,1,-9.86328965,-22.33570201,0.01860105,5.097,1.997,1.997
2mer-0+1,-7.82165655,2,-7.82165655,-30.15735857,0.00707979,5.21,2.756,2.756
2mer-0+8,-8.37712071,2,-8.37712071,-38.53447928,0.006914117,4.616,2.778,2.778
2mer-0+7,-10.83019366,1,-5.41509683,-43.94957611,0.006794476,4.608,2.794,2.794
2mer-0+2,-5.78285937,1,-2.89142969,-46.84100579,0.006668211,5.033,2.811,2.811
2mer-0+5,-5.78180991,1,-2.89090496,-49.73191075,0.006640356,5.162,2.815,2.815
2mer-0+4,-5.66620163,1,-2.83310081,-52.56501157,0.006089562,5.691,2.898,2.898
2mer-0+3,-5.82920454,1,-2.91460227,-55.47961383,0.005626276,4.78,2.975,2.975
2mer-0+22,-6.28616211,1,-3.14308106,-58.62269489,0.003084965,5.631,3.635,3.635
2mer-0+6,-2.76696631,1,-1.38348315,-60.00617805,0.002227933,6.203,4.052,4.052
2mer-0+31,-1.0432749,1,-0.52163745,-60.52781549,0.002195047,6.388,4.072,4.072
2mer-0+14,0.75229013,2,0.75229013,-59.77552537,0.001926127,8.021,4.253,4.253
2mer-0+13,-1.64408054,2,-1.64408054,-61.4196059,0.001192758,7.995,4.99,4.99
2mer-0+11,0.22852968,2,0.22852968,-61.19107622,0.001191686,8.19,4.991,4.991
2mer-0+16,-1.48959015,2,-1.48959015,-62.68066637,0.001176714,6.773,5.012,5.012
2mer-0+29,1.11595713,1,0.55797856,-62.12268781,0.001161744,9.095,5.034,5.034
2mer-0+21,-0.26567688,1,-0.13283844,-62.25552625,0.0009054665,8.921,5.47,5.47
2mer-0+9,-0.16801944,2,-0.16801944,-62.42354569,0.0008360245,8.521,5.617,5.617
2mer-0+51,0.23648224,1,0.11824112,-62.30530456,0.0008253675,9.397,5.641,5.641
2mer-0+27,-0.93422227,2,-0.93422227,-63.23952684,0.0008142065,7.995,5.667,5.667
2mer-0+12,-0.14330961,1,-0.07165481,-63.31118164,0.0007337449,9.433,5.867,5.867
2mer-0+15,-0.19645427,1,-0.09822714,-63.40940878,0.0007130476,9.519,5.923,5.923
2mer-0+54,0.72689039,1,0.3634452,-63.04596358,0.0006703362,8.05,6.046,6.046
2mer-0+33,-0.15142228,2,-0.15142228,-63.19738586,0.0006197606,8.521,6.207,6.207
2mer-0+52,-0.90247632,1,-0.45123816,-63.64862402,0.0005989168,8.883,6.278,6.278
2mer-0+30,-0.15161398,2,-0.15161398,-63.800238,0.0005904304,9.401,6.308,6.308
2mer-0+69,-0.26988772,1,-0.13494386,-63.93518187,0.0005222903,9.361,6.571,6.571
2mer-0+28,0.09045573,2,0.09045573,-63.84472613,0.000461699,10.628,6.847,6.847
2mer-0+32,-0.12559755,2,-0.12559755,-63.97032368,0.0004369541,9.401,6.974,6.974
2mer-0+25,0.3175888,2,0.3175888,-63.65273488,0.0004259554,10.039,7.033,7.033
2mer-0+61,-0.36552215,1,-0.18276107,-63.83549595,0.0004183404,10.241,7.076,7.076
2mer-0+72,-0.57641369,1,-0.28820685,-64.1237028,0.0004042283,9.894,7.157,7.157
2mer-0+20,-0.22739283,1,-0.11369642,-64.23739922,0.0003923295,10.307,7.229,7.229
2mer-0+41,-0.14593788,1,-0.07296894,-64.31036815,0.0003753932,10.419,7.336,7.336
2mer-0+80,-0.2461516,1,-0.1230758,-64.43344395,0.0003734767,9.975,7.348,7.348
2mer-0+26,-0.16814082,2,-0.16814082,-64.60158477,0.0003643697,9.038,7.409,7.409
2mer-0+23,-0.03105891,1,-0.01552945,-64.61711422,0.0003600079,10.414,7.439,7.439
2mer-0+74,0.06506057,1,0.03253029,-64.58458394,0.0003583991,9.447,7.45,7.45
2mer-0+39,0.15182136,1,0.07591068,-64.50867326,0.0003494859,8.091,7.513,7.513
2mer-0+63,0.17812673,2,0.17812673,-64.33054652,0.0003074647,10.302,7.84,7.84
2mer-0+53,-0.28570396,1,-0.14285198,-64.4733985,0.0002995302,10.489,7.909,7.909
2mer-0+43,-0.17694106,1,-0.08847053,-64.56186903,0.0002974733,12.136,7.927,7.927
2mer-0+93,-0.71902589,1,-0.35951295,-64.92138198,0.0002908666,10.457,7.987,7.987
2mer-0+70,0.24270345,1,0.12135173,-64.80003025,0.0002882706,10.552,8.011,8.011
2mer-0+65,-0.34716781,2,-0.34716781,-65.14719806,0.0002758886,10.633,8.129,8.129
2mer-0+82,-0.40436167,1,-0.20218083,-65.34937889,0.0002691638,9.223,8.196,8.196
2mer-0+121,0.06117006,1,0.03058503,-65.31879386,0.0002615345,10.354,8.275,8.275
2mer-0+36,-0.35433741,1,-0.1771687,-65.49596257,0.0002602277,9.272,8.289,8.289
2mer-0+59,-0.0508546,1,-0.0254273,-65.52138987,0.0002471891,10.382,8.432,8.432
2mer-0+60,-0.16038286,1,-0.08019143,-65.6015813,0.0002443155,11.454,8.465,8.465
2mer-0+57,0.19427643,1,0.09713821,-65.50444308,0.0002414284,10.781,8.498,8.498
