N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+19,-22.16886317,1,-11.08443158,-11.08443158,0.01902328,4.965,1.982,1.982
2mer-0+18,-16.55653101,1,-8.27826551,-19.36269709,0.01860105,5.097,1.997,1.997
2mer-0+1,-6.93572364,2,-6.93572364,-26.29842073,0.00707979,5.21,2.756,2.756
2mer-0+8,-7.97889977,2,-7.97889977,-34.2773205,0.006914117,4.616,2.778,2.778
2mer-0+7,-9.21423057,1,-4.60711529,-38.88443578,0.006794476,4.608,2.794,2.794
2mer-0+2,-2.54195702,1,-1.27097851,-40.15541429,0.006668211,5.033,2.811,2.811
2mer-0+5,-4.83915676,1,-2.41957838,-42.57499267,0.006640356,5.162,2.815,2.815
2mer-0+4,-4.22308388,1,-2.11154194,-44.68653461,0.006089562,5.691,2.898,2.898
2mer-0+3,-7.01335793,1,-3.50667897,-48.19321358,0.005626276,4.78,2.975,2.975
2mer-0+22,-6.06140277,1,-3.03070138,-51.22391496,0.003084965,5.631,3.635,3.635
2mer-0+6,-3.32780324,1,-1.66390162,-52.88781658,0.002227933,6.203,4.052,4.052
2mer-0+31,-2.05526286,1,-1.02763143,-53.91544801,0.002195047,6.388,4.072,4.072
2mer-0+14,0.74631184,2,0.74631184,-53.16913617,0.001926127,8.021,4.253,4.253
2mer-0+13,-2.06671587,2,-2.06671587,-55.23585204,0.001192758,7.995,4.99,4.99
2mer-0+11,-0.15155562,2,-0.15155562,-55.38740766,0.001191686,8.19,4.991,4.991
2mer-0+16,-1.79467067,2,-1.79467067,-57.18207833,0.001176714,6.773,5.012,5.012
2mer-0+29,1.11126727,1,0.55563364,-56.62644469,0.001161744,9.095,5.034,5.034
2mer-0+21,-0.08996108,1,-0.04498054,-56.67142523,0.0009054665,8.921,5.47,5.47
2mer-0+9,-0.03446281,2,-0.03446281,-56.70588805,0.0008360245,8.521,5.617,5.617
2mer-0+51,-0.15707366,1,-0.07853683,-56.78442488,0.0008253675,9.397,5.641,5.641
2mer-0+27,-0.65340772,2,-0.65340772,-57.4378326,0.0008142065,7.995,5.667,5.667
2mer-0+12,0.01254173,1,0.00627087,-57.43156173,0.0007337449,9.433,5.867,5.867
2mer-0+15,-0.22257237,1,-0.11128618,-57.54284791,0.0007130476,9.519,5.923,5.923
2mer-0+54,0.80571915,1,0.40285957,-57.13998834,0.0006703362,8.05,6.046,6.046
2mer-0+33,-0.00586536,2,-0.00586536,-57.1458537,0.0006197606,8.521,6.207,6.207
2mer-0+52,-0.92962004,1,-0.46481002,-57.61066372,0.0005989168,8.883,6.278,6.278
2mer-0+30,-0.32832229,2,-0.32832229,-57.93898601,0.0005904304,9.401,6.308,6.308
2mer-0+69,-0.45908789,1,-0.22954395,-58.16852996,0.0005222903,9.361,6.571,6.571
2mer-0+28,0.22080563,2,0.22080563,-57.94772433,0.000461699,10.628,6.847,6.847
2mer-0+32,-0.29679293,2,-0.29679293,-58.24451726,0.0004369541,9.401,6.974,6.974
2mer-0+25,0.25733501,2,0.25733501,-57.98718225,0.0004259554,10.039,7.033,7.033
2mer-0+61,-0.56232686,1,-0.28116343,-58.26834568,0.0004183404,10.241,7.076,7.076
2mer-0+72,-0.5969769,1,-0.29848845,-58.56683413,0.0004042283,9.894,7.157,7.157
2mer-0+20,-0.12533258,1,-0.06266629,-58.62950042,0.0003923295,10.307,7.229,7.229
