N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+19,-22.83721238,1,-11.41860619,-11.41860619,0.01902328,4.965,1.982,1.982
2mer-0+18,-17.12227616,1,-8.56113808,-19.97974427,0.01860105,5.097,1.997,1.997
2mer-0+1,-6.89550514,2,-6.89550514,-26.87524941,0.00707979,5.21,2.756,2.756
2mer-0+8,-7.79611446,2,-7.79611446,-34.67136387,0.006914117,4.616,2.778,2.778
2mer-0+7,-8.97852809,1,-4.48926405,-39.16062791,0.006794476,4.608,2.794,2.794
2mer-0+2,-2.34903336,1,-1.17451668,-40.33514459,0.006668211,5.033,2.811,2.811
2mer-0+5,-4.47067375,1,-2.23533688,-42.57048147,0.006640356,5.162,2.815,2.815
2mer-0+4,-4.07732019,1,-2.03866009,-44.60914156,0.006089562,5.691,2.898,2.898
2mer-0+3,-6.71659086,1,-3.35829543,-47.96743699,0.005626276,4.78,2.975,2.975
2mer-0+22,-6.19280723,1,-3.09640362,-51.06384061,0.003084965,5.631,3.635,3.635
2mer-0+6,-3.33066133,1,-1.66533066,-52.72917127,0.002227933,6.203,4.052,4.052
2mer-0+31,-2.02698166,1,-1.01349083,-53.7426621,0.002195047,6.388,4.072,4.072
2mer-0+14,0.73299404,2,0.73299404,-53.00966806,0.001926127,8.021,4.253,4.253
2mer-0+13,-2.06938212,2,-2.06938212,-55.07905018,0.001192758,7.995,4.99,4.99
2mer-0+11,-0.16184182,2,-0.16184182,-55.240892,0.001191686,8.19,4.991,4.991
2mer-0+16,-1.81445158,2,-1.81445158,-57.05534359,0.001176714,6.773,5.012,5.012
2mer-0+29,1.09069223,1,0.54534612,-56.50999747,0.001161744,9.095,5.034,5.034
2mer-0+21,-0.10211299,1,-0.05105649,-56.56105396,0.0009054665,8.921,5.47,5.47
2mer-0+9,-0.04211912,2,-0.04211912,-56.60317308,0.0008360245,8.521,5.617,5.617
2mer-0+51,-0.15332342,1,-0.07666171,-56.67983479,0.0008253675,9.397,5.641,5.641
