N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+19,-25.83826019,1,-12.9191301,-12.9191301,0.01902328,4.965,1.982,1.982
2mer-0+18,-20.63960021,1,-10.3198001,-23.2389302,0.01860105,5.097,1.997,1.997
2mer-0+1,-8.57709547,2,-8.57709547,-31.81602567,0.00707979,5.21,2.756,2.756
2mer-0+8,-9.36744051,2,-9.36744051,-41.18346618,0.006914117,4.616,2.778,2.778
2mer-0+7,-11.40063809,1,-5.70031904,-46.88378523,0.006794476,4.608,2.794,2.794
2mer-0+2,-4.41631749,1,-2.20815874,-49.09194397,0.006668211,5.033,2.811,2.811
2mer-0+5,-6.73088429,1,-3.36544215,-52.45738612,0.006640356,5.162,2.815,2.815
2mer-0+4,-6.15060278,1,-3.07530139,-55.53268751,0.006089562,5.691,2.898,2.898
2mer-0+3,-8.10921772,1,-4.05460886,-59.58729637,0.005626276,4.78,2.975,2.975
2mer-0+22,-6.79507814,1,-3.39753907,-62.98483544,0.003084965,5.631,3.635,3.635
2mer-0+6,-3.80741145,1,-1.90370573,-64.88854117,0.002227933,6.203,4.052,4.052
2mer-0+31,-2.31787131,1,-1.15893565,-66.04747682,0.002195047,6.388,4.072,4.072
2mer-0+14,0.61830197,2,0.61830197,-65.42917485,0.001926127,8.021,4.253,4.253
2mer-0+13,-1.99665332,2,-1.99665332,-67.42582817,0.001192758,7.995,4.99,4.99
2mer-0+11,-0.14934556,2,-0.14934556,-67.57517373,0.001191686,8.19,4.991,4.991
2mer-0+16,-1.95590963,2,-1.95590963,-69.53108335,0.001176714,6.773,5.012,5.012
2mer-0+29,1.01945515,1,0.50972757,-69.02135578,0.001161744,9.095,5.034,5.034
2mer-0+21,-0.12649627,1,-0.06324814,-69.08460391,0.0009054665,8.921,5.47,5.47
2mer-0+9,-0.04010919,2,-0.04010919,-69.12471311,0.0008360245,8.521,5.617,5.617
2mer-0+51,-0.12377888,1,-0.06188944,-69.18660255,0.0008253675,9.397,5.641,5.641
2mer-0+27,-0.73165836,2,-0.73165836,-69.9182609,0.0008142065,7.995,5.667,5.667
2mer-0+12,-0.03466256,1,-0.01733128,-69.93559218,0.0007337449,9.433,5.867,5.867
2mer-0+15,-0.23054946,1,-0.11527473,-70.05086691,0.0007130476,9.519,5.923,5.923
2mer-0+54,0.7669132,1,0.3834566,-69.66741031,0.0006703362,8.05,6.046,6.046
2mer-0+33,-0.04997398,2,-0.04997398,-69.71738429,0.0006197606,8.521,6.207,6.207
