N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+19,-25.45911811,1,-12.72955905,-12.72955905,0.01902328,4.965,1.982,1.982
2mer-0+18,-19.30041152,1,-9.65020576,-22.37976482,0.01860105,5.097,1.997,1.997
2mer-0+1,-7.30356281,2,-7.30356281,-29.68332763,0.00707979,5.21,2.756,2.756
2mer-0+8,-8.27264199,2,-8.27264199,-37.95596962,0.006914117,4.616,2.778,2.778
2mer-0+7,-10.27366575,1,-5.13683287,-43.09280249,0.006794476,4.608,2.794,2.794
2mer-0+2,-1.77064742,1,-0.88532371,-43.9781262,0.006668211,5.033,2.811,2.811
2mer-0+5,-5.14332948,1,-2.57166474,-46.54979094,0.006640356,5.162,2.815,2.815
2mer-0+4,-3.61730969,1,-1.80865484,-48.35844579,0.006089562,5.691,2.898,2.898
2mer-0+3,-7.99628221,1,-3.99814111,-52.35658689,0.005626276,4.78,2.975,2.975
2mer-0+22,-6.23206569,1,-3.11603284,-55.47261974,0.003084965,5.631,3.635,3.635
2mer-0+6,-3.71894339,1,-1.8594717,-57.33209143,0.002227933,6.203,4.052,4.052
2mer-0+31,-2.50632955,1,-1.25316477,-58.58525621,0.002195047,6.388,4.072,4.072
2mer-0+14,0.88460551,2,0.88460551,-57.7006507,0.001926127,8.021,4.253,4.253
2mer-0+13,-2.52405263,2,-2.52405263,-60.22470333,0.001192758,7.995,4.99,4.99
2mer-0+11,-0.20317091,2,-0.20317091,-60.42787424,0.001191686,8.19,4.991,4.991
2mer-0+16,-1.87911298,2,-1.87911298,-62.30698722,0.001176714,6.773,5.012,5.012
2mer-0+29,1.42775253,1,0.71387627,-61.59311095,0.001161744,9.095,5.034,5.034
2mer-0+21,-0.02713153,1,-0.01356577,-61.60667672,0.0009054665,8.921,5.47,5.47
2mer-0+9,-0.03027144,2,-0.03027144,-61.63694816,0.0008360245,8.521,5.617,5.617
2mer-0+51,-0.25117525,1,-0.12558763,-61.76253578,0.0008253675,9.397,5.641,5.641
2mer-0+27,-0.54738758,2,-0.54738758,-62.30992336,0.0008142065,7.995,5.667,5.667
2mer-0+12,0.08744327,1,0.04372164,-62.26620173,0.0007337449,9.433,5.867,5.867
2mer-0+15,-0.22978126,1,-0.11489063,-62.38109236,0.0007130476,9.519,5.923,5.923
2mer-0+54,0.99720503,1,0.49860252,-61.88248984,0.0006703362,8.05,6.046,6.046
2mer-0+33,0.05264382,2,0.05264382,-61.82984602,0.0006197606,8.521,6.207,6.207
